# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 3378064167324
#
# Children      Self  Command          Shared Object                       Symbol                                                                                                                                                                                                         
# ........  ........  ...............  ..................................  ...............................................................................................................................................................................................................
#
    47.72%     0.05%  Executor task l  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
    47.67%     0.05%  Executor task l  [kernel.kallsyms]                   [k] do_syscall_64
    36.36%     0.04%  Executor task l  [kernel.kallsyms]                   [k] ksys_read
    36.12%     0.05%  Executor task l  [kernel.kallsyms]                   [k] vfs_read
    35.81%     0.11%  Executor task l  [kernel.kallsyms]                   [k] new_sync_read
    35.61%     0.52%  Executor task l  [kernel.kallsyms]                   [k] filemap_read
    25.38%     0.16%  Executor task l  [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
    25.02%     0.06%  Executor task l  [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
    24.46%    23.69%  Executor task l  [kernel.kallsyms]                   [k] copy_user_generic_string
    22.75%     0.34%  Executor task l  [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
    22.31%     0.63%  Executor task l  [kernel.kallsyms]                   [k] hrtimer_interrupt
    22.19%     0.09%  Executor task l  [kernel.kallsyms]                   [k] copy_page_to_iter
    22.10%     0.16%  Executor task l  [kernel.kallsyms]                   [k] copy_page_to_iter_iovec
    19.56%     0.45%  Executor task l  [kernel.kallsyms]                   [k] __hrtimer_run_queues
    19.12%     0.04%  Executor task l  [kernel.kallsyms]                   [k] __run_hrtimer
    18.17%     0.07%  Executor task l  [kernel.kallsyms]                   [k] tick_sched_timer
    17.10%     0.03%  Executor task l  [kernel.kallsyms]                   [k] tick_sched_handle
    16.93%     0.60%  Executor task l  [kernel.kallsyms]                   [k] update_process_times
    12.63%     0.12%  Executor task l  [kernel.kallsyms]                   [k] filemap_get_pages
    12.61%     0.63%  Executor task l  [kernel.kallsyms]                   [k] scheduler_tick
    11.30%     0.19%  Executor task l  [kernel.kallsyms]                   [k] page_cache_ra_unbounded
     9.38%     0.01%  Executor task l  [kernel.kallsyms]                   [k] ksys_write
