# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 8625147750795
#
# Children      Self  Command          Shared Object               Symbol                                                                                                                                                                     
# ........  ........  ...............  ..........................  ...........................................................................................................................................................................
#
     1.54%     0.02%  swapper          [kernel.kallsyms]           [k] __handle_irq_event_percpu
     1.54%     0.04%  swapper          [kernel.kallsyms]           [k] tick_nohz_idle_stop_tick
     1.52%     0.06%  swapper          [kernel.kallsyms]           [k] __irq_exit_rcu
     1.52%     0.01%  swapper          [kernel.kallsyms]           [k] nvme_irq
     1.50%     0.12%  swapper          [kernel.kallsyms]           [k] nvme_process_cq
     1.49%     0.12%  mariadbd         [kernel.kallsyms]           [k] pick_next_task_fair
     1.49%     0.12%  swapper          [kernel.kallsyms]           [k] flush_smp_call_function_from_idle
     1.45%     0.00%  tclsh8.6         [kernel.kallsyms]           [k] __x64_sys_sendto
     1.45%     0.01%  tclsh8.6         [kernel.kallsyms]           [k] __sys_sendto
     1.44%     0.00%  mariadbd         [kernel.kallsyms]           [k] common_interrupt
     1.44%     0.01%  tclsh8.6         [kernel.kallsyms]           [k] sock_sendmsg
     1.43%     0.09%  swapper          [kernel.kallsyms]           [k] tick_nohz_idle_exit
     1.43%     0.02%  tclsh8.6         [kernel.kallsyms]           [k] unix_stream_sendmsg
     1.39%     0.72%  mariadbd         [kernel.kallsyms]           [k] update_load_avg
     1.39%     0.43%  mariadbd         [kernel.kallsyms]           [k] _raw_spin_lock
     1.35%     0.02%  swapper          [kernel.kallsyms]           [k] __softirqentry_text_start
     1.34%     0.47%  mariadbd         [kernel.kallsyms]           [k] update_curr
     1.33%     0.02%  mariadbd         [kernel.kallsyms]           [k] __x64_sys_poll
     1.32%     0.01%  mariadbd         [kernel.kallsyms]           [k] __common_interrupt
     1.32%     0.02%  mariadbd         [kernel.kallsyms]           [k] handle_edge_irq
     1.30%     0.07%  swapper          [kernel.kallsyms]           [k] hrtimer_start_range_ns
     1.30%     0.02%  mariadbd         [kernel.kallsyms]           [k] blk_finish_plug
     1.30%     0.01%  swapper          [kernel.kallsyms]           [k] __hrtimer_run_queues
     1.29%     0.01%  swapper          [kernel.kallsyms]           [k] __run_hrtimer
     1.29%     0.67%  swapper          [kernel.kallsyms]           [k] ktime_get
     1.29%     0.65%  swapper          [kernel.kallsyms]           [k] update_load_avg
     1.28%     0.01%  mariadbd         [kernel.kallsyms]           [k] handle_irq_event
     1.28%     0.37%  mariadbd         [kernel.kallsyms]           [k] syscall_exit_work
     1.27%     0.02%  mariadbd         [kernel.kallsyms]           [k] blk_mq_flush_plug_list
     1.26%     0.37%  mariadbd         [kernel.kallsyms]           [k] ttwu_queue_wakelist
     1.26%     0.01%  swapper          [kernel.kallsyms]           [k] tick_sched_timer
     1.26%     0.06%  mariadbd         [kernel.kallsyms]           [k] do_sys_poll
     1.25%     0.03%  mariadbd         [kernel.kallsyms]           [k] blk_mq_sched_insert_requests
     1.24%     0.09%  swapper          [kernel.kallsyms]           [k] tick_nohz_get_sleep_length
     1.23%     0.01%  mariadbd         [kernel.kallsyms]           [k] __handle_irq_event_percpu
     1.22%     0.05%  mariadbd         [kernel.kallsyms]           [k] blk_mq_try_issue_list_directly
     1.22%     0.01%  mariadbd         [kernel.kallsyms]           [k] nvme_irq
     1.21%     0.07%  mariadbd         [kernel.kallsyms]           [k] nvme_process_cq
     1.20%     0.12%  mariadbd         [kernel.kallsyms]           [k] exit_to_user_mode_prepare
     1.19%     0.02%  mariadbd         [kernel.kallsyms]           [k] iomap_dio_submit_bio
     1.18%     0.28%  swapper          [kernel.kallsyms]           [k] pick_next_task_fair
     1.17%     0.01%  tclsh8.6         [kernel.kallsyms]           [k] __x64_sys_poll
     1.17%     0.23%  mariadbd         [kernel.kallsyms]           [k] newidle_balance
     1.17%     0.04%  mariadbd         [kernel.kallsyms]           [k] ttwu_do_activate
     1.16%     0.02%  tclsh8.6         [kernel.kallsyms]           [k] __x64_sys_recvfrom
     1.16%     0.12%  tclsh8.6         [kernel.kallsyms]           [k] do_sys_poll
     1.15%     0.04%  mariadbd         [kernel.kallsyms]           [k] __blk_mq_try_issue_directly
