# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 984K of event 'cycles'
# Event count (approx.): 2239420905167
#
# Children      Self  Command          Shared Object                       Symbol                                                                                                                                                                                               
# ........  ........  ...............  ..................................  .....................................................................................................................................................................................................
#
     1.23%     0.12%  Executor task l  [kernel.kallsyms]                   [k] rcu_core
     1.22%     0.01%  swapper          [kernel.kallsyms]                   [k] cpuidle_idle_call
     1.18%     0.04%  Executor task l  [kernel.kallsyms]                   [k] exit_to_user_mode_loop
     1.15%     0.01%  Executor task l  [kernel.kallsyms]                   [k] irqentry_exit_to_user_mode
     1.13%     1.02%  Executor task l  [kernel.kallsyms]                   [k] ktime_get
     1.05%     0.36%  Executor task l  [kernel.kallsyms]                   [k] rcu_pending
     1.01%     0.00%  swapper          [kernel.kallsyms]                   [k] cpuidle_enter
     1.01%     0.02%  swapper          [kernel.kallsyms]                   [k] cpuidle_enter_state
     0.97%     0.49%  Executor task l  [kernel.kallsyms]                   [k] filemap_get_read_batch
     0.96%     0.05%  Executor task l  [kernel.kallsyms]                   [k] schedule
     0.93%     0.44%  Executor task l  [kernel.kallsyms]                   [k] update_rq_clock_task
     0.91%     0.83%  Executor task l  [kernel.kallsyms]                   [k] __update_load_avg_se
     0.91%     0.16%  Executor task l  [kernel.kallsyms]                   [k] __schedule
     0.89%     0.78%  Executor task l  [kernel.kallsyms]                   [k] __cgroup_account_cputime_field
     0.86%     0.00%  kswapd0          [kernel.kallsyms]                   [k] kswapd
     0.86%     0.00%  kswapd0          [kernel.kallsyms]                   [k] kthread
     0.86%     0.00%  kswapd0          [kernel.kallsyms]                   [k] ret_from_fork
     0.86%     0.00%  kswapd0          [kernel.kallsyms]                   [k] balance_pgdat
     0.86%     0.00%  kswapd0          [kernel.kallsyms]                   [k] shrink_node
     0.86%     0.00%  kswapd0          [kernel.kallsyms]                   [k] shrink_node_memcgs
     0.83%     0.02%  Executor task l  [kernel.kallsyms]                   [k] do_open
