# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 642K of event 'cycles'
# Event count (approx.): 8396710108867
#
# Children      Self  Command          Shared Object      Symbol                                             
# ........  ........  ...............  .................  ...................................................
#
    36.06%     0.00%  swapper          [kernel.kallsyms]  [k] secondary_startup_64_no_verify
    36.06%     0.00%  swapper          [kernel.kallsyms]  [k] cpu_startup_entry
    36.05%     0.01%  swapper          [kernel.kallsyms]  [k] do_idle
    35.76%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_enter
    35.76%     0.01%  swapper          [kernel.kallsyms]  [k] cpuidle_enter_state
    35.47%    34.42%  swapper          [kernel.kallsyms]  [k] mwait_idle_with_hints.constprop.0
    34.60%     0.00%  swapper          [kernel.kallsyms]  [k] start_secondary
    16.13%     0.11%  java             [kernel.kallsyms]  [k] asm_exc_page_fault
    15.37%     0.31%  java             [kernel.kallsyms]  [k] exc_page_fault
    13.19%     0.15%  java             [kernel.kallsyms]  [k] do_user_addr_fault
     8.67%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     8.67%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] do_syscall_64
     8.65%     0.49%  java             [kernel.kallsyms]  [k] handle_mm_fault
     8.10%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] ksys_read
     8.10%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] __x64_sys_read
     8.10%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] vfs_read
     8.10%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] new_sync_read
     8.10%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] generic_file_read_iter
     8.10%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] ext4_file_read_iter
     8.09%     0.06%  localfetcher#1   [kernel.kallsyms]  [k] filemap_read
     7.85%     0.01%  LocalJobRunner   [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     7.85%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] do_syscall_64
     7.65%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     7.65%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] do_syscall_64
     7.13%     2.81%  java             [kernel.kallsyms]  [k] __handle_mm_fault
     6.31%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] __x64_sys_write
     6.31%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ksys_write
     6.31%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] vfs_write
     6.31%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] new_sync_write
     6.31%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_buffered_write_iter
     6.31%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_file_write_iter
