# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 4651019295122
#
# Children      Self  Command          Shared Object                        Symbol                                                                                                                                                                                               
# ........  ........  ...............  ...................................  .....................................................................................................................................................................................................
#
     1.35%     0.00%  GC Thread#2      [kernel.kallsyms]                    [k] handle_mm_fault
     1.35%     0.00%  GC Thread#1      [kernel.kallsyms]                    [k] handle_mm_fault
     1.35%     0.00%  GC Thread#5      [kernel.kallsyms]                    [k] do_anonymous_page
     1.34%     0.00%  GC Thread#1      [kernel.kallsyms]                    [k] __handle_mm_fault
     1.34%     0.00%  GC Thread#2      [kernel.kallsyms]                    [k] __handle_mm_fault
     1.34%     0.00%  GC Thread#1      [kernel.kallsyms]                    [k] do_anonymous_page
     1.34%     0.00%  swapper          [kernel.kallsyms]                    [k] cpu_startup_entry
     1.34%     0.00%  swapper          [kernel.kallsyms]                    [k] secondary_startup_64_no_verify
     1.34%     0.01%  swapper          [kernel.kallsyms]                    [k] do_idle
     1.34%     0.00%  GC Thread#2      [kernel.kallsyms]                    [k] do_anonymous_page
     1.33%     0.00%  GC Thread#4      [kernel.kallsyms]                    [k] asm_exc_page_fault
     1.33%     0.00%  GC Thread#4      [kernel.kallsyms]                    [k] exc_page_fault
     1.33%     0.00%  GC Thread#4      [kernel.kallsyms]                    [k] do_user_addr_fault
     1.32%     0.00%  GC Thread#4      [kernel.kallsyms]                    [k] handle_mm_fault
     1.32%     0.00%  GC Thread#4      [kernel.kallsyms]                    [k] __handle_mm_fault
     1.31%     0.00%  GC Thread#1      [kernel.kallsyms]                    [k] __alloc_pages
     1.31%     0.00%  GC Thread#1      [kernel.kallsyms]                    [k] alloc_pages_vma
     1.31%     0.07%  Executor task l  [kernel.kallsyms]                    [k] ext4_da_write_end
     1.31%     0.00%  GC Thread#17     [kernel.kallsyms]                    [k] asm_exc_page_fault
     1.31%     0.00%  GC Thread#17     [kernel.kallsyms]                    [k] exc_page_fault
     1.31%     0.00%  GC Thread#4      [kernel.kallsyms]                    [k] do_anonymous_page
     1.31%     0.00%  GC Thread#17     [kernel.kallsyms]                    [k] do_user_addr_fault
     1.31%     0.00%  GC Thread#5      [kernel.kallsyms]                    [k] alloc_pages_vma
     1.31%     0.00%  GC Thread#5      [kernel.kallsyms]                    [k] __alloc_pages
     1.31%     0.22%  Executor task l  [kernel.kallsyms]                    [k] _raw_spin_lock_irq
     1.30%     0.00%  GC Thread#2      [kernel.kallsyms]                    [k] alloc_pages_vma
     1.30%     0.00%  GC Thread#2      [kernel.kallsyms]                    [k] __alloc_pages
     1.30%     0.02%  Executor task l  [kernel.kallsyms]                    [k] pagecache_get_page
     1.30%     0.00%  GC Thread#17     [kernel.kallsyms]                    [k] handle_mm_fault
     1.30%     0.00%  GC Thread#13     [kernel.kallsyms]                    [k] asm_exc_page_fault
     1.30%     0.00%  GC Thread#13     [kernel.kallsyms]                    [k] exc_page_fault
     1.30%     0.00%  GC Thread#13     [kernel.kallsyms]                    [k] do_user_addr_fault
     1.29%     0.00%  GC Thread#17     [kernel.kallsyms]                    [k] __handle_mm_fault
     1.29%     0.00%  GC Thread#13     [kernel.kallsyms]                    [k] handle_mm_fault
     1.29%     0.00%  GC Thread#13     [kernel.kallsyms]                    [k] __handle_mm_fault
     1.29%     0.00%  GC Thread#17     [kernel.kallsyms]                    [k] do_anonymous_page
     1.28%     0.00%  GC Thread#13     [kernel.kallsyms]                    [k] do_anonymous_page
     1.28%     0.00%  GC Thread#4      [kernel.kallsyms]                    [k] __alloc_pages
     1.28%     0.00%  GC Thread#4      [kernel.kallsyms]                    [k] alloc_pages_vma
     1.27%     0.00%  GC Thread#0      [kernel.kallsyms]                    [k] asm_exc_page_fault
     1.27%     0.00%  GC Thread#0      [kernel.kallsyms]                    [k] exc_page_fault
     1.27%     0.00%  GC Thread#0      [kernel.kallsyms]                    [k] do_user_addr_fault
     1.27%     0.00%  GC Thread#22     [kernel.kallsyms]                    [k] asm_exc_page_fault
     1.27%     0.00%  GC Thread#22     [kernel.kallsyms]                    [k] exc_page_fault
     1.26%     0.00%  GC Thread#22     [kernel.kallsyms]                    [k] do_user_addr_fault
     1.26%     0.00%  GC Thread#0      [kernel.kallsyms]                    [k] handle_mm_fault
     1.26%     0.00%  GC Thread#13     [kernel.kallsyms]                    [k] alloc_pages_vma
     1.26%     0.00%  GC Thread#0      [kernel.kallsyms]                    [k] __handle_mm_fault
