# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 3799778045887
#
# Children      Self  Command          Shared Object                       Symbol                                                                                                                                                                                                         
# ........  ........  ...............  ..................................  ...............................................................................................................................................................................................................
#
    49.16%     0.05%  Executor task l  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
    49.11%     0.05%  Executor task l  [kernel.kallsyms]                   [k] do_syscall_64
    37.35%     0.03%  Executor task l  [kernel.kallsyms]                   [k] ksys_read
    37.09%     0.08%  Executor task l  [kernel.kallsyms]                   [k] vfs_read
    36.73%     0.11%  Executor task l  [kernel.kallsyms]                   [k] new_sync_read
    36.55%     0.51%  Executor task l  [kernel.kallsyms]                   [k] filemap_read
    25.76%    24.84%  Executor task l  [kernel.kallsyms]                   [k] copy_user_generic_string
    25.16%     0.16%  Executor task l  [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
    24.17%     0.05%  Executor task l  [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
    23.33%     0.07%  Executor task l  [kernel.kallsyms]                   [k] copy_page_to_iter
    23.26%     0.14%  Executor task l  [kernel.kallsyms]                   [k] copy_page_to_iter_iovec
    22.02%     0.28%  Executor task l  [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
    21.62%     0.58%  Executor task l  [kernel.kallsyms]                   [k] hrtimer_interrupt
    19.15%     0.47%  Executor task l  [kernel.kallsyms]                   [k] __hrtimer_run_queues
    18.68%     0.03%  Executor task l  [kernel.kallsyms]                   [k] __run_hrtimer
    17.86%     0.07%  Executor task l  [kernel.kallsyms]                   [k] tick_sched_timer
    16.89%     0.08%  Executor task l  [kernel.kallsyms]                   [k] tick_sched_handle
    16.67%     0.61%  Executor task l  [kernel.kallsyms]                   [k] update_process_times
    12.31%     0.12%  Executor task l  [kernel.kallsyms]                   [k] filemap_get_pages
    12.24%     0.53%  Executor task l  [kernel.kallsyms]                   [k] scheduler_tick
    10.84%     0.20%  Executor task l  [kernel.kallsyms]                   [k] page_cache_ra_unbounded
     9.49%     0.01%  Executor task l  [kernel.kallsyms]                   [k] ksys_write
     9.42%     0.09%  Executor task l  [kernel.kallsyms]                   [k] vfs_write
     9.31%     0.02%  Executor task l  [kernel.kallsyms]                   [k] new_sync_write
     9.27%     0.02%  Executor task l  [kernel.kallsyms]                   [k] ext4_buffered_write_iter
     8.56%     0.07%  Executor task l  [kernel.kallsyms]                   [k] generic_perform_write
     6.35%     0.04%  Executor task l  [kernel.kallsyms]                   [k] add_to_page_cache_lru
     5.86%     0.70%  Executor task l  [kernel.kallsyms]                   [k] task_tick_fair
     5.66%     0.37%  Executor task l  [kernel.kallsyms]                   [k] __alloc_pages
     5.17%     0.03%  Executor task l  [kernel.kallsyms]                   [k] asm_exc_page_fault
     5.03%     0.45%  Executor task l  [kernel.kallsyms]                   [k] __add_to_page_cache_locked
     4.97%     0.01%  Executor task l  [kernel.kallsyms]                   [k] exc_page_fault
     4.86%     0.01%  Executor task l  [kernel.kallsyms]                   [k] do_user_addr_fault
     4.59%     0.54%  Executor task l  [kernel.kallsyms]                   [k] perf_event_task_tick
     4.54%     0.03%  Executor task l  [kernel.kallsyms]                   [k] handle_mm_fault
     4.46%     0.06%  Executor task l  [kernel.kallsyms]                   [k] __handle_mm_fault
     4.39%     0.03%  Executor task l  [kernel.kallsyms]                   [k] do_anonymous_page
     4.10%     0.17%  Executor task l  [kernel.kallsyms]                   [k] get_page_from_freelist
     4.06%     2.00%  Executor task l  [kernel.kallsyms]                   [k] perf_adjust_freq_unthr_context
     3.63%     0.07%  Executor task l  [kernel.kallsyms]                   [k] ext4_da_write_begin
     3.35%     0.03%  Executor task l  [kernel.kallsyms]                   [k] alloc_pages_vma
     2.96%     0.00%  kswapd0          [kernel.kallsyms]                   [k] kswapd
     2.96%     0.00%  kswapd0          [kernel.kallsyms]                   [k] kthread
     2.96%     0.00%  kswapd0          [kernel.kallsyms]                   [k] ret_from_fork
     2.95%     0.00%  kswapd0          [kernel.kallsyms]                   [k] balance_pgdat
     2.95%     0.00%  kswapd0          [kernel.kallsyms]                   [k] shrink_node
     2.94%     0.01%  kswapd0          [kernel.kallsyms]                   [k] shrink_node_memcgs
     2.86%     2.86%  Executor task l  [kernel.kallsyms]                   [k] native_queued_spin_lock_slowpath.part.0
     2.82%     0.12%  Executor task l  [kernel.kallsyms]                   [k] copy_page_from_iter_atomic
     2.80%     0.03%  Executor task l  [kernel.kallsyms]                   [k] read_pages
     2.78%     0.00%  kswapd0          [kernel.kallsyms]                   [k] shrink_lruvec
     2.71%     0.01%  kswapd0          [kernel.kallsyms]                   [k] shrink_inactive_list
     2.54%     1.09%  Executor task l  [kernel.kallsyms]                   [k] update_load_avg
     2.21%     0.13%  kswapd0          [kernel.kallsyms]                   [k] shrink_page_list
     1.93%     0.23%  Executor task l  [kernel.kallsyms]                   [k] _raw_spin_lock_irq
     1.93%     0.02%  Executor task l  [kernel.kallsyms]                   [k] kernel_init_free_pages.part.0
     1.91%     1.85%  Executor task l  [kernel.kallsyms]                   [k] clear_page_rep
     1.89%     0.29%  Executor task l  [kernel.kallsyms]                   [k] rmqueue
     1.89%     0.19%  Executor task l  [kernel.kallsyms]                   [k] ext4_mpage_readpages
     1.75%     0.02%  Executor task l  [kernel.kallsyms]                   [k] amd_pmu_disable_all
     1.71%     0.01%  Executor task l  [kernel.kallsyms]                   [k] __alloc_pages_slowpath.constprop.0
     1.70%     0.74%  Executor task l  [kernel.kallsyms]                   [k] account_user_time
     1.62%     0.08%  Executor task l  [kernel.kallsyms]                   [k] ext4_da_write_end
     1.58%     0.00%  Executor task l  [kernel.kallsyms]                   [k] grab_cache_page_write_begin
     1.56%     0.03%  Executor task l  [kernel.kallsyms]                   [k] pagecache_get_page
     1.55%     0.06%  Executor task l  [kernel.kallsyms]                   [k] __block_write_begin_int
     1.52%     0.18%  Executor task l  [kernel.kallsyms]                   [k] __irq_exit_rcu
     1.51%     0.77%  Executor task l  [kernel.kallsyms]                   [k] xas_load
     1.50%     0.05%  Executor task l  [kernel.kallsyms]                   [k] __mark_inode_dirty
     1.44%     0.00%  Executor task l  [kernel.kallsyms]                   [k] asm_common_interrupt
