# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 14K of event 'cycles'
# Event count (approx.): 1913745323191
#
# Children      Self  Command          Shared Object         Symbol                                           
# ........  ........  ...............  ....................  .................................................
#
     1.97%     0.00%  kworker/u97:3+f  [kernel.kallsyms]     [k] submit_bio
     1.97%     0.00%  kworker/u97:3+f  [kernel.kallsyms]     [k] submit_bio_noacct
     1.96%     0.00%  kworker/u97:3+f  [kernel.kallsyms]     [k] blk_mq_submit_bio
     1.93%     1.93%  swapper          [unknown]             [.] 0000000000000000
     1.90%     0.01%  postgres         [kernel.kallsyms]     [k] __alloc_pages
     1.89%     0.00%  postgres         [kernel.kallsyms]     [k] alloc_pages
     1.89%     0.04%  postgres         [kernel.kallsyms]     [k] get_page_from_freelist
     1.84%     1.83%  kworker/u97:3+f  [kernel.kallsyms]     [k] __rq_qos_track
     1.83%     0.00%  kworker/u97:3+f  [kernel.kallsyms]     [k] __irqentry_text_start
     1.80%     1.75%  postgres         [kernel.kallsyms]     [k] mem_cgroup_css_rstat_flush
     1.72%     0.00%  kcompactd1       [kernel.kallsyms]     [k] compact_zone
     1.72%     0.00%  kcompactd1       [kernel.kallsyms]     [k] kcompactd
     1.72%     0.00%  kcompactd1       [kernel.kallsyms]     [k] kthread
     1.72%     0.00%  kcompactd1       [kernel.kallsyms]     [k] proactive_compact_node
     1.72%     0.00%  kcompactd1       [kernel.kallsyms]     [k] ret_from_fork
     1.71%     1.70%  postgres         [kernel.kallsyms]     [k] clear_page_erms
     1.61%     0.00%  kcompactd1       [kernel.kallsyms]     [k] migrate_pages
     1.34%     0.00%  postgres         [kernel.kallsyms]     [k] free_pgtables
     1.33%     0.07%  postgres         [kernel.kallsyms]     [k] free_pgd_range
     1.32%     0.01%  swapper          [kernel.kallsyms]     [k] schedule_idle
     1.31%     0.36%  swapper          [kernel.kallsyms]     [k] __schedule
     1.25%     0.45%  postgres         [kernel.kallsyms]     [k] ___pte_free_tlb
