# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 14K of event 'cycles'
# Event count (approx.): 1913745323191
#
# Children      Self  Command          Shared Object         Symbol                                           
# ........  ........  ...............  ....................  .................................................
#
     0.11%     0.00%  kworker/u97:3+f  [kernel.kallsyms]     [k] __common_interrupt
     0.11%     0.00%  kworker/u97:3+f  [kernel.kallsyms]     [k] asm_common_interrupt
     0.11%     0.00%  kworker/u97:3+f  [kernel.kallsyms]     [k] common_interrupt
     0.11%     0.00%  kworker/u97:3+f  [kernel.kallsyms]     [k] handle_edge_irq
     0.11%     0.00%  postgres         [kernel.kallsyms]     [k] __sysvec_apic_timer_interrupt
     0.11%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] migrate_misplaced_page
     0.11%     0.00%  postgres         [kernel.kallsyms]     [k] hrtimer_interrupt
     0.11%     0.00%  postgres         [kernel.kallsyms]     [k] pollwake
     0.11%     0.11%  kcompactd1       [kernel.kallsyms]     [k] copy_page
     0.11%     0.00%  postgres         [kernel.kallsyms]     [k] blk_update_request
     0.11%     0.00%  postgres         [kernel.kallsyms]     [k] wait_on_page_bit_common
     0.11%     0.03%  postgres         [kernel.kallsyms]     [k] __mod_memcg_state.part.0
     0.10%     0.00%  kworker/u97:3+f  [kernel.kallsyms]     [k] __handle_irq_event_percpu
     0.10%     0.00%  kworker/u97:3+f  [kernel.kallsyms]     [k] handle_irq_event
     0.10%     0.00%  kworker/u97:3+f  [kernel.kallsyms]     [k] nvme_complete_rq
     0.10%     0.00%  kworker/u97:3+f  [kernel.kallsyms]     [k] nvme_irq
     0.10%     0.00%  kworker/u97:3+f  [kernel.kallsyms]     [k] nvme_pci_complete_rq
     0.10%     0.00%  kworker/u97:3+f  [kernel.kallsyms]     [k] nvme_process_cq
     0.10%     0.04%  postgres         [kernel.kallsyms]     [k] workingset_activation
     0.10%     0.02%  tclsh8.6         [kernel.kallsyms]     [k] migrate_pages
     0.10%     0.06%  swapper          [kernel.kallsyms]     [k] update_blocked_averages
     0.10%     0.04%  postgres         [kernel.kallsyms]     [k] enqueue_entity
     0.10%     0.00%  postgres         [kernel.kallsyms]     [k] __x64_sys_recvfrom
     0.10%     0.00%  postgres         [kernel.kallsyms]     [k] __sys_recvfrom
     0.10%     0.01%  postgres         [kernel.kallsyms]     [k] __mod_memcg_lruvec_state
     0.10%     0.00%  postgres         [kernel.kallsyms]     [k] bio_endio
     0.10%     0.00%  kworker/u97:3+f  [kernel.kallsyms]     [k] blk_mq_end_request
     0.10%     0.09%  postgres         [kernel.kallsyms]     [k] __get_user_nocheck_1
     0.10%     0.01%  swapper          [kernel.kallsyms]     [k] ext4_end_bio
     0.10%     0.00%  postgres         [kernel.kallsyms]     [k] sock_recvmsg
     0.09%     0.01%  postgres         [kernel.kallsyms]     [k] psi_task_change
     0.09%     0.00%  kcompactd1       [kernel.kallsyms]     [k] migrate_page
     0.09%     0.01%  postgres         [kernel.kallsyms]     [k] mod_lruvec_page_state.constprop.0
     0.09%     0.00%  postgres         [kernel.kallsyms]     [k] io_schedule
     0.09%     0.00%  kcompactd1       [kernel.kallsyms]     [k] migrate_page_move_mapping
     0.09%     0.05%  swapper          [kernel.kallsyms]     [k] ext4_finish_bio
     0.09%     0.00%  postgres         [kernel.kallsyms]     [k] blk_mq_flush_plug_list
     0.09%     0.00%  kworker/u97:3+f  [kernel.kallsyms]     [k] bio_endio
     0.09%     0.00%  kworker/u97:3+f  [kernel.kallsyms]     [k] blk_update_request
     0.09%     0.00%  kworker/u97:3+f  [kernel.kallsyms]     [k] ext4_end_bio
     0.09%     0.04%  postgres         [kernel.kallsyms]     [k] __es_insert_extent
     0.09%     0.00%  postgres         [kernel.kallsyms]     [k] blk_flush_plug_list
     0.09%     0.04%  postgres         [kernel.kallsyms]     [k] __test_set_page_writeback
     0.09%     0.00%  postgres         [kernel.kallsyms]     [k] __hrtimer_run_queues
     0.09%     0.00%  postgres         [kernel.kallsyms]     [k] blk_mq_try_issue_list_directly
     0.09%     0.00%  postgres         [kernel.kallsyms]     [k] blk_mq_sched_insert_requests
     0.08%     0.00%  postgres         [kernel.kallsyms]     [k] find_busiest_group
     0.08%     0.02%  postgres         [kernel.kallsyms]     [k] futex_wait_setup
     0.08%     0.00%  postgres         [kernel.kallsyms]     [k] irqentry_exit
     0.08%     0.00%  postgres         [kernel.kallsyms]     [k] irqentry_exit_to_user_mode
     0.08%     0.08%  swapper          [kernel.kallsyms]     [k] psi_group_change
     0.08%     0.00%  postgres         [kernel.kallsyms]     [k] task_numa_work
     0.08%     0.00%  postgres         [kernel.kallsyms]     [k] schedule_hrtimeout_range_clock
     0.08%     0.02%  postgres         [kernel.kallsyms]     [k] nvme_queue_rq
     0.08%     0.00%  postgres         [kernel.kallsyms]     [k] __blk_mq_try_issue_directly
     0.08%     0.02%  postgres         [kernel.kallsyms]     [k] __alloc_file
     0.08%     0.00%  postgres         [kernel.kallsyms]     [k] alloc_empty_file
     0.08%     0.08%  postgres         [kernel.kallsyms]     [k] _find_next_bit
     0.08%     0.00%  postgres         [kernel.kallsyms]     [k] schedule_hrtimeout_range
     0.08%     0.05%  postgres         [kernel.kallsyms]     [k] find_get_pages_range_tag
     0.08%     0.00%  postgres         [kernel.kallsyms]     [k] pagevec_lookup_range_tag
     0.08%     0.00%  postgres         [kernel.kallsyms]     [k] tick_sched_timer
     0.08%     0.04%  postgres         [kernel.kallsyms]     [k] flush_tlb_mm_range
     0.08%     0.00%  postgres         [kernel.kallsyms]     [k] unix_stream_recvmsg
     0.08%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] __sys_recvfrom
     0.08%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] __x64_sys_recvfrom
     0.08%     0.00%  swapper          [kernel.kallsyms]     [k] __sysvec_apic_timer_interrupt
     0.08%     0.00%  swapper          [kernel.kallsyms]     [k] cpuidle_select
     0.08%     0.00%  postgres         [kernel.kallsyms]     [k] tick_sched_handle
     0.08%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] pick_next_task_fair
     0.08%     0.01%  postgres         [kernel.kallsyms]     [k] update_process_times
     0.08%     0.08%  kcompactd1       [kernel.kallsyms]     [k] xas_load
     0.08%     0.00%  swapper          [kernel.kallsyms]     [k] hrtimer_interrupt
     0.08%     0.00%  postgres         [kernel.kallsyms]     [k] change_prot_numa
     0.08%     0.06%  postgres         [kernel.kallsyms]     [k] update_sd_lb_stats.constprop.0
     0.08%     0.05%  swapper          [kernel.kallsyms]     [k] menu_select
     0.07%     0.00%  postgres         [kernel.kallsyms]     [k] __mark_inode_dirty
     0.07%     0.00%  postgres         [kernel.kallsyms]     [k] ext4_dirty_inode
     0.07%     0.02%  kcompactd1       [kernel.kallsyms]     [k] isolate_migratepages_block
     0.07%     0.07%  postgres         [kernel.kallsyms]     [k] update_cfs_rq_h_load
     0.07%     0.03%  kworker/u97:3+f  [kernel.kallsyms]     [k] find_get_pages_range_tag
     0.07%     0.00%  kworker/u97:3+f  [kernel.kallsyms]     [k] pagevec_lookup_range_tag
     0.07%     0.00%  postgres         [kernel.kallsyms]     [k] lru_cache_add
     0.07%     0.06%  postgres         [kernel.kallsyms]     [k] change_protection
     0.07%     0.00%  kworker/u97:3+f  [kernel.kallsyms]     [k] ext4_finish_bio
     0.07%     0.00%  postgres         [kernel.kallsyms]     [k] inet_sendmsg
     0.07%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] newidle_balance
     0.07%     0.01%  kworker/u97:3+f  [kernel.kallsyms]     [k] end_page_writeback
     0.07%     0.02%  postgres         [kernel.kallsyms]     [k] unix_stream_read_generic
     0.07%     0.06%  postgres         [kernel.kallsyms]     [k] ext4_es_lookup_extent
     0.07%     0.00%  kcompactd0       [kernel.kallsyms]     [k] remove_migration_pte
     0.07%     0.00%  postgres         [kernel.kallsyms]     [k] udp_sendmsg
     0.07%     0.03%  postgres         [kernel.kallsyms]     [k] __pagevec_lru_add
     0.07%     0.01%  kcompactd1       [kernel.kallsyms]     [k] putback_lru_page
     0.07%     0.05%  kcompactd1       [kernel.kallsyms]     [k] cgroup_rstat_updated
     0.07%     0.01%  kcompactd1       [kernel.kallsyms]     [k] __mod_memcg_state.part.0
     0.07%     0.00%  kcompactd1       [kernel.kallsyms]     [k] __mod_lruvec_state
     0.07%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] exit_to_user_mode_prepare
     0.07%     0.05%  postgres         [kernel.kallsyms]     [k] balance_dirty_pages_ratelimited
     0.06%     0.00%  postgres         [kernel.kallsyms]     [k] __set_page_dirty
     0.06%     0.00%  postgres         [kernel.kallsyms]     [k] xas_find
     0.06%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] sock_recvmsg
     0.06%     0.01%  kworker/u97:3+f  [kernel.kallsyms]     [k] blk_mq_flush_plug_list
     0.06%     0.00%  kworker/u97:3+f  [kernel.kallsyms]     [k] blk_flush_plug_list
     0.06%     0.00%  postgres         [kernel.kallsyms]     [k] scheduler_tick
     0.06%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] unix_stream_recvmsg
     0.06%     0.01%  swapper          [kernel.kallsyms]     [k] enqueue_task_fair
     0.06%     0.06%  postgres         [kernel.kallsyms]     [k] workingset_age_nonresident
     0.06%     0.00%  postgres         [kernel.kallsyms]     [k] __page_cache_alloc
     0.06%     0.01%  postgres         [kernel.kallsyms]     [k] create_empty_buffers
     0.06%     0.00%  kworker/u97:3+f  [kernel.kallsyms]     [k] test_clear_page_writeback
     0.06%     0.05%  postgres         [kernel.kallsyms]     [k] try_grab_compound_head
     0.06%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] enqueue_task
     0.06%     0.01%  kworker/u97:3+f  [kernel.kallsyms]     [k] __blk_mq_try_issue_directly
     0.06%     0.00%  kworker/u97:3+f  [kernel.kallsyms]     [k] blk_mq_sched_insert_requests
     0.06%     0.00%  kworker/u97:3+f  [kernel.kallsyms]     [k] blk_mq_try_issue_list_directly
     0.06%     0.01%  postgres         [kernel.kallsyms]     [k] unlock_page
     0.06%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] ttwu_do_activate
     0.06%     0.00%  swapper          [kernel.kallsyms]     [k] __hrtimer_run_queues
     0.06%     0.00%  postgres         [kernel.kallsyms]     [k] __mem_cgroup_charge
     0.06%     0.01%  tclsh8.6         [kernel.kallsyms]     [k] unix_stream_read_generic
     0.06%     0.00%  postgres         [kernel.kallsyms]     [k] blk_finish_plug
     0.06%     0.00%  postgres         [kernel.kallsyms]     [k] __mem_cgroup_uncharge_list
     0.05%     0.02%  swapper          [kernel.kallsyms]     [k] pick_next_task_fair
     0.05%     0.01%  postgres         [kernel.kallsyms]     [k] clear_page_dirty_for_io
     0.05%     0.00%  postgres         [kernel.kallsyms]     [k] rmap_walk
     0.05%     0.02%  postgres         [kernel.kallsyms]     [k] __fput
     0.05%     0.00%  postgres         [kernel.kallsyms]     [k] ____fput
     0.05%     0.01%  kcompactd1       [kernel.kallsyms]     [k] lru_cache_add
     0.05%     0.00%  kcompactd1       [kernel.kallsyms]     [k] __mod_memcg_lruvec_state
     0.05%     0.00%  postgres         [kernel.kallsyms]     [k] __ext4_mark_inode_dirty
     0.05%     0.02%  postgres         [kernel.kallsyms]     [k] task_tick_fair
     0.05%     0.00%  postgres         [kernel.kallsyms]     [k] mempool_alloc
     0.05%     0.00%  postgres         [kernel.kallsyms]     [k] tlb_finish_mmu
     0.05%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] syscall_exit_to_user_mode
     0.05%     0.00%  postgres         [kernel.kallsyms]     [k] alloc_buffer_head
     0.05%     0.00%  postgres         [kernel.kallsyms]     [k] alloc_page_buffers
     0.05%     0.00%  swapper          [kernel.kallsyms]     [k] psi_task_switch
     0.05%     0.05%  postgres         [kernel.kallsyms]     [k] available_idle_cpu
     0.05%     0.00%  postgres         [kernel.kallsyms]     [k] switch_fpu_return
     0.05%     0.02%  swapper          [kernel.kallsyms]     [k] enqueue_entity
     0.05%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] rmap_walk
     0.05%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] rmap_walk_anon
     0.05%     0.01%  tclsh8.6         [kernel.kallsyms]     [k] load_balance
     0.05%     0.01%  swapper          [kernel.kallsyms]     [k] psi_task_change
     0.05%     0.00%  postgres         [kernel.kallsyms]     [k] __getblk_gfp
     0.05%     0.00%  swapper          [kernel.kallsyms]     [k] tick_sched_timer
     0.05%     0.04%  postgres         [kernel.kallsyms]     [k] xas_start
     0.05%     0.00%  kworker/u97:3+f  [kernel.kallsyms]     [k] mempool_alloc
     0.05%     0.04%  postgres         [kernel.kallsyms]     [k] __restore_fpregs_from_fpstate
     0.05%     0.05%  postgres         [kernel.kallsyms]     [k] __es_tree_search.isra.0
     0.05%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] __alloc_skb
     0.05%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] alloc_skb_with_frags
     0.05%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] sock_alloc_send_pskb
     0.05%     0.00%  postgres         [kernel.kallsyms]     [k] ext4_end_bio
     0.05%     0.01%  kworker/u97:3+f  [kernel.kallsyms]     [k] mempool_alloc_slab
     0.05%     0.00%  kworker/u97:3+f  [kernel.kallsyms]     [k] bio_alloc_bioset
     0.05%     0.00%  postgres         [kernel.kallsyms]     [k] bio_alloc_bioset
     0.05%     0.01%  postgres         [kernel.kallsyms]     [k] ext4_finish_bio
     0.04%     0.01%  tclsh8.6         [kernel.kallsyms]     [k] __fget_light
     0.04%     0.04%  kcompactd1       [kernel.kallsyms]     [k] smp_call_function_many_cond
     0.04%     0.00%  kcompactd1       [kernel.kallsyms]     [k] flush_tlb_mm_range
     0.04%     0.00%  kcompactd1       [kernel.kallsyms]     [k] native_flush_tlb_multi
     0.04%     0.00%  kcompactd1       [kernel.kallsyms]     [k] on_each_cpu_cond_mask
     0.04%     0.00%  kcompactd1       [kernel.kallsyms]     [k] ptep_clear_flush
     0.04%     0.02%  postgres         [kernel.kallsyms]     [k] __find_get_block
     0.04%     0.00%  postgres         [kernel.kallsyms]     [k] __read_end_io
     0.04%     0.00%  postgres         [kernel.kallsyms]     [k] mpage_end_io
     0.04%     0.02%  swapper          [kernel.kallsyms]     [k] update_load_avg
     0.04%     0.02%  postgres         [kernel.kallsyms]     [k] ttwu_queue_wakelist
     0.04%     0.00%  postgres         [kernel.kallsyms]     [k] sock_alloc_send_pskb
     0.04%     0.00%  swapper          [kernel.kallsyms]     [k] update_process_times
     0.04%     0.00%  swapper          [kernel.kallsyms]     [k] __read_end_io
     0.04%     0.00%  swapper          [kernel.kallsyms]     [k] mpage_end_io
     0.04%     0.01%  swapper          [kernel.kallsyms]     [k] try_to_wake_up
     0.04%     0.00%  kworker/u97:3+f  [kernel.kallsyms]     [k] nvme_queue_rq
     0.04%     0.01%  postgres         [kernel.kallsyms]     [k] wake_up_page_bit
     0.04%     0.02%  tclsh8.6         [kernel.kallsyms]     [k] _raw_spin_lock
     0.04%     0.00%  postgres         [kernel.kallsyms]     [k] __do_fault
     0.04%     0.00%  postgres         [kernel.kallsyms]     [k] ___slab_alloc
     0.04%     0.00%  postgres         [kernel.kallsyms]     [k] vfs_open
     0.04%     0.04%  kcompactd1       [kernel.kallsyms]     [k] native_queued_spin_lock_slowpath
     0.04%     0.00%  kcompactd1       [kernel.kallsyms]     [k] _raw_spin_lock_irqsave
     0.04%     0.00%  postgres         [kernel.kallsyms]     [k] rmap_walk_anon
     0.04%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] dequeue_task
     0.04%     0.03%  postgres         [kernel.kallsyms]     [k] kmem_cache_free
     0.04%     0.00%  postgres         [kernel.kallsyms]     [k] try_to_migrate
     0.04%     0.03%  kcompactd1       [kernel.kallsyms]     [k] isolate_freepages_block
     0.04%     0.01%  postgres         [kernel.kallsyms]     [k] do_dentry_open
     0.04%     0.03%  postgres         [kernel.kallsyms]     [k] __update_load_avg_cfs_rq
     0.04%     0.00%  postgres         [kernel.kallsyms]     [k] __do_sys_newfstatat
     0.04%     0.00%  postgres         [kernel.kallsyms]     [k] __x64_sys_newfstatat
     0.04%     0.00%  postgres         [kernel.kallsyms]     [k] vfs_statx
     0.04%     0.01%  kcompactd1       [kernel.kallsyms]     [k] __pagevec_lru_add
     0.04%     0.00%  swapper          [kernel.kallsyms]     [k] tick_sched_handle
     0.04%     0.00%  swapper          [kernel.kallsyms]     [k] __wake_up_common
     0.04%     0.00%  swapper          [kernel.kallsyms]     [k] __wake_up_locked_key_bookmark
     0.04%     0.00%  swapper          [kernel.kallsyms]     [k] unlock_page
     0.04%     0.00%  swapper          [kernel.kallsyms]     [k] wake_up_page_bit
     0.04%     0.00%  postgres         [kernel.kallsyms]     [k] alloc_skb_with_frags
     0.04%     0.01%  kcompactd1       [kernel.kallsyms]     [k] free_unref_page_commit.constprop.0
     0.04%     0.00%  kcompactd1       [kernel.kallsyms]     [k] __put_page
     0.04%     0.00%  kcompactd1       [kernel.kallsyms]     [k] free_unref_page
     0.04%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] consume_skb
     0.04%     0.00%  postgres         [kernel.kallsyms]     [k] file_update_time
     0.04%     0.04%  postgres         [kernel.kallsyms]     [k] uncharge_page
     0.04%     0.00%  postgres         [kernel.kallsyms]     [k] __read_extent_tree_block
     0.04%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] psi_task_change
     0.04%     0.04%  kcompactd1       [kernel.kallsyms]     [k] vma_interval_tree_subtree_search
     0.04%     0.01%  kcompactd1       [kernel.kallsyms]     [k] migrate_page_states
     0.04%     0.00%  kcompactd1       [kernel.kallsyms]     [k] migrate_page_copy
     0.04%     0.04%  tclsh8.6         [kernel.kallsyms]     [k] psi_group_change
     0.04%     0.00%  swapper          [kernel.kallsyms]     [k] wake_page_function
     0.04%     0.00%  swapper          [kernel.kallsyms]     [k] wake_up_state
     0.04%     0.04%  tclsh8.6         [kernel.kallsyms]     [k] __fget_files
     0.04%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] __fdget
     0.04%     0.00%  kworker/u97:3+f  [kernel.kallsyms]     [k] clear_page_dirty_for_io
     0.04%     0.04%  postgres         [kernel.kallsyms]     [k] xas_find_marked
     0.04%     0.04%  postgres         [kernel.kallsyms]     [k] __mod_node_page_state
     0.04%     0.01%  swapper          [kernel.kallsyms]     [k] end_page_writeback
     0.04%     0.00%  postgres         [kernel.kallsyms]     [k] new_slab
     0.04%     0.00%  swapper          [kernel.kallsyms]     [k] finish_task_switch.isra.0
     0.04%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] dequeue_task_fair
     0.04%     0.02%  postgres         [kernel.kallsyms]     [k] __cond_resched
     0.04%     0.00%  postgres         [kernel.kallsyms]     [k] ip_make_skb
     0.04%     0.00%  postgres         [kernel.kallsyms]     [k] getname_flags.part.0
     0.04%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] kmem_cache_alloc_node
     0.04%     0.02%  postgres         [kernel.kallsyms]     [k] percpu_counter_add_batch
     0.04%     0.00%  postgres         [kernel.kallsyms]     [k] __alloc_skb
     0.04%     0.00%  postgres         [kernel.kallsyms]     [k] shmem_fault
     0.04%     0.04%  postgres         [kernel.kallsyms]     [k] __switch_to_asm
     0.04%     0.03%  swapper          [kernel.kallsyms]     [k] __update_load_avg_cfs_rq
     0.04%     0.04%  postgres         [kernel.kallsyms]     [k] sync_regs
     0.04%     0.00%  postgres         [kernel.kallsyms]     [k] charge_memcg
     0.04%     0.02%  swapper          [kernel.kallsyms]     [k] _raw_spin_lock
     0.04%     0.00%  postgres         [kernel.kallsyms]     [k] shmem_getpage_gfp
     0.04%     0.03%  kworker/u97:3+f  [kernel.kallsyms]     [k] memset_erms
     0.03%     0.02%  postgres         [kernel.kallsyms]     [k] __set_page_dirty_no_writeback
     0.03%     0.03%  postgres         [kernel.kallsyms]     [k] memset_erms
     0.03%     0.03%  swapper          [kernel.kallsyms]     [k] __switch_to_asm
     0.03%     0.01%  tclsh8.6         [kernel.kallsyms]     [k] update_load_avg
     0.03%     0.00%  swapper          [kernel.kallsyms]     [k] rebalance_domains
     0.03%     0.00%  postgres         [kernel.kallsyms]     [k] find_vma
     0.03%     0.00%  postgres         [kernel.kallsyms]     [k] end_page_writeback
     0.03%     0.00%  postgres         [kernel.kallsyms]     [k] __wake_up_locked_key_bookmark
     0.03%     0.00%  postgres         [kernel.kallsyms]     [k] mempool_alloc_slab
     0.03%     0.00%  swapper          [kernel.kallsyms]     [k] asm_sysvec_call_function_single
     0.03%     0.01%  postgres         [kernel.kallsyms]     [k] consume_skb
     0.03%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] flush_tlb_mm_range
     0.03%     0.00%  kworker/u97:3+f  [kernel.kallsyms]     [k] __test_set_page_writeback
     0.03%     0.01%  postgres         [kernel.kallsyms]     [k] task_numa_fault
     0.03%     0.03%  postgres         [kernel.kallsyms]     [k] __switch_to
     0.03%     0.00%  postgres         [kernel.kallsyms]     [k] test_clear_page_writeback
     0.03%     0.00%  postgres         [kernel.kallsyms]     [k] wake_page_function
     0.03%     0.00%  postgres         [kernel.kallsyms]     [k] wake_up_state
     0.03%     0.00%  postgres         [kernel.kallsyms]     [k] migrate_page
     0.03%     0.00%  postgres         [kernel.kallsyms]     [k] move_to_new_page
     0.03%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] dequeue_entity
     0.03%     0.00%  swapper          [kernel.kallsyms]     [k] sysvec_call_function_single
     0.03%     0.03%  postgres         [kernel.kallsyms]     [k] ext4_es_can_be_merged.isra.0
     0.03%     0.00%  kworker/u97:3+f  [kernel.kallsyms]     [k] bvec_alloc
     0.03%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] generic_smp_call_function_single_interrupt
     0.03%     0.03%  tclsh8.6         [unknown]             [.] 0000000000000000
     0.03%     0.00%  postgres         [kernel.kallsyms]     [k] bvec_alloc
     0.03%     0.03%  postgres         [kernel.kallsyms]     [k] page_counter_cancel
     0.03%     0.01%  postgres         [kernel.kallsyms]     [k] sugov_update_single_freq
     0.03%     0.02%  postgres         [kernel.kallsyms]     [k] copy_page_to_iter
     0.03%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] __x64_sys_futex
     0.03%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] do_futex
     0.03%     0.03%  postgres         [kernel.kallsyms]     [k] mark_wake_futex
     0.03%     0.00%  postgres         [kernel.kallsyms]     [k] page_counter_uncharge
     0.03%     0.02%  postgres         [kernel.kallsyms]     [k] save_fpregs_to_fpstate
     0.03%     0.02%  postgres         [kernel.kallsyms]     [k] numa_migrate_prep
     0.03%     0.00%  postgres         [kernel.kallsyms]     [k] file_modified
     0.03%     0.00%  postgres         [kernel.kallsyms]     [k] try_to_migrate_one
     0.03%     0.02%  tclsh8.6         [kernel.kallsyms]     [k] _raw_spin_lock_irqsave
     0.03%     0.01%  kcompactd0       [kernel.kallsyms]     [k] native_flush_tlb_multi
     0.03%     0.00%  kcompactd0       [kernel.kallsyms]     [k] flush_tlb_mm_range
     0.03%     0.00%  kcompactd0       [kernel.kallsyms]     [k] ptep_clear_flush
     0.03%     0.00%  kworker/u96:1-e  [kernel.kallsyms]     [k] ext4_end_io_rsv_work
     0.03%     0.00%  kworker/u96:1-e  [kernel.kallsyms]     [k] ext4_release_io_end
     0.03%     0.00%  kworker/u96:1-e  [kernel.kallsyms]     [k] kthread
     0.03%     0.00%  kworker/u96:1-e  [kernel.kallsyms]     [k] process_one_work
     0.03%     0.00%  kworker/u96:1-e  [kernel.kallsyms]     [k] ret_from_fork
     0.03%     0.00%  kworker/u96:1-e  [kernel.kallsyms]     [k] worker_thread
     0.03%     0.00%  postgres         [kernel.kallsyms]     [k] __irqentry_text_start
     0.03%     0.03%  tclsh8.6         [kernel.kallsyms]     [k] __restore_fpregs_from_fpstate
     0.03%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] switch_fpu_return
     0.03%     0.00%  swapper          [kernel.kallsyms]     [k] scheduler_tick
     0.03%     0.01%  postgres         [kernel.kallsyms]     [k] __entry_text_start
     0.03%     0.03%  kcompactd0       [kernel.kallsyms]     [k] _raw_spin_lock
     0.03%     0.03%  kcompactd1       [kernel.kallsyms]     [k] __free_one_page
     0.03%     0.00%  kcompactd1       [kernel.kallsyms]     [k] free_pcppages_bulk
     0.03%     0.00%  postgres         [kernel.kallsyms]     [k] task_numa_migrate.isra.0
     0.03%     0.01%  kworker/u97:3+f  [kernel.kallsyms]     [k] __mod_lruvec_page_state
     0.03%     0.00%  postgres         [kernel.kallsyms]     [k] __mod_zone_page_state
     0.03%     0.03%  postgres         [kernel.kallsyms]     [k] get_obj_cgroup_from_current
     0.03%     0.01%  kcompactd1       [kernel.kallsyms]     [k] __cond_resched
     0.03%     0.02%  postgres         [kernel.kallsyms]     [k] apparmor_file_alloc_security
     0.03%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] try_to_migrate_one
     0.03%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] try_to_migrate
     0.03%     0.02%  kworker/u97:3+f  [kernel.kallsyms]     [k] __blk_rq_map_sg
     0.03%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] obj_cgroup_charge
     0.03%     0.03%  postgres         [kernel.kallsyms]     [k] copy_page
     0.03%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] native_flush_tlb_multi
     0.03%     0.00%  postgres         [kernel.kallsyms]     [k] ip_send_skb
     0.03%     0.00%  postgres         [kernel.kallsyms]     [k] udp_send_skb
     0.03%     0.01%  kworker/u97:3+f  [kernel.kallsyms]     [k] percpu_counter_add_batch
     0.03%     0.01%  postgres         [kernel.kallsyms]     [k] __lock_text_start
     0.03%     0.00%  postgres         [kernel.kallsyms]     [k] user_path_at_empty
     0.03%     0.00%  swapper          [kernel.kallsyms]     [k] __sysvec_call_function_single
     0.03%     0.00%  swapper          [kernel.kallsyms]     [k] generic_smp_call_function_single_interrupt
     0.03%     0.01%  kworker/u97:3+f  [kernel.kallsyms]     [k] __lock_text_start
     0.03%     0.03%  postgres         [kernel.kallsyms]     [k] vmacache_find
     0.02%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] remove_migration_pte
     0.02%     0.00%  kworker/u96:1-e  [kernel.kallsyms]     [k] ext4_finish_bio
     0.02%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] on_each_cpu_cond_mask
     0.02%     0.01%  postgres         [kernel.kallsyms]     [k] do_set_pte
     0.02%     0.00%  postgres         [kernel.kallsyms]     [k] getname
     0.02%     0.01%  postgres         [kernel.kallsyms]     [k] touch_atime
     0.02%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] ptep_clear_flush
     0.02%     0.01%  tclsh8.6         [kernel.kallsyms]     [k] flush_smp_call_function_queue
     0.02%     0.01%  postgres         [kernel.kallsyms]     [k] __blk_mq_alloc_request
     0.02%     0.02%  tclsh8.6         [kernel.kallsyms]     [k] page_vma_mapped_walk
     0.02%     0.02%  kcompactd1       [kernel.kallsyms]     [k] PageHuge
     0.02%     0.00%  swapper          [kernel.kallsyms]     [k] load_balance
     0.02%     0.01%  postgres         [kernel.kallsyms]     [k] mem_cgroup_charge_statistics.constprop.0
     0.02%     0.02%  postgres         [kernel.kallsyms]     [k] xa_get_order
     0.02%     0.00%  postgres         [kernel.kallsyms]     [k] blkdev_issue_flush
     0.02%     0.00%  postgres         [kernel.kallsyms]     [k] submit_bio_wait
     0.02%     0.02%  kworker/u97:3+f  [kernel.kallsyms]     [k] xas_load
     0.02%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] enqueue_task_fair
