# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 871  of event 'cycles'
# Event count (approx.): 903470094559
#
# Children      Self  Command   Shared Object      Symbol                                        
# ........  ........  ........  .................  ..............................................
#
     0.13%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] asm_exc_page_fault
     0.13%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] do_user_addr_fault
     0.13%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] exc_page_fault
     0.11%     0.03%  postgres  [kernel.kallsyms]  [k] pagevec_lru_move_fn
     0.11%     0.00%  postgres  [kernel.kallsyms]  [k] lru_add_drain
     0.11%     0.00%  postgres  [kernel.kallsyms]  [k] lru_add_drain_cpu
     0.08%     0.08%  postgres  [kernel.kallsyms]  [k] __activate_page
     0.08%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] do_syscall_64
     0.08%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.08%     0.00%  postgres  [kernel.kallsyms]  [k] set_page_dirty
     0.08%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] __handle_mm_fault
     0.07%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] migrate_misplaced_page
     0.07%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] migrate_pages
     0.06%     0.06%  postgres  [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     0.06%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] __x64_sys_futex
     0.06%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] do_futex
     0.06%     0.06%  postgres  [kernel.kallsyms]  [k] page_mapping
     0.06%     0.03%  postgres  [kernel.kallsyms]  [k] unlock_page_memcg
     0.05%     0.02%  tclsh8.6  [kernel.kallsyms]  [k] native_flush_tlb_multi
     0.05%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] flush_tlb_mm_range
     0.05%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] ptep_clear_flush
     0.05%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] rmap_walk
     0.05%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] rmap_walk_anon
     0.05%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] try_to_migrate
     0.05%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] try_to_migrate_one
     0.03%     0.03%  tclsh8.6  [kernel.kallsyms]  [k] _raw_spin_lock
     0.03%     0.00%  perf      [kernel.kallsyms]  [k] __x64_sys_ioctl
     0.03%     0.00%  perf      [kernel.kallsyms]  [k] do_syscall_64
     0.03%     0.00%  perf      [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.03%     0.00%  perf      [kernel.kallsyms]  [k] perf_ioctl
     0.03%     0.03%  postgres  [kernel.kallsyms]  [k] flush_tlb_mm_range
     0.03%     0.03%  postgres  [kernel.kallsyms]  [k] PageHuge
     0.03%     0.03%  postgres  [kernel.kallsyms]  [k] rcu_read_unlock_strict
     0.03%     0.00%  perf      [kernel.kallsyms]  [k] __perf_event_enable
     0.03%     0.00%  perf      [kernel.kallsyms]  [k] _perf_event_enable
     0.03%     0.00%  perf      [kernel.kallsyms]  [k] _perf_ioctl
     0.03%     0.00%  perf      [kernel.kallsyms]  [k] event_function
     0.03%     0.00%  perf      [kernel.kallsyms]  [k] event_function_call
     0.03%     0.00%  perf      [kernel.kallsyms]  [k] generic_exec_single
     0.03%     0.00%  perf      [kernel.kallsyms]  [k] perf_event_for_each_child
     0.03%     0.00%  perf      [kernel.kallsyms]  [k] remote_function
     0.03%     0.00%  perf      [kernel.kallsyms]  [k] smp_call_function_single
     0.03%     0.03%  postgres  [kernel.kallsyms]  [k] acpi_os_read_port
     0.03%     0.00%  postgres  [kernel.kallsyms]  [k] __common_interrupt
     0.03%     0.00%  postgres  [kernel.kallsyms]  [k] __handle_irq_event_percpu
     0.03%     0.00%  postgres  [kernel.kallsyms]  [k] acpi_ev_detect_gpe
     0.03%     0.00%  postgres  [kernel.kallsyms]  [k] acpi_ev_gpe_detect
     0.03%     0.00%  postgres  [kernel.kallsyms]  [k] acpi_ev_sci_xrupt_handler
     0.03%     0.00%  postgres  [kernel.kallsyms]  [k] acpi_hw_gpe_read
     0.03%     0.00%  postgres  [kernel.kallsyms]  [k] acpi_irq
     0.03%     0.00%  postgres  [kernel.kallsyms]  [k] asm_common_interrupt
     0.03%     0.00%  postgres  [kernel.kallsyms]  [k] common_interrupt
     0.03%     0.00%  postgres  [kernel.kallsyms]  [k] handle_fasteoi_irq
     0.03%     0.00%  postgres  [kernel.kallsyms]  [k] handle_irq_event
     0.03%     0.02%  tclsh8.6  [kernel.kallsyms]  [k] smp_call_function_many_cond
     0.03%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] on_each_cpu_cond_mask
     0.03%     0.00%  perf      [kernel.kallsyms]  [k] ctx_resched
     0.03%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] futex_wait
     0.03%     0.00%  perf      [kernel.kallsyms]  [k] native_write_msr
     0.03%     0.00%  perf      [kernel.kallsyms]  [k] intel_pmu_enable_all
     0.03%     0.00%  perf      [kernel.kallsyms]  [k] x86_pmu_enable
     0.02%     0.02%  tclsh8.6  [kernel.kallsyms]  [k] psi_group_change
     0.02%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] __schedule
     0.02%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] futex_wait_queue_me
     0.02%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] psi_task_switch
     0.02%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] schedule
     0.02%     0.02%  postgres  [unknown]          [.] 0000000000000000
     0.02%     0.02%  swapper   [kernel.kallsyms]  [k] native_irq_return_iret
     0.02%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] unmap_page_range
     0.02%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] __x64_sys_exit_group
     0.02%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] do_exit
     0.02%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] do_group_exit
     0.02%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] exit_mmap
     0.02%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] mmput
     0.02%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] unmap_single_vma
     0.02%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] unmap_vmas
     0.02%     0.00%  postgres  [kernel.kallsyms]  [k] ext4_da_write_begin
     0.02%     0.00%  postgres  [kernel.kallsyms]  [k] grab_cache_page_write_begin
     0.02%     0.00%  postgres  [kernel.kallsyms]  [k] pagecache_get_page
     0.02%     0.02%  postgres  [kernel.kallsyms]  [k] __set_page_dirty_no_writeback
     0.02%     0.02%  tclsh8.6  [kernel.kallsyms]  [k] __free_one_page
     0.02%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] free_pages_and_swap_cache
     0.02%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] free_pcppages_bulk
     0.02%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] free_unref_page_commit.constprop.0
     0.02%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] free_unref_page_list
     0.02%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] release_pages
     0.02%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] tlb_flush_mmu
     0.01%     0.01%  tclsh8.6  [kernel.kallsyms]  [k] rmqueue_bulk
     0.01%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] __alloc_pages
     0.01%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] alloc_misplaced_dst_page
     0.01%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] get_page_from_freelist
     0.01%     0.00%  swapper   [kernel.kallsyms]  [k] __schedule
     0.01%     0.00%  swapper   [kernel.kallsyms]  [k] schedule_idle
     0.01%     0.01%  swapper   [kernel.kallsyms]  [k] poll_idle
     0.01%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] futex_wake
     0.01%     0.01%  swapper   [kernel.kallsyms]  [k] switch_mm_irqs_off
     0.01%     0.01%  postgres  [kernel.kallsyms]  [k] xas_load
     0.01%     0.01%  perf      [kernel.kallsyms]  [k] nmi_restore
     0.01%     0.01%  perf      [kernel.kallsyms]  [k] native_flush_tlb_one_user
     0.01%     0.00%  postgres  [kernel.kallsyms]  [k] __alloc_pages
     0.01%     0.00%  postgres  [kernel.kallsyms]  [k] alloc_pages
     0.01%     0.00%  postgres  [kernel.kallsyms]  [k] get_page_from_freelist
     0.01%     0.00%  postgres  [kernel.kallsyms]  [k] rmqueue_bulk
     0.01%     0.01%  tclsh8.6  [kernel.kallsyms]  [k] mark_wake_futex
     0.01%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] __sysvec_call_function
     0.01%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] asm_sysvec_call_function
     0.01%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] flush_smp_call_function_queue
     0.01%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] generic_smp_call_function_single_interrupt
     0.01%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] sysvec_call_function
     0.01%     0.00%  swapper   [kernel.kallsyms]  [k] asm_sysvec_apic_timer_interrupt
     0.01%     0.00%  swapper   [kernel.kallsyms]  [k] sysvec_apic_timer_interrupt
     0.01%     0.01%  tclsh8.6  [unknown]          [.] 0000000000000000
     0.01%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] __do_fault
     0.01%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] add_to_page_cache_lru
     0.01%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] cgroup_rstat_flush_irqsafe
     0.01%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] do_page_cache_ra
     0.01%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] filemap_fault
     0.01%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] mem_cgroup_flush_stats
     0.01%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] page_cache_ra_unbounded
     0.01%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] workingset_refault
     0.01%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] isolate_lru_page
     0.00%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] llist_reverse_order
     0.00%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] __x2apic_send_IPI_mask
     0.00%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] native_send_call_func_ipi
     0.00%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] x2apic_send_IPI_mask
     0.00%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] copy_page
     0.00%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] migrate_page
     0.00%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] move_to_new_page
     0.00%     0.00%  swapper   [kernel.kallsyms]  [k] __softirqentry_text_start
     0.00%     0.00%  swapper   [kernel.kallsyms]  [k] irq_exit_rcu
     0.00%     0.00%  swapper   [kernel.kallsyms]  [k] rcu_core
     0.00%     0.00%  swapper   [kernel.kallsyms]  [k] rcu_core_si
     0.00%     0.00%  swapper   [kernel.kallsyms]  [k] rcu_cblist_dequeue
     0.00%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     0.00%     0.00%  postgres  [kernel.kallsyms]  [k] __add_to_page_cache_locked
     0.00%     0.00%  swapper   [kernel.kallsyms]  [k] flush_smp_call_function_from_idle
     0.00%     0.00%  swapper   [kernel.kallsyms]  [k] flush_smp_call_function_queue
     0.00%     0.00%  perf      [kernel.kallsyms]  [k] memcpy_fromio
     0.00%     0.00%  postgres  [kernel.kallsyms]  [k] __x64_sys_read
     0.00%     0.00%  postgres  [kernel.kallsyms]  [k] ksys_read
     0.00%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] __entry_text_start
     0.00%     0.00%  tclsh8.6  libc.so.6          [.] 0x00000000000951b5
     0.00%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] __get_user_nocheck_4
     0.00%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] native_flush_tlb_local
     0.00%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] flush_tlb_func
     0.00%     0.00%  swapper   [kernel.kallsyms]  [k] _raw_spin_lock
     0.00%     0.00%  swapper   [kernel.kallsyms]  [k] update_cfs_group
     0.00%     0.00%  swapper   [kernel.kallsyms]  [k] enqueue_task
     0.00%     0.00%  swapper   [kernel.kallsyms]  [k] enqueue_task_fair
     0.00%     0.00%  swapper   [kernel.kallsyms]  [k] sched_ttwu_pending
     0.00%     0.00%  swapper   [kernel.kallsyms]  [k] ttwu_do_activate
     0.00%     0.00%  perf      [kernel.kallsyms]  [k] mutex_unlock
     0.00%     0.00%  perf      [kernel.kallsyms]  [k] exc_nmi
     0.00%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] native_irq_return_iret
     0.00%     0.00%  perf      [kernel.kallsyms]  [k] ghes_notify_nmi
     0.00%     0.00%  postgres  [kernel.kallsyms]  [k] __mod_memcg_state.part.0
     0.00%     0.00%  postgres  [kernel.kallsyms]  [k] __mod_lruvec_state
     0.00%     0.00%  postgres  [kernel.kallsyms]  [k] mod_lruvec_state.constprop.0
     0.00%     0.00%  perf      [kernel.kallsyms]  [k] acpi_os_read_memory
     0.00%     0.00%  postgres  [kernel.kallsyms]  [k] submit_bio_checks
     0.00%     0.00%  postgres  [kernel.kallsyms]  [k] __submit_bio
     0.00%     0.00%  postgres  [kernel.kallsyms]  [k] ext4_mpage_readpages
     0.00%     0.00%  postgres  [kernel.kallsyms]  [k] ext4_readahead
     0.00%     0.00%  postgres  [kernel.kallsyms]  [k] read_pages
     0.00%     0.00%  postgres  [kernel.kallsyms]  [k] submit_bio
     0.00%     0.00%  postgres  [kernel.kallsyms]  [k] submit_bio_noacct
     0.00%     0.00%  swapper   [kernel.kallsyms]  [k] rb_erase
     0.00%     0.00%  swapper   [kernel.kallsyms]  [k] pick_next_task_fair
     0.00%     0.00%  swapper   [kernel.kallsyms]  [k] hrtimer_interrupt
     0.00%     0.00%  perf      [kernel.kallsyms]  [k] fill_pte
     0.00%     0.00%  postgres  [kernel.kallsyms]  [k] __d_lookup_rcu
     0.00%     0.00%  postgres  [kernel.kallsyms]  [k] __x64_sys_openat
     0.00%     0.00%  postgres  [kernel.kallsyms]  [k] do_filp_open
     0.00%     0.00%  postgres  [kernel.kallsyms]  [k] do_sys_openat2
     0.00%     0.00%  postgres  [kernel.kallsyms]  [k] link_path_walk.part.0
     0.00%     0.00%  postgres  [kernel.kallsyms]  [k] lookup_fast
     0.00%     0.00%  postgres  [kernel.kallsyms]  [k] path_openat
     0.00%     0.00%  postgres  [kernel.kallsyms]  [k] walk_component
     0.00%     0.00%  swapper   [kernel.kallsyms]  [k] __sysvec_apic_timer_interrupt
     0.00%     0.00%  perf      [kernel.kallsyms]  [k] native_sched_clock
     0.00%     0.00%  perf      [kernel.kallsyms]  [k] __ghes_peek_estatus.isra.0
     0.00%     0.00%  perf      [kernel.kallsyms]  [k] rcu_read_unlock_strict
     0.00%     0.00%  swapper   [kernel.kallsyms]  [k] tick_sched_timer
     0.00%     0.00%  swapper   [kernel.kallsyms]  [k] __hrtimer_run_queues
     0.00%     0.00%  perf      [kernel.kallsyms]  [k] native_set_pte
     0.00%     0.00%  swapper   [kernel.kallsyms]  [k] run_rebalance_domains
     0.00%     0.00%  perf      [kernel.kallsyms]  [k] fill_pud
     0.00%     0.00%  swapper   [kernel.kallsyms]  [k] scheduler_tick
     0.00%     0.00%  swapper   [kernel.kallsyms]  [k] tick_sched_handle
     0.00%     0.00%  swapper   [kernel.kallsyms]  [k] update_process_times
     0.00%     0.00%  perf      [kernel.kallsyms]  [k] set_pte_vaddr_p4d
     0.00%     0.00%  perf      [kernel.kallsyms]  [k] native_set_fixmap
     0.00%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] native_write_msr
     0.00%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] __smp_call_single_queue
     0.00%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] native_send_call_func_single_ipi
     0.00%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] send_call_function_single_ipi
     0.00%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] try_to_wake_up
     0.00%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] ttwu_queue_wakelist
     0.00%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] wake_up_q
     0.00%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] x2apic_send_IPI
     0.00%     0.00%  swapper   [kernel.kallsyms]  [k] update_blocked_averages
     0.00%     0.00%  swapper   [kernel.kallsyms]  [k] __free_pages
     0.00%     0.00%  swapper   [kernel.kallsyms]  [k] __free_slab
     0.00%     0.00%  swapper   [kernel.kallsyms]  [k] __slab_free
     0.00%     0.00%  swapper   [kernel.kallsyms]  [k] discard_slab
     0.00%     0.00%  swapper   [kernel.kallsyms]  [k] file_free_rcu
     0.00%     0.00%  swapper   [kernel.kallsyms]  [k] free_pcppages_bulk
     0.00%     0.00%  swapper   [kernel.kallsyms]  [k] free_unref_page
     0.00%     0.00%  swapper   [kernel.kallsyms]  [k] free_unref_page_commit.constprop.0
     0.00%     0.00%  swapper   [kernel.kallsyms]  [k] kmem_cache_free
     0.00%     0.00%  swapper   [kernel.kallsyms]  [k] rebalance_domains
     0.00%     0.00%  swapper   [kernel.kallsyms]  [k] hrtimer_forward
     0.00%     0.00%  perf      [kernel.kallsyms]  [k] do_vfs_ioctl
     0.00%     0.00%  swapper   [kernel.kallsyms]  [k] load_balance
     0.00%     0.00%  tclsh8.6  [kernel.kallsyms]  [k] entry_SYSCALL_64_safe_stack
     0.00%     0.00%  swapper   [kernel.kallsyms]  [k] update_dl_rq_load_avg
     0.00%     0.00%  swapper   [kernel.kallsyms]  [k] __free_one_page
     0.00%     0.00%  swapper   [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     0.00%     0.00%  swapper   [kernel.kallsyms]  [k] perf_event_task_tick
     0.00%     0.00%  swapper   [kernel.kallsyms]  [k] arch_scale_freq_tick
     0.00%     0.00%  bash      [kernel.kallsyms]  [k] fput
     0.00%     0.00%  bash      [kernel.kallsyms]  [k] __x64_sys_exit_group
     0.00%     0.00%  bash      [kernel.kallsyms]  [k] do_exit
     0.00%     0.00%  bash      [kernel.kallsyms]  [k] do_group_exit
     0.00%     0.00%  bash      [kernel.kallsyms]  [k] do_syscall_64
     0.00%     0.00%  bash      [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.00%     0.00%  bash      [kernel.kallsyms]  [k] exit_mmap
     0.00%     0.00%  bash      [kernel.kallsyms]  [k] mmput
     0.00%     0.00%  swapper   [kernel.kallsyms]  [k] task_dead_fair
     0.00%     0.00%  perf      [unknown]          [.] 0000000000000000


#
# (Cannot load tips.txt file, please install perf!)
#
