# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles'
# Event count (approx.): 875677792518
#
# Children      Self  Command          Shared Object      Symbol                                        
# ........  ........  ...............  .................  ..............................................
#
    50.84%     0.00%  postgres         [kernel.kallsyms]  [k] do_syscall_64
    50.84%     0.00%  postgres         [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
    46.80%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_exit_group
    46.80%     0.00%  postgres         [kernel.kallsyms]  [k] do_exit
    46.80%     0.00%  postgres         [kernel.kallsyms]  [k] do_group_exit
    46.80%     0.00%  postgres         [kernel.kallsyms]  [k] exit_mmap
    46.80%     0.00%  postgres         [kernel.kallsyms]  [k] mmput
    45.81%     0.00%  postgres         [kernel.kallsyms]  [k] unmap_single_vma
    45.81%     0.00%  postgres         [kernel.kallsyms]  [k] unmap_vmas
    44.11%    35.40%  postgres         [kernel.kallsyms]  [k] unmap_page_range
    43.91%     0.00%  swapper          [kernel.kallsyms]  [k] cpu_startup_entry
    43.91%     0.00%  swapper          [kernel.kallsyms]  [k] secondary_startup_64_no_verify
    43.90%     0.00%  swapper          [kernel.kallsyms]  [k] do_idle
    43.90%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_enter
    43.90%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_enter_state
    43.87%    43.80%  swapper          [kernel.kallsyms]  [k] mwait_idle_with_hints.constprop.0
    43.79%     0.00%  swapper          [kernel.kallsyms]  [k] start_secondary
     4.36%     0.00%  postgres         [kernel.kallsyms]  [k] tlb_flush_mmu
     3.96%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_pread64
     3.96%     0.00%  postgres         [kernel.kallsyms]  [k] ext4_file_read_iter
     3.96%     0.00%  postgres         [kernel.kallsyms]  [k] filemap_read
     3.96%     0.00%  postgres         [kernel.kallsyms]  [k] generic_file_read_iter
     3.96%     0.00%  postgres         [kernel.kallsyms]  [k] new_sync_read
     3.96%     0.00%  postgres         [kernel.kallsyms]  [k] vfs_read
     3.28%     2.95%  postgres         [kernel.kallsyms]  [k] page_remove_rmap
     2.88%     0.00%  postgres         [kernel.kallsyms]  [k] add_to_page_cache_lru
     2.88%     0.00%  postgres         [kernel.kallsyms]  [k] filemap_get_pages
     2.88%     0.00%  postgres         [kernel.kallsyms]  [k] ondemand_readahead
     2.88%     0.00%  postgres         [kernel.kallsyms]  [k] page_cache_ra_unbounded
     2.88%     0.00%  postgres         [kernel.kallsyms]  [k] page_cache_sync_ra
     2.87%     0.00%  postgres         [kernel.kallsyms]  [k] cgroup_rstat_flush_locked
     2.87%     0.00%  postgres         [kernel.kallsyms]  [k] cgroup_rstat_flush_irqsafe
     2.87%     0.00%  postgres         [kernel.kallsyms]  [k] mem_cgroup_flush_stats
     2.87%     0.00%  postgres         [kernel.kallsyms]  [k] workingset_refault
     2.84%     2.84%  postgres         [kernel.kallsyms]  [k] mem_cgroup_css_rstat_flush
     2.67%     0.34%  postgres         [kernel.kallsyms]  [k] mark_page_accessed
     2.64%     0.03%  postgres         [kernel.kallsyms]  [k] free_pages_and_swap_cache
     2.49%     1.56%  postgres         [kernel.kallsyms]  [k] release_pages
     2.35%     0.00%  kcompactd0       [kernel.kallsyms]  [k] compact_zone
     2.35%     0.00%  kcompactd0       [kernel.kallsyms]  [k] kcompactd
     2.35%     0.00%  kcompactd0       [kernel.kallsyms]  [k] kthread
