# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles'
# Event count (approx.): 1357731480738
#
# Children      Self  Command     Shared Object      Symbol                                        
# ........  ........  ..........  .................  ..............................................
#
     0.02%     0.02%  kcompactd1  [kernel.kallsyms]  [k] isolate_migratepages_block
     0.02%     0.00%  postgres    [kernel.kallsyms]  [k] __mod_lruvec_state
     0.02%     0.00%  postgres    [kernel.kallsyms]  [k] __mod_memcg_lruvec_state
     0.02%     0.00%  postgres    [kernel.kallsyms]  [k] __mod_memcg_state.part.0
     0.02%     0.02%  postgres    [kernel.kallsyms]  [k] queued_spin_unlock
     0.02%     0.02%  postgres    [kernel.kallsyms]  [k] __set_page_dirty_no_writeback
     0.02%     0.02%  postgres    [kernel.kallsyms]  [k] vma_interval_tree_remove
     0.02%     0.00%  postgres    [kernel.kallsyms]  [k] unlink_file_vma
     0.02%     0.00%  postgres    [kernel.kallsyms]  [k] lock_page_lruvec_irqsave
     0.02%     0.02%  kcompactd1  [kernel.kallsyms]  [k] __mod_zone_page_state
     0.02%     0.00%  perf        [kernel.kallsyms]  [k] x86_pmu_enable
     0.02%     0.02%  kcompactd1  [kernel.kallsyms]  [k] xas_load
     0.02%     0.00%  kcompactd1  [kernel.kallsyms]  [k] migrate_page_move_mapping
     0.02%     0.02%  postgres    [kernel.kallsyms]  [k] kmem_cache_free
     0.02%     0.00%  postgres    [kernel.kallsyms]  [k] syscall_exit_to_user_mode
     0.02%     0.00%  perf        [kernel.kallsyms]  [k] intel_pmu_enable_all
     0.02%     0.02%  tclsh8.6    [kernel.kallsyms]  [k] check_stack_object
     0.02%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] skb_copy_datagram_from_iter
     0.02%     0.00%  perf        [kernel.kallsyms]  [k] native_write_msr
     0.02%     0.00%  postgres    [kernel.kallsyms]  [k] __find_get_block
     0.02%     0.00%  postgres    [kernel.kallsyms]  [k] __getblk_gfp
     0.02%     0.00%  postgres    [kernel.kallsyms]  [k] __read_extent_tree_block
     0.02%     0.00%  postgres    [kernel.kallsyms]  [k] ext4_ext_map_blocks
     0.02%     0.00%  postgres    [kernel.kallsyms]  [k] ext4_find_extent
     0.02%     0.02%  postgres    [kernel.kallsyms]  [k] mpage_process_page_bufs
     0.02%     0.00%  postgres    [kernel.kallsyms]  [k] mpage_prepare_extent_to_map
     0.02%     0.00%  swapper     [kernel.kallsyms]  [k] irq_exit_rcu
     0.02%     0.00%  swapper     [kernel.kallsyms]  [k] __softirqentry_text_start
     0.02%     0.02%  postgres    [kernel.kallsyms]  [k] should_fail_alloc_page
     0.02%     0.01%  postgres    [kernel.kallsyms]  [k] rmqueue_bulk
     0.02%     0.02%  swapper     [kernel.kallsyms]  [k] slab_free_freelist_hook.constprop.0
     0.02%     0.00%  swapper     [kernel.kallsyms]  [k] file_free_rcu
     0.02%     0.00%  swapper     [kernel.kallsyms]  [k] kmem_cache_free
     0.02%     0.00%  swapper     [kernel.kallsyms]  [k] rcu_core
     0.02%     0.00%  swapper     [kernel.kallsyms]  [k] rcu_core_si
     0.02%     0.02%  postgres    [kernel.kallsyms]  [k] available_idle_cpu
     0.02%     0.02%  postgres    [kernel.kallsyms]  [k] __kmalloc_node_track_caller
     0.01%     0.01%  tclsh8.6    [kernel.kallsyms]  [k] do_futex
     0.01%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] __x64_sys_futex
     0.01%     0.01%  kcompactd1  [kernel.kallsyms]  [k] down_read
     0.01%     0.01%  postgres    [kernel.kallsyms]  [k] update_sd_lb_stats.constprop.0
     0.01%     0.00%  postgres    [kernel.kallsyms]  [k] __filemap_fdatawait_range
     0.01%     0.00%  postgres    [kernel.kallsyms]  [k] wait_on_page_bit
     0.01%     0.00%  postgres    [kernel.kallsyms]  [k] wait_on_page_writeback
     0.01%     0.00%  postgres    [kernel.kallsyms]  [k] __es_insert_extent
     0.01%     0.00%  postgres    [kernel.kallsyms]  [k] ext4_es_free_extent
     0.01%     0.00%  postgres    [kernel.kallsyms]  [k] ext4_es_insert_extent
     0.01%     0.00%  postgres    [kernel.kallsyms]  [k] ____fput
     0.01%     0.00%  postgres    [kernel.kallsyms]  [k] __fput
     0.01%     0.01%  postgres    [kernel.kallsyms]  [k] __mod_zone_page_state
     0.01%     0.01%  postgres    [kernel.kallsyms]  [k] kmem_cache_alloc_node
     0.01%     0.01%  tclsh8.6    [kernel.kallsyms]  [k] update_sd_lb_stats.constprop.0
     0.01%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] find_busiest_group
     0.01%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] load_balance
     0.01%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] newidle_balance
     0.01%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] pick_next_task_fair
     0.01%     0.01%  postgres    [kernel.kallsyms]  [k] cpufreq_this_cpu_can_update
     0.01%     0.01%  postgres    [kernel.kallsyms]  [k] update_blocked_averages
     0.01%     0.00%  postgres    [kernel.kallsyms]  [k] run_rebalance_domains
     0.01%     0.01%  postgres    [kernel.kallsyms]  [k] idle_cpu
     0.01%     0.01%  postgres    [kernel.kallsyms]  [k] sync_regs
     0.01%     0.01%  tclsh8.6    [kernel.kallsyms]  [k] native_flush_tlb_local
     0.01%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] flush_tlb_func
     0.01%     0.00%  postgres    [kernel.kallsyms]  [k] alloc_misplaced_dst_page
     0.01%     0.00%  postgres    [kernel.kallsyms]  [k] migrate_misplaced_page
     0.01%     0.00%  postgres    [kernel.kallsyms]  [k] migrate_pages
     0.01%     0.01%  postgres    [kernel.kallsyms]  [k] mark_buffer_dirty
     0.01%     0.00%  postgres    [kernel.kallsyms]  [k] __block_commit_write.constprop.0.isra.0
     0.01%     0.01%  tclsh8.6    [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     0.01%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] _raw_spin_lock
     0.01%     0.00%  postgres    [kernel.kallsyms]  [k] scheduler_tick
     0.01%     0.01%  tclsh8.6    [kernel.kallsyms]  [k] psi_group_change
     0.01%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] psi_task_switch
     0.01%     0.01%  postgres    [kernel.kallsyms]  [k] rcu_segcblist_enqueue
     0.01%     0.00%  postgres    [kernel.kallsyms]  [k] call_rcu
     0.01%     0.01%  postgres    postgres           [.] pglz_compress
     0.01%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] __mod_lruvec_page_state
     0.01%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] __x64_sys_exit_group
     0.01%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] do_exit
     0.01%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] do_group_exit
     0.01%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] exit_mmap
     0.01%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] mmput
     0.01%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] page_remove_rmap
     0.01%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] unmap_page_range
     0.01%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] unmap_single_vma
     0.01%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] unmap_vmas
     0.01%     0.00%  postgres    [kernel.kallsyms]  [k] nohz_balance_exit_idle
     0.01%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] autoremove_wake_function
     0.01%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] default_wake_function
     0.01%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] try_to_wake_up
     0.01%     0.01%  perf        [kernel.kallsyms]  [k] native_flush_tlb_one_user
     0.01%     0.01%  tclsh8.6    [kernel.kallsyms]  [k] aa_sk_perm
     0.01%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] apparmor_socket_recvmsg
     0.01%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] security_socket_recvmsg
     0.01%     0.01%  swapper     [kernel.kallsyms]  [k] psi_group_change
     0.01%     0.00%  swapper     [kernel.kallsyms]  [k] enqueue_task
     0.01%     0.00%  swapper     [kernel.kallsyms]  [k] flush_smp_call_function_from_idle
     0.01%     0.00%  swapper     [kernel.kallsyms]  [k] flush_smp_call_function_queue
     0.01%     0.00%  swapper     [kernel.kallsyms]  [k] psi_task_change
     0.01%     0.00%  swapper     [kernel.kallsyms]  [k] sched_ttwu_pending
     0.01%     0.00%  swapper     [kernel.kallsyms]  [k] ttwu_do_activate
     0.00%     0.00%  postgres    [kernel.kallsyms]  [k] change_protection
     0.00%     0.00%  postgres    [kernel.kallsyms]  [k] change_prot_numa
     0.00%     0.00%  postgres    [kernel.kallsyms]  [k] irqentry_exit
     0.00%     0.00%  postgres    [kernel.kallsyms]  [k] irqentry_exit_to_user_mode
     0.00%     0.00%  postgres    [kernel.kallsyms]  [k] task_numa_work
     0.00%     0.00%  postgres    [kernel.kallsyms]  [k] security_file_free
     0.00%     0.00%  postgres    [kernel.kallsyms]  [k] _raw_spin_lock_irq
     0.00%     0.00%  postgres    [kernel.kallsyms]  [k] task_work_add
     0.00%     0.00%  postgres    [kernel.kallsyms]  [k] __x64_sys_close
     0.00%     0.00%  postgres    [kernel.kallsyms]  [k] close_fd
     0.00%     0.00%  postgres    [kernel.kallsyms]  [k] filp_close
     0.00%     0.00%  postgres    [kernel.kallsyms]  [k] fput
     0.00%     0.00%  postgres    [kernel.kallsyms]  [k] balance_dirty_pages
     0.00%     0.00%  postgres    [kernel.kallsyms]  [k] balance_dirty_pages_ratelimited
     0.00%     0.00%  postgres    [kernel.kallsyms]  [k] mem_cgroup_wb_stats
     0.00%     0.00%  postgres    [kernel.kallsyms]  [k] xas_load
     0.00%     0.00%  postgres    [kernel.kallsyms]  [k] xas_find
     0.00%     0.00%  postgres    [kernel.kallsyms]  [k] is_cpu_allowed
     0.00%     0.00%  postgres    [kernel.kallsyms]  [k] __switch_to_asm
     0.00%     0.00%  postgres    [kernel.kallsyms]  [k] native_apic_msr_eoi_write
     0.00%     0.00%  postgres    [kernel.kallsyms]  [k] mark_wake_futex
     0.00%     0.00%  postgres    [kernel.kallsyms]  [k] native_irq_return_iret
     0.00%     0.00%  postgres    [kernel.kallsyms]  [k] __add_to_page_cache_locked
     0.00%     0.00%  postgres    [kernel.kallsyms]  [k] __cgroup_account_cputime
     0.00%     0.00%  postgres    [kernel.kallsyms]  [k] update_curr
     0.00%     0.00%  perf        [kernel.kallsyms]  [k] nmi_restore
     0.00%     0.00%  postgres    [kernel.kallsyms]  [k] unix_stream_read_generic
     0.00%     0.00%  postgres    [kernel.kallsyms]  [k] __sys_recvfrom
     0.00%     0.00%  postgres    [kernel.kallsyms]  [k] __x64_sys_recvfrom
     0.00%     0.00%  postgres    [kernel.kallsyms]  [k] sock_recvmsg
     0.00%     0.00%  postgres    [kernel.kallsyms]  [k] unix_stream_recvmsg
     0.00%     0.00%  postgres    [kernel.kallsyms]  [k] __bitmap_and
     0.00%     0.00%  postgres    [kernel.kallsyms]  [k] __x64_sys_epoll_wait
     0.00%     0.00%  postgres    [kernel.kallsyms]  [k] do_epoll_wait
     0.00%     0.00%  postgres    [kernel.kallsyms]  [k] schedule_hrtimeout_range
     0.00%     0.00%  postgres    [kernel.kallsyms]  [k] schedule_hrtimeout_range_clock
     0.00%     0.00%  postgres    [kernel.kallsyms]  [k] ext4_generic_write_checks
     0.00%     0.00%  postgres    [kernel.kallsyms]  [k] error_return
     0.00%     0.00%  postgres    [kernel.kallsyms]  [k] __irqentry_text_end
     0.00%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] resched_curr
     0.00%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] check_preempt_curr
     0.00%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] ttwu_do_activate
     0.00%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] ttwu_do_wakeup
     0.00%     0.00%  tclsh8.6    [unknown]          [.] 0000000000000000
     0.00%     0.00%  postgres    [kernel.kallsyms]  [k] select_task_rq_fair
     0.00%     0.00%  postgres    [kernel.kallsyms]  [k] ktime_get_update_offsets_now
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] native_sched_clock
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] sched_clock_cpu
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] sched_clock_idle_sleep_event
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] tick_nohz_idle_enter
     0.00%     0.00%  postgres    [kernel.kallsyms]  [k] __check_block_validity.constprop.0
     0.00%     0.00%  postgres    [kernel.kallsyms]  [k] llist_add_batch
     0.00%     0.00%  postgres    [kernel.kallsyms]  [k] ttwu_queue_wakelist
     0.00%     0.00%  postgres    [kernel.kallsyms]  [k] __do_fault
     0.00%     0.00%  postgres    [kernel.kallsyms]  [k] account_process_tick
     0.00%     0.00%  postgres    [kernel.kallsyms]  [k] account_user_time
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] set_next_entity
     0.00%     0.00%  postgres    [kernel.kallsyms]  [k] put_prev_entity
     0.00%     0.00%  postgres    [kernel.kallsyms]  [k] put_prev_task_fair
     0.00%     0.00%  postgres    [kernel.kallsyms]  [k] __pagevec_lru_add
     0.00%     0.00%  postgres    [kernel.kallsyms]  [k] task_tick_fair
     0.00%     0.00%  postgres    [kernel.kallsyms]  [k] tag_pages_for_writeback
     0.00%     0.00%  postgres    [kernel.kallsyms]  [k] internal_get_user_pages_fast
     0.00%     0.00%  postgres    [kernel.kallsyms]  [k] get_futex_key
     0.00%     0.00%  postgres    [kernel.kallsyms]  [k] get_user_pages_fast
     0.00%     0.00%  postgres    [kernel.kallsyms]  [k] __legitimize_mnt
     0.00%     0.00%  postgres    [kernel.kallsyms]  [k] complete_walk
     0.00%     0.00%  postgres    [kernel.kallsyms]  [k] try_to_unlazy
     0.00%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] update_cfs_rq_h_load
     0.00%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] __mod_memcg_state.part.0
     0.00%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] __mod_lruvec_state
     0.00%     0.00%  perf        [kernel.kallsyms]  [k] __intel_pmu_enable_all.constprop.0
     0.00%     0.00%  perf        [kernel.kallsyms]  [k] ghes_copy_tofrom_phys
     0.00%     0.00%  perf        [kernel.kallsyms]  [k] ghes_notify_nmi
     0.00%     0.00%  perf        [kernel.kallsyms]  [k] fill_pte
     0.00%     0.00%  perf        [kernel.kallsyms]  [k] __ghes_peek_estatus.isra.0
     0.00%     0.00%  perf        [kernel.kallsyms]  [k] acpi_os_read_memory
     0.00%     0.00%  perf        [kernel.kallsyms]  [k] native_sched_clock
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] rebalance_domains
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] run_rebalance_domains
     0.00%     0.00%  perf        [kernel.kallsyms]  [k] memcpy_fromio
     0.00%     0.00%  perf        [kernel.kallsyms]  [k] flush_tlb_one_kernel
     0.00%     0.00%  perf        [kernel.kallsyms]  [k] set_pte_vaddr
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] load_balance
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] _find_next_bit
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] _raw_spin_trylock
     0.00%     0.00%  bash        [kernel.kallsyms]  [k] unmap_page_range
     0.00%     0.00%  bash        [kernel.kallsyms]  [k] __x64_sys_exit_group
     0.00%     0.00%  bash        [kernel.kallsyms]  [k] do_exit
     0.00%     0.00%  bash        [kernel.kallsyms]  [k] do_group_exit
     0.00%     0.00%  bash        [kernel.kallsyms]  [k] do_syscall_64
     0.00%     0.00%  bash        [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.00%     0.00%  bash        [kernel.kallsyms]  [k] exit_mmap
     0.00%     0.00%  bash        [kernel.kallsyms]  [k] mmput
     0.00%     0.00%  bash        [kernel.kallsyms]  [k] unmap_single_vma
     0.00%     0.00%  bash        [kernel.kallsyms]  [k] unmap_vmas
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] rcu_dynticks_inc
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] rcu_eqs_exit.constprop.0
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] rcu_idle_exit
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] ktime_get
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] run_posix_cpu_timers
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] perf_event_task_tick
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] scheduler_tick
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] update_sd_lb_stats.constprop.0
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] find_busiest_group
     0.00%     0.00%  perf        [unknown]          [.] 0000000000000000


#
# (Cannot load tips.txt file, please install perf!)
#
