# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles'
# Event count (approx.): 1357731480738
#
# Children      Self  Command     Shared Object      Symbol                                        
# ........  ........  ..........  .................  ..............................................
#
     1.43%     0.00%  postgres    [kernel.kallsyms]  [k] ip_list_rcv
     1.43%     0.00%  postgres    [kernel.kallsyms]  [k] ip_local_deliver
     1.43%     0.00%  postgres    [kernel.kallsyms]  [k] ip_local_deliver_finish
     1.43%     0.00%  postgres    [kernel.kallsyms]  [k] ip_protocol_deliver_rcu
     1.43%     0.00%  postgres    [kernel.kallsyms]  [k] ip_sublist_rcv
     1.43%     0.00%  postgres    [kernel.kallsyms]  [k] ip_sublist_rcv_finish
     1.43%     0.00%  postgres    [kernel.kallsyms]  [k] kfree
     1.43%     0.00%  postgres    [kernel.kallsyms]  [k] napi_complete_done
     1.43%     0.00%  postgres    [kernel.kallsyms]  [k] net_rx_action
     1.43%     0.00%  postgres    [kernel.kallsyms]  [k] netif_receive_skb_list_internal
     1.43%     0.00%  postgres    [kernel.kallsyms]  [k] skb_free_head
     1.43%     0.00%  postgres    [kernel.kallsyms]  [k] skb_release_data
     1.43%     0.00%  postgres    [kernel.kallsyms]  [k] tcp_ack
     1.43%     0.00%  postgres    [kernel.kallsyms]  [k] tcp_rcv_established
     1.43%     0.00%  postgres    [kernel.kallsyms]  [k] tcp_v4_do_rcv
     1.43%     0.00%  postgres    [kernel.kallsyms]  [k] tcp_v4_rcv
     1.43%     0.02%  kcompactd1  [kernel.kallsyms]  [k] migrate_pages
     1.11%     0.02%  kcompactd1  [kernel.kallsyms]  [k] rmap_walk_file
     1.11%     0.00%  kcompactd1  [kernel.kallsyms]  [k] rmap_walk
     1.02%     0.00%  kcompactd1  [kernel.kallsyms]  [k] try_to_migrate
     1.00%     0.04%  kcompactd1  [kernel.kallsyms]  [k] try_to_migrate_one
     1.00%     1.00%  postgres    [kernel.kallsyms]  [k] get_obj_cgroup_from_current
     1.00%     0.00%  postgres    [kernel.kallsyms]  [k] __alloc_file
     1.00%     0.00%  postgres    [kernel.kallsyms]  [k] alloc_empty_file
     1.00%     0.00%  postgres    [kernel.kallsyms]  [k] kmem_cache_alloc
     0.93%     0.00%  postgres    [kernel.kallsyms]  [k] free_pgtables
     0.92%     0.00%  postgres    [kernel.kallsyms]  [k] __x64_sys_pwrite64
     0.92%     0.00%  postgres    [kernel.kallsyms]  [k] ext4_buffered_write_iter
     0.92%     0.00%  postgres    [kernel.kallsyms]  [k] ext4_file_write_iter
     0.92%     0.00%  postgres    [kernel.kallsyms]  [k] new_sync_write
     0.92%     0.00%  postgres    [kernel.kallsyms]  [k] vfs_write
     0.92%     0.00%  postgres    [kernel.kallsyms]  [k] generic_perform_write
     0.91%     0.07%  postgres    [kernel.kallsyms]  [k] free_pgd_range
     0.84%     0.00%  swapper     [kernel.kallsyms]  [k] asm_sysvec_apic_timer_interrupt
     0.84%     0.00%  swapper     [kernel.kallsyms]  [k] sysvec_apic_timer_interrupt
     0.84%     0.20%  postgres    [kernel.kallsyms]  [k] ___pte_free_tlb
     0.83%     0.02%  swapper     [kernel.kallsyms]  [k] __sysvec_apic_timer_interrupt
     0.81%     0.00%  swapper     [kernel.kallsyms]  [k] __hrtimer_run_queues
     0.81%     0.00%  swapper     [kernel.kallsyms]  [k] hrtimer_interrupt
     0.81%     0.00%  swapper     [kernel.kallsyms]  [k] tick_sched_handle
     0.81%     0.00%  swapper     [kernel.kallsyms]  [k] tick_sched_timer
     0.81%     0.00%  swapper     [kernel.kallsyms]  [k] update_process_times
     0.81%     0.81%  swapper     [kernel.kallsyms]  [k] _raw_spin_lock
     0.80%     0.00%  postgres    [kernel.kallsyms]  [k] ext4_da_write_end
     0.80%     0.00%  postgres    [kernel.kallsyms]  [k] generic_write_end
     0.79%     0.79%  postgres    [kernel.kallsyms]  [k] ext4_mark_iloc_dirty
     0.79%     0.00%  postgres    [kernel.kallsyms]  [k] __ext4_mark_inode_dirty
     0.79%     0.00%  postgres    [kernel.kallsyms]  [k] __mark_inode_dirty
     0.79%     0.00%  postgres    [kernel.kallsyms]  [k] ext4_dirty_inode
     0.69%     0.69%  kcompactd1  [kernel.kallsyms]  [k] page_vma_mapped_walk
     0.62%     0.00%  postgres    [kernel.kallsyms]  [k] tlb_remove_page
     0.56%     0.04%  postgres    [kernel.kallsyms]  [k] free_unref_page_list
     0.55%     0.48%  postgres    [kernel.kallsyms]  [k] try_to_wake_up
     0.52%     0.00%  postgres    [kernel.kallsyms]  [k] free_unref_page_commit.constprop.0
     0.51%     0.00%  postgres    [kernel.kallsyms]  [k] futex_wake
     0.51%     0.00%  postgres    [kernel.kallsyms]  [k] wake_up_q
     0.50%     0.09%  postgres    [kernel.kallsyms]  [k] free_pcppages_bulk
     0.48%     0.36%  postgres    [kernel.kallsyms]  [k] mark_page_accessed
     0.47%     0.21%  postgres    [kernel.kallsyms]  [k] lock_page_memcg
     0.39%     0.37%  postgres    [kernel.kallsyms]  [k] free_swap_cache
