# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 64K of event 'cycles'
# Event count (approx.): 6448299687658
#
# Children      Self  Command          Shared Object                       Symbol                                           
# ........  ........  ...............  ..................................  .................................................
#
    66.81%     0.00%  swapper          [kernel.kallsyms]                   [k] secondary_startup_64_no_verify
    66.80%     0.01%  swapper          [kernel.kallsyms]                   [k] cpu_startup_entry
    66.66%     0.16%  swapper          [kernel.kallsyms]                   [k] do_idle
    65.19%     0.00%  swapper          [kernel.kallsyms]                   [k] start_secondary
    63.32%     0.00%  swapper          [kernel.kallsyms]                   [k] cpuidle_enter
    63.27%     0.16%  swapper          [kernel.kallsyms]                   [k] cpuidle_enter_state
    58.61%    58.40%  swapper          [kernel.kallsyms]                   [k] mwait_idle_with_hints.constprop.0
     5.41%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] asm_exc_page_fault
     5.40%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] exc_page_fault
     5.36%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] do_user_addr_fault
     5.26%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] handle_mm_fault
     5.17%     0.06%  Native-Transpor  [kernel.kallsyms]                   [k] __handle_mm_fault
     4.49%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __do_fault
     4.48%     0.03%  Native-Transpor  [kernel.kallsyms]                   [k] filemap_fault
     4.26%     0.06%  Native-Transpor  [kernel.kallsyms]                   [k] page_cache_ra_unbounded
     3.71%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] do_page_cache_ra
     3.49%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] do_syscall_64
     3.49%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
     3.22%     0.00%  kswapd1          [kernel.kallsyms]                   [k] kswapd
     3.22%     0.00%  kswapd1          [kernel.kallsyms]                   [k] kthread
     3.22%     0.00%  kswapd1          [kernel.kallsyms]                   [k] ret_from_fork
     3.22%     0.00%  kswapd1          [kernel.kallsyms]                   [k] balance_pgdat
     3.22%     0.00%  kswapd1          [kernel.kallsyms]                   [k] shrink_node
     3.18%     0.04%  Native-Transpor  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
     3.16%     0.00%  kswapd1          [kernel.kallsyms]                   [k] shrink_lruvec
     3.14%     0.02%  Native-Transpor  [kernel.kallsyms]                   [k] do_syscall_64
     2.98%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] __x64_sys_fadvise64
     2.98%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] generic_fadvise
     2.98%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] ksys_fadvise64_64
     2.76%     2.63%  swapper          [kernel.kallsyms]                   [k] poll_idle
     2.74%     0.02%  NonPeriodicTask  [kernel.kallsyms]                   [k] __invalidate_mapping_pages
     2.63%     0.07%  Native-Transpor  [kernel.kallsyms]                   [k] add_to_page_cache_lru
     2.40%     0.11%  kswapd1          [kernel.kallsyms]                   [k] shrink_page_list
     2.24%     0.05%  Native-Transpor  [kernel.kallsyms]                   [k] __x64_sys_futex
     2.15%     0.05%  Native-Transpor  [kernel.kallsyms]                   [k] do_futex
     2.14%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
     2.13%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] do_syscall_64
     1.90%     0.00%  kswapd0          [kernel.kallsyms]                   [k] balance_pgdat
     1.90%     0.00%  kswapd0          [kernel.kallsyms]                   [k] kswapd
     1.90%     0.00%  kswapd0          [kernel.kallsyms]                   [k] kthread
     1.90%     0.00%  kswapd0          [kernel.kallsyms]                   [k] ret_from_fork
     1.90%     0.00%  kswapd0          [kernel.kallsyms]                   [k] shrink_node
     1.89%     0.10%  Native-Transpor  [kernel.kallsyms]                   [k] futex_wait
     1.89%     0.00%  kswapd0          [kernel.kallsyms]                   [k] shrink_lruvec
     1.87%     1.74%  NonPeriodicTask  [kernel.kallsyms]                   [k] find_lock_entries
     1.82%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] invalidate_mapping_pages
     1.77%     0.02%  swapper          [kernel.kallsyms]                   [k] schedule_idle
     1.73%     0.22%  swapper          [kernel.kallsyms]                   [k] __schedule
     1.69%     0.09%  Native-Transpor  [kernel.kallsyms]                   [k] workingset_refault
     1.62%     0.00%  swapper          [kernel.kallsyms]                   [k] arch_call_rest_init
     1.62%     0.00%  swapper          [kernel.kallsyms]                   [k] rest_init
     1.62%     0.00%  swapper          [kernel.kallsyms]                   [k] start_kernel
     1.62%     0.00%  swapper          [kernel.kallsyms]                   [k] x86_64_start_kernel
     1.62%     0.00%  swapper          [kernel.kallsyms]                   [k] x86_64_start_reservations
     1.59%     0.07%  Native-Transpor  [kernel.kallsyms]                   [k] futex_wait_queue_me
     1.56%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __x64_sys_futex
     1.55%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] do_futex
     1.54%     0.07%  cluster1-nio-wo  [kernel.kallsyms]                   [k] futex_wake
     1.50%     0.05%  Native-Transpor  [kernel.kallsyms]                   [k] schedule
     1.45%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] mem_cgroup_flush_stats
     1.43%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] cgroup_rstat_flush_irqsafe
     1.41%     0.18%  Native-Transpor  [kernel.kallsyms]                   [k] __schedule
     1.37%     0.03%  cluster1-nio-wo  [kernel.kallsyms]                   [k] wake_up_q
     1.36%     0.07%  kswapd0          [kernel.kallsyms]                   [k] shrink_page_list
     1.34%     0.08%  cluster1-nio-wo  [kernel.kallsyms]                   [k] try_to_wake_up
     1.14%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] invalidate_mapping_pagevec
     1.08%     0.17%  Native-Transpor  [kernel.kallsyms]                   [k] cgroup_rstat_flush_locked
     1.01%     0.00%  swapper          [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
     0.99%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ttwu_do_activate
     0.94%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] enqueue_task
     0.93%     0.02%  swapper          [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
     0.91%     0.00%  kswapd1          [kernel.kallsyms]                   [k] rmap_walk
     0.84%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
     0.84%     0.01%  epollEventLoopG  [kernel.kallsyms]                   [k] do_syscall_64
     0.82%     0.82%  Native-Transpor  [kernel.kallsyms]                   [k] mem_cgroup_css_rstat_flush
     0.82%     0.02%  kswapd1          [kernel.kallsyms]                   [k] rmap_walk_file
     0.82%     0.16%  NonPeriodicTask  [kernel.kallsyms]                   [k] deactivate_file_page
     0.78%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] read_pages
     0.74%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] alloc_pages
     0.72%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __x64_sys_writev
     0.72%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] do_writev
     0.71%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] vfs_writev
     0.71%     0.01%  swapper          [kernel.kallsyms]                   [k] cpuidle_select
     0.71%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] __alloc_pages
     0.71%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __page_cache_alloc
     0.70%     0.23%  NonPeriodicTask  [kernel.kallsyms]                   [k] pagevec_lru_move_fn
     0.70%     0.00%  swapper          [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
     0.70%     0.35%  Native-Transpor  [kernel.kallsyms]                   [k] __add_to_page_cache_locked
     0.69%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] do_iter_write
     0.69%     0.01%  swapper          [kernel.kallsyms]                   [k] hrtimer_interrupt
     0.69%     0.38%  swapper          [kernel.kallsyms]                   [k] menu_select
     0.69%     0.08%  kswapd1          [kernel.kallsyms]                   [k] native_flush_tlb_multi
     0.69%     0.00%  kswapd1          [kernel.kallsyms]                   [k] arch_tlbbatch_flush
     0.69%     0.00%  kswapd1          [kernel.kallsyms]                   [k] try_to_unmap_flush
     0.68%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] do_iter_readv_writev
     0.68%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] sock_write_iter
     0.68%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] sock_sendmsg
     0.68%     0.11%  Native-Transpor  [kernel.kallsyms]                   [k] get_page_from_freelist
     0.67%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] inet_sendmsg
     0.67%     0.03%  cluster1-nio-wo  [kernel.kallsyms]                   [k] psi_task_change
     0.67%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] tcp_sendmsg
     0.63%     0.63%  cluster1-nio-wo  [kernel.kallsyms]                   [k] psi_group_change
     0.62%     0.01%  epollEventLoopG  [kernel.kallsyms]                   [k] tcp_sendmsg_locked
     0.61%     0.00%  kswapd0          [kernel.kallsyms]                   [k] rmap_walk
     0.60%     0.00%  kswapd1          [kernel.kallsyms]                   [k] on_each_cpu_cond_mask
     0.60%     0.02%  swapper          [kernel.kallsyms]                   [k] __hrtimer_run_queues
     0.58%     0.01%  kswapd0          [kernel.kallsyms]                   [k] rmap_walk_file
     0.57%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] page_cache_async_ra
     0.57%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] ondemand_readahead
     0.57%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] ext4_readahead
     0.55%     0.24%  Native-Transpor  [kernel.kallsyms]                   [k] ext4_mpage_readpages
     0.54%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __x64_sys_prctl
     0.53%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
     0.53%     0.01%  swapper          [kernel.kallsyms]                   [k] ttwu_do_activate
     0.53%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __do_sys_prctl
     0.53%     0.03%  swapper          [kernel.kallsyms]                   [k] try_to_wake_up
     0.52%     0.02%  kswapd1          [kernel.kallsyms]                   [k] page_referenced
     0.52%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
