# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles'
# Event count (approx.): 808077467991
#
# Children      Self  Command          Shared Object      Symbol                                        
# ........  ........  ...............  .................  ..............................................
#
     1.02%     0.00%  postgres         [kernel.kallsyms]  [k] __smp_call_single_queue
     1.02%     0.00%  postgres         [kernel.kallsyms]  [k] ttwu_queue_wakelist
     0.97%     0.00%  postgres         [kernel.kallsyms]  [k] filemap_map_pages
     0.96%     0.93%  postgres         [kernel.kallsyms]  [k] vm_normal_page
     0.95%     0.00%  kcompactd1       [kernel.kallsyms]  [k] try_to_migrate
     0.95%     0.95%  postgres         [kernel.kallsyms]  [k] xas_load
     0.93%     0.00%  kcompactd0       [kernel.kallsyms]  [k] rmap_walk
     0.93%     0.00%  kcompactd0       [kernel.kallsyms]  [k] rmap_walk_file
     0.92%     0.00%  postgres         [kernel.kallsyms]  [k] xas_find
     0.88%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_pwrite64
     0.88%     0.00%  postgres         [kernel.kallsyms]  [k] ext4_buffered_write_iter
     0.88%     0.00%  postgres         [kernel.kallsyms]  [k] ext4_file_write_iter
     0.88%     0.00%  postgres         [kernel.kallsyms]  [k] generic_perform_write
     0.88%     0.00%  postgres         [kernel.kallsyms]  [k] new_sync_write
     0.88%     0.00%  postgres         [kernel.kallsyms]  [k] vfs_write
     0.85%     0.00%  kcompactd1       [kernel.kallsyms]  [k] try_to_migrate_one
     0.84%     0.84%  postgres         [kernel.kallsyms]  [k] copy_user_enhanced_fast_string
     0.81%     0.78%  postgres         [kernel.kallsyms]  [k] PageHuge
     0.75%     0.06%  kcompactd0       [kernel.kallsyms]  [k] try_to_migrate_one
     0.75%     0.00%  kcompactd0       [kernel.kallsyms]  [k] try_to_migrate
     0.75%     0.75%  postgres         [kernel.kallsyms]  [k] __free_one_page
     0.70%     0.70%  kcompactd1       [kernel.kallsyms]  [k] page_vma_mapped_walk
     0.67%     0.67%  postgres         [kernel.kallsyms]  [k] __fget_light
     0.67%     0.00%  postgres         [kernel.kallsyms]  [k] __sys_recvfrom
     0.67%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_recvfrom
     0.67%     0.00%  postgres         [kernel.kallsyms]  [k] sockfd_lookup_light
     0.63%     0.00%  swapper          [kernel.kallsyms]  [k] arch_call_rest_init
     0.63%     0.00%  swapper          [kernel.kallsyms]  [k] rest_init
     0.63%     0.00%  swapper          [kernel.kallsyms]  [k] start_kernel
     0.63%     0.00%  swapper          [kernel.kallsyms]  [k] x86_64_start_kernel
     0.63%     0.00%  swapper          [kernel.kallsyms]  [k] x86_64_start_reservations
     0.51%     0.51%  postgres         [kernel.kallsyms]  [k] free_swap_cache
     0.46%     0.46%  postgres         [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     0.44%     0.44%  kcompactd0       [kernel.kallsyms]  [k] page_vma_mapped_walk
     0.34%     0.00%  kcompactd1       [kernel.kallsyms]  [k] remove_migration_pte
     0.34%     0.34%  postgres         [kernel.kallsyms]  [k] mark_page_accessed
     0.34%     0.27%  postgres         [kernel.kallsyms]  [k] lock_page_memcg
     0.32%     0.00%  postgres         [kernel.kallsyms]  [k] __do_fault
     0.32%     0.00%  postgres         [kernel.kallsyms]  [k] shmem_fault
     0.32%     0.00%  postgres         [kernel.kallsyms]  [k] shmem_getpage_gfp
     0.31%     0.02%  tclsh8.6         [kernel.kallsyms]  [k] do_user_addr_fault
     0.31%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] asm_exc_page_fault
     0.31%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] exc_page_fault
     0.31%     0.00%  postgres         [kernel.kallsyms]  [k] shmem_swapin_page
     0.31%     0.00%  kcompactd1       [kernel.kallsyms]  [k] flush_tlb_mm_range
     0.31%     0.00%  kcompactd1       [kernel.kallsyms]  [k] native_flush_tlb_multi
     0.31%     0.00%  kcompactd1       [kernel.kallsyms]  [k] on_each_cpu_cond_mask
     0.31%     0.00%  kcompactd1       [kernel.kallsyms]  [k] ptep_clear_flush
     0.30%     0.30%  postgres         [kernel.kallsyms]  [k] unlock_page_memcg
     0.28%     0.03%  tclsh8.6         [kernel.kallsyms]  [k] handle_mm_fault
     0.28%     0.03%  kcompactd0       [kernel.kallsyms]  [k] ptep_clear_flush
     0.27%     0.27%  kcompactd1       [kernel.kallsyms]  [k] smp_call_function_many_cond
     0.27%     0.00%  postgres         [kernel.kallsyms]  [k] shmem_swapin
     0.27%     0.00%  postgres         [kernel.kallsyms]  [k] swap_cluster_readahead
     0.27%     0.00%  postgres         [kernel.kallsyms]  [k] cgroup_rstat_flush_irqsafe
     0.27%     0.00%  postgres         [kernel.kallsyms]  [k] mem_cgroup_flush_stats
     0.27%     0.00%  postgres         [kernel.kallsyms]  [k] workingset_refault
     0.26%     0.00%  kcompactd0       [kernel.kallsyms]  [k] compaction_alloc
     0.25%     0.00%  postgres         [kernel.kallsyms]  [k] __read_swap_cache_async
     0.25%     0.08%  kcompactd0       [kernel.kallsyms]  [k] flush_tlb_mm_range
     0.23%     0.03%  postgres         [kernel.kallsyms]  [k] cgroup_rstat_flush_locked
     0.23%     0.02%  tclsh8.6         [kernel.kallsyms]  [k] migrate_pages
     0.23%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] __handle_mm_fault
     0.23%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] migrate_misplaced_page
     0.21%     0.21%  swapper          [unknown]          [.] 0000000000000000
     0.20%     0.03%  kcompactd0       [kernel.kallsyms]  [k] split_map_pages
     0.19%     0.01%  postgres         [kernel.kallsyms]  [k] asm_sysvec_call_function_single
     0.19%     0.19%  postgres         [kernel.kallsyms]  [k] mem_cgroup_css_rstat_flush
     0.19%     0.19%  kcompactd1       [kernel.kallsyms]  [k] _raw_spin_lock
     0.18%     0.00%  postgres         [kernel.kallsyms]  [k] tlb_finish_mmu
     0.18%     0.00%  postgres         [kernel.kallsyms]  [k] sysvec_call_function_single
     0.18%     0.00%  kcompactd0       [kernel.kallsyms]  [k] remove_migration_pte
     0.17%     0.00%  postgres         [kernel.kallsyms]  [k] __sysvec_call_function_single
     0.17%     0.00%  postgres         [kernel.kallsyms]  [k] generic_smp_call_function_single_interrupt
     0.17%     0.17%  kcompactd0       [kernel.kallsyms]  [k] clear_page_erms
     0.17%     0.00%  kcompactd0       [kernel.kallsyms]  [k] post_alloc_hook
     0.16%     0.03%  kcompactd0       [kernel.kallsyms]  [k] native_flush_tlb_multi
     0.15%     0.15%  postgres         [kernel.kallsyms]  [k] page_mapping
     0.14%     0.01%  postgres         [kernel.kallsyms]  [k] sock_sendmsg
     0.14%     0.00%  postgres         [kernel.kallsyms]  [k] __sys_sendto
     0.14%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_sendto
     0.13%     0.00%  postgres         [kernel.kallsyms]  [k] asm_sysvec_apic_timer_interrupt
     0.13%     0.00%  postgres         [kernel.kallsyms]  [k] sysvec_apic_timer_interrupt
     0.13%     0.00%  kcompactd0       [kernel.kallsyms]  [k] on_each_cpu_cond_mask
     0.13%     0.00%  kcompactd0       [kernel.kallsyms]  [k] __put_page
     0.13%     0.00%  postgres         [kernel.kallsyms]  [k] ext4_file_read_iter
     0.13%     0.00%  postgres         [kernel.kallsyms]  [k] filemap_read
     0.13%     0.00%  postgres         [kernel.kallsyms]  [k] generic_file_read_iter
     0.13%     0.00%  postgres         [kernel.kallsyms]  [k] new_sync_read
     0.13%     0.00%  postgres         [kernel.kallsyms]  [k] vfs_read
     0.13%     0.00%  kcompactd1       [kernel.kallsyms]  [k] compaction_alloc
     0.12%     0.12%  tclsh8.6         [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     0.12%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] _raw_spin_lock
     0.12%     0.00%  kcompactd0       [kernel.kallsyms]  [k] migrate_page
     0.12%     0.00%  kcompactd0       [kernel.kallsyms]  [k] move_to_new_page
     0.10%     0.07%  postgres         [kernel.kallsyms]  [k] rcu_read_unlock_strict
     0.10%     0.10%  kcompactd0       [kernel.kallsyms]  [k] smp_call_function_many_cond
     0.10%     0.06%  postgres         [kernel.kallsyms]  [k] flush_smp_call_function_queue
     0.10%     0.05%  postgres         [kernel.kallsyms]  [k] __mod_memcg_state.part.0
     0.10%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_pread64
     0.10%     0.00%  postgres         [kernel.kallsyms]  [k] filemap_get_pages
     0.10%     0.02%  tclsh8.6         [kernel.kallsyms]  [k] native_flush_tlb_multi
     0.10%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] flush_tlb_mm_range
     0.10%     0.00%  kcompactd0       [kernel.kallsyms]  [k] __mem_cgroup_uncharge
     0.10%     0.00%  kcompactd0       [kernel.kallsyms]  [k] uncharge_batch
     0.09%     0.00%  postgres         [kernel.kallsyms]  [k] __alloc_pages
     0.09%     0.00%  postgres         [kernel.kallsyms]  [k] get_page_from_freelist
     0.09%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] __alloc_pages
     0.09%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] alloc_misplaced_dst_page
     0.09%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] get_page_from_freelist
     0.09%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] rmqueue_bulk
     0.09%     0.09%  kcompactd0       [kernel.kallsyms]  [k] _raw_spin_lock
     0.09%     0.09%  kcompactd0       [kernel.kallsyms]  [k] copy_page
     0.09%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] ptep_clear_flush
     0.09%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] rmap_walk
     0.09%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] rmap_walk_anon
     0.09%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] try_to_migrate
     0.09%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] try_to_migrate_one
     0.08%     0.00%  postgres         [kernel.kallsyms]  [k] unix_stream_sendmsg
     0.08%     0.02%  postgres         [kernel.kallsyms]  [k] __schedule
     0.08%     0.00%  postgres         [kernel.kallsyms]  [k] schedule
     0.08%     0.00%  postgres         [kernel.kallsyms]  [k] __softirqentry_text_start
     0.07%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] on_each_cpu_cond_mask
     0.07%     0.07%  postgres         [kernel.kallsyms]  [k] llist_reverse_order
     0.07%     0.00%  postgres         [kernel.kallsyms]  [k] __mod_lruvec_page_state
     0.07%     0.00%  postgres         [kernel.kallsyms]  [k] __mod_lruvec_state
     0.07%     0.00%  postgres         [kernel.kallsyms]  [k] __mod_memcg_lruvec_state
     0.07%     0.00%  postgres         [kernel.kallsyms]  [k] futex_wait
     0.07%     0.00%  postgres         [kernel.kallsyms]  [k] __hrtimer_run_queues
     0.07%     0.00%  postgres         [kernel.kallsyms]  [k] __sysvec_apic_timer_interrupt
     0.07%     0.00%  postgres         [kernel.kallsyms]  [k] hrtimer_interrupt
     0.07%     0.00%  postgres         [kernel.kallsyms]  [k] alloc_pages
     0.07%     0.00%  kcompactd1       [kernel.kallsyms]  [k] migrate_page
     0.07%     0.00%  kcompactd1       [kernel.kallsyms]  [k] move_to_new_page
     0.07%     0.00%  postgres         [kernel.kallsyms]  [k] cgroup_rstat_updated
     0.07%     0.00%  postgres         [kernel.kallsyms]  [k] ext4_da_write_begin
     0.07%     0.07%  postgres         [kernel.kallsyms]  [k] update_sd_lb_stats.constprop.0
     0.07%     0.00%  postgres         [kernel.kallsyms]  [k] find_busiest_group
     0.07%     0.00%  postgres         [kernel.kallsyms]  [k] load_balance
     0.06%     0.01%  postgres         [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     0.06%     0.06%  kcompactd0       [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     0.06%     0.00%  kcompactd0       [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     0.06%     0.00%  kcompactd0       [kernel.kallsyms]  [k] compact_lock_irqsave
     0.06%     0.00%  kcompactd0       [kernel.kallsyms]  [k] isolate_freepages_block
     0.06%     0.00%  postgres         [kernel.kallsyms]  [k] mod_lruvec_page_state.constprop.0
     0.06%     0.00%  postgres         [kernel.kallsyms]  [k] pagecache_get_page
     0.06%     0.03%  kcompactd1       [kernel.kallsyms]  [k] post_alloc_hook
     0.06%     0.00%  kcompactd1       [kernel.kallsyms]  [k] split_map_pages
     0.06%     0.05%  postgres         [kernel.kallsyms]  [k] update_process_times
     0.06%     0.00%  postgres         [kernel.kallsyms]  [k] tick_sched_timer
     0.06%     0.03%  postgres         [kernel.kallsyms]  [k] uncharge_page
     0.06%     0.00%  postgres         [kernel.kallsyms]  [k] __mem_cgroup_uncharge_list
     0.06%     0.00%  kcompactd1       [kernel.kallsyms]  [k] isolate_freepages_block
     0.06%     0.06%  postgres         [kernel.kallsyms]  [k] __set_page_dirty_no_writeback
     0.06%     0.06%  kcompactd0       [kernel.kallsyms]  [k] page_counter_cancel
     0.06%     0.00%  kcompactd0       [kernel.kallsyms]  [k] page_counter_uncharge
     0.06%     0.00%  postgres         [kernel.kallsyms]  [k] ondemand_readahead
     0.06%     0.00%  postgres         [kernel.kallsyms]  [k] page_cache_ra_unbounded
     0.06%     0.00%  postgres         [kernel.kallsyms]  [k] page_cache_sync_ra
     0.06%     0.06%  tclsh8.6         [kernel.kallsyms]  [k] smp_call_function_many_cond
