# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 306K of event 'cycles'
# Event count (approx.): 8606317184185
#
# Children      Self  Command          Shared Object         Symbol                                             
# ........  ........  ...............  ....................  ...................................................
#
     2.58%     0.03%  InMemoryMerger   [kernel.kallsyms]     [k] pagecache_get_page
     2.38%     2.36%  localfetcher#1   [kernel.kallsyms]     [k] mem_cgroup_css_rstat_flush
     2.27%     1.50%  pool-4-thread-1  [kernel.kallsyms]     [k] __add_to_page_cache_locked
     2.12%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] grab_cache_page_write_begin
     2.12%     0.03%  pool-4-thread-1  [kernel.kallsyms]     [k] pagecache_get_page
     2.07%     2.07%  swapper          [unknown]             [.] 0000000000000000
     1.86%     0.00%  swapper          [kernel.kallsyms]     [k] arch_call_rest_init
     1.86%     0.00%  swapper          [kernel.kallsyms]     [k] rest_init
     1.86%     0.00%  swapper          [kernel.kallsyms]     [k] start_kernel
     1.86%     0.00%  swapper          [kernel.kallsyms]     [k] x86_64_start_kernel
     1.86%     0.00%  swapper          [kernel.kallsyms]     [k] x86_64_start_reservations
     1.81%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     1.80%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] do_syscall_64
     1.73%     1.72%  java             [kernel.kallsyms]     [k] up_read
     1.72%     0.00%  kswapd0          [kernel.kallsyms]     [k] kswapd
     1.72%     0.00%  kswapd0          [kernel.kallsyms]     [k] kthread
     1.72%     0.00%  kswapd0          [kernel.kallsyms]     [k] ret_from_fork
     1.72%     0.00%  kswapd0          [kernel.kallsyms]     [k] balance_pgdat
     1.72%     0.00%  kswapd0          [kernel.kallsyms]     [k] shrink_node
     1.69%     0.76%  localfetcher#1   [kernel.kallsyms]     [k] copy_user_enhanced_fast_string
     1.68%     0.00%  kswapd0          [kernel.kallsyms]     [k] shrink_lruvec
     1.66%     0.14%  InMemoryMerger   [kernel.kallsyms]     [k] add_to_page_cache_lru
     1.55%     1.48%  java             [kernel.kallsyms]     [k] native_queued_spin_lock_slowpath
     1.51%     0.01%  localfetcher#1   [kernel.kallsyms]     [k] asm_exc_page_fault
     1.48%     1.46%  pool-4-thread-1  [kernel.kallsyms]     [k] copy_user_enhanced_fast_string
     1.36%     0.02%  InMemoryMerger   [kernel.kallsyms]     [k] ext4_da_write_end
     1.34%     0.89%  InMemoryMerger   [kernel.kallsyms]     [k] __add_to_page_cache_locked
     1.33%     0.06%  InMemoryMerger   [kernel.kallsyms]     [k] generic_write_end
     1.33%     0.14%  kswapd0          [kernel.kallsyms]     [k] shrink_page_list
     1.18%     0.02%  pool-4-thread-1  [kernel.kallsyms]     [k] ext4_da_write_end
     1.16%     0.02%  pool-4-thread-1  [kernel.kallsyms]     [k] generic_write_end
     1.08%     0.20%  java             [kernel.kallsyms]     [k] _raw_spin_lock
     1.04%     0.01%  java             [kernel.kallsyms]     [k] find_vma
     1.03%     1.03%  java             [kernel.kallsyms]     [k] vmacache_find
     1.02%     0.02%  pool-4-thread-1  [kernel.kallsyms]     [k] alloc_pages
     1.01%     0.05%  pool-4-thread-1  [kernel.kallsyms]     [k] __alloc_pages
     0.96%     0.02%  java             [kernel.kallsyms]     [k] __alloc_pages
     0.95%     0.01%  localfetcher#1   [kernel.kallsyms]     [k] exc_page_fault
     0.94%     0.94%  InMemoryMerger   [kernel.kallsyms]     [k] copy_user_enhanced_fast_string
     0.94%     0.16%  pool-4-thread-1  [kernel.kallsyms]     [k] get_page_from_freelist
     0.93%     0.01%  localfetcher#1   [kernel.kallsyms]     [k] do_user_addr_fault
     0.90%     0.01%  localfetcher#1   [kernel.kallsyms]     [k] handle_mm_fault
     0.90%     0.03%  InMemoryMerger   [kernel.kallsyms]     [k] __mark_inode_dirty
     0.90%     0.00%  java             [kernel.kallsyms]     [k] alloc_pages_vma
     0.89%     0.00%  kswapd1          [kernel.kallsyms]     [k] kswapd
     0.89%     0.00%  kswapd1          [kernel.kallsyms]     [k] kthread
     0.89%     0.00%  kswapd1          [kernel.kallsyms]     [k] ret_from_fork
     0.89%     0.00%  kswapd1          [kernel.kallsyms]     [k] shrink_node
     0.89%     0.00%  kswapd1          [kernel.kallsyms]     [k] balance_pgdat
     0.87%     0.00%  kworker/u98:1-f  [kernel.kallsyms]     [k] kthread
     0.87%     0.00%  kworker/u98:1-f  [kernel.kallsyms]     [k] ret_from_fork
     0.87%     0.00%  kworker/u98:1-f  [kernel.kallsyms]     [k] worker_thread
     0.87%     0.00%  kworker/u98:1-f  [kernel.kallsyms]     [k] process_one_work
     0.87%     0.00%  kworker/u98:1-f  [kernel.kallsyms]     [k] wb_workfn
     0.87%     0.00%  InMemoryMerger   [kernel.kallsyms]     [k] ext4_dirty_inode
     0.87%     0.00%  kworker/u98:1-f  [kernel.kallsyms]     [k] wb_writeback
     0.87%     0.01%  InMemoryMerger   [kernel.kallsyms]     [k] alloc_pages
     0.87%     0.00%  kworker/u98:1-f  [kernel.kallsyms]     [k] __writeback_inodes_wb
     0.87%     0.00%  kworker/u98:1-f  [kernel.kallsyms]     [k] __writeback_single_inode
     0.87%     0.00%  kworker/u98:1-f  [kernel.kallsyms]     [k] do_writepages
     0.87%     0.00%  kworker/u98:1-f  [kernel.kallsyms]     [k] writeback_sb_inodes
     0.87%     0.07%  kworker/u98:1-f  [kernel.kallsyms]     [k] ext4_writepages
     0.86%     0.02%  InMemoryMerger   [kernel.kallsyms]     [k] __alloc_pages
     0.86%     0.04%  java             [kernel.kallsyms]     [k] migrate_misplaced_page
     0.85%     0.81%  pool-4-thread-1  [kernel.kallsyms]     [k] _raw_spin_lock
     0.84%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ksys_write
     0.84%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] __x64_sys_write
     0.84%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] vfs_write
     0.84%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] new_sync_write
     0.84%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_buffered_write_iter
     0.84%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_file_write_iter
     0.84%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] generic_perform_write
     0.83%     0.03%  pool-4-thread-1  [kernel.kallsyms]     [k] __mark_inode_dirty
     0.82%     0.00%  kworker/u96:0-e  [kernel.kallsyms]     [k] worker_thread
     0.82%     0.00%  kworker/u96:0-e  [kernel.kallsyms]     [k] kthread
     0.82%     0.00%  kworker/u96:0-e  [kernel.kallsyms]     [k] ret_from_fork
     0.81%     0.00%  kworker/u96:0-e  [kernel.kallsyms]     [k] process_one_work
     0.81%     0.00%  kworker/u96:0-e  [kernel.kallsyms]     [k] ext4_end_io_rsv_work
     0.81%     0.00%  kworker/u96:0-e  [kernel.kallsyms]     [k] ext4_release_io_end
     0.81%     0.08%  InMemoryMerger   [kernel.kallsyms]     [k] get_page_from_freelist
     0.81%     0.14%  kworker/u96:0-e  [kernel.kallsyms]     [k] ext4_finish_bio
     0.80%     0.05%  localfetcher#1   [kernel.kallsyms]     [k] __handle_mm_fault
     0.80%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] ext4_dirty_inode
     0.79%     0.51%  java             [kernel.kallsyms]     [k] cgroup_rstat_updated
     0.75%     0.01%  pool-4-thread-1  [kernel.kallsyms]     [k] asm_exc_page_fault
     0.73%     0.01%  kswapd1          [kernel.kallsyms]     [k] shrink_lruvec
     0.73%     0.03%  localfetcher#1   [kernel.kallsyms]     [k] __alloc_pages
     0.73%     0.01%  InMemoryMerger   [kernel.kallsyms]     [k] asm_exc_page_fault
     0.71%     0.05%  java             [kernel.kallsyms]     [k] migrate_pages
     0.68%     0.09%  localfetcher#1   [kernel.kallsyms]     [k] get_page_from_freelist
     0.66%     0.22%  java             [kernel.kallsyms]     [k] __count_memcg_events
     0.65%     0.01%  InMemoryMerger   [kernel.kallsyms]     [k] exc_page_fault
     0.65%     0.01%  pool-4-thread-1  [kernel.kallsyms]     [k] exc_page_fault
     0.62%     0.01%  InMemoryMerger   [kernel.kallsyms]     [k] do_user_addr_fault
     0.62%     0.01%  pool-4-thread-1  [kernel.kallsyms]     [k] do_user_addr_fault
     0.60%     0.00%  java             [kernel.kallsyms]     [k] __alloc_pages_slowpath.constprop.0
     0.60%     0.00%  java             [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     0.59%     0.01%  java             [kernel.kallsyms]     [k] do_syscall_64
     0.58%     0.02%  pool-4-thread-1  [kernel.kallsyms]     [k] handle_mm_fault
     0.58%     0.02%  InMemoryMerger   [kernel.kallsyms]     [k] handle_mm_fault
     0.58%     0.06%  kswapd1          [kernel.kallsyms]     [k] shrink_page_list
     0.57%     0.04%  kworker/u96:0-e  [kernel.kallsyms]     [k] end_page_writeback
     0.56%     0.05%  kswapd0          [kernel.kallsyms]     [k] __remove_mapping
     0.55%     0.03%  java             [kernel.kallsyms]     [k] exit_to_user_mode_prepare
     0.54%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] __x64_sys_read
     0.54%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ksys_read
     0.54%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] vfs_read
     0.54%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] new_sync_read
     0.54%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_file_read_iter
     0.54%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] generic_file_read_iter
     0.54%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] filemap_read
     0.54%     0.54%  InMemoryMerger   [kernel.kallsyms]     [k] clear_page_erms
     0.54%     0.53%  pool-4-thread-1  [kernel.kallsyms]     [k] clear_page_erms
     0.53%     0.02%  InMemoryMerger   [kernel.kallsyms]     [k] ext4_block_write_begin
     0.53%     0.34%  localfetcher#1   [kernel.kallsyms]     [k] __add_to_page_cache_locked
     0.50%     0.49%  LocalJobRunner   [kernel.kallsyms]     [k] copy_user_enhanced_fast_string
     0.50%     0.11%  kworker/u96:0-e  [kernel.kallsyms]     [k] test_clear_page_writeback
     0.48%     0.17%  pool-4-thread-1  [kernel.kallsyms]     [k] _raw_spin_lock_irqsave
     0.48%     0.47%  localfetcher#1   [kernel.kallsyms]     [k] clear_page_erms
     0.48%     0.07%  java             [kernel.kallsyms]     [k] get_page_from_freelist
     0.48%     0.14%  pool-4-thread-1  [kernel.kallsyms]     [k] cgroup_rstat_updated
     0.47%     0.00%  kworker/u98:1-f  [kernel.kallsyms]     [k] mpage_submit_page
     0.47%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] __page_cache_alloc
     0.46%     0.12%  InMemoryMerger   [kernel.kallsyms]     [k] _raw_spin_lock_irqsave
     0.45%     0.00%  java             [kernel.kallsyms]     [k] do_try_to_free_pages
     0.45%     0.00%  java             [kernel.kallsyms]     [k] shrink_node
     0.45%     0.00%  java             [kernel.kallsyms]     [k] try_to_free_pages
     0.45%     0.02%  pool-4-thread-1  [kernel.kallsyms]     [k] ext4_block_write_begin
     0.45%     0.00%  java             [kernel.kallsyms]     [k] shrink_lruvec
