# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 978K of event 'cycles'
# Event count (approx.): 2238722900962
#
# Children      Self  Command          Shared Object                       Symbol                                                                                                                                                                                               
# ........  ........  ...............  ..................................  .....................................................................................................................................................................................................
#
    32.38%     0.07%  Executor task l  [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
    31.47%     0.05%  Executor task l  [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
    27.72%     0.34%  Executor task l  [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
    27.15%     0.61%  Executor task l  [kernel.kallsyms]                   [k] hrtimer_interrupt
    23.81%     0.53%  Executor task l  [kernel.kallsyms]                   [k] __hrtimer_run_queues
    23.28%     0.06%  Executor task l  [kernel.kallsyms]                   [k] __run_hrtimer
    22.37%     0.04%  Executor task l  [kernel.kallsyms]                   [k] tick_sched_timer
    21.17%     0.06%  Executor task l  [kernel.kallsyms]                   [k] tick_sched_handle
    21.04%     0.90%  Executor task l  [kernel.kallsyms]                   [k] update_process_times
    15.60%     0.68%  Executor task l  [kernel.kallsyms]                   [k] scheduler_tick
    12.68%     0.03%  Executor task l  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
    12.65%     0.03%  Executor task l  [kernel.kallsyms]                   [k] do_syscall_64
     7.68%     0.01%  Executor task l  [kernel.kallsyms]                   [k] ksys_read
     7.58%     0.04%  Executor task l  [kernel.kallsyms]                   [k] vfs_read
     7.45%     0.07%  Executor task l  [kernel.kallsyms]                   [k] new_sync_read
     7.35%     0.13%  Executor task l  [kernel.kallsyms]                   [k] filemap_read
     7.17%     0.65%  Executor task l  [kernel.kallsyms]                   [k] task_tick_fair
     6.02%     0.59%  Executor task l  [kernel.kallsyms]                   [k] perf_event_task_tick
     5.57%     0.05%  Executor task l  [kernel.kallsyms]                   [k] asm_exc_page_fault
     5.42%     2.35%  Executor task l  [kernel.kallsyms]                   [k] perf_adjust_freq_unthr_context
     5.33%     0.01%  Executor task l  [kernel.kallsyms]                   [k] exc_page_fault
     5.25%     0.02%  Executor task l  [kernel.kallsyms]                   [k] do_user_addr_fault
     4.74%     0.04%  Executor task l  [kernel.kallsyms]                   [k] handle_mm_fault
     4.63%     0.06%  Executor task l  [kernel.kallsyms]                   [k] __handle_mm_fault
     4.55%     0.04%  Executor task l  [kernel.kallsyms]                   [k] do_anonymous_page
     4.26%     0.03%  Executor task l  [kernel.kallsyms]                   [k] copy_page_to_iter
     4.23%     0.06%  Executor task l  [kernel.kallsyms]                   [k] copy_page_to_iter_iovec
     4.19%     4.08%  Executor task l  [kernel.kallsyms]                   [k] copy_user_generic_string
     4.00%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] kcompactd
     4.00%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] kthread
     4.00%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] ret_from_fork
     3.99%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] compact_zone
     3.99%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] proactive_compact_node
     3.94%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] migrate_pages
     3.93%     0.01%  kcompactd0       [kernel.kallsyms]                   [k] unmap_and_move
     3.48%     0.01%  kcompactd0       [kernel.kallsyms]                   [k] __unmap_and_move
     3.45%     0.06%  Executor task l  [kernel.kallsyms]                   [k] __alloc_pages
     3.36%     0.10%  Executor task l  [kernel.kallsyms]                   [k] get_page_from_freelist
     3.16%     0.08%  Executor task l  [kernel.kallsyms]                   [k] alloc_pages_vma
     3.15%     0.35%  Executor task l  [kernel.kallsyms]                   [k] __irq_exit_rcu
     3.10%     1.29%  Executor task l  [kernel.kallsyms]                   [k] update_load_avg
     3.00%     0.00%  Executor task l  [kernel.kallsyms]                   [k] __x64_sys_openat
     2.99%     0.01%  Executor task l  [kernel.kallsyms]                   [k] do_sys_openat2
     2.81%     0.03%  Executor task l  [kernel.kallsyms]                   [k] filemap_get_pages
     2.67%     0.02%  Executor task l  [kernel.kallsyms]                   [k] do_filp_open
     2.66%     0.01%  Executor task l  [kernel.kallsyms]                   [k] path_openat
     2.62%     0.02%  Executor task l  [kernel.kallsyms]                   [k] amd_pmu_disable_all
     2.59%     0.06%  Executor task l  [kernel.kallsyms]                   [k] kernel_init_free_pages.part.0
     2.53%     2.46%  Executor task l  [kernel.kallsyms]                   [k] clear_page_rep
     2.51%     0.47%  Executor task l  [kernel.kallsyms]                   [k] __softirqentry_text_start
     2.18%     1.37%  Executor task l  [kernel.kallsyms]                   [k] account_user_time
     1.87%     0.02%  kcompactd0       [kernel.kallsyms]                   [k] rmap_walk_anon
     1.81%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] try_to_migrate
     1.80%     1.63%  Executor task l  [kernel.kallsyms]                   [k] x86_pmu_disable_all
     1.78%     0.01%  kcompactd0       [kernel.kallsyms]                   [k] try_to_migrate_one
     1.75%     0.02%  Executor task l  [kernel.kallsyms]                   [k] page_cache_ra_unbounded
     1.74%     1.17%  Executor task l  [kernel.kallsyms]                   [k] update_curr
     1.73%     1.68%  Executor task l  [kernel.kallsyms]                   [k] ktime_get_update_offsets_now
     1.72%     0.05%  kcompactd0       [kernel.kallsyms]                   [k] flush_tlb_mm_range
     1.72%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] ptep_clear_flush
     1.66%     0.00%  swapper          [kernel.kallsyms]                   [k] cpu_startup_entry
     1.66%     0.00%  swapper          [kernel.kallsyms]                   [k] secondary_startup_64_no_verify
     1.66%     0.01%  swapper          [kernel.kallsyms]                   [k] do_idle
     1.56%     0.60%  kcompactd0       [kernel.kallsyms]                   [k] smp_call_function_many_cond
     1.56%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] on_each_cpu_cond_mask
     1.54%     0.01%  kcompactd0       [kernel.kallsyms]                   [k] move_to_new_page
     1.51%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] migrate_page
     1.49%     0.13%  Executor task l  [kernel.kallsyms]                   [k] exit_to_user_mode_prepare
     1.47%     0.01%  swapper          [kernel.kallsyms]                   [k] cpuidle_idle_call
     1.43%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] migrate_page_copy
     1.43%     1.40%  kcompactd0       [kernel.kallsyms]                   [k] copy_page
     1.40%     0.22%  Executor task l  [kernel.kallsyms]                   [k] rcu_sched_clock_irq
     1.25%     0.13%  Executor task l  [kernel.kallsyms]                   [k] rcu_core
     1.24%     0.00%  swapper          [kernel.kallsyms]                   [k] cpuidle_enter
     1.24%     0.02%  swapper          [kernel.kallsyms]                   [k] cpuidle_enter_state
     1.14%     0.04%  Executor task l  [kernel.kallsyms]                   [k] exit_to_user_mode_loop
     1.10%     0.00%  Executor task l  [kernel.kallsyms]                   [k] irqentry_exit_to_user_mode
     1.08%     0.98%  Executor task l  [kernel.kallsyms]                   [k] ktime_get
     1.04%     0.33%  Executor task l  [kernel.kallsyms]                   [k] rcu_pending
     0.96%     0.50%  Executor task l  [kernel.kallsyms]                   [k] filemap_get_read_batch
     0.94%     0.05%  Executor task l  [kernel.kallsyms]                   [k] schedule
     0.93%     0.92%  Executor task l  [kernel.kallsyms]                   [k] __update_load_avg_cfs_rq
     0.90%     0.15%  Executor task l  [kernel.kallsyms]                   [k] __schedule
     0.89%     0.00%  kswapd0          [kernel.kallsyms]                   [k] kswapd
     0.89%     0.00%  kswapd0          [kernel.kallsyms]                   [k] kthread
     0.89%     0.00%  kswapd0          [kernel.kallsyms]                   [k] ret_from_fork
     0.89%     0.01%  kswapd0          [kernel.kallsyms]                   [k] shrink_node_memcgs
     0.89%     0.00%  kswapd0          [kernel.kallsyms]                   [k] balance_pgdat
     0.89%     0.00%  kswapd0          [kernel.kallsyms]                   [k] shrink_node
     0.88%     0.80%  Executor task l  [kernel.kallsyms]                   [k] __update_load_avg_se
     0.86%     0.42%  Executor task l  [kernel.kallsyms]                   [k] update_rq_clock_task
     0.86%     0.01%  Executor task l  [kernel.kallsyms]                   [k] do_open
     0.80%     0.24%  Executor task l  [kernel.kallsyms]                   [k] amd_pmu_wait_on_overflow
     0.78%     0.03%  swapper          [kernel.kallsyms]                   [k] asm_sysvec_call_function_single
     0.77%     0.00%  GC Thread#17     [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
     0.77%     0.02%  Executor task l  [kernel.kallsyms]                   [k] lookup_fast
     0.77%     0.00%  GC Thread#17     [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
