# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 588K of event 'cycles'
# Event count (approx.): 8622128015015
#
# Children      Self  Command          Shared Object       Symbol                                             
# ........  ........  ...............  ..................  ...................................................
#
    35.48%     0.00%  swapper          [kernel.kallsyms]   [k] secondary_startup_64_no_verify
    35.48%     0.00%  swapper          [kernel.kallsyms]   [k] cpu_startup_entry
    35.47%     0.01%  swapper          [kernel.kallsyms]   [k] do_idle
    35.15%     0.00%  swapper          [kernel.kallsyms]   [k] cpuidle_enter
    35.14%     0.01%  swapper          [kernel.kallsyms]   [k] cpuidle_enter_state
    34.89%    33.98%  swapper          [kernel.kallsyms]   [k] mwait_idle_with_hints.constprop.0
    32.75%     0.00%  swapper          [kernel.kallsyms]   [k] start_secondary
    12.30%     0.09%  java             [kernel.kallsyms]   [k] asm_exc_page_fault
    11.68%     0.20%  java             [kernel.kallsyms]   [k] exc_page_fault
    11.07%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] entry_SYSCALL_64_after_hwframe
    11.06%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] do_syscall_64
    10.50%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] entry_SYSCALL_64_after_hwframe
    10.50%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] do_syscall_64
    10.26%     0.14%  java             [kernel.kallsyms]   [k] do_user_addr_fault
     9.88%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] __x64_sys_read
     9.88%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] ksys_read
     9.88%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] vfs_read
     9.88%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] new_sync_read
     9.88%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] generic_file_read_iter
     9.88%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] ext4_file_read_iter
     9.87%     0.05%  localfetcher#1   [kernel.kallsyms]   [k] filemap_read
     8.71%     0.01%  LocalJobRunner   [kernel.kallsyms]   [k] entry_SYSCALL_64_after_hwframe
     8.70%     0.01%  LocalJobRunner   [kernel.kallsyms]   [k] do_syscall_64
     7.30%     0.37%  java             [kernel.kallsyms]   [k] handle_mm_fault
     6.05%     0.15%  pool-4-thread-1  [kernel.kallsyms]   [k] add_to_page_cache_lru
     5.52%     2.17%  java             [kernel.kallsyms]   [k] __handle_mm_fault
     5.49%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] __x64_sys_write
     5.49%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] ksys_write
     5.49%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] vfs_write
     5.49%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] new_sync_write
     5.49%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] ext4_file_write_iter
     5.49%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] ext4_buffered_write_iter
     5.49%     0.02%  pool-4-thread-1  [kernel.kallsyms]   [k] generic_perform_write
     5.43%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] __x64_sys_read
     5.43%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] ksys_read
     5.43%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] vfs_read
     5.43%     0.03%  pool-4-thread-1  [kernel.kallsyms]   [k] filemap_read
     5.43%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] ext4_file_read_iter
     5.43%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] generic_file_read_iter
     5.43%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] new_sync_read
     4.96%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] filemap_get_pages
     4.86%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] ondemand_readahead
     4.85%     0.05%  localfetcher#1   [kernel.kallsyms]   [k] page_cache_ra_unbounded
     4.81%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] filemap_get_pages
     4.80%     0.04%  pool-4-thread-1  [kernel.kallsyms]   [k] page_cache_ra_unbounded
     4.80%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] ondemand_readahead
     4.80%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] page_cache_async_ra
     4.77%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] page_cache_async_ra
     4.72%     2.06%  localfetcher#1   [kernel.kallsyms]   [k] copy_user_enhanced_fast_string
     4.68%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] ksys_read
     4.68%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] __x64_sys_read
     4.68%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] vfs_read
     4.68%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] new_sync_read
     4.68%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] ext4_file_read_iter
     4.68%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] generic_file_read_iter
     4.67%     0.04%  LocalJobRunner   [kernel.kallsyms]   [k] filemap_read
     4.15%     0.02%  localfetcher#1   [kernel.kallsyms]   [k] asm_exc_page_fault
     3.93%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] cgroup_rstat_flush_irqsafe
     3.88%     0.03%  pool-4-thread-1  [kernel.kallsyms]   [k] workingset_refault
     3.78%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] mem_cgroup_flush_stats
     3.49%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] entry_SYSCALL_64_after_hwframe
     3.49%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] do_syscall_64
     3.47%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] __x64_sys_write
     3.47%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] ksys_write
     3.46%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] vfs_write
     3.46%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] new_sync_write
     3.46%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] ext4_file_write_iter
     3.46%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] ext4_buffered_write_iter
     3.46%     0.01%  InMemoryMerger   [kernel.kallsyms]   [k] generic_perform_write
     3.45%     0.12%  localfetcher#1   [kernel.kallsyms]   [k] add_to_page_cache_lru
     3.29%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] __x64_sys_write
     3.29%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] ksys_write
     3.29%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] vfs_write
     3.29%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] new_sync_write
     3.29%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] ext4_file_write_iter
     3.29%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] ext4_buffered_write_iter
     3.28%     0.01%  LocalJobRunner   [kernel.kallsyms]   [k] generic_perform_write
     3.24%     0.80%  pool-4-thread-1  [kernel.kallsyms]   [k] cgroup_rstat_flush_locked
     2.93%     0.02%  pool-4-thread-1  [kernel.kallsyms]   [k] ext4_da_write_begin
     2.91%     0.07%  LocalJobRunner   [kernel.kallsyms]   [k] add_to_page_cache_lru
     2.91%     0.00%  kswapd1          [kernel.kallsyms]   [k] kthread
     2.91%     0.00%  kswapd1          [kernel.kallsyms]   [k] ret_from_fork
     2.91%     0.00%  kswapd1          [kernel.kallsyms]   [k] kswapd
     2.91%     0.00%  kswapd1          [kernel.kallsyms]   [k] balance_pgdat
     2.91%     0.00%  kswapd1          [kernel.kallsyms]   [k] shrink_node
     2.73%     0.00%  swapper          [kernel.kallsyms]   [k] arch_call_rest_init
     2.73%     0.00%  swapper          [kernel.kallsyms]   [k] rest_init
     2.73%     0.00%  swapper          [kernel.kallsyms]   [k] start_kernel
     2.73%     0.00%  swapper          [kernel.kallsyms]   [k] x86_64_start_kernel
     2.73%     0.00%  swapper          [kernel.kallsyms]   [k] x86_64_start_reservations
     2.66%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] filemap_get_pages
     2.62%     0.01%  kswapd1          [kernel.kallsyms]   [k] shrink_lruvec
     2.56%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] ondemand_readahead
     2.56%     0.01%  LocalJobRunner   [kernel.kallsyms]   [k] page_cache_ra_unbounded
