# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 16K of event 'cycles'
# Event count (approx.): 9560623236151
#
# Children      Self  Command          Shared Object                       Symbol                                        
# ........  ........  ...............  ..................................  ..............................................
#
     1.19%     0.56%  swapper          [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
     1.08%     0.00%  kswapd0          [kernel.kallsyms]                   [k] balance_pgdat
     1.08%     0.00%  kswapd0          [kernel.kallsyms]                   [k] kswapd
     1.08%     0.00%  kswapd0          [kernel.kallsyms]                   [k] kthread
     1.08%     0.00%  kswapd0          [kernel.kallsyms]                   [k] ret_from_fork
     1.05%     0.00%  kswapd0          [kernel.kallsyms]                   [k] shrink_node
     1.04%     0.00%  ReadStage-85     [kernel.kallsyms]                   [k] __do_fault
     1.04%     0.00%  ReadStage-85     [kernel.kallsyms]                   [k] __handle_mm_fault
     1.04%     0.00%  ReadStage-85     [kernel.kallsyms]                   [k] asm_exc_page_fault
     1.04%     0.00%  ReadStage-85     [kernel.kallsyms]                   [k] do_page_cache_ra
     1.04%     0.00%  ReadStage-85     [kernel.kallsyms]                   [k] do_user_addr_fault
     1.04%     0.00%  ReadStage-85     [kernel.kallsyms]                   [k] exc_page_fault
     1.04%     0.00%  ReadStage-85     [kernel.kallsyms]                   [k] filemap_fault
     1.04%     0.00%  ReadStage-85     [kernel.kallsyms]                   [k] handle_mm_fault
     1.04%     0.00%  ReadStage-85     [kernel.kallsyms]                   [k] page_cache_ra_unbounded
     1.03%     1.03%  ReadStage-85     [kernel.kallsyms]                   [k] __kmalloc
     1.03%     0.00%  ReadStage-85     [kernel.kallsyms]                   [k] ext4_ext_map_blocks
     1.03%     0.00%  ReadStage-85     [kernel.kallsyms]                   [k] ext4_find_extent
     1.03%     0.00%  ReadStage-85     [kernel.kallsyms]                   [k] ext4_map_blocks
     1.03%     0.00%  ReadStage-85     [kernel.kallsyms]                   [k] ext4_mpage_readpages
     1.03%     0.00%  ReadStage-85     [kernel.kallsyms]                   [k] ext4_readahead
     1.03%     0.00%  ReadStage-85     [kernel.kallsyms]                   [k] read_pages
     1.02%     0.02%  kswapd0          [kernel.kallsyms]                   [k] evict_pages
     1.02%     0.00%  kswapd0          [kernel.kallsyms]                   [k] shrink_lruvec
     0.96%     0.02%  swapper          [kernel.kallsyms]                   [k] schedule_idle
     0.93%     0.00%  swapper          [kernel.kallsyms]                   [k] arch_call_rest_init
     0.93%     0.00%  swapper          [kernel.kallsyms]                   [k] rest_init
     0.93%     0.00%  swapper          [kernel.kallsyms]                   [k] start_kernel
     0.93%     0.00%  swapper          [kernel.kallsyms]                   [k] x86_64_start_kernel
     0.93%     0.00%  swapper          [kernel.kallsyms]                   [k] x86_64_start_reservations
     0.92%     0.17%  swapper          [kernel.kallsyms]                   [k] __schedule
     0.88%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
     0.87%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] do_syscall_64
     0.87%     0.00%  ReadStage-8      [kernel.kallsyms]                   [k] __x64_sys_futex
