# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 866K of event 'cycles'
# Event count (approx.): 1602162872228
#
# Children      Self  Command          Shared Object                        Symbol                                                                                                                                                                                                         
# ........  ........  ...............  ...................................  ...............................................................................................................................................................................................................
#
     0.84%     0.06%  Executor task l  [kernel.kallsyms]                    [k] link_path_walk.part.0
     0.84%     0.00%  G1 Refine#2      [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
     0.83%     0.82%  Executor task l  [kernel.kallsyms]                    [k] __cgroup_account_cputime_field
     0.82%     0.00%  G1 Refine#0      [kernel.kallsyms]                    [k] __run_hrtimer
     0.81%     0.03%  Executor task l  [kernel.kallsyms]                    [k] syscall_exit_to_user_mode
     0.79%     0.00%  G1 Refine#0      [kernel.kallsyms]                    [k] tick_sched_timer
     0.78%     0.00%  Executor task l  [kernel.kallsyms]                    [k] irqentry_exit_to_user_mode
     0.78%     0.00%  G1 Conc#4        [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
     0.78%     0.00%  GC Thread#17     [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
     0.77%     0.00%  G1 Conc#2        [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
     0.77%     0.00%  GC Thread#11     [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
     0.77%     0.00%  GC Thread#17     [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
     0.77%     0.00%  G1 Conc#3        [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
     0.77%     0.00%  GC Thread#11     [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
     0.76%     0.76%  Executor task l  [kernel.kallsyms]                    [k] update_cfs_group
     0.76%     0.00%  G1 Conc#4        [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
     0.76%     0.00%  G1 Refine#3      [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
     0.76%     0.00%  G1 Conc#5        [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
     0.76%     0.00%  G1 Conc#1        [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
     0.76%     0.00%  G1 Conc#0        [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
     0.76%     0.00%  kswapd0          [kernel.kallsyms]                    [k] kswapd
     0.76%     0.00%  kswapd0          [kernel.kallsyms]                    [k] kthread
     0.76%     0.00%  kswapd0          [kernel.kallsyms]                    [k] ret_from_fork
     0.76%     0.56%  Executor task l  [kernel.kallsyms]                    [k] xas_load
     0.76%     0.00%  G1 Conc#2        [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
     0.76%     0.00%  kswapd0          [kernel.kallsyms]                    [k] balance_pgdat
     0.75%     0.00%  kswapd0          [kernel.kallsyms]                    [k] shrink_node
     0.75%     0.00%  G1 Conc#3        [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
