# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 33K of event 'cycles'
# Event count (approx.): 497107380826
#
# Children      Self  Command          Shared Object        Symbol                                                                                                                        
# ........  ........  ...............  ...................  ..............................................................................................................................
#
     1.75%     0.09%  mariadbd         [kernel.kallsyms]    [k] load_balance
     1.71%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] __sys_sendto
     1.71%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] __x64_sys_sendto
     1.70%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] sock_sendmsg
     1.69%     0.02%  tclsh8.6         [kernel.kallsyms]    [k] unix_stream_sendmsg
     1.68%     0.58%  mariadbd         [kernel.kallsyms]    [k] _raw_spin_lock
     1.66%     0.01%  mariadbd         [kernel.kallsyms]    [k] __common_interrupt
     1.65%     0.04%  swapper          [kernel.kallsyms]    [k] ttwu_do_activate
     1.65%     0.00%  mariadbd         [kernel.kallsyms]    [k] bio_iov_iter_get_pages
     1.65%     0.01%  mariadbd         [kernel.kallsyms]    [k] handle_edge_irq
     1.64%     0.02%  mariadbd         [kernel.kallsyms]    [k] __bio_iov_iter_get_pages
     1.64%     0.32%  mariadbd         [kernel.kallsyms]    [k] enqueue_task_fair
     1.64%     0.08%  mariadbd         [kernel.kallsyms]    [k] ttwu_do_activate
     1.64%     0.03%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_poll
     1.64%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] __x64_sys_poll
     1.62%     0.16%  tclsh8.6         [kernel.kallsyms]    [k] do_sys_poll
     1.61%     0.47%  swapper          [kernel.kallsyms]    [k] enqueue_task_fair
     1.60%     0.02%  mariadbd         [kernel.kallsyms]    [k] handle_irq_event
     1.57%     0.08%  mariadbd         [kernel.kallsyms]    [k] do_sys_poll
     1.54%     0.03%  mariadbd         [kernel.kallsyms]    [k] __handle_irq_event_percpu
     1.51%     0.13%  mariadbd         [kernel.kallsyms]    [k] exit_to_user_mode_prepare
     1.51%     0.10%  mariadbd         [kernel.kallsyms]    [k] nvme_process_cq
     1.51%     0.00%  mariadbd         [kernel.kallsyms]    [k] nvme_irq
     1.50%     0.27%  mariadbd         [kernel.kallsyms]    [k] select_idle_sibling
     1.46%     0.00%  swapper          [kernel.kallsyms]    [k] start_kernel
     1.45%     0.02%  swapper          [kernel.kallsyms]    [k] asm_common_interrupt
     1.43%     0.02%  mariadbd         [kernel.kallsyms]    [k] iov_iter_get_pages
     1.42%     0.08%  mariadbd         [kernel.kallsyms]    [k] do_poll.constprop.0
