# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 3314796479708
#
# Children      Self  Command          Shared Object                        Symbol                                                                                                                                                                                                         
# ........  ........  ...............  ...................................  ...............................................................................................................................................................................................................
#
    47.10%     0.05%  Executor task l  [kernel.kallsyms]                    [k] entry_SYSCALL_64_after_hwframe
    47.06%     0.05%  Executor task l  [kernel.kallsyms]                    [k] do_syscall_64
    35.73%     0.04%  Executor task l  [kernel.kallsyms]                    [k] ksys_read
    35.47%     0.06%  Executor task l  [kernel.kallsyms]                    [k] vfs_read
    35.14%     0.12%  Executor task l  [kernel.kallsyms]                    [k] new_sync_read
    34.94%     0.56%  Executor task l  [kernel.kallsyms]                    [k] filemap_read
    26.55%     0.16%  Executor task l  [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
    26.17%     0.06%  Executor task l  [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
    24.66%    23.84%  Executor task l  [kernel.kallsyms]                    [k] copy_user_generic_string
    23.93%     0.33%  Executor task l  [kernel.kallsyms]                    [k] __sysvec_apic_timer_interrupt
    23.49%     0.66%  Executor task l  [kernel.kallsyms]                    [k] hrtimer_interrupt
    22.36%     0.08%  Executor task l  [kernel.kallsyms]                    [k] copy_page_to_iter
    22.27%     0.14%  Executor task l  [kernel.kallsyms]                    [k] copy_page_to_iter_iovec
    20.68%     0.47%  Executor task l  [kernel.kallsyms]                    [k] __hrtimer_run_queues
    20.21%     0.06%  Executor task l  [kernel.kallsyms]                    [k] __run_hrtimer
    19.29%     0.07%  Executor task l  [kernel.kallsyms]                    [k] tick_sched_timer
    18.18%     0.03%  Executor task l  [kernel.kallsyms]                    [k] tick_sched_handle
    18.03%     0.58%  Executor task l  [kernel.kallsyms]                    [k] update_process_times
    13.54%     0.59%  Executor task l  [kernel.kallsyms]                    [k] scheduler_tick
    11.78%     0.12%  Executor task l  [kernel.kallsyms]                    [k] filemap_get_pages
    10.46%     0.09%  Executor task l  [kernel.kallsyms]                    [k] page_cache_ra_unbounded
     9.39%     0.01%  Executor task l  [kernel.kallsyms]                    [k] ksys_write
     9.34%     0.05%  Executor task l  [kernel.kallsyms]                    [k] vfs_write
     9.26%     0.01%  Executor task l  [kernel.kallsyms]                    [k] new_sync_write
     9.23%     0.02%  Executor task l  [kernel.kallsyms]                    [k] ext4_buffered_write_iter
     8.62%     0.07%  Executor task l  [kernel.kallsyms]                    [k] generic_perform_write
     6.18%     0.74%  Executor task l  [kernel.kallsyms]                    [k] task_tick_fair
     5.99%     0.07%  Executor task l  [kernel.kallsyms]                    [k] add_to_page_cache_lru
     5.82%     0.32%  Executor task l  [kernel.kallsyms]                    [k] __alloc_pages
     5.29%     0.56%  Executor task l  [kernel.kallsyms]                    [k] perf_event_task_tick
     5.05%     0.02%  Executor task l  [kernel.kallsyms]                    [k] asm_exc_page_fault
     4.90%     0.01%  Executor task l  [kernel.kallsyms]                    [k] exc_page_fault
