# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 35K of event 'cycles'
# Event count (approx.): 1174223828014
#
# Children      Self  Command          Shared Object         Symbol                                             
# ........  ........  ...............  ....................  ...................................................
#
    66.89%     0.00%  swapper          [kernel.kallsyms]     [k] secondary_startup_64_no_verify
    66.89%     0.00%  swapper          [kernel.kallsyms]     [k] cpu_startup_entry
    66.88%     0.00%  swapper          [kernel.kallsyms]     [k] do_idle
    66.77%     0.00%  swapper          [kernel.kallsyms]     [k] cpuidle_enter
    66.76%     0.01%  swapper          [kernel.kallsyms]     [k] cpuidle_enter_state
    66.45%    62.51%  swapper          [kernel.kallsyms]     [k] mwait_idle_with_hints.constprop.0
    59.20%     0.00%  swapper          [kernel.kallsyms]     [k] start_secondary
    17.70%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] do_syscall_64
    17.70%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
    11.45%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] __x64_sys_write
    11.45%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] ksys_write
    11.45%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] vfs_write
    11.45%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] new_sync_write
    11.45%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] ext4_buffered_write_iter
    11.45%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] ext4_file_write_iter
    11.44%     0.04%  pool-4-thread-1  [kernel.kallsyms]     [k] generic_perform_write
     7.69%     0.00%  swapper          [kernel.kallsyms]     [k] arch_call_rest_init
     7.69%     0.00%  swapper          [kernel.kallsyms]     [k] rest_init
     7.69%     0.00%  swapper          [kernel.kallsyms]     [k] start_kernel
     7.69%     0.00%  swapper          [kernel.kallsyms]     [k] x86_64_start_kernel
     7.69%     0.00%  swapper          [kernel.kallsyms]     [k] x86_64_start_reservations
     6.16%     0.05%  pool-4-thread-1  [kernel.kallsyms]     [k] ext4_da_write_begin
     5.31%     0.29%  pool-4-thread-1  [kernel.kallsyms]     [k] add_to_page_cache_lru
     5.24%     0.08%  pool-4-thread-1  [kernel.kallsyms]     [k] filemap_read
     5.24%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] __x64_sys_read
     5.24%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] ext4_file_read_iter
     5.24%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] generic_file_read_iter
     5.24%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] ksys_read
     5.24%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] new_sync_read
     5.24%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] vfs_read
