# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 11344016313642
#
# Children      Self  Command          Shared Object       Symbol                                             
# ........  ........  ...............  ..................  ...................................................
#
     2.11%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] entry_SYSCALL_64_after_hwframe
     2.11%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] do_syscall_64
     2.10%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] ksys_write
     2.10%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] __x64_sys_write
     2.10%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] vfs_write
     2.10%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] ext4_buffered_write_iter
     2.10%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] ext4_file_write_iter
     2.10%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] new_sync_write
     2.10%     0.01%  InMemoryMerger   [kernel.kallsyms]   [k] generic_perform_write
     1.90%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] grab_cache_page_write_begin
     1.89%     1.88%  LocalJobRunner   [kernel.kallsyms]   [k] clear_page_erms
     1.89%     0.03%  LocalJobRunner   [kernel.kallsyms]   [k] pagecache_get_page
     1.82%     0.05%  java             [kernel.kallsyms]   [k] __alloc_pages
     1.74%     0.04%  LocalJobRunner   [kernel.kallsyms]   [k] alloc_pages_vma
     1.67%     0.00%  swapper          [kernel.kallsyms]   [k] arch_call_rest_init
     1.67%     0.00%  swapper          [kernel.kallsyms]   [k] rest_init
     1.67%     0.00%  swapper          [kernel.kallsyms]   [k] start_kernel
     1.67%     0.00%  swapper          [kernel.kallsyms]   [k] x86_64_start_kernel
     1.67%     0.00%  swapper          [kernel.kallsyms]   [k] x86_64_start_reservations
     1.65%     0.01%  localfetcher#1   [kernel.kallsyms]   [k] exc_page_fault
     1.61%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] filemap_get_pages
     1.61%     0.02%  localfetcher#1   [kernel.kallsyms]   [k] do_user_addr_fault
     1.57%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] ondemand_readahead
     1.56%     0.02%  localfetcher#1   [kernel.kallsyms]   [k] page_cache_ra_unbounded
     1.55%     0.03%  localfetcher#1   [kernel.kallsyms]   [k] handle_mm_fault
     1.52%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] page_cache_async_ra
     1.46%     0.10%  localfetcher#1   [kernel.kallsyms]   [k] __handle_mm_fault
     1.39%     1.38%  java             [kernel.kallsyms]   [k] native_queued_spin_lock_slowpath
     1.35%     0.01%  java             [kernel.kallsyms]   [k] alloc_pages_vma
     1.32%     0.12%  LocalJobRunner   [kernel.kallsyms]   [k] __mem_cgroup_charge
     1.25%     0.01%  pool-4-thread-1  [kernel.kallsyms]   [k] ext4_da_write_begin
     1.24%     1.22%  java             [kernel.kallsyms]   [k] sync_regs
