# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 3563448274621
#
# Children      Self  Command          Shared Object                       Symbol                                                                                                                                                                                               
# ........  ........  ...............  ..................................  .....................................................................................................................................................................................................
#
    46.84%     0.05%  Executor task l  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
    46.79%     0.05%  Executor task l  [kernel.kallsyms]                   [k] do_syscall_64
    35.18%     0.03%  Executor task l  [kernel.kallsyms]                   [k] ksys_read
    34.93%     0.07%  Executor task l  [kernel.kallsyms]                   [k] vfs_read
    34.58%     0.12%  Executor task l  [kernel.kallsyms]                   [k] new_sync_read
    34.38%     0.50%  Executor task l  [kernel.kallsyms]                   [k] filemap_read
    26.12%     0.16%  Executor task l  [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
    25.31%     0.05%  Executor task l  [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
    25.00%    24.14%  Executor task l  [kernel.kallsyms]                   [k] copy_user_generic_string
    23.07%     0.32%  Executor task l  [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
    22.66%     0.57%  Executor task l  [kernel.kallsyms]                   [k] hrtimer_interrupt
    22.56%     0.05%  Executor task l  [kernel.kallsyms]                   [k] copy_page_to_iter
    22.50%     0.10%  Executor task l  [kernel.kallsyms]                   [k] copy_page_to_iter_iovec
    20.08%     0.44%  Executor task l  [kernel.kallsyms]                   [k] __hrtimer_run_queues
    19.64%     0.04%  Executor task l  [kernel.kallsyms]                   [k] __run_hrtimer
    18.73%     0.09%  Executor task l  [kernel.kallsyms]                   [k] tick_sched_timer
    17.61%     0.09%  Executor task l  [kernel.kallsyms]                   [k] tick_sched_handle
    17.38%     0.67%  Executor task l  [kernel.kallsyms]                   [k] update_process_times
    12.86%     0.59%  Executor task l  [kernel.kallsyms]                   [k] scheduler_tick
    10.94%     0.12%  Executor task l  [kernel.kallsyms]                   [k] filemap_get_pages
     9.44%     0.19%  Executor task l  [kernel.kallsyms]                   [k] page_cache_ra_unbounded
     9.43%     0.01%  Executor task l  [kernel.kallsyms]                   [k] ksys_write
     9.36%     0.08%  Executor task l  [kernel.kallsyms]                   [k] vfs_write
     9.26%     0.02%  Executor task l  [kernel.kallsyms]                   [k] new_sync_write
     9.22%     0.02%  Executor task l  [kernel.kallsyms]                   [k] ext4_buffered_write_iter
     8.56%     0.07%  Executor task l  [kernel.kallsyms]                   [k] generic_perform_write
     5.86%     0.71%  Executor task l  [kernel.kallsyms]                   [k] task_tick_fair
     5.20%     0.34%  Executor task l  [kernel.kallsyms]                   [k] __alloc_pages
     5.14%     0.04%  Executor task l  [kernel.kallsyms]                   [k] add_to_page_cache_lru
     5.09%     0.53%  Executor task l  [kernel.kallsyms]                   [k] perf_event_task_tick
     4.73%     0.04%  Executor task l  [kernel.kallsyms]                   [k] asm_exc_page_fault
     4.56%     2.27%  Executor task l  [kernel.kallsyms]                   [k] perf_adjust_freq_unthr_context
     4.54%     0.01%  Executor task l  [kernel.kallsyms]                   [k] exc_page_fault
     4.44%     0.02%  Executor task l  [kernel.kallsyms]                   [k] do_user_addr_fault
     4.22%     0.18%  Executor task l  [kernel.kallsyms]                   [k] get_page_from_freelist
     4.12%     0.02%  Executor task l  [kernel.kallsyms]                   [k] handle_mm_fault
     4.05%     0.05%  Executor task l  [kernel.kallsyms]                   [k] __handle_mm_fault
     4.00%     0.04%  Executor task l  [kernel.kallsyms]                   [k] do_anonymous_page
     3.85%     0.45%  Executor task l  [kernel.kallsyms]                   [k] __add_to_page_cache_locked
     3.65%     0.07%  Executor task l  [kernel.kallsyms]                   [k] ext4_da_write_begin
     2.91%     0.04%  Executor task l  [kernel.kallsyms]                   [k] alloc_pages_vma
     2.75%     0.00%  kswapd0          [kernel.kallsyms]                   [k] kswapd
     2.75%     0.00%  kswapd0          [kernel.kallsyms]                   [k] kthread
     2.75%     0.00%  kswapd0          [kernel.kallsyms]                   [k] ret_from_fork
     2.75%     0.10%  Executor task l  [kernel.kallsyms]                   [k] copy_page_from_iter_atomic
     2.74%     0.00%  kswapd0          [kernel.kallsyms]                   [k] balance_pgdat
     2.74%     0.00%  kswapd0          [kernel.kallsyms]                   [k] shrink_node
     2.74%     0.01%  kswapd0          [kernel.kallsyms]                   [k] shrink_node_memcgs
     2.68%     0.04%  Executor task l  [kernel.kallsyms]                   [k] read_pages
     2.59%     0.00%  kswapd0          [kernel.kallsyms]                   [k] shrink_lruvec
     2.53%     0.01%  kswapd0          [kernel.kallsyms]                   [k] shrink_inactive_list
     2.38%     1.08%  Executor task l  [kernel.kallsyms]                   [k] update_load_avg
     2.12%     0.12%  kswapd0          [kernel.kallsyms]                   [k] shrink_page_list
     1.99%     0.02%  Executor task l  [kernel.kallsyms]                   [k] kernel_init_free_pages.part.0
     1.96%     1.90%  Executor task l  [kernel.kallsyms]                   [k] clear_page_rep
     1.94%     0.32%  Executor task l  [kernel.kallsyms]                   [k] rmqueue
     1.92%     0.03%  Executor task l  [kernel.kallsyms]                   [k] amd_pmu_disable_all
     1.87%     1.87%  Executor task l  [kernel.kallsyms]                   [k] native_queued_spin_lock_slowpath.part.0
     1.81%     0.22%  Executor task l  [kernel.kallsyms]                   [k] ext4_mpage_readpages
     1.70%     0.10%  Executor task l  [kernel.kallsyms]                   [k] ext4_da_write_end
     1.67%     0.90%  Executor task l  [kernel.kallsyms]                   [k] account_user_time
     1.61%     0.18%  Executor task l  [kernel.kallsyms]                   [k] __irq_exit_rcu
     1.57%     0.06%  Executor task l  [kernel.kallsyms]                   [k] __block_write_begin_int
     1.55%     0.00%  Executor task l  [kernel.kallsyms]                   [k] grab_cache_page_write_begin
     1.54%     0.03%  Executor task l  [kernel.kallsyms]                   [k] pagecache_get_page
     1.51%     0.05%  Executor task l  [kernel.kallsyms]                   [k] __mark_inode_dirty
     1.42%     1.24%  Executor task l  [kernel.kallsyms]                   [k] x86_pmu_disable_all
     1.42%     0.00%  Executor task l  [kernel.kallsyms]                   [k] asm_common_interrupt
     1.41%     0.85%  Executor task l  [kernel.kallsyms]                   [k] update_curr
     1.40%     0.01%  Executor task l  [kernel.kallsyms]                   [k] common_interrupt
     1.37%     0.02%  Executor task l  [kernel.kallsyms]                   [k] ext4_dirty_inode
     1.37%     0.03%  Executor task l  [kernel.kallsyms]                   [k] generic_write_end
     1.31%     0.25%  Executor task l  [kernel.kallsyms]                   [k] _raw_spin_lock_irq
     1.27%     0.15%  Executor task l  [kernel.kallsyms]                   [k] lru_cache_add
     1.25%     0.03%  Executor task l  [kernel.kallsyms]                   [k] __common_interrupt
     1.24%     0.83%  Executor task l  [kernel.kallsyms]                   [k] rmqueue_bulk
     1.23%     0.04%  Executor task l  [kernel.kallsyms]                   [k] handle_edge_irq
     1.21%     0.72%  Executor task l  [kernel.kallsyms]                   [k] filemap_get_read_batch
     1.20%     1.16%  Executor task l  [kernel.kallsyms]                   [k] ktime_get_update_offsets_now
     1.19%     0.11%  Executor task l  [kernel.kallsyms]                   [k] rcu_sched_clock_irq
     1.16%     0.74%  Executor task l  [kernel.kallsyms]                   [k] xas_load
     1.15%     0.01%  Executor task l  [kernel.kallsyms]                   [k] __ext4_mark_inode_dirty
     1.13%     0.16%  Executor task l  [kernel.kallsyms]                   [k] __softirqentry_text_start
     1.12%     0.02%  Executor task l  [kernel.kallsyms]                   [k] handle_irq_event
     1.12%     0.13%  Executor task l  [kernel.kallsyms]                   [k] __pagevec_lru_add
     1.11%     0.04%  Executor task l  [kernel.kallsyms]                   [k] mem_cgroup_charge
     1.05%     0.03%  Executor task l  [kernel.kallsyms]                   [k] __handle_irq_event_percpu
     1.02%     0.00%  Executor task l  [kernel.kallsyms]                   [k] nvme_irq
     1.02%     0.11%  Executor task l  [kernel.kallsyms]                   [k] nvme_process_cq
     1.02%     0.13%  Executor task l  [kernel.kallsyms]                   [k] exit_to_user_mode_prepare
     1.00%     0.00%  swapper          [kernel.kallsyms]                   [k] cpu_startup_entry
     1.00%     0.00%  swapper          [kernel.kallsyms]                   [k] secondary_startup_64_no_verify
     1.00%     0.01%  swapper          [kernel.kallsyms]                   [k] do_idle
     0.96%     0.44%  Executor task l  [kernel.kallsyms]                   [k] rcu_pending
     0.95%     0.28%  Executor task l  [kernel.kallsyms]                   [k] _raw_spin_lock_irqsave
     0.95%     0.00%  Executor task l  [kernel.kallsyms]                   [k] __alloc_pages_slowpath.constprop.0
     0.92%     0.42%  Executor task l  [kernel.kallsyms]                   [k] kmem_cache_alloc
     0.91%     0.07%  kswapd0          [kernel.kallsyms]                   [k] __remove_mapping
     0.87%     0.01%  Executor task l  [kernel.kallsyms]                   [k] irqentry_exit_to_user_mode
     0.86%     0.01%  swapper          [kernel.kallsyms]                   [k] cpuidle_idle_call
     0.83%     0.76%  Executor task l  [kernel.kallsyms]                   [k] ktime_get
     0.81%     0.00%  kworker/u64:36-  [kernel.kallsyms]                   [k] worker_thread
     0.81%     0.00%  kworker/u64:36-  [kernel.kallsyms]                   [k] kthread
     0.81%     0.00%  kworker/u64:36-  [kernel.kallsyms]                   [k] ret_from_fork
     0.81%     0.00%  kworker/u64:36-  [kernel.kallsyms]                   [k] process_one_work
     0.79%     0.01%  Executor task l  [kernel.kallsyms]                   [k] blk_finish_plug
     0.78%     0.00%  Executor task l  [kernel.kallsyms]                   [k] __x64_sys_openat
     0.78%     0.00%  Executor task l  [kernel.kallsyms]                   [k] do_sys_openat2
     0.77%     0.02%  Executor task l  [kernel.kallsyms]                   [k] blk_mq_flush_plug_list
     0.75%     0.04%  Executor task l  [kernel.kallsyms]                   [k] exit_to_user_mode_loop
     0.75%     0.01%  Executor task l  [kernel.kallsyms]                   [k] blk_mq_sched_insert_requests
     0.73%     0.02%  Executor task l  [kernel.kallsyms]                   [k] blk_mq_try_issue_list_directly
     0.73%     0.00%  swapper          [kernel.kallsyms]                   [k] cpuidle_enter
     0.73%     0.01%  swapper          [kernel.kallsyms]                   [k] cpuidle_enter_state
     0.72%     0.63%  Executor task l  [kernel.kallsyms]                   [k] __update_load_avg_se
     0.70%     0.02%  Executor task l  [kernel.kallsyms]                   [k] ext4_mark_iloc_dirty
     0.70%     0.02%  Executor task l  [kernel.kallsyms]                   [k] __blk_mq_try_issue_directly
     0.69%     0.34%  Executor task l  [kernel.kallsyms]                   [k] update_rq_clock_task
     0.69%     0.33%  Executor task l  [kernel.kallsyms]                   [k] __cgroup_account_cputime_field
     0.68%     0.03%  Executor task l  [kernel.kallsyms]                   [k] schedule
     0.68%     0.01%  Executor task l  [kernel.kallsyms]                   [k] do_filp_open
     0.68%     0.11%  Executor task l  [kernel.kallsyms]                   [k] __schedule
     0.67%     0.00%  Executor task l  [kernel.kallsyms]                   [k] path_openat
     0.67%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] kcompactd
     0.67%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] kthread
     0.67%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] ret_from_fork
     0.67%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] compact_zone
     0.66%     0.08%  Executor task l  [kernel.kallsyms]                   [k] nvme_queue_rq
     0.66%     0.00%  kworker/u64:39-  [kernel.kallsyms]                   [k] worker_thread
     0.66%     0.00%  kworker/u64:39-  [kernel.kallsyms]                   [k] kthread
     0.66%     0.00%  kworker/u64:39-  [kernel.kallsyms]                   [k] ret_from_fork
     0.65%     0.00%  kworker/u64:39-  [kernel.kallsyms]                   [k] process_one_work
     0.65%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] migrate_pages
     0.64%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] unmap_and_move
     0.64%     0.01%  Executor task l  [kernel.kallsyms]                   [k] __submit_bio_noacct_mq
     0.63%     0.22%  Executor task l  [kernel.kallsyms]                   [k] ext4_do_update_inode.isra.0
     0.62%     0.28%  Executor task l  [kernel.kallsyms]                   [k] __mod_lruvec_page_state
     0.62%     0.62%  Executor task l  [kernel.kallsyms]                   [k] __list_del_entry_valid
     0.62%     0.04%  Executor task l  [kernel.kallsyms]                   [k] blk_mq_submit_bio
     0.62%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] proactive_compact_node
     0.60%     0.03%  Executor task l  [kernel.kallsyms]                   [k] __ext4_journal_start_sb
     0.60%     0.19%  Executor task l  [kernel.kallsyms]                   [k] __pagevec_lru_add_fn
     0.59%     0.06%  Executor task l  [kernel.kallsyms]                   [k] __mem_cgroup_charge
     0.58%     0.57%  Executor task l  [kernel.kallsyms]                   [k] __update_load_avg_cfs_rq
     0.57%     0.01%  Executor task l  [kernel.kallsyms]                   [k] file_update_time
     0.57%     0.56%  Executor task l  [kernel.kallsyms]                   [k] memset
     0.57%     0.00%  Executor task l  [kernel.kallsyms]                   [k] try_to_free_pages
     0.57%     0.00%  Executor task l  [kernel.kallsyms]                   [k] do_try_to_free_pages
     0.57%     0.00%  Executor task l  [kernel.kallsyms]                   [k] shrink_node_memcgs
     0.57%     0.00%  Executor task l  [kernel.kallsyms]                   [k] shrink_node
     0.57%     0.00%  Executor task l  [kernel.kallsyms]                   [k] shrink_zones
     0.56%     0.14%  Executor task l  [kernel.kallsyms]                   [k] xas_store
     0.56%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] __unmap_and_move
     0.56%     0.00%  Executor task l  [kernel.kallsyms]                   [k] shrink_lruvec
     0.56%     0.00%  Executor task l  [kernel.kallsyms]                   [k] shrink_inactive_list
     0.56%     0.56%  Executor task l  [kernel.kallsyms]                   [k] update_cfs_group
     0.55%     0.40%  Executor task l  [kernel.kallsyms]                   [k] _raw_spin_lock
     0.55%     0.01%  Executor task l  [kernel.kallsyms]                   [k] blk_mq_end_request
     0.55%     0.29%  Executor task l  [kernel.kallsyms]                   [k] irqtime_account_irq
     0.54%     0.00%  Executor task l  [kernel.kallsyms]                   [k] shrink_page_list
     0.54%     0.00%  Executor task l  [kernel.kallsyms]                   [k] generic_update_time
     0.54%     0.02%  Executor task l  [kernel.kallsyms]                   [k] create_page_buffers
     0.53%     0.53%  Executor task l  [kernel.kallsyms]                   [k] hrtimer_active
     0.53%     0.00%  kworker/u64:36-  [kernel.kallsyms]                   [k] wb_workfn
     0.53%     0.00%  kworker/u64:36-  [kernel.kallsyms]                   [k] wb_do_writeback
     0.53%     0.00%  kworker/u64:36-  [kernel.kallsyms]                   [k] wb_writeback
     0.53%     0.00%  kworker/u64:36-  [kernel.kallsyms]                   [k] writeback_sb_inodes
     0.53%     0.00%  kworker/u64:36-  [kernel.kallsyms]                   [k] __writeback_inodes_wb
     0.53%     0.00%  kworker/u64:36-  [kernel.kallsyms]                   [k] __writeback_single_inode
     0.53%     0.00%  kworker/u64:36-  [kernel.kallsyms]                   [k] do_writepages
     0.53%     0.00%  kworker/u64:36-  [kernel.kallsyms]                   [k] ext4_writepages
     0.52%     0.05%  Executor task l  [kernel.kallsyms]                   [k] jbd2__journal_start
     0.51%     0.03%  Executor task l  [kernel.kallsyms]                   [k] create_empty_buffers
     0.51%     0.01%  Executor task l  [kernel.kallsyms]                   [k] __remove_mapping
     0.50%     0.03%  Executor task l  [kernel.kallsyms]                   [k] zero_user_segments
     0.50%     0.02%  Executor task l  [kernel.kallsyms]                   [k] syscall_exit_to_user_mode
     0.48%     0.04%  kswapd0          [kernel.kallsyms]                   [k] page_cache_delete
     0.48%     0.46%  Executor task l  [kernel.kallsyms]                   [k] get_mem_cgroup_from_mm
     0.48%     0.04%  Executor task l  [kernel.kallsyms]                   [k] alloc_page_buffers
     0.48%     0.14%  Executor task l  [kernel.kallsyms]                   [k] amd_pmu_wait_on_overflow
     0.48%     0.46%  Executor task l  [kernel.kallsyms]                   [k] cgroup_rstat_updated
     0.45%     0.45%  Executor task l  [kernel.kallsyms]                   [k] check_cpu_stall
     0.45%     0.08%  Executor task l  [kernel.kallsyms]                   [k] blk_update_request
     0.45%     0.12%  Executor task l  [kernel.kallsyms]                   [k] clockevents_program_event
     0.44%     0.02%  Executor task l  [kernel.kallsyms]                   [k] alloc_buffer_head
     0.44%     0.05%  kswapd0          [kernel.kallsyms]                   [k] free_unref_page_list
     0.43%     0.02%  Executor task l  [kernel.kallsyms]                   [k] ext4_reserve_inode_write
     0.43%     0.42%  Executor task l  [kernel.kallsyms]                   [k] xas_start
     0.42%     0.04%  Executor task l  [kernel.kallsyms]                   [k] nvme_map_data
     0.41%     0.41%  Executor task l  [kernel.kallsyms]                   [k] __irqentry_text_end
     0.39%     0.05%  Executor task l  [kernel.kallsyms]                   [k] rcu_core
     0.39%     0.04%  Executor task l  [kernel.kallsyms]                   [k] xa_load
     0.39%     0.02%  Executor task l  [kernel.kallsyms]                   [k] ext4_da_get_block_prep
     0.38%     0.28%  Executor task l  [kernel.kallsyms]                   [k] __mod_memcg_lruvec_state
     0.37%     0.06%  kswapd0          [kernel.kallsyms]                   [k] xas_store
     0.37%     0.05%  Executor task l  [kernel.kallsyms]                   [k] ext4_da_map_blocks.constprop.0
     0.37%     0.03%  Executor task l  [kernel.kallsyms]                   [k] __block_commit_write.constprop.0.isra.0
     0.36%     0.15%  Executor task l  [kernel.kallsyms]                   [k] tick_sched_do_timer
     0.35%     0.00%  kworker/u64:39-  [kernel.kallsyms]                   [k] wb_workfn
     0.35%     0.00%  kworker/u64:39-  [kernel.kallsyms]                   [k] wb_do_writeback
     0.35%     0.08%  kswapd0          [kernel.kallsyms]                   [k] isolate_lru_pages
     0.35%     0.00%  kworker/u64:39-  [kernel.kallsyms]                   [k] wb_writeback
     0.35%     0.00%  kworker/u64:39-  [kernel.kallsyms]                   [k] __writeback_inodes_wb
     0.35%     0.00%  kworker/u64:39-  [kernel.kallsyms]                   [k] writeback_sb_inodes
     0.35%     0.00%  kworker/u64:39-  [kernel.kallsyms]                   [k] __writeback_single_inode
     0.35%     0.35%  Executor task l  [kernel.kallsyms]                   [k] update_irq_load_avg
     0.35%     0.00%  kworker/u64:39-  [kernel.kallsyms]                   [k] do_writepages
     0.35%     0.00%  kworker/u64:39-  [kernel.kallsyms]                   [k] ext4_writepages
     0.35%     0.11%  Executor task l  [kernel.kallsyms]                   [k] timerqueue_del
     0.35%     0.31%  Executor task l  [kernel.kallsyms]                   [k] sched_slice
     0.34%     0.01%  Executor task l  [kernel.kallsyms]                   [k] __x64_sys_futex
     0.34%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] rmap_walk_anon
     0.34%     0.00%  Executor task l  [kernel.kallsyms]                   [k] do_futex
     0.34%     0.19%  Executor task l  [kernel.kallsyms]                   [k] start_this_handle
     0.33%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] try_to_migrate
     0.33%     0.05%  Executor task l  [kernel.kallsyms]                   [k] load_balance
     0.33%     0.07%  Executor task l  [kernel.kallsyms]                   [k] pick_next_task_fair
     0.33%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] try_to_migrate_one
     0.33%     0.03%  kswapd0          [kernel.kallsyms]                   [k] free_pcppages_bulk
