# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 64K of event 'cycles'
# Event count (approx.): 948710939994
#
# Children      Self  Command          Shared Object        Symbol                                                                                                                                                                        
# ........  ........  ...............  ...................  ..............................................................................................................................................................................
#
    34.11%     0.06%  swapper          [kernel.kallsyms]    [k] cpu_startup_entry
    34.11%     0.00%  swapper          [kernel.kallsyms]    [k] secondary_startup_64_no_verify
    34.04%     0.20%  swapper          [kernel.kallsyms]    [k] do_idle
    32.84%     0.21%  mariadbd         [kernel.kallsyms]    [k] entry_SYSCALL_64_after_hwframe
    32.62%     0.20%  mariadbd         [kernel.kallsyms]    [k] do_syscall_64
    28.11%     0.31%  swapper          [kernel.kallsyms]    [k] cpuidle_idle_call
    24.17%     0.03%  swapper          [kernel.kallsyms]    [k] cpuidle_enter
    24.13%     0.33%  swapper          [kernel.kallsyms]    [k] cpuidle_enter_state
    14.74%     0.22%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_futex
    14.51%     0.17%  mariadbd         [kernel.kallsyms]    [k] do_futex
    11.31%    10.96%  swapper          [kernel.kallsyms]    [k] poll_idle
     8.93%     0.22%  mariadbd         [kernel.kallsyms]    [k] schedule
     8.76%     0.93%  mariadbd         [kernel.kallsyms]    [k] __schedule
     7.74%     0.40%  mariadbd         [kernel.kallsyms]    [k] futex_wait
     6.94%     0.18%  swapper          [kernel.kallsyms]    [k] acpi_idle_enter
     6.85%     0.44%  mariadbd         [kernel.kallsyms]    [k] try_to_wake_up
     6.60%     0.44%  mariadbd         [kernel.kallsyms]    [k] futex_wake
     6.20%     0.18%  mariadbd         [kernel.kallsyms]    [k] futex_wait_queue_me
     6.05%     0.00%  mariadbd         [kernel.kallsyms]    [k] iomap_dio_rw
     6.04%     0.19%  mariadbd         [kernel.kallsyms]    [k] __iomap_dio_rw
     5.48%     0.04%  tclsh8.6         [kernel.kallsyms]    [k] entry_SYSCALL_64_after_hwframe
     5.44%     0.05%  tclsh8.6         [kernel.kallsyms]    [k] do_syscall_64
     5.27%     0.03%  mariadbd         [kernel.kallsyms]    [k] handle_mm_fault
     5.21%     0.06%  mariadbd         [kernel.kallsyms]    [k] __handle_mm_fault
     5.13%     0.04%  mariadbd         [kernel.kallsyms]    [k] wake_up_q
     5.10%     0.01%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_pread64
     5.08%     0.03%  mariadbd         [kernel.kallsyms]    [k] vfs_read
     4.97%     0.07%  mariadbd         [kernel.kallsyms]    [k] new_sync_read
     4.97%     0.03%  mariadbd         [kernel.kallsyms]    [k] ext4_dio_read_iter
     4.59%     0.02%  mariadbd         [kernel.kallsyms]    [k] asm_exc_page_fault
     4.54%     0.00%  mariadbd         [kernel.kallsyms]    [k] exc_page_fault
     4.53%     0.01%  mariadbd         [kernel.kallsyms]    [k] do_user_addr_fault
     3.69%     0.06%  mariadbd         [kernel.kallsyms]    [k] iomap_apply
     3.65%     0.01%  mariadbd         [kernel.kallsyms]    [k] asm_sysvec_apic_timer_interrupt
     3.62%     0.00%  mariadbd         [kernel.kallsyms]    [k] sysvec_apic_timer_interrupt
     3.43%     3.43%  swapper          [kernel.kallsyms]    [k] acpi_idle_do_entry
     3.26%     3.26%  swapper          [kernel.kallsyms]    [k] mwait_idle_with_hints
     3.16%     0.05%  mariadbd         [kernel.kallsyms]    [k] do_swap_page
     3.05%     0.01%  mariadbd         [kernel.kallsyms]    [k] __sysvec_apic_timer_interrupt
     3.04%     0.07%  swapper          [kernel.kallsyms]    [k] schedule_idle
     3.04%     0.02%  mariadbd         [kernel.kallsyms]    [k] hrtimer_interrupt
     2.96%     0.41%  swapper          [kernel.kallsyms]    [k] __schedule
     2.92%     0.07%  mariadbd         [kernel.kallsyms]    [k] iomap_dio_bio_actor
     2.88%     0.16%  mariadbd         [kernel.kallsyms]    [k] pick_next_task_fair
     2.87%     0.33%  mariadbd         [kernel.kallsyms]    [k] dequeue_task_fair
     2.82%     0.02%  mariadbd         [kernel.kallsyms]    [k] __hrtimer_run_queues
     2.82%     0.00%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_sendto
     2.82%     0.02%  mariadbd         [kernel.kallsyms]    [k] __sys_sendto
     2.81%     0.01%  mariadbd         [kernel.kallsyms]    [k] __run_hrtimer
     2.77%     0.01%  mariadbd         [kernel.kallsyms]    [k] sock_sendmsg
     2.75%     0.31%  mariadbd         [kernel.kallsyms]    [k] select_task_rq_fair
     2.75%     0.01%  mariadbd         [kernel.kallsyms]    [k] tick_sched_timer
     2.67%     0.05%  mariadbd         [kernel.kallsyms]    [k] unix_stream_sendmsg
     2.64%     0.01%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_io_submit
     2.62%     0.01%  mariadbd         [kernel.kallsyms]    [k] io_submit_one
     2.47%     0.01%  mariadbd         [kernel.kallsyms]    [k] tick_sched_handle
     2.46%     0.10%  mariadbd         [kernel.kallsyms]    [k] update_process_times
     2.46%     0.01%  mariadbd         [kernel.kallsyms]    [k] aio_write
     2.44%     0.29%  swapper          [kernel.kallsyms]    [k] asm_sysvec_call_function_single
     2.40%     0.01%  mariadbd         [kernel.kallsyms]    [k] ext4_dio_write_iter
     2.37%     0.08%  mariadbd         [kernel.kallsyms]    [k] syscall_exit_to_user_mode
     2.29%     0.20%  mariadbd         [kernel.kallsyms]    [k] newidle_balance
     2.22%     0.24%  mariadbd         [kernel.kallsyms]    [k] dequeue_entity
