# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 3711587571772
#
# Children      Self  Command          Shared Object                       Symbol                                                                                                                                                                                               
# ........  ........  ...............  ..................................  .....................................................................................................................................................................................................
#
    48.62%     0.05%  Executor task l  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
    48.57%     0.05%  Executor task l  [kernel.kallsyms]                   [k] do_syscall_64
    36.37%     0.03%  Executor task l  [kernel.kallsyms]                   [k] ksys_read
    36.11%     0.07%  Executor task l  [kernel.kallsyms]                   [k] vfs_read
    35.77%     0.15%  Executor task l  [kernel.kallsyms]                   [k] new_sync_read
    35.54%     0.49%  Executor task l  [kernel.kallsyms]                   [k] filemap_read
    26.37%    25.43%  Executor task l  [kernel.kallsyms]                   [k] copy_user_generic_string
    25.74%     0.17%  Executor task l  [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
    24.76%     0.05%  Executor task l  [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
    23.88%     0.07%  Executor task l  [kernel.kallsyms]                   [k] copy_page_to_iter
    23.81%     0.13%  Executor task l  [kernel.kallsyms]                   [k] copy_page_to_iter_iovec
    22.59%     0.31%  Executor task l  [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
    22.18%     0.60%  Executor task l  [kernel.kallsyms]                   [k] hrtimer_interrupt
    19.65%     0.47%  Executor task l  [kernel.kallsyms]                   [k] __hrtimer_run_queues
    19.18%     0.04%  Executor task l  [kernel.kallsyms]                   [k] __run_hrtimer
    18.34%     0.07%  Executor task l  [kernel.kallsyms]                   [k] tick_sched_timer
    17.32%     0.06%  Executor task l  [kernel.kallsyms]                   [k] tick_sched_handle
    17.12%     0.59%  Executor task l  [kernel.kallsyms]                   [k] update_process_times
    12.76%     0.54%  Executor task l  [kernel.kallsyms]                   [k] scheduler_tick
    10.72%     0.11%  Executor task l  [kernel.kallsyms]                   [k] filemap_get_pages
     9.82%     0.01%  Executor task l  [kernel.kallsyms]                   [k] ksys_write
     9.75%     0.08%  Executor task l  [kernel.kallsyms]                   [k] vfs_write
     9.64%     0.03%  Executor task l  [kernel.kallsyms]                   [k] new_sync_write
     9.59%     0.02%  Executor task l  [kernel.kallsyms]                   [k] ext4_buffered_write_iter
     9.22%     0.17%  Executor task l  [kernel.kallsyms]                   [k] page_cache_ra_unbounded
     8.87%     0.07%  Executor task l  [kernel.kallsyms]                   [k] generic_perform_write
     6.01%     0.64%  Executor task l  [kernel.kallsyms]                   [k] task_tick_fair
     5.35%     0.38%  Executor task l  [kernel.kallsyms]                   [k] __alloc_pages
     5.00%     0.04%  Executor task l  [kernel.kallsyms]                   [k] add_to_page_cache_lru
     4.97%     0.03%  Executor task l  [kernel.kallsyms]                   [k] asm_exc_page_fault
     4.92%     0.49%  Executor task l  [kernel.kallsyms]                   [k] perf_event_task_tick
     4.77%     0.01%  Executor task l  [kernel.kallsyms]                   [k] exc_page_fault
     4.67%     0.02%  Executor task l  [kernel.kallsyms]                   [k] do_user_addr_fault
     4.43%     2.24%  Executor task l  [kernel.kallsyms]                   [k] perf_adjust_freq_unthr_context
     4.30%     0.03%  Executor task l  [kernel.kallsyms]                   [k] handle_mm_fault
     4.22%     0.06%  Executor task l  [kernel.kallsyms]                   [k] __handle_mm_fault
     4.14%     0.05%  Executor task l  [kernel.kallsyms]                   [k] do_anonymous_page
     4.10%     0.20%  Executor task l  [kernel.kallsyms]                   [k] get_page_from_freelist
     3.79%     0.08%  Executor task l  [kernel.kallsyms]                   [k] ext4_da_write_begin
     3.65%     0.46%  Executor task l  [kernel.kallsyms]                   [k] __add_to_page_cache_locked
     3.08%     0.03%  Executor task l  [kernel.kallsyms]                   [k] alloc_pages_vma
     2.93%     0.00%  kswapd0          [kernel.kallsyms]                   [k] kswapd
     2.93%     0.00%  kswapd0          [kernel.kallsyms]                   [k] kthread
     2.93%     0.00%  kswapd0          [kernel.kallsyms]                   [k] ret_from_fork
     2.92%     0.00%  kswapd0          [kernel.kallsyms]                   [k] balance_pgdat
     2.91%     0.00%  kswapd0          [kernel.kallsyms]                   [k] shrink_node
     2.91%     0.00%  kswapd0          [kernel.kallsyms]                   [k] shrink_node_memcgs
     2.88%     0.12%  Executor task l  [kernel.kallsyms]                   [k] copy_page_from_iter_atomic
     2.75%     0.00%  kswapd0          [kernel.kallsyms]                   [k] shrink_lruvec
     2.73%     0.04%  Executor task l  [kernel.kallsyms]                   [k] read_pages
     2.66%     0.01%  kswapd0          [kernel.kallsyms]                   [k] shrink_inactive_list
     2.54%     1.15%  Executor task l  [kernel.kallsyms]                   [k] update_load_avg
     2.19%     0.12%  kswapd0          [kernel.kallsyms]                   [k] shrink_page_list
     1.97%     0.02%  Executor task l  [kernel.kallsyms]                   [k] kernel_init_free_pages.part.0
     1.96%     1.96%  Executor task l  [kernel.kallsyms]                   [k] native_queued_spin_lock_slowpath.part.0
     1.95%     1.89%  Executor task l  [kernel.kallsyms]                   [k] clear_page_rep
     1.87%     0.22%  Executor task l  [kernel.kallsyms]                   [k] ext4_mpage_readpages
     1.83%     0.02%  Executor task l  [kernel.kallsyms]                   [k] amd_pmu_disable_all
     1.81%     0.28%  Executor task l  [kernel.kallsyms]                   [k] rmqueue
     1.68%     0.08%  Executor task l  [kernel.kallsyms]                   [k] ext4_da_write_end
     1.63%     0.00%  Executor task l  [kernel.kallsyms]                   [k] grab_cache_page_write_begin
     1.63%     0.06%  Executor task l  [kernel.kallsyms]                   [k] __block_write_begin_int
     1.62%     0.78%  Executor task l  [kernel.kallsyms]                   [k] account_user_time
     1.62%     0.03%  Executor task l  [kernel.kallsyms]                   [k] pagecache_get_page
     1.55%     0.06%  Executor task l  [kernel.kallsyms]                   [k] __mark_inode_dirty
     1.54%     0.17%  Executor task l  [kernel.kallsyms]                   [k] __irq_exit_rcu
     1.50%     0.89%  Executor task l  [kernel.kallsyms]                   [k] update_curr
     1.41%     0.00%  Executor task l  [kernel.kallsyms]                   [k] asm_common_interrupt
     1.40%     0.03%  Executor task l  [kernel.kallsyms]                   [k] ext4_dirty_inode
     1.39%     0.01%  Executor task l  [kernel.kallsyms]                   [k] common_interrupt
     1.38%     0.03%  Executor task l  [kernel.kallsyms]                   [k] generic_write_end
     1.36%     1.18%  Executor task l  [kernel.kallsyms]                   [k] x86_pmu_disable_all
     1.31%     0.18%  Executor task l  [kernel.kallsyms]                   [k] lru_cache_add
     1.24%     0.04%  Executor task l  [kernel.kallsyms]                   [k] __common_interrupt
     1.24%     0.23%  Executor task l  [kernel.kallsyms]                   [k] _raw_spin_lock_irq
     1.21%     0.11%  Executor task l  [kernel.kallsyms]                   [k] exit_to_user_mode_prepare
     1.21%     0.04%  Executor task l  [kernel.kallsyms]                   [k] handle_edge_irq
     1.19%     0.71%  Executor task l  [kernel.kallsyms]                   [k] filemap_get_read_batch
     1.18%     0.00%  swapper          [kernel.kallsyms]                   [k] cpu_startup_entry
     1.18%     0.00%  swapper          [kernel.kallsyms]                   [k] secondary_startup_64_no_verify
     1.18%     0.01%  swapper          [kernel.kallsyms]                   [k] do_idle
     1.17%     0.02%  Executor task l  [kernel.kallsyms]                   [k] __ext4_mark_inode_dirty
     1.17%     0.00%  Executor task l  [kernel.kallsyms]                   [k] __alloc_pages_slowpath.constprop.0
     1.16%     0.79%  Executor task l  [kernel.kallsyms]                   [k] rmqueue_bulk
     1.16%     0.15%  Executor task l  [kernel.kallsyms]                   [k] rcu_sched_clock_irq
     1.15%     1.12%  Executor task l  [kernel.kallsyms]                   [k] ktime_get_update_offsets_now
     1.12%     0.17%  Executor task l  [kernel.kallsyms]                   [k] __pagevec_lru_add
     1.10%     0.02%  Executor task l  [kernel.kallsyms]                   [k] handle_irq_event
     1.09%     0.03%  Executor task l  [kernel.kallsyms]                   [k] mem_cgroup_charge
     1.07%     0.80%  Executor task l  [kernel.kallsyms]                   [k] xas_load
     1.07%     0.15%  Executor task l  [kernel.kallsyms]                   [k] __softirqentry_text_start
     1.07%     0.27%  Executor task l  [kernel.kallsyms]                   [k] _raw_spin_lock_irqsave
     1.05%     0.01%  Executor task l  [kernel.kallsyms]                   [k] irqentry_exit_to_user_mode
     1.03%     0.03%  Executor task l  [kernel.kallsyms]                   [k] __handle_irq_event_percpu
     1.02%     0.01%  swapper          [kernel.kallsyms]                   [k] cpuidle_idle_call
     0.99%     0.00%  Executor task l  [kernel.kallsyms]                   [k] nvme_irq
     0.99%     0.11%  Executor task l  [kernel.kallsyms]                   [k] nvme_process_cq
     0.96%     0.04%  Executor task l  [kernel.kallsyms]                   [k] schedule
     0.95%     0.15%  Executor task l  [kernel.kallsyms]                   [k] __schedule
     0.93%     0.43%  Executor task l  [kernel.kallsyms]                   [k] kmem_cache_alloc
     0.92%     0.06%  kswapd0          [kernel.kallsyms]                   [k] __remove_mapping
     0.90%     0.42%  Executor task l  [kernel.kallsyms]                   [k] rcu_pending
     0.90%     0.05%  Executor task l  [kernel.kallsyms]                   [k] exit_to_user_mode_loop
     0.87%     0.00%  swapper          [kernel.kallsyms]                   [k] cpuidle_enter
     0.87%     0.02%  swapper          [kernel.kallsyms]                   [k] cpuidle_enter_state
     0.80%     0.00%  Executor task l  [kernel.kallsyms]                   [k] try_to_free_pages
     0.80%     0.00%  Executor task l  [kernel.kallsyms]                   [k] do_try_to_free_pages
     0.80%     0.00%  Executor task l  [kernel.kallsyms]                   [k] shrink_node_memcgs
     0.80%     0.00%  Executor task l  [kernel.kallsyms]                   [k] shrink_node
     0.80%     0.00%  Executor task l  [kernel.kallsyms]                   [k] shrink_zones
     0.80%     0.01%  Executor task l  [kernel.kallsyms]                   [k] blk_finish_plug
     0.79%     0.00%  Executor task l  [kernel.kallsyms]                   [k] shrink_lruvec
     0.77%     0.01%  Executor task l  [kernel.kallsyms]                   [k] blk_mq_flush_plug_list
     0.77%     0.00%  Executor task l  [kernel.kallsyms]                   [k] shrink_inactive_list
     0.77%     0.69%  Executor task l  [kernel.kallsyms]                   [k] ktime_get
     0.76%     0.02%  Executor task l  [kernel.kallsyms]                   [k] blk_mq_sched_insert_requests
     0.74%     0.03%  Executor task l  [kernel.kallsyms]                   [k] blk_mq_try_issue_list_directly
     0.73%     0.65%  Executor task l  [kernel.kallsyms]                   [k] __update_load_avg_se
     0.71%     0.02%  Executor task l  [kernel.kallsyms]                   [k] ext4_mark_iloc_dirty
     0.70%     0.01%  Executor task l  [kernel.kallsyms]                   [k] shrink_page_list
     0.69%     0.03%  Executor task l  [kernel.kallsyms]                   [k] __blk_mq_try_issue_directly
     0.69%     0.00%  kworker/u64:38-  [kernel.kallsyms]                   [k] worker_thread
     0.69%     0.00%  kworker/u64:38-  [kernel.kallsyms]                   [k] kthread
     0.69%     0.00%  kworker/u64:38-  [kernel.kallsyms]                   [k] ret_from_fork
     0.68%     0.00%  kworker/u64:38-  [kernel.kallsyms]                   [k] process_one_work
     0.68%     0.01%  Executor task l  [kernel.kallsyms]                   [k] __submit_bio_noacct_mq
     0.67%     0.33%  Executor task l  [kernel.kallsyms]                   [k] update_rq_clock_task
     0.65%     0.07%  Executor task l  [kernel.kallsyms]                   [k] nvme_queue_rq
     0.65%     0.64%  Executor task l  [kernel.kallsyms]                   [k] __update_load_avg_cfs_rq
     0.65%     0.04%  Executor task l  [kernel.kallsyms]                   [k] blk_mq_submit_bio
     0.64%     0.01%  Executor task l  [kernel.kallsyms]                   [k] __remove_mapping
     0.64%     0.21%  Executor task l  [kernel.kallsyms]                   [k] ext4_do_update_inode.isra.0
     0.64%     0.29%  Executor task l  [kernel.kallsyms]                   [k] __mod_lruvec_page_state
     0.64%     0.00%  Executor task l  [kernel.kallsyms]                   [k] __x64_sys_openat
     0.63%     0.00%  Executor task l  [kernel.kallsyms]                   [k] do_sys_openat2
     0.62%     0.01%  Executor task l  [kernel.kallsyms]                   [k] file_update_time
     0.61%     0.06%  Executor task l  [kernel.kallsyms]                   [k] __mem_cgroup_charge
     0.60%     0.53%  Executor task l  [kernel.kallsyms]                   [k] __cgroup_account_cputime_field
     0.60%     0.02%  Executor task l  [kernel.kallsyms]                   [k] __ext4_journal_start_sb
     0.60%     0.60%  Executor task l  [kernel.kallsyms]                   [k] __list_del_entry_valid
     0.59%     0.21%  Executor task l  [kernel.kallsyms]                   [k] __pagevec_lru_add_fn
     0.59%     0.01%  Executor task l  [kernel.kallsyms]                   [k] generic_update_time
     0.57%     0.56%  Executor task l  [kernel.kallsyms]                   [k] memset
     0.57%     0.40%  Executor task l  [kernel.kallsyms]                   [k] _raw_spin_lock
     0.57%     0.02%  Executor task l  [kernel.kallsyms]                   [k] create_page_buffers
     0.55%     0.55%  Executor task l  [kernel.kallsyms]                   [k] hrtimer_active
     0.55%     0.01%  Executor task l  [kernel.kallsyms]                   [k] do_filp_open
     0.55%     0.03%  Executor task l  [kernel.kallsyms]                   [k] create_empty_buffers
     0.55%     0.00%  Executor task l  [kernel.kallsyms]                   [k] path_openat
     0.53%     0.33%  Executor task l  [kernel.kallsyms]                   [k] irqtime_account_irq
