# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 994K of event 'cycles'
# Event count (approx.): 2289366954190
#
# Children      Self  Command          Shared Object                        Symbol                                                                                                                                                                                               
# ........  ........  ...............  ...................................  .....................................................................................................................................................................................................
#
     1.13%     0.00%  swapper          [kernel.kallsyms]                    [k] cpuidle_enter
     1.13%     0.02%  swapper          [kernel.kallsyms]                    [k] cpuidle_enter_state
     1.11%     0.01%  Executor task l  [kernel.kallsyms]                    [k] irqentry_exit_to_user_mode
     1.08%     0.00%  kcompactd0       [kernel.kallsyms]                    [k] move_to_new_page
     1.07%     0.00%  kcompactd0       [kernel.kallsyms]                    [k] migrate_page
     1.06%     0.52%  Executor task l  [kernel.kallsyms]                    [k] filemap_get_read_batch
     1.05%     1.02%  Executor task l  [kernel.kallsyms]                    [k] __cgroup_account_cputime_field
     1.03%     0.39%  Executor task l  [kernel.kallsyms]                    [k] rcu_pending
     1.00%     1.00%  kcompactd0       [kernel.kallsyms]                    [k] copy_page
     1.00%     0.00%  kcompactd0       [kernel.kallsyms]                    [k] migrate_page_copy
     0.98%     0.06%  kswapd0          [kernel.kallsyms]                    [k] shrink_page_list
     0.95%     0.01%  Executor task l  [kernel.kallsyms]                    [k] read_pages
     0.94%     0.84%  Executor task l  [kernel.kallsyms]                    [k] ktime_get
     0.89%     0.02%  Executor task l  [kernel.kallsyms]                    [k] do_open
     0.88%     0.05%  Executor task l  [kernel.kallsyms]                    [k] schedule
     0.86%     0.80%  Executor task l  [kernel.kallsyms]                    [k] __update_load_avg_se
     0.86%     0.49%  Executor task l  [kernel.kallsyms]                    [k] update_rq_clock_task
     0.84%     0.07%  Executor task l  [kernel.kallsyms]                    [k] rmqueue
     0.83%     0.15%  Executor task l  [kernel.kallsyms]                    [k] __schedule
     0.83%     0.02%  Executor task l  [kernel.kallsyms]                    [k] lookup_fast
     0.82%     0.80%  Executor task l  [kernel.kallsyms]                    [k] __d_lookup_rcu
     0.81%     0.01%  Executor task l  [kernel.kallsyms]                    [k] add_to_page_cache_lru
     0.80%     0.00%  GC Thread#16     [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
     0.80%     0.23%  Executor task l  [kernel.kallsyms]                    [k] amd_pmu_wait_on_overflow
     0.79%     0.00%  GC Thread#16     [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
     0.76%     0.00%  GC Thread#4      [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
     0.76%     0.00%  GC Thread#13     [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
     0.75%     0.00%  GC Thread#4      [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
     0.75%     0.00%  GC Thread#13     [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
     0.75%     0.01%  kcompactd0       [kernel.kallsyms]                    [k] rmap_walk_anon
     0.75%     0.00%  GC Thread#8      [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
     0.74%     0.00%  kcompactd0       [kernel.kallsyms]                    [k] try_to_migrate
     0.74%     0.00%  GC Thread#8      [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
     0.74%     0.00%  GC Thread#14     [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
     0.74%     0.01%  GC Thread#16     [kernel.kallsyms]                    [k] __sysvec_apic_timer_interrupt
     0.73%     0.01%  kcompactd0       [kernel.kallsyms]                    [k] try_to_migrate_one
     0.73%     0.00%  GC Thread#14     [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
     0.73%     0.00%  GC Thread#22     [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
     0.73%     0.02%  GC Thread#16     [kernel.kallsyms]                    [k] hrtimer_interrupt
     0.73%     0.00%  GC Thread#15     [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
