# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 8025463247800
#
# Children      Self  Command          Shared Object             Symbol                                             
# ........  ........  ...............  ........................  ...................................................
#
     2.04%     0.08%  java             [kernel.kallsyms]         [k] __alloc_pages
     2.00%     0.03%  LocalJobRunner   [kernel.kallsyms]         [k] ext4_da_write_end
     2.00%     0.03%  java             [kernel.kallsyms]         [k] entry_SYSCALL_64_after_hwframe
     1.95%     0.05%  java             [kernel.kallsyms]         [k] do_syscall_64
     1.95%     0.10%  LocalJobRunner   [kernel.kallsyms]         [k] generic_write_end
     1.95%     0.19%  java             [kernel.kallsyms]         [k] get_page_from_freelist
     1.89%     1.88%  java             [kernel.kallsyms]         [k] copy_page
     1.80%     0.03%  LocalJobRunner   [kernel.kallsyms]         [k] alloc_pages
     1.78%     0.24%  java             [kernel.kallsyms]         [k] exit_to_user_mode_prepare
     1.74%     0.20%  LocalJobRunner   [kernel.kallsyms]         [k] add_to_page_cache_lru
     1.59%     0.00%  java             [kernel.kallsyms]         [k] try_to_migrate
     1.56%     0.20%  LocalJobRunner   [kernel.kallsyms]         [k] __mem_cgroup_charge
     1.55%     0.03%  LocalJobRunner   [kernel.kallsyms]         [k] migrate_misplaced_page
     1.52%     0.02%  java             [kernel.kallsyms]         [k] irqentry_exit
     1.50%     0.04%  LocalJobRunner   [kernel.kallsyms]         [k] __mark_inode_dirty
     1.50%     0.02%  java             [kernel.kallsyms]         [k] irqentry_exit_to_user_mode
     1.49%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] filemap_get_pages
     1.48%     0.00%  Sampler Reader   [kernel.kallsyms]         [k] entry_SYSCALL_64_after_hwframe
     1.48%     0.00%  Sampler Reader   [kernel.kallsyms]         [k] do_syscall_64
     1.47%     1.46%  java             [kernel.kallsyms]         [k] clear_page_erms
     1.45%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] ext4_dirty_inode
     1.45%     0.01%  localfetcher#1   [kernel.kallsyms]         [k] exc_page_fault
     1.45%     0.04%  java             [kernel.kallsyms]         [k] __sysvec_apic_timer_interrupt
     1.44%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] ondemand_readahead
     1.43%     0.03%  localfetcher#1   [kernel.kallsyms]         [k] page_cache_ra_unbounded
     1.43%     0.00%  Sampler Reader   [kernel.kallsyms]         [k] __x64_sys_read
     1.43%     0.00%  Sampler Reader   [kernel.kallsyms]         [k] ksys_read
     1.43%     0.00%  Sampler Reader   [kernel.kallsyms]         [k] vfs_read
     1.43%     0.00%  Sampler Reader   [kernel.kallsyms]         [k] ext4_file_read_iter
     1.43%     0.00%  Sampler Reader   [kernel.kallsyms]         [k] new_sync_read
     1.43%     0.00%  Sampler Reader   [kernel.kallsyms]         [k] generic_file_read_iter
     1.43%     0.02%  Sampler Reader   [kernel.kallsyms]         [k] filemap_read
     1.41%     0.02%  localfetcher#1   [kernel.kallsyms]         [k] do_user_addr_fault
     1.41%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] page_cache_async_ra
     1.40%     0.06%  java             [kernel.kallsyms]         [k] hrtimer_interrupt
     1.38%     1.38%  java             libc.so.6                 [.] 0x00000000001b2383
     1.37%     0.02%  localfetcher#1   [kernel.kallsyms]         [k] handle_mm_fault
     1.35%     0.02%  java             [kernel.kallsyms]         [k] __x64_sys_sched_yield
     1.34%     0.14%  LocalJobRunner   [kernel.kallsyms]         [k] migrate_pages
     1.33%     0.00%  kswapd0          [kernel.kallsyms]         [k] kthread
     1.33%     0.00%  kswapd0          [kernel.kallsyms]         [k] ret_from_fork
     1.33%     0.00%  kswapd0          [kernel.kallsyms]         [k] kswapd
     1.33%     0.00%  kswapd0          [kernel.kallsyms]         [k] balance_pgdat
     1.33%     0.00%  kswapd0          [kernel.kallsyms]         [k] shrink_node
     1.31%     0.09%  localfetcher#1   [kernel.kallsyms]         [k] __handle_mm_fault
     1.29%     0.07%  java             [kernel.kallsyms]         [k] do_sched_yield
     1.27%     0.05%  localfetcher#1   [kernel.kallsyms]         [k] __alloc_pages
     1.25%     0.78%  LocalJobRunner   [kernel.kallsyms]         [k] __add_to_page_cache_locked
     1.24%     0.90%  Sampler Reader   [kernel.kallsyms]         [k] copy_user_enhanced_fast_string
