# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 480K of event 'cycles'
# Event count (approx.): 7952426267240
#
# Children      Self  Command          Shared Object       Symbol                                             
# ........  ........  ...............  ..................  ...................................................
#
    40.12%     0.00%  swapper          [kernel.kallsyms]   [k] secondary_startup_64_no_verify
    40.11%     0.00%  swapper          [kernel.kallsyms]   [k] cpu_startup_entry
    40.10%     0.02%  swapper          [kernel.kallsyms]   [k] do_idle
    39.84%     0.00%  swapper          [kernel.kallsyms]   [k] cpuidle_enter
    39.83%     0.02%  swapper          [kernel.kallsyms]   [k] cpuidle_enter_state
    39.27%    37.98%  swapper          [kernel.kallsyms]   [k] mwait_idle_with_hints.constprop.0
    38.08%     0.00%  swapper          [kernel.kallsyms]   [k] start_secondary
    17.08%     0.06%  java             [kernel.kallsyms]   [k] asm_exc_page_fault
    16.56%     0.18%  java             [kernel.kallsyms]   [k] exc_page_fault
    15.19%     0.10%  java             [kernel.kallsyms]   [k] do_user_addr_fault
    12.19%     0.33%  java             [kernel.kallsyms]   [k] handle_mm_fault
    10.77%     1.79%  java             [kernel.kallsyms]   [k] __handle_mm_fault
     8.73%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] do_syscall_64
     8.73%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] entry_SYSCALL_64_after_hwframe
     7.98%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] entry_SYSCALL_64_after_hwframe
     7.98%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] do_syscall_64
     7.46%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] __x64_sys_read
     7.46%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] ksys_read
     7.46%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] vfs_read
     7.46%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] new_sync_read
     7.46%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] generic_file_read_iter
     7.46%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] ext4_file_read_iter
     7.45%     0.06%  localfetcher#1   [kernel.kallsyms]   [k] filemap_read
     7.15%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] __x64_sys_write
     7.15%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] ksys_write
     7.15%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] vfs_write
     7.15%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] new_sync_write
     7.15%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] ext4_buffered_write_iter
     7.15%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] ext4_file_write_iter
     7.14%     0.02%  pool-4-thread-1  [kernel.kallsyms]   [k] generic_perform_write
     6.25%     0.05%  java             [kernel.kallsyms]   [k] do_swap_page
     5.34%     0.01%  java             [kernel.kallsyms]   [k] swapin_readahead
     4.92%     0.02%  localfetcher#1   [kernel.kallsyms]   [k] asm_exc_page_fault
     4.63%     0.01%  java             [kernel.kallsyms]   [k] __read_swap_cache_async
     4.16%     1.92%  localfetcher#1   [kernel.kallsyms]   [k] copy_user_enhanced_fast_string
     3.81%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] entry_SYSCALL_64_after_hwframe
     3.81%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] do_syscall_64
     3.74%     0.02%  localfetcher#1   [kernel.kallsyms]   [k] exc_page_fault
     3.71%     0.00%  kswapd0          [kernel.kallsyms]   [k] kswapd
     3.71%     0.00%  kswapd0          [kernel.kallsyms]   [k] kthread
     3.71%     0.00%  kswapd0          [kernel.kallsyms]   [k] ret_from_fork
     3.71%     0.00%  kswapd0          [kernel.kallsyms]   [k] balance_pgdat
     3.70%     0.00%  kswapd0          [kernel.kallsyms]   [k] shrink_node
     3.63%     0.03%  localfetcher#1   [kernel.kallsyms]   [k] do_user_addr_fault
     3.55%     0.02%  localfetcher#1   [kernel.kallsyms]   [k] handle_mm_fault
     3.43%     0.02%  pool-4-thread-1  [kernel.kallsyms]   [k] ext4_da_write_begin
     3.37%     0.15%  localfetcher#1   [kernel.kallsyms]   [k] __handle_mm_fault
     3.36%     0.00%  kswapd1          [kernel.kallsyms]   [k] kswapd
     3.36%     0.00%  kswapd1          [kernel.kallsyms]   [k] kthread
     3.36%     0.00%  kswapd1          [kernel.kallsyms]   [k] ret_from_fork
     3.35%     0.00%  kswapd1          [kernel.kallsyms]   [k] balance_pgdat
     3.35%     0.01%  kswapd1          [kernel.kallsyms]   [k] shrink_node
     3.27%     0.02%  kswapd0          [kernel.kallsyms]   [k] shrink_lruvec
     3.18%     0.01%  kswapd1          [kernel.kallsyms]   [k] shrink_lruvec
     3.17%     0.10%  java             [kernel.kallsyms]   [k] workingset_refault
     3.06%     0.16%  pool-4-thread-1  [kernel.kallsyms]   [k] add_to_page_cache_lru
     3.02%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] filemap_get_pages
     2.92%     0.03%  localfetcher#1   [kernel.kallsyms]   [k] page_cache_ra_unbounded
     2.92%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] ondemand_readahead
     2.84%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] page_cache_async_ra
     2.71%     0.04%  pool-4-thread-1  [kernel.kallsyms]   [k] pagecache_get_page
     2.70%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] grab_cache_page_write_begin
     2.48%     0.00%  java             [kernel.kallsyms]   [k] mem_cgroup_flush_stats
     2.47%     0.00%  java             [kernel.kallsyms]   [k] cgroup_rstat_flush_irqsafe
     2.40%     0.14%  kswapd0          [kernel.kallsyms]   [k] shrink_page_list
     2.35%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] cgroup_rstat_flush_irqsafe
     2.27%     2.25%  java             [kernel.kallsyms]   [k] down_read_trylock
     2.22%     0.42%  java             [kernel.kallsyms]   [k] cgroup_rstat_flush_locked
     2.18%     0.12%  kswapd1          [kernel.kallsyms]   [k] shrink_page_list
     2.12%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] ksys_read
     2.12%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] __x64_sys_read
     2.12%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] vfs_read
     2.12%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] new_sync_read
     2.12%     0.02%  LocalJobRunner   [kernel.kallsyms]   [k] filemap_read
     2.12%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] ext4_file_read_iter
     2.12%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] generic_file_read_iter
     2.10%     0.05%  localfetcher#1   [kernel.kallsyms]   [k] __alloc_pages
     2.03%     0.00%  swapper          [kernel.kallsyms]   [k] arch_call_rest_init
     2.03%     0.00%  swapper          [kernel.kallsyms]   [k] rest_init
     2.03%     0.00%  swapper          [kernel.kallsyms]   [k] start_kernel
     2.03%     0.00%  swapper          [kernel.kallsyms]   [k] x86_64_start_kernel
     2.03%     0.00%  swapper          [kernel.kallsyms]   [k] x86_64_start_reservations
     2.02%     0.02%  pool-4-thread-1  [kernel.kallsyms]   [k] asm_exc_page_fault
     1.93%     1.92%  java             [kernel.kallsyms]   [k] native_queued_spin_lock_slowpath
     1.83%     0.01%  java             [kernel.kallsyms]   [k] __alloc_pages
     1.83%     0.02%  pool-4-thread-1  [kernel.kallsyms]   [k] exc_page_fault
     1.79%     0.00%  java             [kernel.kallsyms]   [k] alloc_pages_vma
