# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 4K of event 'cycles'
# Event count (approx.): 1381279468481
#
# Children      Self  Command          Shared Object      Symbol                                        
# ........  ........  ...............  .................  ..............................................
#
    66.48%     0.01%  postgres         [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
    66.46%     0.01%  postgres         [kernel.kallsyms]  [k] do_syscall_64
    50.08%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_exit_group
    50.08%     0.00%  postgres         [kernel.kallsyms]  [k] do_exit
    50.08%     0.00%  postgres         [kernel.kallsyms]  [k] do_group_exit
    50.08%     0.00%  postgres         [kernel.kallsyms]  [k] exit_mmap
    50.08%     0.00%  postgres         [kernel.kallsyms]  [k] mmput
    48.04%     0.02%  postgres         [kernel.kallsyms]  [k] unmap_single_vma
    48.04%     0.00%  postgres         [kernel.kallsyms]  [k] unmap_vmas
    47.14%    35.54%  postgres         [kernel.kallsyms]  [k] unmap_page_range
    24.40%     0.00%  swapper          [kernel.kallsyms]  [k] secondary_startup_64_no_verify
    24.40%     0.00%  swapper          [kernel.kallsyms]  [k] cpu_startup_entry
    24.38%     0.01%  swapper          [kernel.kallsyms]  [k] do_idle
    23.94%     0.00%  swapper          [kernel.kallsyms]  [k] start_secondary
    23.11%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_enter
    23.10%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_enter_state
    22.93%    22.81%  swapper          [kernel.kallsyms]  [k] mwait_idle_with_hints.constprop.0
     8.92%     0.00%  postgres         [kernel.kallsyms]  [k] vfs_read
     8.90%     0.01%  postgres         [kernel.kallsyms]  [k] new_sync_read
     8.89%     0.02%  postgres         [kernel.kallsyms]  [k] filemap_read
     8.89%     0.00%  postgres         [kernel.kallsyms]  [k] ext4_file_read_iter
     8.89%     0.00%  postgres         [kernel.kallsyms]  [k] generic_file_read_iter
     8.17%     0.01%  postgres         [kernel.kallsyms]  [k] __x64_sys_pread64
     8.04%     0.00%  postgres         [kernel.kallsyms]  [k] filemap_get_pages
     7.92%     0.00%  postgres         [kernel.kallsyms]  [k] ondemand_readahead
     7.92%     0.00%  postgres         [kernel.kallsyms]  [k] page_cache_ra_unbounded
     7.92%     0.00%  postgres         [kernel.kallsyms]  [k] page_cache_sync_ra
     7.86%     0.00%  postgres         [kernel.kallsyms]  [k] add_to_page_cache_lru
     7.72%     0.00%  postgres         [kernel.kallsyms]  [k] workingset_refault
     7.71%     0.00%  postgres         [kernel.kallsyms]  [k] cgroup_rstat_flush_irqsafe
     7.70%     0.00%  postgres         [kernel.kallsyms]  [k] mem_cgroup_flush_stats
     5.98%     0.06%  postgres         [kernel.kallsyms]  [k] cgroup_rstat_flush_locked
     5.91%     5.91%  postgres         [kernel.kallsyms]  [k] mem_cgroup_css_rstat_flush
     5.61%     4.78%  postgres         [kernel.kallsyms]  [k] page_remove_rmap
     4.35%     0.02%  postgres         [kernel.kallsyms]  [k] tlb_flush_mmu
     3.71%     0.16%  postgres         [kernel.kallsyms]  [k] free_pages_and_swap_cache
     3.35%     1.92%  postgres         [kernel.kallsyms]  [k] release_pages
     3.00%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] do_syscall_64
