# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 481K of event 'cycles'
# Event count (approx.): 7914919367528
#
# Children      Self  Command          Shared Object       Symbol                                             
# ........  ........  ...............  ..................  ...................................................
#
    38.41%     0.00%  swapper          [kernel.kallsyms]   [k] secondary_startup_64_no_verify
    38.41%     0.00%  swapper          [kernel.kallsyms]   [k] cpu_startup_entry
    38.40%     0.02%  swapper          [kernel.kallsyms]   [k] do_idle
    38.05%     0.00%  swapper          [kernel.kallsyms]   [k] cpuidle_enter
    38.04%     0.02%  swapper          [kernel.kallsyms]   [k] cpuidle_enter_state
    37.54%    36.60%  swapper          [kernel.kallsyms]   [k] mwait_idle_with_hints.constprop.0
    37.17%     0.00%  swapper          [kernel.kallsyms]   [k] start_secondary
    15.27%     0.06%  java             [kernel.kallsyms]   [k] asm_exc_page_fault
    14.74%     0.28%  java             [kernel.kallsyms]   [k] exc_page_fault
    12.88%     0.11%  java             [kernel.kallsyms]   [k] do_user_addr_fault
     9.57%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] do_syscall_64
     9.57%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] entry_SYSCALL_64_after_hwframe
     8.91%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] entry_SYSCALL_64_after_hwframe
     8.91%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] do_syscall_64
     8.88%     0.43%  java             [kernel.kallsyms]   [k] handle_mm_fault
     8.29%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] ksys_read
     8.29%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] __x64_sys_read
     8.29%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] vfs_read
     8.29%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] new_sync_read
     8.29%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] ext4_file_read_iter
     8.29%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] generic_file_read_iter
     8.29%     0.05%  localfetcher#1   [kernel.kallsyms]   [k] filemap_read
     7.24%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] __x64_sys_write
     7.24%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] ksys_write
     7.24%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] vfs_write
     7.24%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] new_sync_write
     7.24%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] ext4_file_write_iter
     7.24%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] ext4_buffered_write_iter
     7.23%     0.02%  pool-4-thread-1  [kernel.kallsyms]   [k] generic_perform_write
     7.23%     2.16%  java             [kernel.kallsyms]   [k] __handle_mm_fault
     6.77%     0.03%  localfetcher#1   [kernel.kallsyms]   [k] asm_exc_page_fault
     5.18%     0.02%  localfetcher#1   [kernel.kallsyms]   [k] exc_page_fault
     5.05%     0.03%  localfetcher#1   [kernel.kallsyms]   [k] do_user_addr_fault
     4.94%     0.03%  localfetcher#1   [kernel.kallsyms]   [k] handle_mm_fault
     4.93%     2.27%  localfetcher#1   [kernel.kallsyms]   [k] copy_user_enhanced_fast_string
     4.83%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] entry_SYSCALL_64_after_hwframe
     4.83%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] do_syscall_64
     4.69%     0.17%  localfetcher#1   [kernel.kallsyms]   [k] __handle_mm_fault
     3.65%     0.00%  kswapd1          [kernel.kallsyms]   [k] kswapd
     3.65%     0.00%  kswapd1          [kernel.kallsyms]   [k] kthread
     3.65%     0.00%  kswapd1          [kernel.kallsyms]   [k] ret_from_fork
     3.65%     0.00%  kswapd1          [kernel.kallsyms]   [k] balance_pgdat
     3.64%     0.00%  kswapd1          [kernel.kallsyms]   [k] shrink_node
     3.58%     0.17%  pool-4-thread-1  [kernel.kallsyms]   [k] add_to_page_cache_lru
     3.42%     0.02%  pool-4-thread-1  [kernel.kallsyms]   [k] ext4_da_write_begin
     3.36%     0.01%  kswapd1          [kernel.kallsyms]   [k] shrink_lruvec
     3.11%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] filemap_get_pages
     3.05%     0.00%  kswapd0          [kernel.kallsyms]   [k] kthread
     3.05%     0.00%  kswapd0          [kernel.kallsyms]   [k] ret_from_fork
     3.05%     0.00%  kswapd0          [kernel.kallsyms]   [k] kswapd
     3.05%     0.00%  kswapd0          [kernel.kallsyms]   [k] balance_pgdat
     3.05%     0.00%  kswapd0          [kernel.kallsyms]   [k] shrink_node
     3.00%     0.04%  localfetcher#1   [kernel.kallsyms]   [k] page_cache_ra_unbounded
     3.00%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] ondemand_readahead
     3.00%     2.98%  java             [kernel.kallsyms]   [k] down_read_trylock
     2.97%     0.03%  java             [kernel.kallsyms]   [k] do_swap_page
     2.96%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] page_cache_async_ra
     2.87%     0.01%  kswapd0          [kernel.kallsyms]   [k] shrink_lruvec
     2.80%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] cgroup_rstat_flush_irqsafe
     2.74%     0.05%  pool-4-thread-1  [kernel.kallsyms]   [k] pagecache_get_page
     2.73%     0.01%  pool-4-thread-1  [kernel.kallsyms]   [k] grab_cache_page_write_begin
     2.69%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] ksys_read
     2.69%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] __x64_sys_read
     2.69%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] vfs_read
