# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 12988945076937
#
# Children      Self  Command          Shared Object      Symbol                                             
# ........  ........  ...............  .................  ...................................................
#
    28.11%     0.00%  swapper          [kernel.kallsyms]  [k] secondary_startup_64_no_verify
    28.11%     0.00%  swapper          [kernel.kallsyms]  [k] cpu_startup_entry
    28.10%     0.01%  swapper          [kernel.kallsyms]  [k] do_idle
    27.98%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_enter
    27.98%     0.01%  swapper          [kernel.kallsyms]  [k] cpuidle_enter_state
    27.83%    26.80%  swapper          [kernel.kallsyms]  [k] mwait_idle_with_hints.constprop.0
    26.81%     0.00%  swapper          [kernel.kallsyms]  [k] start_secondary
    22.96%     0.15%  java             [kernel.kallsyms]  [k] asm_exc_page_fault
    21.92%     0.32%  java             [kernel.kallsyms]  [k] exc_page_fault
    19.46%     0.18%  java             [kernel.kallsyms]  [k] do_user_addr_fault
    13.94%     0.54%  java             [kernel.kallsyms]  [k] handle_mm_fault
    11.92%     3.08%  java             [kernel.kallsyms]  [k] __handle_mm_fault
     9.74%     0.13%  LocalJobRunner   [kernel.kallsyms]  [k] asm_exc_page_fault
     9.11%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     9.11%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] do_syscall_64
     8.59%     0.08%  LocalJobRunner   [kernel.kallsyms]  [k] exc_page_fault
     8.08%     0.18%  LocalJobRunner   [kernel.kallsyms]  [k] do_user_addr_fault
     7.59%     0.22%  LocalJobRunner   [kernel.kallsyms]  [k] handle_mm_fault
     7.04%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     7.04%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] do_syscall_64
     6.91%     0.94%  LocalJobRunner   [kernel.kallsyms]  [k] __handle_mm_fault
     6.73%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] __x64_sys_read
     6.73%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] ksys_read
     6.73%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] vfs_read
     6.73%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] ext4_file_read_iter
     6.73%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] generic_file_read_iter
     6.73%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] new_sync_read
     6.73%     0.03%  localfetcher#1   [kernel.kallsyms]  [k] filemap_read
     4.95%     0.09%  java             [kernel.kallsyms]  [k] migrate_misplaced_page
     4.59%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] __x64_sys_write
     4.59%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] ksys_write
     4.59%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] vfs_write
     4.59%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] new_sync_write
     4.59%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] ext4_file_write_iter
     4.59%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] ext4_buffered_write_iter
     4.58%     0.02%  LocalJobRunner   [kernel.kallsyms]  [k] generic_perform_write
     4.32%     0.38%  java             [kernel.kallsyms]  [k] migrate_pages
     4.27%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] __x64_sys_read
     4.27%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] ksys_read
     4.27%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] vfs_read
     4.27%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] new_sync_read
     4.27%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] ext4_file_read_iter
     4.27%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] generic_file_read_iter
     4.27%     0.11%  LocalJobRunner   [kernel.kallsyms]  [k] filemap_read
     4.25%     4.21%  LocalJobRunner   [kernel.kallsyms]  [k] copy_user_enhanced_fast_string
     4.25%     4.23%  java             [kernel.kallsyms]  [k] down_read_trylock
     3.71%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] filemap_get_pages
     3.65%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] ondemand_readahead
     3.64%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] do_syscall_64
     3.64%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     3.64%     0.03%  localfetcher#1   [kernel.kallsyms]  [k] page_cache_ra_unbounded
     3.60%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] page_cache_async_ra
     3.32%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] asm_sysvec_apic_timer_interrupt
     3.31%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] sysvec_apic_timer_interrupt
     3.29%     0.10%  LocalJobRunner   [kernel.kallsyms]  [k] exit_to_user_mode_prepare
     3.27%     0.01%  LocalJobRunner   [kernel.kallsyms]  [k] irqentry_exit
     3.26%     0.01%  LocalJobRunner   [kernel.kallsyms]  [k] irqentry_exit_to_user_mode
     3.19%     0.10%  LocalJobRunner   [kernel.kallsyms]  [k] __alloc_pages
     3.15%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] task_work_run
     3.15%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] task_numa_work
     3.15%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] change_prot_numa
     3.07%     0.31%  LocalJobRunner   [kernel.kallsyms]  [k] get_page_from_freelist
     2.96%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     2.96%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] do_syscall_64
     2.94%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] ksys_write
     2.94%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] __x64_sys_write
     2.94%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] vfs_write
     2.94%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] new_sync_write
     2.94%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] ext4_file_write_iter
     2.94%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] ext4_buffered_write_iter
     2.93%     0.01%  InMemoryMerger   [kernel.kallsyms]  [k] generic_perform_write
     2.89%     0.05%  localfetcher#1   [kernel.kallsyms]  [k] add_to_page_cache_lru
     2.86%     1.23%  localfetcher#1   [kernel.kallsyms]  [k] copy_user_enhanced_fast_string
     2.65%     2.49%  LocalJobRunner   [kernel.kallsyms]  [k] change_protection
     2.62%     0.02%  localfetcher#1   [kernel.kallsyms]  [k] asm_exc_page_fault
     2.42%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] new_sync_read
     2.42%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] __x64_sys_read
     2.42%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ksys_read
     2.42%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] vfs_read
     2.42%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_file_read_iter
     2.42%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] generic_file_read_iter
     2.42%     0.01%  pool-4-thread-1  [kernel.kallsyms]  [k] filemap_read
     2.36%     0.04%  LocalJobRunner   [kernel.kallsyms]  [k] alloc_pages_vma
     2.30%     2.30%  LocalJobRunner   [kernel.kallsyms]  [k] clear_page_erms
     2.26%     0.04%  pool-4-thread-1  [kernel.kallsyms]  [k] add_to_page_cache_lru
     2.22%     0.02%  LocalJobRunner   [kernel.kallsyms]  [k] ext4_da_write_begin
     2.09%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] filemap_get_pages
     2.08%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] page_cache_async_ra
     2.08%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ondemand_readahead
     2.08%     0.02%  pool-4-thread-1  [kernel.kallsyms]  [k] page_cache_ra_unbounded
     2.02%     0.05%  java             [kernel.kallsyms]  [k] __alloc_pages
     1.98%     0.04%  localfetcher#1   [kernel.kallsyms]  [k] workingset_refault
     1.97%     1.96%  java             [kernel.kallsyms]  [k] up_read
     1.87%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] mem_cgroup_flush_stats
     1.86%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] cgroup_rstat_flush_irqsafe
     1.75%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] grab_cache_page_write_begin
     1.74%     0.01%  localfetcher#1   [kernel.kallsyms]  [k] exc_page_fault
     1.73%     0.02%  LocalJobRunner   [kernel.kallsyms]  [k] pagecache_get_page
     1.72%     0.18%  LocalJobRunner   [kernel.kallsyms]  [k] __mem_cgroup_charge
     1.71%     0.02%  localfetcher#1   [kernel.kallsyms]  [k] do_user_addr_fault
     1.66%     0.02%  localfetcher#1   [kernel.kallsyms]  [k] handle_mm_fault
     1.64%     0.29%  localfetcher#1   [kernel.kallsyms]  [k] cgroup_rstat_flush_locked
     1.51%     0.01%  pool-4-thread-1  [kernel.kallsyms]  [k] workingset_refault
     1.51%     0.01%  java             [kernel.kallsyms]  [k] alloc_pages_vma
     1.49%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] cgroup_rstat_flush_irqsafe
     1.48%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] mem_cgroup_flush_stats
     1.47%     0.09%  localfetcher#1   [kernel.kallsyms]  [k] __handle_mm_fault
     1.46%     0.01%  InMemoryMerger   [kernel.kallsyms]  [k] ext4_da_write_begin
     1.44%     1.44%  java             [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     1.42%     0.01%  java             [kernel.kallsyms]  [k] move_to_new_page
     1.41%     0.00%  java             [kernel.kallsyms]  [k] migrate_page
     1.38%     0.17%  java             [kernel.kallsyms]  [k] get_page_from_freelist
     1.30%     1.29%  localfetcher#1   [kernel.kallsyms]  [k] mem_cgroup_css_rstat_flush
     1.30%     0.00%  swapper          [kernel.kallsyms]  [k] arch_call_rest_init
     1.30%     0.00%  swapper          [kernel.kallsyms]  [k] rest_init
     1.30%     0.00%  swapper          [kernel.kallsyms]  [k] start_kernel
     1.30%     0.00%  swapper          [kernel.kallsyms]  [k] x86_64_start_kernel
     1.30%     0.00%  swapper          [kernel.kallsyms]  [k] x86_64_start_reservations
     1.29%     0.00%  java             [kernel.kallsyms]  [k] rmap_walk
     1.26%     0.29%  pool-4-thread-1  [kernel.kallsyms]  [k] cgroup_rstat_flush_locked
     1.22%     0.46%  LocalJobRunner   [kernel.kallsyms]  [k] charge_memcg
     1.21%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ksys_write
     1.21%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] __x64_sys_write
     1.21%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] vfs_write
     1.21%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_buffered_write_iter
     1.21%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_file_write_iter
     1.21%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] new_sync_write
     1.21%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] generic_perform_write
     1.18%     0.09%  java             [kernel.kallsyms]  [k] rmap_walk_anon
     1.16%     0.01%  InMemoryMerger   [kernel.kallsyms]  [k] grab_cache_page_write_begin
     1.15%     0.02%  InMemoryMerger   [kernel.kallsyms]  [k] pagecache_get_page
     1.10%     0.02%  java             [kernel.kallsyms]  [k] find_vma
     1.10%     0.03%  localfetcher#1   [kernel.kallsyms]  [k] __alloc_pages
     1.09%     1.08%  java             [kernel.kallsyms]  [k] vmacache_find
     1.07%     0.00%  kswapd0          [kernel.kallsyms]  [k] kswapd
     1.07%     0.00%  kswapd0          [kernel.kallsyms]  [k] kthread
     1.07%     0.00%  kswapd0          [kernel.kallsyms]  [k] ret_from_fork
     1.07%     0.00%  kswapd0          [kernel.kallsyms]  [k] balance_pgdat
     1.07%     0.00%  kswapd0          [kernel.kallsyms]  [k] shrink_node
     1.06%     0.02%  LocalJobRunner   [kernel.kallsyms]  [k] ext4_da_write_end
     1.04%     0.13%  LocalJobRunner   [kernel.kallsyms]  [k] add_to_page_cache_lru
     1.04%     0.00%  kswapd1          [kernel.kallsyms]  [k] kswapd
     1.04%     0.00%  kswapd1          [kernel.kallsyms]  [k] kthread
     1.04%     0.00%  kswapd1          [kernel.kallsyms]  [k] ret_from_fork
     1.04%     1.04%  swapper          [unknown]          [.] 0000000000000000
     1.04%     0.00%  kswapd1          [kernel.kallsyms]  [k] balance_pgdat
     1.04%     0.00%  kswapd1          [kernel.kallsyms]  [k] shrink_node
     1.04%     0.03%  LocalJobRunner   [kernel.kallsyms]  [k] generic_write_end
     1.01%     0.00%  kswapd1          [kernel.kallsyms]  [k] shrink_lruvec
     1.01%     0.00%  kswapd0          [kernel.kallsyms]  [k] shrink_lruvec
     1.01%     1.00%  java             [kernel.kallsyms]  [k] sync_regs
     1.01%     1.00%  java             [kernel.kallsyms]  [k] clear_page_erms
     0.99%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.99%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] do_syscall_64
     0.98%     0.12%  localfetcher#1   [kernel.kallsyms]  [k] get_page_from_freelist
     0.96%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] __x64_sys_read
     0.96%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] ksys_read
     0.96%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] vfs_read
     0.96%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] new_sync_read
     0.96%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] ext4_file_read_iter
     0.96%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] generic_file_read_iter
     0.95%     0.02%  Sampler Reader   [kernel.kallsyms]  [k] filemap_read
     0.89%     0.86%  pool-4-thread-1  [kernel.kallsyms]  [k] mem_cgroup_css_rstat_flush
     0.89%     0.88%  java             [kernel.kallsyms]  [k] copy_page
     0.88%     0.88%  LocalJobRunner   libc.so.6          [.] 0x00000000001b2eae
