# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 452K of event 'cycles'
# Event count (approx.): 7357543495890
#
# Children      Self  Command          Shared Object             Symbol                                             
# ........  ........  ...............  ........................  ...................................................
#
    39.49%     0.00%  swapper          [kernel.kallsyms]         [k] secondary_startup_64_no_verify
    39.49%     0.00%  swapper          [kernel.kallsyms]         [k] cpu_startup_entry
    39.48%     0.02%  swapper          [kernel.kallsyms]         [k] do_idle
    39.19%     0.00%  swapper          [kernel.kallsyms]         [k] cpuidle_enter
    39.19%     0.02%  swapper          [kernel.kallsyms]         [k] cpuidle_enter_state
    38.89%    37.70%  swapper          [kernel.kallsyms]         [k] mwait_idle_with_hints.constprop.0
    36.31%     0.00%  swapper          [kernel.kallsyms]         [k] start_secondary
    14.32%     0.10%  java             [kernel.kallsyms]         [k] asm_exc_page_fault
    13.71%     0.23%  java             [kernel.kallsyms]         [k] exc_page_fault
    12.04%     0.12%  java             [kernel.kallsyms]         [k] do_user_addr_fault
     9.90%     0.00%  pool-4-thread-1  [kernel.kallsyms]         [k] entry_SYSCALL_64_after_hwframe
     9.90%     0.00%  pool-4-thread-1  [kernel.kallsyms]         [k] do_syscall_64
     9.65%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] entry_SYSCALL_64_after_hwframe
     9.65%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] do_syscall_64
     8.99%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] ksys_read
     8.99%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] __x64_sys_read
     8.99%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] vfs_read
     8.99%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] new_sync_read
     8.99%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] generic_file_read_iter
     8.99%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] ext4_file_read_iter
     8.98%     0.05%  localfetcher#1   [kernel.kallsyms]         [k] filemap_read
     8.23%     0.60%  java             [kernel.kallsyms]         [k] handle_mm_fault
     7.61%     0.00%  pool-4-thread-1  [kernel.kallsyms]         [k] __x64_sys_write
     7.60%     0.00%  pool-4-thread-1  [kernel.kallsyms]         [k] ksys_write
     7.60%     0.00%  pool-4-thread-1  [kernel.kallsyms]         [k] vfs_write
     7.60%     0.00%  pool-4-thread-1  [kernel.kallsyms]         [k] ext4_buffered_write_iter
     7.60%     0.00%  pool-4-thread-1  [kernel.kallsyms]         [k] ext4_file_write_iter
     7.60%     0.00%  pool-4-thread-1  [kernel.kallsyms]         [k] new_sync_write
     7.59%     0.02%  pool-4-thread-1  [kernel.kallsyms]         [k] generic_perform_write
     6.75%     2.26%  java             [kernel.kallsyms]         [k] __handle_mm_fault
     5.54%     2.31%  localfetcher#1   [kernel.kallsyms]         [k] copy_user_enhanced_fast_string
     5.00%     0.00%  InMemoryMerger   [kernel.kallsyms]         [k] do_syscall_64
     5.00%     0.00%  InMemoryMerger   [kernel.kallsyms]         [k] entry_SYSCALL_64_after_hwframe
     4.97%     0.00%  InMemoryMerger   [kernel.kallsyms]         [k] __x64_sys_write
     4.97%     0.00%  InMemoryMerger   [kernel.kallsyms]         [k] ksys_write
     4.97%     0.00%  InMemoryMerger   [kernel.kallsyms]         [k] vfs_write
     4.97%     0.00%  InMemoryMerger   [kernel.kallsyms]         [k] ext4_file_write_iter
     4.97%     0.00%  InMemoryMerger   [kernel.kallsyms]         [k] new_sync_write
     4.97%     0.00%  InMemoryMerger   [kernel.kallsyms]         [k] ext4_buffered_write_iter
     4.96%     0.02%  InMemoryMerger   [kernel.kallsyms]         [k] generic_perform_write
     4.91%     0.02%  localfetcher#1   [kernel.kallsyms]         [k] asm_exc_page_fault
     4.64%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] entry_SYSCALL_64_after_hwframe
     4.64%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] do_syscall_64
     4.10%     0.02%  pool-4-thread-1  [kernel.kallsyms]         [k] ext4_da_write_begin
     3.30%     0.00%  pool-4-thread-1  [kernel.kallsyms]         [k] grab_cache_page_write_begin
     3.29%     0.06%  pool-4-thread-1  [kernel.kallsyms]         [k] pagecache_get_page
     3.24%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] filemap_get_pages
     3.18%     0.00%  swapper          [kernel.kallsyms]         [k] arch_call_rest_init
     3.18%     0.00%  swapper          [kernel.kallsyms]         [k] rest_init
     3.18%     0.00%  swapper          [kernel.kallsyms]         [k] start_kernel
     3.18%     0.00%  swapper          [kernel.kallsyms]         [k] x86_64_start_kernel
     3.18%     0.00%  swapper          [kernel.kallsyms]         [k] x86_64_start_reservations
     3.13%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] ondemand_readahead
     3.12%     0.05%  localfetcher#1   [kernel.kallsyms]         [k] page_cache_ra_unbounded
     3.07%     0.24%  pool-4-thread-1  [kernel.kallsyms]         [k] add_to_page_cache_lru
     3.02%     0.02%  localfetcher#1   [kernel.kallsyms]         [k] exc_page_fault
     2.95%     0.03%  localfetcher#1   [kernel.kallsyms]         [k] do_user_addr_fault
     2.91%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] page_cache_async_ra
     2.86%     0.04%  localfetcher#1   [kernel.kallsyms]         [k] handle_mm_fault
     2.80%     2.79%  java             [kernel.kallsyms]         [k] down_read_trylock
     2.74%     0.16%  localfetcher#1   [kernel.kallsyms]         [k] __handle_mm_fault
     2.67%     0.02%  InMemoryMerger   [kernel.kallsyms]         [k] ext4_da_write_begin
