# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 118K of event 'cycles'
# Event count (approx.): 1652674654523
#
# Children      Self  Command          Shared Object        Symbol                                                                                                                                                                       
# ........  ........  ...............  ...................  .............................................................................................................................................................................
#
     1.96%     0.24%  mariadbd         [kernel.kallsyms]    [k] newidle_balance
     1.89%     0.11%  mariadbd         [kernel.kallsyms]    [k] do_sys_poll
     1.89%     0.05%  swapper          [kernel.kallsyms]    [k] ttwu_do_activate
     1.84%     0.55%  swapper          [kernel.kallsyms]    [k] enqueue_task_fair
     1.82%     0.01%  mariadbd         [kernel.kallsyms]    [k] common_interrupt
     1.81%     0.02%  tclsh8.6         [kernel.kallsyms]    [k] __x64_sys_poll
     1.79%     0.16%  tclsh8.6         [kernel.kallsyms]    [k] do_sys_poll
     1.77%     0.12%  swapper          [kernel.kallsyms]    [k] flush_smp_call_function_from_idle
     1.75%     0.87%  mariadbd         [kernel.kallsyms]    [k] update_load_avg
     1.70%     0.02%  tclsh8.6         [kernel.kallsyms]    [k] unix_stream_recvmsg
     1.69%     0.04%  mariadbd         [kernel.kallsyms]    [k] ext4_ext_map_blocks
     1.69%     0.01%  mariadbd         [kernel.kallsyms]    [k] __common_interrupt
     1.68%     0.15%  tclsh8.6         [kernel.kallsyms]    [k] unix_stream_read_generic
     1.68%     0.01%  mariadbd         [kernel.kallsyms]    [k] handle_edge_irq
     1.65%     0.12%  mariadbd         [kernel.kallsyms]    [k] do_poll.constprop.0
     1.64%     0.02%  mariadbd         [kernel.kallsyms]    [k] handle_irq_event
     1.64%     0.02%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_recvfrom
     1.62%     0.02%  mariadbd         [kernel.kallsyms]    [k] __sys_recvfrom
     1.59%     0.06%  mariadbd         [kernel.kallsyms]    [k] ttwu_do_activate
     1.59%     0.02%  mariadbd         [kernel.kallsyms]    [k] ext4_dio_write_checks
     1.58%     0.38%  mariadbd         [kernel.kallsyms]    [k] enqueue_task_fair
     1.57%     0.02%  mariadbd         [kernel.kallsyms]    [k] __handle_irq_event_percpu
     1.57%     0.01%  swapper          [kernel.kallsyms]    [k] __sysvec_call_function_single
     1.55%     0.00%  mariadbd         [kernel.kallsyms]    [k] nvme_irq
     1.55%     0.09%  mariadbd         [kernel.kallsyms]    [k] nvme_process_cq
     1.52%     0.25%  mariadbd         [kernel.kallsyms]    [k] select_idle_sibling
     1.50%     0.34%  mariadbd         [kernel.kallsyms]    [k] ext4_find_extent
     1.50%     0.02%  mariadbd         [kernel.kallsyms]    [k] __wake_up_common_lock
     1.48%     0.13%  mariadbd         [kernel.kallsyms]    [k] exit_to_user_mode_prepare
     1.47%     0.11%  tclsh8.6         [kernel.kallsyms]    [k] do_poll.constprop.0
     1.46%     0.07%  mariadbd         [kernel.kallsyms]    [k] sock_def_readable
     1.45%     0.06%  mariadbd         [kernel.kallsyms]    [k] load_balance
     1.45%     0.02%  mariadbd         [kernel.kallsyms]    [k] unix_stream_recvmsg
     1.45%     0.59%  mariadbd         [kernel.kallsyms]    [k] update_curr
     1.43%     0.12%  mariadbd         [kernel.kallsyms]    [k] __wake_up_common
     1.43%     0.13%  mariadbd         [kernel.kallsyms]    [k] unix_stream_read_generic
     1.40%     0.00%  swapper          [kernel.kallsyms]    [k] start_kernel
     1.39%     1.36%  mariadbd         [kernel.kallsyms]    [k] native_queued_spin_lock_slowpath.part.0
     1.34%     0.02%  mariadbd         [kernel.kallsyms]    [k] perf_event_task_tick
     1.34%     0.01%  swapper          [kernel.kallsyms]    [k] __sysvec_apic_timer_interrupt
     1.33%     0.16%  mariadbd         [kernel.kallsyms]    [k] perf_adjust_freq_unthr_context
     1.33%     0.00%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_pwrite64
