# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 87K of event 'cycles'
# Event count (approx.): 1205267086608
#
# Children      Self  Command          Shared Object         Symbol                                                                                                      
# ........  ........  ...............  ....................  ............................................................................................................
#
     0.01%     0.00%  kworker/7:0      [kernel.kallsyms]     [k] process_one_work
     0.01%     0.01%  mariadbd         libpthread-2.28.so    [.] __errno_location
     0.01%     0.01%  mariadbd         mariadbd              [.] 0x0000000000d9b4a7
     0.01%     0.00%  kswapd0          [kernel.kallsyms]     [k] __mod_memcg_lruvec_state
     0.01%     0.01%  mariadbd         mariadbd              [.] _Z16tc_acquire_tableP3THDP11TDC_element
     0.01%     0.01%  mariadbd         mariadbd              [.] 0x0000000000b99fa3
     0.01%     0.01%  kswapd0          [kernel.kallsyms]     [k] kmem_cache_free
     0.01%     0.01%  mariadbd         mariadbd              [.] 0x0000000000d9f159
     0.01%     0.01%  tclsh8.6         libmariadb.so.3       [.] 0x00000000000252d0
     0.01%     0.01%  mariadbd         libaio.so.1.0.1       [.] io_submit
     0.01%     0.01%  mariadbd         mariadbd              [.] 0x0000000000d1ddba
     0.01%     0.00%  kworker/23:7-di  [kernel.kallsyms]     [k] aio_complete_rw
     0.01%     0.01%  mariadbd         libpthread-2.28.so    [.] pthread_self@GLIBC_2.2.5
     0.01%     0.01%  mariadbd         mariadbd              [.] 0x0000000000d9c0d5
     0.01%     0.00%  kworker/31:3-di  [kernel.kallsyms]     [k] __wake_up_common_lock
     0.01%     0.00%  kworker/31:3-di  [kernel.kallsyms]     [k] aio_complete_rw
     0.01%     0.01%  mariadbd         [kernel.kallsyms]     [k] ext4_journal_check_start
     0.01%     0.01%  mariadbd         [kernel.kallsyms]     [k] mempool_alloc_slab
     0.01%     0.01%  swapper          [kernel.kallsyms]     [k] mempool_free
     0.01%     0.01%  mariadbd         mariadbd              [.] _ZN18Explain_basic_joinD1Ev
     0.01%     0.01%  swapper          [kernel.kallsyms]     [k] clear_buddies
     0.01%     0.01%  mariadbd         [kernel.kallsyms]     [k] node_dirty_ok
     0.01%     0.01%  tclsh8.6         libmariadb.so.3       [.] 0x000000000001aa68
     0.01%     0.00%  kworker/14:4-di  [kernel.kallsyms]     [k] __wake_up_common_lock
     0.01%     0.01%  mariadbd         mariadbd              [.] 0x0000000000cf95a0
     0.01%     0.00%  kworker/12:1     [kernel.kallsyms]     [k] kthread
     0.01%     0.00%  kworker/12:1     [kernel.kallsyms]     [k] ret_from_fork
     0.01%     0.00%  kworker/12:1     [kernel.kallsyms]     [k] worker_thread
     0.01%     0.01%  mariadbd         mariadbd              [.] 0x0000000000b99f91
     0.01%     0.01%  mariadbd         [kernel.kallsyms]     [k] wbt_done
     0.01%     0.01%  tclsh8.6         [kernel.kallsyms]     [k] __calc_delta
     0.01%     0.01%  mariadbd         [kernel.kallsyms]     [k] filemap_check_errors
     0.01%     0.01%  tclsh8.6         [kernel.kallsyms]     [k] __check_object_size
     0.01%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] cpumask_next
     0.01%     0.01%  mariadbd         mariadbd              [.] 0x0000000000ca0dc8
     0.01%     0.00%  swapper          [kernel.kallsyms]     [k] complete
     0.01%     0.00%  swapper          [kernel.kallsyms]     [k] swake_up_locked
     0.01%     0.00%  mariadbd         [kernel.kallsyms]     [k] __es_find_extent_range
     0.01%     0.00%  mariadbd         [kernel.kallsyms]     [k] ext4_es_scan_range
     0.01%     0.00%  kworker/2:1-dio  [kernel.kallsyms]     [k] __schedule
     0.01%     0.00%  kworker/2:1-dio  [kernel.kallsyms]     [k] schedule
     0.01%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] nvme_unmap_data.part.0
     0.01%     0.00%  kworker/0:4-dio  [kernel.kallsyms]     [k] try_to_wake_up
     0.01%     0.01%  mariadbd         [kernel.kallsyms]     [k] load_new_mm_cr3
     0.01%     0.01%  mariadbd         libc-2.28.so          [.] __strchr_avx2
     0.01%     0.01%  mariadbd         mariadbd              [.] _ZN4Item7cleanupEv
     0.01%     0.01%  mariadbd         mariadbd              [.] 0x0000000000d9ba85
     0.01%     0.01%  mariadbd         mariadbd              [.] 0x0000000000c9ee93
     0.01%     0.01%  swapper          [kernel.kallsyms]     [k] percpu_counter_add_batch
     0.01%     0.00%  kworker/29:0     [kernel.kallsyms]     [k] iomap_dio_complete
     0.01%     0.00%  kworker/29:0     [kernel.kallsyms]     [k] iomap_dio_complete_work
     0.01%     0.01%  mariadbd         [kernel.kallsyms]     [k] nvme_complete_rq
     0.01%     0.00%  mariadbd         [kernel.kallsyms]     [k] rwsem_down_write_slowpath
     0.01%     0.00%  kworker/10:0-di  [kernel.kallsyms]     [k] kthread
     0.01%     0.00%  kworker/10:0-di  [kernel.kallsyms]     [k] ret_from_fork
     0.01%     0.00%  kworker/10:0-di  [kernel.kallsyms]     [k] worker_thread
     0.01%     0.01%  swapper          [kernel.kallsyms]     [k] blk_mq_complete_request_remote
     0.01%     0.01%  swapper          [kernel.kallsyms]     [k] local_touch_nmi
     0.01%     0.00%  mariadbd         [kernel.kallsyms]     [k] ext4_check_bdev_write_error
     0.01%     0.00%  kworker/0:4-dio  [kernel.kallsyms]     [k] iomap_dio_complete
     0.01%     0.00%  kworker/0:4-dio  [kernel.kallsyms]     [k] iomap_dio_complete_work
     0.01%     0.01%  mariadbd         [kernel.kallsyms]     [k] mempool_kmalloc
     0.01%     0.00%  mariadbd         [kernel.kallsyms]     [k] kick_ilb
     0.01%     0.00%  mariadbd         [kernel.kallsyms]     [k] finish_wait
     0.01%     0.01%  mariadbd         mariadbd              [.] 0x0000000000d9b4f0
     0.01%     0.00%  kworker/11:0     [kernel.kallsyms]     [k] process_one_work
     0.01%     0.01%  mariadbd         mariadbd              [.] 0x0000000000dd2980
     0.01%     0.01%  tclsh8.6         libmariadb.so.3       [.] 0x0000000000024057
     0.01%     0.01%  tclsh8.6         [kernel.kallsyms]     [k] scm_recv.constprop.0
     0.01%     0.01%  mariadbd         libc-2.28.so          [.] unlink_chunk.isra.2
     0.01%     0.01%  swapper          [kernel.kallsyms]     [k] timerqueue_iterate_next
     0.01%     0.01%  mariadbd         mariadbd              [.] 0x0000000000c9c8ae
     0.01%     0.01%  mariadbd         [kernel.kallsyms]     [k] blk_start_plug
     0.01%     0.00%  kworker/19:3-di  [kernel.kallsyms]     [k] __wake_up_common_lock
     0.01%     0.01%  mariadbd         mariadbd              [.] 0x0000000000c9fe8c
     0.01%     0.01%  mariadbd         mariadbd              [.] _Z10MYSQLparseP3THD
     0.01%     0.00%  kworker/28:2     [kernel.kallsyms]     [k] __schedule
     0.01%     0.00%  kworker/28:2     [kernel.kallsyms]     [k] schedule
     0.01%     0.01%  tclsh8.6         [kernel.kallsyms]     [k] import_single_range
     0.01%     0.01%  swapper          [kernel.kallsyms]     [k] core_kernel_data
     0.01%     0.01%  mariadbd         mariadbd              [.] 0x0000000000c9db1a
     0.01%     0.01%  mariadbd         mariadbd              [.] _ZN14Explain_selectD0Ev
     0.01%     0.01%  tclsh8.6         libmariadb.so.3       [.] 0x00000000000252a2
     0.01%     0.00%  kworker/22:0     [kernel.kallsyms]     [k] process_one_work
     0.01%     0.01%  mariadbd         mariadbd              [.] vio_socket_timeout
     0.01%     0.01%  mariadbd         mariadbd              [.] lf_hash_delete
     0.01%     0.01%  mariadbd         [kernel.kallsyms]     [k] update_sd_pick_busiest
     0.01%     0.00%  kworker/5:2-dio  [kernel.kallsyms]     [k] kthread
     0.01%     0.00%  kworker/5:2-dio  [kernel.kallsyms]     [k] ret_from_fork
     0.01%     0.00%  kworker/5:2-dio  [kernel.kallsyms]     [k] worker_thread
     0.01%     0.00%  kworker/20:1     [kernel.kallsyms]     [k] wake_affine
     0.01%     0.00%  mariadbd         [kernel.kallsyms]     [k] swap_vma_readahead
     0.01%     0.00%  kworker/6:0-dio  [kernel.kallsyms]     [k] __schedule
     0.01%     0.00%  kworker/6:0-dio  [kernel.kallsyms]     [k] schedule
     0.01%     0.00%  kworker/0:4-dio  [kernel.kallsyms]     [k] autoremove_wake_function
     0.01%     0.00%  kworker/9:0-dio  [kernel.kallsyms]     [k] try_to_wake_up
     0.01%     0.00%  kworker/9:0-dio  [kernel.kallsyms]     [k] __wake_up_common
     0.01%     0.00%  kworker/9:0-dio  [kernel.kallsyms]     [k] autoremove_wake_function
     0.01%     0.01%  tclsh8.6         libmariadb.so.3       [.] 0x000000000001c3f3
     0.01%     0.01%  tclsh8.6         libmariadb.so.3       [.] 0x0000000000020733
     0.01%     0.00%  kworker/27:1-di  [kernel.kallsyms]     [k] kthread
     0.01%     0.00%  kworker/27:1-di  [kernel.kallsyms]     [k] ret_from_fork
     0.01%     0.00%  kworker/27:1-di  [kernel.kallsyms]     [k] worker_thread
     0.01%     0.01%  kswapd0          [kernel.kallsyms]     [k] __list_del_entry_valid
     0.01%     0.00%  kworker/16:2-di  [kernel.kallsyms]     [k] worker_thread
     0.01%     0.00%  kworker/16:2-di  [kernel.kallsyms]     [k] kthread
     0.01%     0.00%  kworker/16:2-di  [kernel.kallsyms]     [k] ret_from_fork
     0.01%     0.00%  swapper          [kernel.kallsyms]     [k] detach_tasks
     0.01%     0.00%  mariadbd         [kernel.kallsyms]     [k] generic_exec_single
     0.01%     0.00%  mariadbd         [kernel.kallsyms]     [k] smp_call_function_single_async
     0.01%     0.00%  kworker/23:7-di  [kernel.kallsyms]     [k] __wake_up_common_lock
     0.01%     0.01%  mariadbd         mariadbd              [.] _Z10open_tableP3THDP10TABLE_LISTP18Open_table_context
     0.01%     0.01%  mariadbd         [kernel.kallsyms]     [k] mem_cgroup_charge_statistics.constprop.0
     0.01%     0.01%  mariadbd         libstdc++.so.6.0.25   [.] _ZNSt6chrono3_V212system_clock3nowEv
     0.01%     0.00%  kworker/7:1-dio  [kernel.kallsyms]     [k] process_one_work
     0.01%     0.01%  mariadbd         [kernel.kallsyms]     [k] __msecs_to_jiffies
     0.01%     0.01%  mariadbd         mariadbd              [.] 0x0000000000ca5ac3
     0.01%     0.01%  mariadbd         mariadbd              [.] 0x0000000000c311a4
     0.01%     0.01%  swapper          [kernel.kallsyms]     [k] rcu_idle_enter
     0.01%     0.00%  kworker/8:2-dio  [kernel.kallsyms]     [k] __schedule
     0.01%     0.00%  kworker/8:2-dio  [kernel.kallsyms]     [k] schedule
     0.01%     0.00%  kworker/30:0     [kernel.kallsyms]     [k] kthread
     0.01%     0.00%  kworker/30:0     [kernel.kallsyms]     [k] ret_from_fork
     0.01%     0.00%  kworker/30:0     [kernel.kallsyms]     [k] worker_thread
     0.01%     0.01%  mariadbd         mariadbd              [.] 0x0000000000da19c8
     0.01%     0.00%  kworker/24:6-di  [kernel.kallsyms]     [k] process_one_work
     0.01%     0.01%  mariadbd         mariadbd              [.] bitmap_get_next_set
     0.01%     0.00%  mariadbd         [kernel.kallsyms]     [k] __es_remove_extent
     0.01%     0.01%  mariadbd         mariadbd              [.] 0x0000000000d91896
     0.01%     0.01%  mariadbd         [kernel.kallsyms]     [k] __check_object_size
     0.01%     0.01%  mariadbd         mariadbd              [.] _ZN5tpool10task_group7executeEPNS_4taskE
     0.01%     0.01%  mariadbd         mariadbd              [.] 0x0000000000c9f7f5
     0.01%     0.00%  kworker/7:1-dio  [kernel.kallsyms]     [k] __schedule
     0.01%     0.00%  kworker/7:1-dio  [kernel.kallsyms]     [k] schedule
     0.01%     0.00%  kworker/26:2-di  [kernel.kallsyms]     [k] schedule
     0.01%     0.00%  kworker/17:2-di  [kernel.kallsyms]     [k] __wake_up_common_lock
     0.01%     0.01%  mariadbd         mariadbd              [.] 0x0000000000d680fa
     0.01%     0.00%  kworker/u64:3-f  [kernel.kallsyms]     [k] kthread
     0.01%     0.00%  kworker/u64:3-f  [kernel.kallsyms]     [k] process_one_work
     0.01%     0.00%  kworker/u64:3-f  [kernel.kallsyms]     [k] ret_from_fork
     0.01%     0.00%  kworker/u64:3-f  [kernel.kallsyms]     [k] worker_thread
     0.01%     0.01%  tclsh8.6         [kernel.kallsyms]     [k] kmalloc_slab
     0.01%     0.01%  mariadbd         mariadbd              [.] 0x0000000000d9c244
     0.01%     0.00%  kworker/4:1-dio  [kernel.kallsyms]     [k] aio_complete_rw
     0.01%     0.01%  mariadbd         [kernel.kallsyms]     [k] irqtime_account_process_tick
     0.01%     0.00%  kworker/0:4-dio  [kernel.kallsyms]     [k] ext4_convert_unwritten_extents
     0.01%     0.00%  kworker/0:4-dio  [kernel.kallsyms]     [k] ext4_dio_write_end_io
     0.01%     0.01%  swapper          [kernel.kallsyms]     [k] __x86_indirect_thunk_rax
     0.01%     0.01%  tclsh8.6         libmariadb.so.3       [.] 0x000000000001b10c
     0.01%     0.01%  mariadbd         mariadbd              [.] 0x0000000000ca3155
     0.01%     0.00%  mariadbd         [kernel.kallsyms]     [k] workingset_update_node
     0.01%     0.01%  mariadbd         mariadbd              [.] 0x0000000000c9fa0d
     0.01%     0.00%  mariadbd         [kernel.kallsyms]     [k] ext4_generic_write_checks
     0.01%     0.00%  kworker/18:0-di  [kernel.kallsyms]     [k] kthread
     0.01%     0.00%  kworker/18:0-di  [kernel.kallsyms]     [k] ret_from_fork
     0.01%     0.00%  kworker/18:0-di  [kernel.kallsyms]     [k] worker_thread
     0.01%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] clockevents_program_event
     0.01%     0.00%  kworker/20:0-di  [kernel.kallsyms]     [k] kthread
     0.01%     0.00%  kworker/20:0-di  [kernel.kallsyms]     [k] ret_from_fork
     0.01%     0.00%  kworker/20:0-di  [kernel.kallsyms]     [k] worker_thread
     0.01%     0.00%  kworker/18:6-di  [kernel.kallsyms]     [k] kthread
     0.01%     0.00%  kworker/18:6-di  [kernel.kallsyms]     [k] ret_from_fork
     0.01%     0.00%  kworker/18:6-di  [kernel.kallsyms]     [k] worker_thread
     0.01%     0.01%  mariadbd         mariadbd              [.] 0x0000000000d29824
     0.01%     0.01%  tclsh8.6         libmariadb.so.3       [.] 0x000000000001a991
     0.01%     0.01%  swapper          [kernel.kallsyms]     [k] tick_nohz_get_next_hrtimer
     0.01%     0.00%  kworker/14:4-di  [kernel.kallsyms]     [k] __wake_up_common
     0.01%     0.00%  kworker/17:2-di  [kernel.kallsyms]     [k] __schedule
     0.01%     0.00%  kworker/17:2-di  [kernel.kallsyms]     [k] schedule
     0.01%     0.01%  mariadbd         libc-2.28.so          [.] __memset_avx2_unaligned_erms
     0.01%     0.01%  mariadbd         mariadbd              [.] _ZN10MDL_ticket7destroyEPS_
     0.01%     0.00%  kworker/12:1     [kernel.kallsyms]     [k] process_one_work
     0.01%     0.01%  mariadbd         [kernel.kallsyms]     [k] jbd2_write_access_granted.part.0
     0.01%     0.01%  mariadbd         libc-2.28.so          [.] __memset_avx2_unaligned
     0.01%     0.01%  mariadbd         mariadbd              [.] 0x0000000000b88e0f
     0.01%     0.01%  mariadbd         [kernel.kallsyms]     [k] wbc_account_cgroup_owner
     0.01%     0.01%  swapper          [kernel.kallsyms]     [k] irq_chip_ack_parent
     0.01%     0.01%  mariadbd         [kernel.kallsyms]     [k] perf_pmu_nop_void
     0.01%     0.01%  mariadbd         [kernel.kallsyms]     [k] release_pages
     0.01%     0.01%  tclsh8.6         libmariatcl0.1.so     [.] maria_QueryTclObj.isra.7
     0.01%     0.01%  mariadbd         [kernel.kallsyms]     [k] sg_next
     0.01%     0.01%  mariadbd         mariadbd              [.] 0x0000000000cf9548
     0.01%     0.01%  tclsh8.6         libmariadb.so.3       [.] 0x000000000001b304
     0.01%     0.01%  mariadbd         [kernel.kallsyms]     [k] calc_wheel_index
     0.01%     0.00%  kworker/31:3-di  [kernel.kallsyms]     [k] __wake_up_common
     0.01%     0.00%  swapper          [kernel.kallsyms]     [k] __run_timers.part.0
     0.01%     0.00%  swapper          [kernel.kallsyms]     [k] call_timer_fn
     0.01%     0.00%  kworker/29:1     [kernel.kallsyms]     [k] process_one_work
     0.01%     0.01%  mariadbd         libpthread-2.28.so    [.] _pthread_cleanup_pop
     0.01%     0.01%  mariadbd         [kernel.kallsyms]     [k] pud_huge
     0.01%     0.01%  tclsh8.6         [kernel.kallsyms]     [k] switch_ldt
     0.01%     0.01%  mariadbd         mariadbd              [.] 0x0000000000c802c1
     0.01%     0.01%  tclsh8.6         [kernel.kallsyms]     [k] path_put
     0.01%     0.01%  mariadbd         [kernel.kallsyms]     [k] __raw_callee_save___native_queued_spin_unlock
     0.01%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] cpumask_next_and
     0.01%     0.00%  kworker/4:1-dio  [kernel.kallsyms]     [k] __wake_up_common_lock
     0.01%     0.01%  mariadbd         mariadbd              [.] _Z20mysql_handle_derivedP3LEXj
     0.01%     0.00%  kworker/13:0-di  [kernel.kallsyms]     [k] __wake_up_common
     0.01%     0.00%  kworker/13:0-di  [kernel.kallsyms]     [k] autoremove_wake_function
     0.01%     0.00%  kworker/13:0-di  [kernel.kallsyms]     [k] try_to_wake_up
     0.01%     0.00%  mariadbd         [kernel.kallsyms]     [k] aio_complete_rw
     0.01%     0.00%  mariadbd         [kernel.kallsyms]     [k] autoremove_wake_function
     0.01%     0.00%  kworker/27:4     [kernel.kallsyms]     [k] aio_complete_rw
     0.01%     0.01%  mariadbd         [kernel.kallsyms]     [k] xas_find_marked
     0.01%     0.01%  tclsh8.6         libtcl8.6.so          [.] TclNRRunCallbacks
     0.01%     0.00%  kswapd0          [kernel.kallsyms]     [k] isolate_page
     0.01%     0.01%  mariadbd         mariadbd              [.] _ZN4JOIN14optimize_innerEv
     0.01%     0.01%  mariadbd         [kernel.kallsyms]     [k] ext4_get_group_desc
     0.01%     0.01%  swapper          [kernel.kallsyms]     [k] update_group_capacity
     0.01%     0.00%  kworker/1:1-dio  [kernel.kallsyms]     [k] __schedule
     0.01%     0.00%  kworker/1:1-dio  [kernel.kallsyms]     [k] schedule
     0.01%     0.01%  kworker/21:2-di  [kernel.kallsyms]     [k] _raw_spin_lock_irqsave
     0.01%     0.00%  kworker/21:2-di  [kernel.kallsyms]     [k] aio_complete
     0.01%     0.01%  mariadbd         [kernel.kallsyms]     [k] __hrtimer_next_event_base
     0.01%     0.01%  kswapd0          [kernel.kallsyms]     [k] free_unref_page_commit.constprop.0
     0.01%     0.01%  mariadbd         [kernel.kallsyms]     [k] kfree_skbmem
     0.01%     0.01%  mariadbd         mariadbd              [.] 0x0000000000d9bc33
     0.01%     0.01%  mariadbd         [kernel.kallsyms]     [k] mutex_unlock
     0.01%     0.01%  tclsh8.6         [kernel.kallsyms]     [k] ktime_get_coarse_real_ts64
     0.01%     0.00%  kworker/25:7-di  [kernel.kallsyms]     [k] schedule
     0.01%     0.00%  kworker/22:3-di  [kernel.kallsyms]     [k] kthread
     0.01%     0.00%  kworker/22:3-di  [kernel.kallsyms]     [k] ret_from_fork
     0.01%     0.00%  kworker/22:3-di  [kernel.kallsyms]     [k] worker_thread
     0.01%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] futex_wake
     0.01%     0.00%  kworker/3:1-dio  [kernel.kallsyms]     [k] try_to_wake_up
     0.01%     0.00%  kworker/3:1-dio  [kernel.kallsyms]     [k] __wake_up_common
     0.01%     0.00%  kworker/3:1-dio  [kernel.kallsyms]     [k] __wake_up_common_lock
     0.01%     0.00%  kworker/3:1-dio  [kernel.kallsyms]     [k] autoremove_wake_function
     0.01%     0.00%  mariadbd         [kernel.kallsyms]     [k] io_submit_init_bio
     0.01%     0.00%  kworker/20:0-di  [kernel.kallsyms]     [k] process_one_work
     0.01%     0.00%  kworker/15:0-di  [kernel.kallsyms]     [k] __schedule
     0.01%     0.00%  kworker/15:0-di  [kernel.kallsyms]     [k] schedule
     0.01%     0.01%  mariadbd         mariadbd              [.] my_hash_sort_bin
     0.01%     0.01%  mariadbd         [kernel.kallsyms]     [k] account_process_tick
     0.01%     0.01%  mariadbd         mariadbd              [.] 0x0000000000d917e4
     0.01%     0.00%  kworker/17:2-di  [kernel.kallsyms]     [k] __wake_up_common
     0.01%     0.01%  mariadbd         mariadbd              [.] _ZN23Mrr_simple_index_reader8get_nextEPPv
     0.01%     0.01%  mariadbd         [kernel.kallsyms]     [k] __x86_indirect_thunk_r15
     0.01%     0.01%  swapper          [kernel.kallsyms]     [k] wbt_data_dir
     0.01%     0.00%  kworker/28:2     [kernel.kallsyms]     [k] aio_complete
     0.01%     0.00%  kworker/11:3-di  [kernel.kallsyms]     [k] aio_complete_rw
     0.01%     0.00%  mariadbd         [kernel.kallsyms]     [k] get_partial_node.part.0
     0.01%     0.01%  mariadbd         [kernel.kallsyms]     [k] skb_put
     0.01%     0.01%  mariadbd         mariadbd              [.] _Z18log_slow_statementP3THD
     0.01%     0.01%  mariadbd         mariadbd              [.] 0x0000000000d92bf1
     0.01%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] skb_unlink
     0.01%     0.01%  mariadbd         mariadbd              [.] 0x0000000000a95141
     0.01%     0.01%  tclsh8.6         [kernel.kallsyms]     [k] __list_add_valid
     0.01%     0.01%  mariadbd         [kernel.kallsyms]     [k] irqentry_exit
     0.01%     0.01%  mariadbd         mariadbd              [.] _Z22reinit_stmt_before_useP3THDP3LEX
     0.01%     0.01%  mariadbd         [kernel.kallsyms]     [k] errseq_check
     0.01%     0.00%  swapper          [kernel.kallsyms]     [k] run_timer_softirq
     0.01%     0.00%  kworker/5:3      [kernel.kallsyms]     [k] schedule
     0.01%     0.00%  mariadbd         [kernel.kallsyms]     [k] call_timer_fn
     0.01%     0.00%  kworker/8:2-dio  [kernel.kallsyms]     [k] __wake_up_common
     0.01%     0.00%  kworker/8:2-dio  [kernel.kallsyms]     [k] autoremove_wake_function
     0.01%     0.00%  kworker/8:2-dio  [kernel.kallsyms]     [k] try_to_wake_up
     0.01%     0.01%  tclsh8.6         [kernel.kallsyms]     [k] put_pid
     0.01%     0.00%  kworker/23:7-di  [kernel.kallsyms]     [k] __wake_up_common
     0.01%     0.00%  kworker/23:7-di  [kernel.kallsyms]     [k] autoremove_wake_function
     0.01%     0.01%  mariadbd         mariadbd              [.] _ZN9Item_func10fix_fieldsEP3THDPP4Item
     0.01%     0.00%  kworker/15:0-di  [kernel.kallsyms]     [k] aio_complete_rw
     0.01%     0.00%  mariadbd         [kernel.kallsyms]     [k] bio_add_page
     0.01%     0.01%  tclsh8.6         [kernel.kallsyms]     [k] dma_pool_free
     0.01%     0.01%  mariadbd         [kernel.kallsyms]     [k] should_failslab
     0.01%     0.01%  kswapd0          [kernel.kallsyms]     [k] _raw_spin_lock_irqsave
     0.01%     0.00%  kworker/10:3-di  [kernel.kallsyms]     [k] worker_thread
     0.01%     0.00%  kworker/10:3-di  [kernel.kallsyms]     [k] kthread
     0.01%     0.00%  kworker/10:3-di  [kernel.kallsyms]     [k] ret_from_fork
     0.01%     0.01%  kworker/u64:3-f  [kernel.kallsyms]     [k] ixgbe_read_reg
     0.01%     0.00%  kworker/u64:3-f  [kernel.kallsyms]     [k] ixgbe_service_task
     0.01%     0.00%  kworker/u64:3-f  [kernel.kallsyms]     [k] ixgbe_update_stats
     0.01%     0.00%  kworker/u64:3-f  [kernel.kallsyms]     [k] ixgbe_watchdog_subtask
     0.01%     0.01%  kswapd0          [kernel.kallsyms]     [k] page_check_dirty_writeback
     0.01%     0.00%  swapper          [kernel.kallsyms]     [k] is_cpu_allowed
     0.01%     0.00%  kworker/10:0-di  [kernel.kallsyms]     [k] aio_complete_rw
     0.01%     0.00%  kworker/10:0-di  [kernel.kallsyms]     [k] process_one_work
     0.01%     0.01%  mariadbd         [kernel.kallsyms]     [k] ksize
     0.01%     0.01%  mariadbd         mariadbd              [.] 0x0000000000d70e71
     0.01%     0.01%  mariadbd         [kernel.kallsyms]     [k] need_active_balance
     0.01%     0.01%  tclsh8.6         [kernel.kallsyms]     [k] is_cpu_allowed
     0.01%     0.00%  mariadbd         [kernel.kallsyms]     [k] run_timer_softirq
     0.01%     0.00%  kworker/26:2-di  [kernel.kallsyms]     [k] __schedule
     0.01%     0.01%  mariadbd         mariadbd              [.] _ZN8Protocol8send_eofEjj
     0.01%     0.00%  kworker/27:4     [kernel.kallsyms]     [k] __wake_up_common_lock
     0.01%     0.01%  tclsh8.6         [kernel.kallsyms]     [k] native_send_call_func_single_ipi
     0.01%     0.01%  mariadbd         [kernel.kallsyms]     [k] timespec64_add_safe
     0.01%     0.00%  kworker/12:2-di  [kernel.kallsyms]     [k] __schedule
     0.01%     0.00%  kworker/12:2-di  [kernel.kallsyms]     [k] schedule
     0.01%     0.01%  mariadbd         [kernel.kallsyms]     [k] irq_chip_ack_parent
     0.01%     0.00%  kworker/21:1     [kernel.kallsyms]     [k] kthread
     0.01%     0.00%  kworker/21:1     [kernel.kallsyms]     [k] ret_from_fork
     0.01%     0.00%  kworker/21:1     [kernel.kallsyms]     [k] worker_thread
     0.01%     0.00%  mariadbd         [kernel.kallsyms]     [k] file_modified
     0.01%     0.00%  kworker/0:4-dio  [kernel.kallsyms]     [k] ext4_ext_map_blocks
     0.01%     0.00%  kworker/0:4-dio  [kernel.kallsyms]     [k] ext4_map_blocks
     0.01%     0.00%  irqbalance       [kernel.kallsyms]     [k] do_syscall_64
     0.01%     0.00%  irqbalance       [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     0.01%     0.00%  irqbalance       [kernel.kallsyms]     [k] ksys_read
     0.01%     0.00%  irqbalance       [kernel.kallsyms]     [k] new_sync_read
     0.01%     0.00%  irqbalance       [kernel.kallsyms]     [k] proc_reg_read_iter
     0.01%     0.00%  irqbalance       [kernel.kallsyms]     [k] seq_read_iter
     0.01%     0.00%  irqbalance       [kernel.kallsyms]     [k] vfs_read
     0.01%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] wait_for_unix_gc
     0.01%     0.00%  mariadbd         [kernel.kallsyms]     [k] ext4_init_io_end
     0.01%     0.01%  mariadbd         [kernel.kallsyms]     [k] skb_set_owner_w
     0.01%     0.01%  mariadbd         [kernel.kallsyms]     [k] up_write
     0.01%     0.01%  mariadbd         mariadbd              [.] _ZN3THD20add_slow_query_stateEP19Sub_statement_state
     0.01%     0.00%  kworker/23:3-di  [kernel.kallsyms]     [k] __schedule
     0.01%     0.00%  kworker/23:3-di  [kernel.kallsyms]     [k] schedule
     0.01%     0.00%  kworker/25:7-di  [kernel.kallsyms]     [k] __schedule
     0.01%     0.00%  kworker/14:4-di  [kernel.kallsyms]     [k] autoremove_wake_function
     0.01%     0.00%  kworker/14:4-di  [kernel.kallsyms]     [k] try_to_wake_up
     0.01%     0.01%  mariadbd         mariadbd              [.] 0x0000000000d1e0b0
     0.01%     0.00%  mariadbd         [kernel.kallsyms]     [k] make_kgid
     0.01%     0.01%  tclsh8.6         libmariadb.so.3       [.] 0x00000000000254fb
     0.01%     0.00%  kworker/24:6-di  [kernel.kallsyms]     [k] aio_complete_rw
     0.01%     0.01%  mariadbd         mariadbd              [.] 0x0000000000d39ec2
     0.01%     0.01%  kswapd0          [kernel.kallsyms]     [k] ext4_releasepage
     0.01%     0.00%  kworker/31:3-di  [kernel.kallsyms]     [k] try_to_wake_up
     0.01%     0.00%  kworker/31:3-di  [kernel.kallsyms]     [k] autoremove_wake_function
     0.01%     0.01%  tclsh8.6         [kernel.kallsyms]     [k] arch_scale_freq_tick
     0.01%     0.01%  mariadbd         mariadbd              [.] _Z13cleanup_itemsP4Item
     0.01%     0.00%  kworker/24:0     [kernel.kallsyms]     [k] __schedule
     0.01%     0.00%  kworker/24:0     [kernel.kallsyms]     [k] schedule
     0.01%     0.01%  mariadbd         [kernel.kallsyms]     [k] dec_zone_page_state
     0.01%     0.01%  mariadbd         mariadbd              [.] 0x0000000000ca420c
