# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 87K of event 'cycles'
# Event count (approx.): 1205267086608
#
# Children      Self  Command          Shared Object         Symbol                                                                                                      
# ........  ........  ...............  ....................  ............................................................................................................
#
     1.96%     0.15%  tclsh8.6         [kernel.kallsyms]     [k] do_sys_poll
     1.93%     0.02%  swapper          [kernel.kallsyms]     [k] asm_sysvec_apic_timer_interrupt
     1.90%     0.01%  swapper          [kernel.kallsyms]     [k] sysvec_apic_timer_interrupt
     1.89%     0.04%  swapper          [kernel.kallsyms]     [k] ttwu_do_activate
     1.87%     0.15%  mariadbd         [kernel.kallsyms]     [k] do_poll.constprop.0
     1.85%     0.55%  swapper          [kernel.kallsyms]     [k] enqueue_task_fair
     1.77%     0.00%  mariadbd         [kernel.kallsyms]     [k] common_interrupt
     1.76%     0.11%  swapper          [kernel.kallsyms]     [k] flush_smp_call_function_from_idle
     1.73%     0.27%  mariadbd         [kernel.kallsyms]     [k] select_idle_sibling
     1.71%     0.02%  mariadbd         [kernel.kallsyms]     [k] __x64_sys_recvfrom
     1.71%     0.01%  tclsh8.6         [kernel.kallsyms]     [k] unix_stream_recvmsg
     1.70%     0.07%  mariadbd         [kernel.kallsyms]     [k] ttwu_do_activate
     1.70%     0.02%  mariadbd         [kernel.kallsyms]     [k] __sys_recvfrom
     1.70%     0.17%  tclsh8.6         [kernel.kallsyms]     [k] unix_stream_read_generic
     1.69%     0.38%  mariadbd         [kernel.kallsyms]     [k] enqueue_task_fair
     1.68%     0.15%  mariadbd         [kernel.kallsyms]     [k] exit_to_user_mode_prepare
     1.66%     0.02%  mariadbd         [kernel.kallsyms]     [k] __wake_up_common_lock
     1.66%     0.02%  mariadbd         [kernel.kallsyms]     [k] __common_interrupt
     1.65%     0.14%  tclsh8.6         [kernel.kallsyms]     [k] do_poll.constprop.0
     1.64%     0.02%  mariadbd         [kernel.kallsyms]     [k] handle_edge_irq
     1.64%     0.08%  mariadbd         [kernel.kallsyms]     [k] load_balance
     1.63%     1.59%  mariadbd         [kernel.kallsyms]     [k] native_queued_spin_lock_slowpath.part.0
     1.60%     0.06%  mariadbd         [kernel.kallsyms]     [k] sock_def_readable
     1.59%     0.01%  mariadbd         [kernel.kallsyms]     [k] handle_irq_event
     1.59%     0.13%  mariadbd         [kernel.kallsyms]     [k] __wake_up_common
     1.57%     0.01%  swapper          [kernel.kallsyms]     [k] __sysvec_call_function_single
     1.56%     0.64%  mariadbd         [kernel.kallsyms]     [k] update_curr
     1.52%     0.02%  mariadbd         [kernel.kallsyms]     [k] unix_stream_recvmsg
     1.50%     0.01%  mariadbd         [kernel.kallsyms]     [k] __handle_irq_event_percpu
     1.50%     0.04%  mariadbd         [kernel.kallsyms]     [k] schedule_hrtimeout_range_clock
     1.50%     0.15%  mariadbd         [kernel.kallsyms]     [k] unix_stream_read_generic
     1.49%     0.01%  mariadbd         [kernel.kallsyms]     [k] nvme_irq
     1.48%     0.08%  mariadbd         [kernel.kallsyms]     [k] nvme_process_cq
     1.45%     0.37%  mariadbd         [kernel.kallsyms]     [k] futex_wait_setup
     1.44%     0.08%  mariadbd         [kernel.kallsyms]     [k] pollwake
     1.39%     0.00%  swapper          [kernel.kallsyms]     [k] start_kernel
     1.34%     0.28%  mariadbd         [kernel.kallsyms]     [k] syscall_exit_work
     1.29%     0.41%  swapper          [kernel.kallsyms]     [k] enqueue_entity
     1.28%     0.02%  mariadbd         [kernel.kallsyms]     [k] perf_event_task_tick
     1.25%     0.15%  mariadbd         [kernel.kallsyms]     [k] perf_adjust_freq_unthr_context
     1.25%     0.00%  swapper          [kernel.kallsyms]     [k] __sysvec_apic_timer_interrupt
     1.24%     0.01%  swapper          [kernel.kallsyms]     [k] hrtimer_interrupt
     1.24%     0.07%  mariadbd         [kernel.kallsyms]     [k] asm_sysvec_call_function_single
     1.20%     0.01%  mariadbd         [kernel.kallsyms]     [k] sock_alloc_send_pskb
     1.20%     0.36%  mariadbd         [kernel.kallsyms]     [k] ttwu_queue_wakelist
     1.19%     0.05%  mariadbd         [kernel.kallsyms]     [k] alloc_skb_with_frags
     1.18%     0.00%  mariadbd         [kernel.kallsyms]     [k] __x64_sys_pwrite64
     1.18%     0.00%  mariadbd         [kernel.kallsyms]     [k] vfs_write
     1.18%     0.00%  mariadbd         [kernel.kallsyms]     [k] new_sync_write
     1.17%     0.00%  mariadbd         [kernel.kallsyms]     [k] ext4_buffered_write_iter
     1.17%     0.02%  mariadbd         [kernel.kallsyms]     [k] iomap_dio_submit_bio
     1.13%     0.00%  mariadbd         [kernel.kallsyms]     [k] generic_perform_write
     1.13%     0.09%  mariadbd         [kernel.kallsyms]     [k] __alloc_skb
     1.13%     0.02%  mariadbd         [kernel.kallsyms]     [k] blk_finish_plug
     1.13%     0.02%  mariadbd         [kernel.kallsyms]     [k] io_schedule_timeout
     1.12%     0.01%  mariadbd         [kernel.kallsyms]     [k] blk_mq_end_request
     1.12%     0.01%  swapper          [kernel.kallsyms]     [k] asm_common_interrupt
     1.11%     0.01%  mariadbd         [kernel.kallsyms]     [k] schedule_timeout
     1.11%     0.04%  tclsh8.6         [kernel.kallsyms]     [k] schedule_hrtimeout_range_clock
     1.11%     0.28%  mariadbd         [kernel.kallsyms]     [k] enqueue_entity
     1.11%     0.02%  mariadbd         [kernel.kallsyms]     [k] blk_mq_flush_plug_list
     1.11%     0.01%  swapper          [kernel.kallsyms]     [k] common_interrupt
     1.10%     0.25%  mariadbd         [kernel.kallsyms]     [k] select_idle_cpu
     1.08%     0.02%  mariadbd         [kernel.kallsyms]     [k] blk_mq_sched_insert_requests
     1.08%     0.06%  tclsh8.6         [kernel.kallsyms]     [k] schedule
     1.06%     0.05%  mariadbd         [kernel.kallsyms]     [k] blk_mq_try_issue_list_directly
     1.06%     1.06%  mariadbd         [kernel.kallsyms]     [k] available_idle_cpu
     1.05%     0.58%  mariadbd         [kernel.kallsyms]     [k] __audit_syscall_exit
     1.05%     0.55%  swapper          [kernel.kallsyms]     [k] update_load_avg
     1.05%     0.06%  swapper          [kernel.kallsyms]     [k] __irq_exit_rcu
     1.04%     0.01%  swapper          [kernel.kallsyms]     [k] __hrtimer_run_queues
     1.04%     0.03%  mariadbd         [kernel.kallsyms]     [k] amd_pmu_disable_all
     1.04%     0.00%  swapper          [kernel.kallsyms]     [k] __run_hrtimer
     1.04%     0.08%  swapper          [kernel.kallsyms]     [k] tick_nohz_get_sleep_length
     1.03%     0.01%  tclsh8.6         [kernel.kallsyms]     [k] __wake_up_common_lock
     1.02%     0.01%  swapper          [kernel.kallsyms]     [k] tick_sched_timer
     1.02%     0.20%  tclsh8.6         [kernel.kallsyms]     [k] __schedule
