# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 345K of event 'cycles'
# Event count (approx.): 10540988189060
#
# Children      Self  Command          Shared Object      Symbol                                             
# ........  ........  ...............  .................  ...................................................
#
    56.49%     0.00%  swapper          [kernel.kallsyms]  [k] secondary_startup_64_no_verify
    56.49%     0.00%  swapper          [kernel.kallsyms]  [k] cpu_startup_entry
    56.48%     0.01%  swapper          [kernel.kallsyms]  [k] do_idle
    56.34%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_enter
    56.34%     0.01%  swapper          [kernel.kallsyms]  [k] cpuidle_enter_state
    56.16%    50.69%  swapper          [kernel.kallsyms]  [k] mwait_idle_with_hints.constprop.0
    54.84%     0.00%  swapper          [kernel.kallsyms]  [k] start_secondary
    10.18%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] do_syscall_64
    10.18%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     7.99%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     7.99%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] do_syscall_64
     7.81%     0.04%  java             [kernel.kallsyms]  [k] asm_exc_page_fault
     7.55%     0.18%  java             [kernel.kallsyms]  [k] exc_page_fault
     7.43%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] __x64_sys_read
     7.43%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] ksys_read
     7.43%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] vfs_read
     7.43%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] ext4_file_read_iter
     7.43%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] generic_file_read_iter
     7.43%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] new_sync_read
     7.43%     0.04%  localfetcher#1   [kernel.kallsyms]  [k] filemap_read
     6.41%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ksys_read
     6.41%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] __x64_sys_read
     6.41%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] vfs_read
     6.41%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] new_sync_read
     6.41%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_file_read_iter
     6.41%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] generic_file_read_iter
     6.41%     0.05%  pool-4-thread-1  [kernel.kallsyms]  [k] filemap_read
     6.36%     0.05%  java             [kernel.kallsyms]  [k] do_user_addr_fault
     6.01%     0.11%  pool-4-thread-1  [kernel.kallsyms]  [k] add_to_page_cache_lru
     5.50%     5.50%  swapper          [unknown]          [.] 0000000000000000
     5.45%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] filemap_get_pages
     5.42%     0.05%  pool-4-thread-1  [kernel.kallsyms]  [k] page_cache_ra_unbounded
     5.42%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ondemand_readahead
     5.37%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] page_cache_async_ra
     4.21%     1.81%  localfetcher#1   [kernel.kallsyms]  [k] copy_user_enhanced_fast_string
     4.10%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] do_syscall_64
     4.10%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     4.07%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] __x64_sys_write
     4.07%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] ksys_write
     4.07%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] vfs_write
     4.07%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] ext4_buffered_write_iter
     4.07%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] ext4_file_write_iter
     4.07%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] new_sync_write
