# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 16K of event 'cycles'
# Event count (approx.): 6600941935438
#
# Children      Self  Command          Shared Object                       Symbol                                           
# ........  ........  ...............  ..................................  .................................................
#
     1.68%     0.05%  Native-Transpor  [kernel.kallsyms]                   [k] ext4_mpage_readpages
     1.66%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
     1.65%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
     1.62%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] hrtimer_interrupt
     1.62%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
     1.61%     0.00%  ReadStage-148    [kernel.kallsyms]                   [k] asm_exc_page_fault
     1.61%     0.00%  ReadStage-148    [kernel.kallsyms]                   [k] do_user_addr_fault
     1.61%     0.00%  ReadStage-148    [kernel.kallsyms]                   [k] exc_page_fault
     1.61%     1.61%  ReadStage-148    [kernel.kallsyms]                   [k] vmacache_update
     1.61%     0.00%  ReadStage-148    [kernel.kallsyms]                   [k] find_vma
     1.60%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] try_to_wake_up
     1.59%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __hrtimer_run_queues
     1.58%     1.58%  swapper          [kernel.kallsyms]                   [k] load_new_mm_cr3
     1.53%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] hrtimer_wakeup
     1.53%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] wake_up_process
     1.52%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __x64_sys_writev
     1.52%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] do_writev
     1.51%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] vfs_writev
     1.51%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] do_iter_readv_writev
     1.51%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] do_iter_write
     1.51%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] inet6_sendmsg
     1.51%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] sock_sendmsg
     1.51%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] sock_write_iter
     1.51%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] tcp_sendmsg
     1.50%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] tcp_sendmsg_locked
     1.46%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] tcp_write_xmit
     1.46%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __tcp_push_pending_frames
     1.46%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] tcp_push
     1.44%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] tcp_rcv_established
     1.44%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] tcp_v4_do_rcv
     1.43%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] tcp_ack
     1.42%     1.40%  Native-Transpor  [kernel.kallsyms]                   [k] _raw_spin_lock_irqsave
     1.42%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __kfree_skb
     1.42%     1.41%  cluster1-nio-wo  [kernel.kallsyms]                   [k] skb_release_data
     1.40%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] submit_bio
     1.40%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] submit_bio_noacct
     1.40%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __submit_bio
     1.38%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] blk_mq_submit_bio
     1.36%     1.36%  Native-Transpor  [kernel.kallsyms]                   [k] __blk_queue_split
     1.35%     0.00%  kswapd0          [kernel.kallsyms]                   [k] balance_pgdat
     1.35%     0.00%  kswapd0          [kernel.kallsyms]                   [k] kswapd
     1.35%     0.00%  kswapd0          [kernel.kallsyms]                   [k] kthread
     1.35%     0.00%  kswapd0          [kernel.kallsyms]                   [k] ret_from_fork
     1.35%     0.00%  kswapd0          [kernel.kallsyms]                   [k] shrink_node
     1.33%     0.02%  Native-Transpor  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
     1.31%     0.02%  Native-Transpor  [kernel.kallsyms]                   [k] do_syscall_64
     1.27%     0.00%  ReadStage-75     [kernel.kallsyms]                   [k] asm_exc_page_fault
     1.27%     0.00%  ReadStage-75     [kernel.kallsyms]                   [k] do_user_addr_fault
     1.27%     0.00%  ReadStage-75     [kernel.kallsyms]                   [k] exc_page_fault
     1.27%     0.00%  ReadStage-75     [kernel.kallsyms]                   [k] __handle_mm_fault
     1.27%     0.00%  ReadStage-75     [kernel.kallsyms]                   [k] handle_mm_fault
     1.27%     0.00%  ReadStage-75     [kernel.kallsyms]                   [k] __do_fault
     1.27%     0.00%  ReadStage-75     [kernel.kallsyms]                   [k] filemap_fault
     1.27%     0.00%  ReadStage-75     [kernel.kallsyms]                   [k] page_cache_ra_unbounded
     1.27%     0.00%  ReadStage-75     [kernel.kallsyms]                   [k] do_page_cache_ra
     1.26%     1.26%  ReadStage-75     [kernel.kallsyms]                   [k] add_to_page_cache_lru
     1.24%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __x64_sys_read
     1.24%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ksys_read
     1.24%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] new_sync_read
