# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 32K of event 'cycles'
# Event count (approx.): 9763052235862
#
# Children      Self  Command          Shared Object                       Symbol                                          
# ........  ........  ...............  ..................................  ................................................
#
    67.56%     0.00%  swapper          [kernel.kallsyms]                   [k] secondary_startup_64_no_verify
    67.56%     0.01%  swapper          [kernel.kallsyms]                   [k] cpu_startup_entry
    67.49%     0.12%  swapper          [kernel.kallsyms]                   [k] do_idle
    66.16%     0.00%  swapper          [kernel.kallsyms]                   [k] start_secondary
    65.02%     0.00%  swapper          [kernel.kallsyms]                   [k] cpuidle_enter
    64.99%     0.14%  swapper          [kernel.kallsyms]                   [k] cpuidle_enter_state
    60.93%    60.74%  swapper          [kernel.kallsyms]                   [k] mwait_idle_with_hints.constprop.0
     6.35%     0.02%  Native-Transpor  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
     6.30%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] do_syscall_64
     4.72%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] asm_exc_page_fault
     4.70%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] exc_page_fault
     4.68%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] do_user_addr_fault
     4.61%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] handle_mm_fault
     4.58%     0.05%  Native-Transpor  [kernel.kallsyms]                   [k] __handle_mm_fault
     4.18%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __do_fault
     4.18%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] filemap_fault
     4.10%     0.04%  Native-Transpor  [kernel.kallsyms]                   [k] __x64_sys_futex
     4.09%     0.03%  Native-Transpor  [kernel.kallsyms]                   [k] page_cache_ra_unbounded
     4.03%     0.04%  Native-Transpor  [kernel.kallsyms]                   [k] do_futex
     3.66%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] do_page_cache_ra
     3.43%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] do_syscall_64
     3.43%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
     3.22%     0.03%  Native-Transpor  [kernel.kallsyms]                   [k] add_to_page_cache_lru
     3.01%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] __x64_sys_fadvise64
     3.01%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] generic_fadvise
     3.01%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] ksys_fadvise64_64
     3.00%     0.00%  kswapd0          [kernel.kallsyms]                   [k] balance_pgdat
