# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 865K of event 'cycles'
# Event count (approx.): 1671706037415
#
# Children      Self  Command          Shared Object                                     Symbol                                                                                                                                                      
# ........  ........  ...............  ................................................  ............................................................................................................................................................
#
     0.99%     0.01%  G1 Refine#0      [kernel.kallsyms]                                 [k] __sysvec_apic_timer_interrupt
     0.99%     0.03%  Executor task l  [kernel.kallsyms]                                 [k] lookup_fast
     0.99%     0.28%  Executor task l  [kernel.kallsyms]                                 [k] amd_pmu_wait_on_overflow
     0.97%     0.02%  G1 Refine#0      [kernel.kallsyms]                                 [k] hrtimer_interrupt
     0.97%     0.05%  Executor task l  [kernel.kallsyms]                                 [k] exit_to_user_mode_loop
     0.97%     0.05%  kswapd0          [kernel.kallsyms]                                 [k] shrink_page_list
     0.97%     0.94%  Executor task l  [kernel.kallsyms]                                 [k] __d_lookup_rcu
     0.96%     0.01%  Executor task l  [kernel.kallsyms]                                 [k] add_to_page_cache_lru
     0.96%     0.00%  swapper          [kernel.kallsyms]                                 [k] cpuidle_enter
     0.96%     0.02%  swapper          [kernel.kallsyms]                                 [k] cpuidle_enter_state
     0.96%     0.52%  Executor task l  [kernel.kallsyms]                                 [k] update_rq_clock_task
     0.94%     0.94%  Executor task l  [kernel.kallsyms]                                 [k] hrtimer_active
     0.91%     0.01%  G1 Refine#1      [kernel.kallsyms]                                 [k] __sysvec_apic_timer_interrupt
     0.89%     0.02%  G1 Refine#1      [kernel.kallsyms]                                 [k] hrtimer_interrupt
     0.86%     0.02%  G1 Refine#0      [kernel.kallsyms]                                 [k] __hrtimer_run_queues
     0.85%     0.00%  G1 Refine#2      [kernel.kallsyms]                                 [k] asm_sysvec_apic_timer_interrupt
     0.84%     0.00%  G1 Refine#0      [kernel.kallsyms]                                 [k] __run_hrtimer
     0.83%     0.00%  G1 Refine#2      [kernel.kallsyms]                                 [k] sysvec_apic_timer_interrupt
     0.83%     0.81%  Executor task l  [kernel.kallsyms]                                 [k] __update_load_avg_cfs_rq
     0.82%     0.03%  Executor task l  [kernel.kallsyms]                                 [k] syscall_exit_to_user_mode
     0.81%     0.00%  G1 Conc#5        [kernel.kallsyms]                                 [k] asm_sysvec_apic_timer_interrupt
     0.81%     0.00%  G1 Refine#0      [kernel.kallsyms]                                 [k] tick_sched_timer
     0.81%     0.00%  G1 Conc#2        [kernel.kallsyms]                                 [k] asm_sysvec_apic_timer_interrupt
