# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 265K of event 'cycles'
# Event count (approx.): 5068918367203
#
# Children      Self  Command          Shared Object                       Symbol                                        
# ........  ........  ...............  ..................................  ..............................................
#
     1.05%     0.26%  NonPeriodicTask  [kernel.kallsyms]                   [k] deactivate_file_page
     1.01%     0.06%  cluster1-nio-wo  [kernel.kallsyms]                   [k] try_to_wake_up
     0.95%     0.95%  Native-Transpor  [kernel.kallsyms]                   [k] mem_cgroup_css_rstat_flush
     0.91%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __x64_sys_writev
     0.90%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] do_writev
     0.89%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] vfs_writev
     0.86%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] do_iter_write
     0.85%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] do_iter_readv_writev
     0.85%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] sock_write_iter
     0.85%     0.01%  swapper          [kernel.kallsyms]                   [k] cpuidle_select
     0.84%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] sock_sendmsg
     0.84%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] inet_sendmsg
     0.83%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] tcp_sendmsg
     0.82%     0.01%  swapper          [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
     0.82%     0.44%  swapper          [kernel.kallsyms]                   [k] menu_select
     0.80%     0.02%  swapper          [kernel.kallsyms]                   [k] hrtimer_interrupt
     0.80%     0.35%  NonPeriodicTask  [kernel.kallsyms]                   [k] pagevec_lru_move_fn
     0.79%     0.01%  kswapd1          [kernel.kallsyms]                   [k] rmap_walk
     0.78%     0.03%  epollEventLoopG  [kernel.kallsyms]                   [k] tcp_sendmsg_locked
     0.77%     0.39%  Native-Transpor  [kernel.kallsyms]                   [k] __add_to_page_cache_locked
     0.75%     0.02%  Native-Transpor  [kernel.kallsyms]                   [k] alloc_pages
     0.74%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __page_cache_alloc
     0.74%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] page_cache_async_ra
     0.73%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] ondemand_readahead
     0.73%     0.03%  Native-Transpor  [kernel.kallsyms]                   [k] __alloc_pages
     0.73%     0.03%  kswapd1          [kernel.kallsyms]                   [k] rmap_walk_file
     0.68%     0.08%  Native-Transpor  [kernel.kallsyms]                   [k] get_page_from_freelist
     0.67%     0.03%  swapper          [kernel.kallsyms]                   [k] __hrtimer_run_queues
     0.64%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ttwu_do_activate
     0.64%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] dequeue_task
     0.63%     0.08%  Native-Transpor  [kernel.kallsyms]                   [k] dequeue_task_fair
     0.62%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
     0.61%     0.00%  kswapd0          [kernel.kallsyms]                   [k] rmap_walk
     0.61%     0.01%  swapper          [kernel.kallsyms]                   [k] ttwu_do_activate
     0.60%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] enqueue_task
     0.59%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
     0.58%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] read_pages
     0.57%     0.03%  kswapd0          [kernel.kallsyms]                   [k] rmap_walk_file
     0.56%     0.03%  swapper          [kernel.kallsyms]                   [k] try_to_wake_up
     0.56%     0.53%  Native-Transpor  [kernel.kallsyms]                   [k] _raw_spin_lock
     0.56%     0.02%  swapper          [kernel.kallsyms]                   [k] enqueue_task
     0.54%     0.03%  Native-Transpor  [kernel.kallsyms]                   [k] try_to_wake_up
     0.54%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] asm_sysvec_call_function
     0.53%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
     0.52%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] hrtimer_interrupt
     0.51%     0.06%  Native-Transpor  [kernel.kallsyms]                   [k] dequeue_entity
     0.51%     0.01%  swapper          [kernel.kallsyms]                   [k] hrtimer_wakeup
     0.50%     0.00%  swapper          [kernel.kallsyms]                   [k] wake_up_process
     0.49%     0.00%  kswapd1          [kernel.kallsyms]                   [k] arch_tlbbatch_flush
     0.49%     0.00%  kswapd1          [kernel.kallsyms]                   [k] try_to_unmap_flush
     0.49%     0.05%  kswapd1          [kernel.kallsyms]                   [k] native_flush_tlb_multi
     0.48%     0.48%  Native-Transpor  [kernel.kallsyms]                   [k] clear_page_erms
     0.47%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] __hrtimer_run_queues
     0.45%     0.03%  kswapd1          [kernel.kallsyms]                   [k] __remove_mapping
     0.45%     0.01%  kswapd1          [kernel.kallsyms]                   [k] page_referenced
     0.45%     0.08%  swapper          [kernel.kallsyms]                   [k] enqueue_task_fair
     0.45%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] sysvec_call_function
     0.44%     0.00%  swapper          [kernel.kallsyms]                   [k] asm_common_interrupt
     0.44%     0.00%  swapper          [kernel.kallsyms]                   [k] common_interrupt
     0.43%     0.06%  swapper          [kernel.kallsyms]                   [k] psi_task_switch
     0.43%     0.00%  kswapd1          [kernel.kallsyms]                   [k] on_each_cpu_cond_mask
     0.42%     0.01%  swapper          [kernel.kallsyms]                   [k] __common_interrupt
     0.41%     0.01%  swapper          [kernel.kallsyms]                   [k] handle_edge_irq
     0.40%     0.05%  Native-Transpor  [kernel.kallsyms]                   [k] filemap_map_pages
     0.39%     0.03%  swapper          [kernel.kallsyms]                   [k] pick_next_task_fair
     0.39%     0.00%  swapper          [kernel.kallsyms]                   [k] handle_irq_event
     0.39%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] __x64_sys_prctl
     0.38%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] ext4_readahead
     0.38%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __sysvec_call_function
     0.38%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] __do_sys_prctl
     0.38%     0.01%  swapper          [kernel.kallsyms]                   [k] __handle_irq_event_percpu
     0.38%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] generic_smp_call_function_single_interrupt
     0.38%     0.00%  swapper          [kernel.kallsyms]                   [k] nvme_irq
     0.37%     0.02%  swapper          [kernel.kallsyms]                   [k] nvme_process_cq
     0.37%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] hrtimer_wakeup
     0.37%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] wake_up_process
     0.37%     0.26%  swapper          [kernel.kallsyms]                   [k] switch_mm_irqs_off
     0.37%     0.06%  Native-Transpor  [kernel.kallsyms]                   [k] ext4_mpage_readpages
     0.37%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __x64_sys_read
     0.37%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ksys_read
     0.36%     0.32%  kswapd1          [kernel.kallsyms]                   [k] smp_call_function_many_cond
     0.36%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] vfs_read
     0.36%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] new_sync_read
     0.36%     0.01%  kswapd0          [kernel.kallsyms]                   [k] page_referenced
     0.36%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
     0.35%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] do_syscall_64
     0.35%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] sock_read_iter
     0.35%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] sock_recvmsg
     0.35%     0.02%  kswapd0          [kernel.kallsyms]                   [k] __remove_mapping
     0.35%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] inet6_recvmsg
     0.35%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] tcp_recvmsg
     0.35%     0.00%  kswapd1          [kernel.kallsyms]                   [k] try_to_unmap
     0.35%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] __x64_sys_write
     0.35%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] ksys_write
     0.34%     0.34%  swapper          [kernel.kallsyms]                   [k] psi_group_change
     0.34%     0.00%  swapper          [kernel.kallsyms]                   [k] nvme_pci_complete_rq
     0.34%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] vfs_write
     0.33%     0.04%  Native-Transpor  [kernel.kallsyms]                   [k] exit_to_user_mode_prepare
     0.33%     0.02%  epollEventLoopG  [kernel.kallsyms]                   [k] tcp_write_xmit
     0.33%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] new_sync_write
     0.33%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] ext4_file_write_iter
     0.33%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] ext4_buffered_write_iter
     0.33%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] tcp_push
     0.33%     0.02%  cluster1-nio-wo  [kernel.kallsyms]                   [k] tcp_recvmsg_locked
     0.33%     0.00%  kswapd0          [kernel.kallsyms]                   [k] arch_tlbbatch_flush
     0.33%     0.08%  swapper          [kernel.kallsyms]                   [k] enqueue_entity
     0.33%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __tcp_push_pending_frames
     0.33%     0.00%  kswapd0          [kernel.kallsyms]                   [k] try_to_unmap_flush
     0.32%     0.04%  kswapd0          [kernel.kallsyms]                   [k] native_flush_tlb_multi
     0.32%     0.01%  kswapd1          [kernel.kallsyms]                   [k] __delete_from_page_cache
     0.32%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] generic_perform_write
     0.31%     0.04%  swapper          [kernel.kallsyms]                   [k] flush_smp_call_function_from_idle
     0.31%     0.27%  NonPeriodicTask  [kernel.kallsyms]                   [k] release_pages
     0.31%     0.02%  swapper          [kernel.kallsyms]                   [k] tick_nohz_get_sleep_length
     0.30%     0.05%  cluster1-nio-wo  [kernel.kallsyms]                   [k] enqueue_task_fair
     0.30%     0.04%  cluster1-nio-wo  [kernel.kallsyms]                   [k] psi_task_change
     0.29%     0.03%  swapper          [kernel.kallsyms]                   [k] flush_smp_call_function_queue
     0.29%     0.01%  epollEventLoopG  [kernel.kallsyms]                   [k] __tcp_transmit_skb
     0.29%     0.13%  Native-Transpor  [kernel.kallsyms]                   [k] flush_smp_call_function_queue
     0.29%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] syscall_exit_to_user_mode
     0.29%     0.05%  kswapd1          [kernel.kallsyms]                   [k] page_referenced_one
     0.29%     0.12%  Native-Transpor  [kernel.kallsyms]                   [k] update_load_avg
     0.28%     0.13%  kswapd1          [kernel.kallsyms]                   [k] try_to_unmap_one
     0.28%     0.13%  swapper          [kernel.kallsyms]                   [k] set_next_entity
     0.28%     0.00%  kswapd0          [kernel.kallsyms]                   [k] on_each_cpu_cond_mask
     0.28%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __x64_sys_writev
     0.27%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] do_writev
     0.27%     0.01%  swapper          [kernel.kallsyms]                   [k] nvme_complete_rq
     0.27%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] vfs_writev
     0.27%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] __set_task_comm
     0.27%     0.16%  swapper          [kernel.kallsyms]                   [k] update_load_avg
     0.27%     0.00%  kswapd0          [kernel.kallsyms]                   [k] try_to_unmap
     0.27%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] ip_queue_xmit
     0.26%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __ip_queue_xmit
     0.26%     0.03%  Native-Transpor  [kernel.kallsyms]                   [k] switch_fpu_return
     0.26%     0.00%  swapper          [kernel.kallsyms]                   [k] blk_mq_end_request
     0.26%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] ip_local_out
     0.26%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] do_iter_write
     0.25%     0.03%  kswapd0          [kernel.kallsyms]                   [k] page_referenced_one
     0.25%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] do_iter_readv_writev
     0.25%     0.23%  kswapd1          [kernel.kallsyms]                   [k] page_vma_mapped_walk
     0.25%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] ip_output
     0.25%     0.00%  kswapd0          [kernel.kallsyms]                   [k] __delete_from_page_cache
     0.25%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] sock_write_iter
     0.25%     0.17%  Native-Transpor  [kernel.kallsyms]                   [k] _raw_spin_lock_irqsave
     0.25%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] sock_sendmsg
     0.25%     0.01%  kswapd1          [kernel.kallsyms]                   [k] page_cache_delete
     0.25%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] inet6_sendmsg
     0.24%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] ip_finish_output
     0.24%     0.24%  cluster1-nio-wo  [kernel.kallsyms]                   [k] psi_group_change
     0.24%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] tcp_sendmsg
     0.24%     0.08%  cluster1-nio-wo  [kernel.kallsyms]                   [k] enqueue_entity
     0.24%     0.22%  kswapd0          [kernel.kallsyms]                   [k] smp_call_function_many_cond
     0.24%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] perf_event_comm
     0.24%     0.21%  kswapd1          [kernel.kallsyms]                   [k] isolate_lru_pages
     0.23%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __ip_finish_output
     0.23%     0.23%  Native-Transpor  [kernel.kallsyms]                   [k] __restore_fpregs_from_fpstate
     0.23%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] hrtimer_sleeper_start_expires
     0.23%     0.21%  kswapd0          [kernel.kallsyms]                   [k] page_vma_mapped_walk
     0.23%     0.01%  epollEventLoopG  [kernel.kallsyms]                   [k] ip_finish_output2
     0.23%     0.04%  Native-Transpor  [kernel.kallsyms]                   [k] lru_cache_add
     0.23%     0.04%  Native-Transpor  [kernel.kallsyms]                   [k] perf_iterate_sb
     0.23%     0.10%  kswapd0          [kernel.kallsyms]                   [k] try_to_unmap_one
     0.23%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] ttwu_do_activate
     0.22%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] tcp_sendmsg_locked
     0.22%     0.02%  swapper          [kernel.kallsyms]                   [k] blk_update_request
     0.22%     0.03%  Native-Transpor  [kernel.kallsyms]                   [k] hrtimer_start_range_ns
     0.22%     0.21%  Native-Transpor  [kernel.kallsyms]                   [k] xas_load
     0.22%     0.02%  swapper          [kernel.kallsyms]                   [k] sched_ttwu_pending
     0.22%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __tcp_transmit_skb
     0.21%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] __do_munmap
     0.21%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] __vm_munmap
     0.21%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] __x64_sys_munmap
     0.21%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] unmap_region
     0.21%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] asm_common_interrupt
     0.21%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] common_interrupt
     0.20%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] sk_page_frag_refill
     0.20%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ip_queue_xmit
     0.20%     0.01%  epollEventLoopG  [kernel.kallsyms]                   [k] skb_page_frag_refill
     0.20%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __ip_queue_xmit
     0.20%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __common_interrupt
     0.20%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] enqueue_task
     0.20%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] alloc_pages
     0.20%     0.02%  kswapd1          [kernel.kallsyms]                   [k] xas_store
     0.20%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] handle_edge_irq
     0.20%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __alloc_pages
     0.20%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ip_local_out
     0.20%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] __mod_lruvec_state
     0.19%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] get_page_from_freelist
     0.19%     0.06%  Native-Transpor  [kernel.kallsyms]                   [k] cgroup_rstat_updated
     0.19%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ip_output
     0.19%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] handle_irq_event
     0.19%     0.00%  swapper          [kernel.kallsyms]                   [k] bio_endio
     0.19%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __local_bh_enable_ip
     0.19%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] blk_finish_plug
     0.19%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ip_finish_output
     0.19%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] blk_flush_plug_list
     0.19%     0.01%  epollEventLoopG  [kernel.kallsyms]                   [k] __softirqentry_text_start
     0.19%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __handle_irq_event_percpu
     0.19%     0.00%  swapper          [kernel.kallsyms]                   [k] mpage_end_io
     0.19%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] do_softirq
     0.19%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] unmap_single_vma
     0.19%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] unmap_vmas
     0.19%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] blk_mq_flush_plug_list
     0.19%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] nvme_process_cq
     0.19%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] nvme_irq
     0.18%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] blk_mq_sched_insert_requests
     0.18%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __ip_finish_output
     0.18%     0.08%  Native-Transpor  [kernel.kallsyms]                   [k] __pagevec_lru_add
     0.18%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ip_finish_output2
     0.18%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] kcompactd
     0.18%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] kthread
     0.18%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] ret_from_fork
     0.18%     0.06%  NonPeriodicTask  [kernel.kallsyms]                   [k] unmap_page_range
