# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 130K of event 'cycles'
# Event count (approx.): 2636509785394
#
# Children      Self  Command          Shared Object                       Symbol                                           
# ........  ........  ...............  ..................................  .................................................
#
     0.95%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] do_writev
     0.94%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] vfs_writev
     0.92%     0.44%  NonPeriodicTask  [kernel.kallsyms]                   [k] pagevec_lru_move_fn
     0.91%     0.01%  epollEventLoopG  [kernel.kallsyms]                   [k] do_iter_write
     0.90%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] do_iter_readv_writev
     0.90%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] sock_write_iter
     0.89%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] sock_sendmsg
     0.89%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] inet_sendmsg
     0.89%     0.06%  kswapd1          [kernel.kallsyms]                   [k] shrink_page_list
     0.89%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] tcp_sendmsg
     0.85%     0.01%  kswapd0          [kernel.kallsyms]                   [k] rmap_walk
     0.84%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] alloc_pages
     0.84%     0.00%  swapper          [kernel.kallsyms]                   [k] cpuidle_select
     0.84%     0.03%  Native-Transpor  [kernel.kallsyms]                   [k] __alloc_pages
     0.83%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __page_cache_alloc
     0.83%     0.46%  swapper          [kernel.kallsyms]                   [k] menu_select
     0.83%     0.03%  epollEventLoopG  [kernel.kallsyms]                   [k] tcp_sendmsg_locked
     0.83%     0.01%  swapper          [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
     0.81%     0.02%  swapper          [kernel.kallsyms]                   [k] hrtimer_interrupt
     0.80%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] read_pages
     0.79%     0.03%  kswapd0          [kernel.kallsyms]                   [k] rmap_walk_file
     0.78%     0.11%  Native-Transpor  [kernel.kallsyms]                   [k] get_page_from_freelist
     0.71%     0.47%  Native-Transpor  [kernel.kallsyms]                   [k] __add_to_page_cache_locked
     0.66%     0.02%  swapper          [kernel.kallsyms]                   [k] __hrtimer_run_queues
     0.66%     0.03%  Native-Transpor  [kernel.kallsyms]                   [k] dequeue_task
     0.65%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
     0.64%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] ext4_readahead
     0.63%     0.06%  Native-Transpor  [kernel.kallsyms]                   [k] ext4_mpage_readpages
     0.63%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
     0.63%     0.06%  Native-Transpor  [kernel.kallsyms]                   [k] dequeue_task_fair
     0.62%     0.02%  swapper          [kernel.kallsyms]                   [k] ttwu_do_activate
     0.61%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ttwu_do_activate
     0.59%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] page_cache_async_ra
     0.59%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] ondemand_readahead
     0.59%     0.04%  swapper          [kernel.kallsyms]                   [k] try_to_wake_up
     0.57%     0.56%  Native-Transpor  [kernel.kallsyms]                   [k] clear_page_erms
     0.57%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
     0.57%     0.02%  Native-Transpor  [kernel.kallsyms]                   [k] try_to_wake_up
     0.57%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] enqueue_task
     0.56%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] hrtimer_interrupt
     0.55%     0.02%  swapper          [kernel.kallsyms]                   [k] enqueue_task
     0.52%     0.01%  swapper          [kernel.kallsyms]                   [k] hrtimer_wakeup
     0.52%     0.05%  Native-Transpor  [kernel.kallsyms]                   [k] dequeue_entity
     0.51%     0.00%  swapper          [kernel.kallsyms]                   [k] wake_up_process
     0.50%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] __hrtimer_run_queues
     0.48%     0.00%  swapper          [kernel.kallsyms]                   [k] asm_common_interrupt
     0.48%     0.00%  swapper          [kernel.kallsyms]                   [k] common_interrupt
     0.46%     0.01%  swapper          [kernel.kallsyms]                   [k] __common_interrupt
     0.45%     0.01%  kswapd0          [kernel.kallsyms]                   [k] try_to_unmap
     0.45%     0.01%  swapper          [kernel.kallsyms]                   [k] handle_edge_irq
     0.44%     0.07%  swapper          [kernel.kallsyms]                   [k] enqueue_task_fair
     0.44%     0.06%  swapper          [kernel.kallsyms]                   [k] psi_task_switch
     0.43%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] __x64_sys_prctl
     0.43%     0.00%  swapper          [kernel.kallsyms]                   [k] handle_irq_event
     0.43%     0.04%  swapper          [kernel.kallsyms]                   [k] pick_next_task_fair
     0.42%     0.02%  kswapd0          [kernel.kallsyms]                   [k] page_referenced
     0.42%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] __do_sys_prctl
     0.42%     0.01%  swapper          [kernel.kallsyms]                   [k] __handle_irq_event_percpu
     0.41%     0.01%  swapper          [kernel.kallsyms]                   [k] nvme_irq
     0.41%     0.02%  swapper          [kernel.kallsyms]                   [k] nvme_process_cq
     0.41%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __x64_sys_read
     0.41%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ksys_read
     0.41%     0.03%  kswapd0          [kernel.kallsyms]                   [k] __remove_mapping
     0.40%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] hrtimer_wakeup
     0.40%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] vfs_read
     0.40%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
     0.40%     0.28%  swapper          [kernel.kallsyms]                   [k] switch_mm_irqs_off
     0.40%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] wake_up_process
     0.40%     0.01%  kswapd1          [kernel.kallsyms]                   [k] rmap_walk
     0.40%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] do_syscall_64
     0.40%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] new_sync_read
     0.39%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] sock_read_iter
     0.39%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] sock_recvmsg
     0.39%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] inet6_recvmsg
     0.39%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] __x64_sys_write
     0.39%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] tcp_recvmsg
     0.39%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] ksys_write
     0.38%     0.04%  Native-Transpor  [kernel.kallsyms]                   [k] exit_to_user_mode_prepare
     0.38%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] vfs_write
     0.38%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] asm_sysvec_call_function
     0.38%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] tcp_recvmsg_locked
     0.37%     0.18%  kswapd0          [kernel.kallsyms]                   [k] try_to_unmap_one
     0.37%     0.01%  CompactionExecu  [kernel.kallsyms]                   [k] new_sync_write
     0.37%     0.00%  swapper          [kernel.kallsyms]                   [k] nvme_pci_complete_rq
