# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles'
# Event count (approx.): 1225018736356
#
# Children      Self  Command          Shared Object      Symbol                                        
# ........  ........  ...............  .................  ..............................................
#
    51.15%     0.00%  swapper          [kernel.kallsyms]  [k] cpu_startup_entry
    51.15%     0.00%  swapper          [kernel.kallsyms]  [k] do_idle
    51.15%     0.00%  swapper          [kernel.kallsyms]  [k] secondary_startup_64_no_verify
    51.10%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_enter_state
    51.10%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_enter
    51.03%    50.91%  swapper          [kernel.kallsyms]  [k] mwait_idle_with_hints.constprop.0
    50.76%     0.00%  swapper          [kernel.kallsyms]  [k] start_secondary
    45.55%     0.01%  postgres         [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
    45.54%     0.00%  postgres         [kernel.kallsyms]  [k] do_syscall_64
    38.01%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_exit_group
    38.01%     0.00%  postgres         [kernel.kallsyms]  [k] do_exit
    38.01%     0.00%  postgres         [kernel.kallsyms]  [k] do_group_exit
    38.01%     0.00%  postgres         [kernel.kallsyms]  [k] exit_mmap
    38.01%     0.00%  postgres         [kernel.kallsyms]  [k] mmput
    37.29%     0.00%  postgres         [kernel.kallsyms]  [k] unmap_single_vma
    37.29%     0.00%  postgres         [kernel.kallsyms]  [k] unmap_vmas
    34.20%    27.70%  postgres         [kernel.kallsyms]  [k] unmap_page_range
     4.41%     1.44%  postgres         [kernel.kallsyms]  [k] filemap_read
     4.41%     0.00%  postgres         [kernel.kallsyms]  [k] ext4_file_read_iter
     4.41%     0.00%  postgres         [kernel.kallsyms]  [k] generic_file_read_iter
     4.41%     0.00%  postgres         [kernel.kallsyms]  [k] new_sync_read
     4.41%     0.00%  postgres         [kernel.kallsyms]  [k] vfs_read
     4.39%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_pread64
     4.18%     0.02%  postgres         [kernel.kallsyms]  [k] tlb_flush_mmu
     3.07%     2.95%  postgres         [kernel.kallsyms]  [k] _raw_spin_lock
     2.98%     0.00%  kcompactd0       [kernel.kallsyms]  [k] compact_zone
     2.98%     0.00%  kcompactd0       [kernel.kallsyms]  [k] kcompactd
     2.98%     0.00%  kcompactd0       [kernel.kallsyms]  [k] kthread
     2.98%     0.00%  kcompactd0       [kernel.kallsyms]  [k] proactive_compact_node
     2.98%     0.00%  kcompactd0       [kernel.kallsyms]  [k] ret_from_fork
     2.96%     0.02%  kcompactd0       [kernel.kallsyms]  [k] migrate_pages
     2.78%     2.74%  postgres         [kernel.kallsyms]  [k] free_swap_cache
     2.70%     0.00%  kcompactd0       [kernel.kallsyms]  [k] rmap_walk
     2.70%     0.00%  kcompactd0       [kernel.kallsyms]  [k] rmap_walk_file
     2.52%     0.00%  kcompactd0       [kernel.kallsyms]  [k] try_to_migrate
     2.46%     0.02%  kcompactd0       [kernel.kallsyms]  [k] try_to_migrate_one
     2.29%     2.25%  kcompactd0       [kernel.kallsyms]  [k] page_vma_mapped_walk
     2.27%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_openat
     2.27%     0.00%  postgres         [kernel.kallsyms]  [k] do_sys_openat2
     2.25%     0.00%  postgres         [kernel.kallsyms]  [k] do_filp_open
     2.25%     0.00%  postgres         [kernel.kallsyms]  [k] path_openat
     2.23%     2.23%  postgres         [kernel.kallsyms]  [k] __legitimize_mnt
     2.23%     0.00%  postgres         [kernel.kallsyms]  [k] __legitimize_path
     2.23%     0.00%  postgres         [kernel.kallsyms]  [k] complete_walk
     2.23%     0.00%  postgres         [kernel.kallsyms]  [k] try_to_unlazy
     1.89%     1.36%  postgres         [kernel.kallsyms]  [k] page_remove_rmap
     1.60%     0.04%  postgres         [kernel.kallsyms]  [k] free_pages_and_swap_cache
     1.58%     1.57%  postgres         [kernel.kallsyms]  [k] copy_user_enhanced_fast_string
     1.41%     0.00%  postgres         [kernel.kallsyms]  [k] filemap_get_pages
     1.40%     0.00%  postgres         [kernel.kallsyms]  [k] page_cache_ra_unbounded
     1.40%     0.00%  postgres         [kernel.kallsyms]  [k] ondemand_readahead
     1.40%     0.00%  postgres         [kernel.kallsyms]  [k] page_cache_sync_ra
     1.34%     0.80%  postgres         [kernel.kallsyms]  [k] release_pages
     0.75%     0.00%  postgres         [kernel.kallsyms]  [k] asm_exc_page_fault
     0.70%     0.00%  postgres         [kernel.kallsyms]  [k] add_to_page_cache_lru
     0.68%     0.12%  postgres         [kernel.kallsyms]  [k] ___pte_free_tlb
     0.68%     0.00%  postgres         [kernel.kallsyms]  [k] free_pgd_range
     0.68%     0.00%  postgres         [kernel.kallsyms]  [k] free_pgtables
     0.67%     0.00%  postgres         [kernel.kallsyms]  [k] get_page_from_freelist
     0.67%     0.00%  postgres         [kernel.kallsyms]  [k] __alloc_pages
     0.67%     0.00%  postgres         [kernel.kallsyms]  [k] __page_cache_alloc
     0.67%     0.00%  postgres         [kernel.kallsyms]  [k] alloc_pages
     0.67%     0.67%  postgres         [kernel.kallsyms]  [k] clear_page_erms
     0.59%     0.02%  postgres         [kernel.kallsyms]  [k] schedule
     0.59%     0.59%  postgres         [unknown]          [.] 0000000000000000
     0.59%     0.01%  postgres         [kernel.kallsyms]  [k] __add_to_page_cache_locked
     0.58%     0.00%  postgres         [kernel.kallsyms]  [k] __mem_cgroup_charge
     0.58%     0.00%  postgres         [kernel.kallsyms]  [k] charge_memcg
     0.58%     0.00%  postgres         [kernel.kallsyms]  [k] __schedule
     0.57%     0.00%  postgres         [kernel.kallsyms]  [k] arch_local_irq_enable
     0.57%     0.00%  postgres         [kernel.kallsyms]  [k] try_charge_memcg
     0.56%     0.00%  postgres         [kernel.kallsyms]  [k] newidle_balance
     0.56%     0.00%  postgres         [kernel.kallsyms]  [k] pick_next_task_fair
     0.56%     0.02%  postgres         [kernel.kallsyms]  [k] do_epoll_wait
     0.56%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_epoll_wait
     0.56%     0.00%  postgres         [kernel.kallsyms]  [k] load_balance
     0.55%     0.00%  postgres         [kernel.kallsyms]  [k] schedule_hrtimeout_range
     0.55%     0.00%  postgres         [kernel.kallsyms]  [k] schedule_hrtimeout_range_clock
     0.54%     0.54%  postgres         [kernel.kallsyms]  [k] psi_group_change
     0.54%     0.00%  postgres         [kernel.kallsyms]  [k] activate_task
     0.54%     0.00%  postgres         [kernel.kallsyms]  [k] attach_task
     0.54%     0.00%  postgres         [kernel.kallsyms]  [k] enqueue_task
     0.54%     0.00%  postgres         [kernel.kallsyms]  [k] psi_task_change
     0.54%     0.00%  postgres         [kernel.kallsyms]  [k] tlb_remove_page
     0.52%     0.04%  postgres         [kernel.kallsyms]  [k] free_unref_page_list
     0.48%     0.08%  postgres         [kernel.kallsyms]  [k] free_pcppages_bulk
     0.48%     0.00%  postgres         [kernel.kallsyms]  [k] free_unref_page_commit.constprop.0
     0.43%     0.33%  postgres         [kernel.kallsyms]  [k] mark_page_accessed
     0.39%     0.00%  swapper          [kernel.kallsyms]  [k] arch_call_rest_init
     0.39%     0.00%  swapper          [kernel.kallsyms]  [k] rest_init
     0.39%     0.00%  swapper          [kernel.kallsyms]  [k] start_kernel
     0.39%     0.00%  swapper          [kernel.kallsyms]  [k] x86_64_start_kernel
     0.39%     0.00%  swapper          [kernel.kallsyms]  [k] x86_64_start_reservations
     0.31%     0.27%  postgres         [kernel.kallsyms]  [k] lock_page_memcg
     0.30%     0.19%  postgres         [kernel.kallsyms]  [k] unlock_page_memcg
     0.27%     0.27%  postgres         [kernel.kallsyms]  [k] __free_one_page
     0.22%     0.18%  postgres         [kernel.kallsyms]  [k] __tlb_remove_page_size
     0.19%     0.19%  postgres         [kernel.kallsyms]  [k] vm_normal_page
     0.18%     0.02%  kcompactd0       [kernel.kallsyms]  [k] ptep_clear_flush
     0.16%     0.00%  kcompactd0       [kernel.kallsyms]  [k] flush_tlb_mm_range
     0.16%     0.00%  kcompactd0       [kernel.kallsyms]  [k] native_flush_tlb_multi
     0.16%     0.00%  kcompactd0       [kernel.kallsyms]  [k] compaction_alloc
     0.14%     0.14%  postgres         [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     0.14%     0.12%  kcompactd0       [kernel.kallsyms]  [k] smp_call_function_many_cond
     0.14%     0.00%  kcompactd0       [kernel.kallsyms]  [k] on_each_cpu_cond_mask
     0.14%     0.02%  postgres         [kernel.kallsyms]  [k] set_page_dirty
     0.13%     0.00%  kcompactd0       [kernel.kallsyms]  [k] remove_migration_pte
     0.12%     0.12%  swapper          [unknown]          [.] 0000000000000000
     0.12%     0.00%  kcompactd0       [kernel.kallsyms]  [k] post_alloc_hook
     0.12%     0.00%  kcompactd0       [kernel.kallsyms]  [k] split_map_pages
     0.12%     0.09%  kcompactd0       [kernel.kallsyms]  [k] _raw_spin_lock
     0.11%     0.11%  tclsh8.6         [kernel.kallsyms]  [k] flush_tlb_func
     0.11%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] __sysvec_call_function
     0.11%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] asm_sysvec_call_function
     0.11%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] flush_smp_call_function_queue
     0.11%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] generic_smp_call_function_single_interrupt
     0.11%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] sysvec_call_function
     0.10%     0.00%  postgres         [kernel.kallsyms]  [k] workingset_refault
     0.10%     0.01%  postgres         [kernel.kallsyms]  [k] cgroup_rstat_flush_locked
     0.10%     0.00%  postgres         [kernel.kallsyms]  [k] cgroup_rstat_flush_irqsafe
     0.10%     0.00%  postgres         [kernel.kallsyms]  [k] mem_cgroup_flush_stats
     0.09%     0.09%  kcompactd0       [kernel.kallsyms]  [k] clear_page_erms
     0.09%     0.09%  postgres         [kernel.kallsyms]  [k] mem_cgroup_css_rstat_flush
     0.09%     0.00%  kcompactd0       [kernel.kallsyms]  [k] migrate_page
     0.09%     0.00%  kcompactd0       [kernel.kallsyms]  [k] move_to_new_page
     0.09%     0.09%  postgres         [kernel.kallsyms]  [k] rcu_read_unlock_strict
     0.09%     0.00%  postgres         [kernel.kallsyms]  [k] pagevec_lru_move_fn
     0.09%     0.00%  postgres         [kernel.kallsyms]  [k] lru_add_drain
     0.09%     0.00%  postgres         [kernel.kallsyms]  [k] lru_add_drain_cpu
     0.08%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_pwrite64
     0.08%     0.00%  postgres         [kernel.kallsyms]  [k] ext4_buffered_write_iter
     0.08%     0.00%  postgres         [kernel.kallsyms]  [k] ext4_file_write_iter
     0.08%     0.00%  postgres         [kernel.kallsyms]  [k] new_sync_write
     0.08%     0.00%  postgres         [kernel.kallsyms]  [k] vfs_write
     0.08%     0.08%  postgres         [kernel.kallsyms]  [k] workingset_age_nonresident
     0.08%     0.00%  postgres         [kernel.kallsyms]  [k] workingset_activation
     0.08%     0.06%  postgres         [kernel.kallsyms]  [k] __activate_page
     0.08%     0.08%  postgres         [kernel.kallsyms]  [k] page_mapping
     0.08%     0.00%  postgres         [kernel.kallsyms]  [k] generic_perform_write
     0.08%     0.00%  postgres         [kernel.kallsyms]  [k] __do_sys_newfstatat
     0.08%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_newfstatat
     0.07%     0.00%  postgres         [kernel.kallsyms]  [k] vfs_statx
     0.07%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] asm_exc_page_fault
     0.07%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] exc_page_fault
     0.06%     0.06%  kcompactd0       [kernel.kallsyms]  [k] xas_load
     0.06%     0.00%  kcompactd0       [kernel.kallsyms]  [k] migrate_page_move_mapping
     0.06%     0.02%  postgres         [kernel.kallsyms]  [k] hrtimer_interrupt
     0.06%     0.00%  postgres         [kernel.kallsyms]  [k] asm_sysvec_apic_timer_interrupt
     0.06%     0.00%  postgres         [kernel.kallsyms]  [k] sysvec_apic_timer_interrupt
     0.06%     0.00%  postgres         [kernel.kallsyms]  [k] ext4_da_write_begin
     0.06%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] __handle_mm_fault
     0.06%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] do_user_addr_fault
     0.06%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] handle_mm_fault
     0.05%     0.01%  postgres         [kernel.kallsyms]  [k] cgroup_rstat_updated
     0.05%     0.05%  postgres         [kernel.kallsyms]  [k] PageHuge
     0.05%     0.00%  postgres         [kernel.kallsyms]  [k] read_pages
     0.05%     0.00%  postgres         [kernel.kallsyms]  [k] user_path_at_empty
     0.05%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_fdatasync
     0.05%     0.00%  postgres         [kernel.kallsyms]  [k] ext4_sync_file
     0.05%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] do_syscall_64
     0.05%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.05%     0.02%  kcompactd0       [kernel.kallsyms]  [k] kernel_init_free_pages.part.0
     0.05%     0.00%  postgres         [kernel.kallsyms]  [k] do_futex
     0.05%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_futex
     0.04%     0.02%  postgres         [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     0.04%     0.04%  kcompactd0       [kernel.kallsyms]  [k] vma_interval_tree_subtree_search
     0.04%     0.00%  kcompactd0       [kernel.kallsyms]  [k] vma_interval_tree_iter_next
     0.04%     0.00%  postgres         [kernel.kallsyms]  [k] tlb_finish_mmu
     0.04%     0.02%  kcompactd0       [kernel.kallsyms]  [k] _find_next_bit
     0.04%     0.00%  postgres         [kernel.kallsyms]  [k] __hrtimer_run_queues
     0.04%     0.00%  postgres         [kernel.kallsyms]  [k] __sysvec_apic_timer_interrupt
     0.04%     0.00%  postgres         [kernel.kallsyms]  [k] tick_sched_handle
     0.04%     0.00%  postgres         [kernel.kallsyms]  [k] tick_sched_timer
     0.04%     0.00%  postgres         [kernel.kallsyms]  [k] update_process_times
     0.04%     0.04%  postgres         [kernel.kallsyms]  [k] __set_page_dirty_no_writeback
     0.04%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] migrate_misplaced_page
     0.04%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] migrate_pages
     0.04%     0.04%  kcompactd0       [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     0.04%     0.02%  kcompactd0       [kernel.kallsyms]  [k] isolate_freepages_block
     0.04%     0.02%  postgres         [kernel.kallsyms]  [k] ext4_block_write_begin
     0.04%     0.00%  postgres         [kernel.kallsyms]  [k] futex_wait
     0.03%     0.00%  swapper          [kernel.kallsyms]  [k] asm_sysvec_apic_timer_interrupt
     0.03%     0.00%  swapper          [kernel.kallsyms]  [k] sysvec_apic_timer_interrupt
     0.03%     0.00%  postgres         [kernel.kallsyms]  [k] asm_sysvec_call_function_single
     0.03%     0.00%  postgres         [kernel.kallsyms]  [k] do_writepages
     0.03%     0.00%  postgres         [kernel.kallsyms]  [k] ext4_writepages
     0.03%     0.00%  postgres         [kernel.kallsyms]  [k] file_write_and_wait_range
     0.03%     0.00%  postgres         [kernel.kallsyms]  [k] filemap_fdatawrite_wbc
     0.03%     0.00%  postgres         [kernel.kallsyms]  [k] do_user_addr_fault
     0.03%     0.00%  postgres         [kernel.kallsyms]  [k] exc_page_fault
     0.03%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] _raw_spin_lock
     0.03%     0.03%  postgres         [kernel.kallsyms]  [k] __d_lookup_rcu
     0.03%     0.00%  postgres         [kernel.kallsyms]  [k] filename_lookup
     0.03%     0.00%  postgres         [kernel.kallsyms]  [k] lookup_fast
     0.03%     0.00%  postgres         [kernel.kallsyms]  [k] path_lookupat
     0.03%     0.00%  postgres         [kernel.kallsyms]  [k] walk_component
     0.03%     0.01%  swapper          [kernel.kallsyms]  [k] hrtimer_interrupt
     0.03%     0.00%  swapper          [kernel.kallsyms]  [k] __sysvec_apic_timer_interrupt
     0.03%     0.03%  tclsh8.6         [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     0.03%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] __alloc_pages
     0.03%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] alloc_misplaced_dst_page
     0.03%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] get_page_from_freelist
     0.03%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] rmqueue_bulk
