# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 11489604090257
#
# Children      Self  Command          Shared Object         Symbol                                             
# ........  ........  ...............  ....................  ...................................................
#
    26.47%     0.00%  swapper          [kernel.kallsyms]     [k] secondary_startup_64_no_verify
    26.47%     0.00%  swapper          [kernel.kallsyms]     [k] cpu_startup_entry
    26.47%     0.01%  swapper          [kernel.kallsyms]     [k] do_idle
    26.33%     0.00%  swapper          [kernel.kallsyms]     [k] cpuidle_enter
    26.32%     0.01%  swapper          [kernel.kallsyms]     [k] cpuidle_enter_state
    26.17%    25.84%  swapper          [kernel.kallsyms]     [k] mwait_idle_with_hints.constprop.0
    24.55%     0.00%  swapper          [kernel.kallsyms]     [k] start_secondary
    23.14%     0.16%  java             [kernel.kallsyms]     [k] asm_exc_page_fault
    21.92%     0.34%  java             [kernel.kallsyms]     [k] exc_page_fault
    19.45%     0.22%  java             [kernel.kallsyms]     [k] do_user_addr_fault
    14.15%     0.65%  java             [kernel.kallsyms]     [k] handle_mm_fault
    12.39%     3.14%  java             [kernel.kallsyms]     [k] __handle_mm_fault
    10.81%     0.15%  LocalJobRunner   [kernel.kallsyms]     [k] asm_exc_page_fault
    10.00%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
    10.00%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] do_syscall_64
     9.45%     0.10%  LocalJobRunner   [kernel.kallsyms]     [k] exc_page_fault
     8.88%     0.21%  LocalJobRunner   [kernel.kallsyms]     [k] do_user_addr_fault
     8.30%     0.33%  LocalJobRunner   [kernel.kallsyms]     [k] handle_mm_fault
     7.49%     1.14%  LocalJobRunner   [kernel.kallsyms]     [k] __handle_mm_fault
     5.15%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] __x64_sys_write
     5.15%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ksys_write
     5.15%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] vfs_write
     5.15%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] new_sync_write
     5.15%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_file_write_iter
     5.15%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_buffered_write_iter
     5.14%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] generic_perform_write
     5.13%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     5.13%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] do_syscall_64
