# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles'
# Event count (approx.): 1348409892240
#
# Children      Self  Command          Shared Object      Symbol                                        
# ........  ........  ...............  .................  ..............................................
#
    46.06%     0.00%  swapper          [kernel.kallsyms]  [k] cpu_startup_entry
    46.06%     0.00%  swapper          [kernel.kallsyms]  [k] do_idle
    46.06%     0.00%  swapper          [kernel.kallsyms]  [k] secondary_startup_64_no_verify
    45.36%     0.00%  swapper          [kernel.kallsyms]  [k] start_secondary
    44.51%     0.01%  postgres         [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
    44.50%     0.01%  postgres         [kernel.kallsyms]  [k] do_syscall_64
    42.33%     0.01%  swapper          [kernel.kallsyms]  [k] cpuidle_enter_state
    42.33%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_enter
    42.21%    42.02%  swapper          [kernel.kallsyms]  [k] mwait_idle_with_hints.constprop.0
    34.78%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_exit_group
    34.78%     0.00%  postgres         [kernel.kallsyms]  [k] do_exit
    34.78%     0.00%  postgres         [kernel.kallsyms]  [k] do_group_exit
    34.78%     0.00%  postgres         [kernel.kallsyms]  [k] exit_mmap
    34.78%     0.00%  postgres         [kernel.kallsyms]  [k] mmput
    34.13%     0.00%  postgres         [kernel.kallsyms]  [k] unmap_single_vma
    34.13%     0.00%  postgres         [kernel.kallsyms]  [k] unmap_vmas
    33.78%    25.73%  postgres         [kernel.kallsyms]  [k] unmap_page_range
     4.26%     0.02%  postgres         [kernel.kallsyms]  [k] add_to_page_cache_lru
     3.89%     1.51%  postgres         [kernel.kallsyms]  [k] page_remove_rmap
     3.58%     0.02%  kcompactd0       [kernel.kallsyms]  [k] migrate_pages
     3.58%     0.00%  kcompactd0       [kernel.kallsyms]  [k] compact_zone
     3.58%     0.00%  kcompactd0       [kernel.kallsyms]  [k] kcompactd
     3.58%     0.00%  kcompactd0       [kernel.kallsyms]  [k] kthread
     3.58%     0.00%  kcompactd0       [kernel.kallsyms]  [k] proactive_compact_node
     3.58%     0.00%  kcompactd0       [kernel.kallsyms]  [k] ret_from_fork
     3.24%     0.00%  kcompactd0       [kernel.kallsyms]  [k] rmap_walk
     3.23%     0.02%  kcompactd0       [kernel.kallsyms]  [k] rmap_walk_file
     3.18%     0.00%  postgres         [kernel.kallsyms]  [k] update_load_avg
     3.06%     0.02%  postgres         [kernel.kallsyms]  [k] tlb_flush_mmu
     2.98%     0.00%  kcompactd0       [kernel.kallsyms]  [k] try_to_migrate
     2.95%     0.07%  kcompactd0       [kernel.kallsyms]  [k] try_to_migrate_one
     2.91%     0.74%  postgres         [kernel.kallsyms]  [k] pagecache_get_page
     2.57%     0.04%  kcompactd0       [kernel.kallsyms]  [k] ptep_clear_flush
     2.57%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_futex
     2.57%     0.00%  postgres         [kernel.kallsyms]  [k] do_futex
     2.53%     0.02%  kcompactd0       [kernel.kallsyms]  [k] flush_tlb_mm_range
     2.50%     0.01%  swapper          [kernel.kallsyms]  [k] __schedule
     2.50%     0.00%  swapper          [kernel.kallsyms]  [k] schedule_idle
     2.50%     2.48%  kcompactd0       [kernel.kallsyms]  [k] smp_call_function_many_cond
     2.50%     0.00%  kcompactd0       [kernel.kallsyms]  [k] native_flush_tlb_multi
     2.50%     0.00%  kcompactd0       [kernel.kallsyms]  [k] on_each_cpu_cond_mask
     2.48%     2.48%  swapper          [kernel.kallsyms]  [k] switch_mm_irqs_off
     2.27%     0.00%  postgres         [kernel.kallsyms]  [k] vfs_read
     2.27%     0.00%  postgres         [kernel.kallsyms]  [k] ext4_file_read_iter
     2.27%     0.00%  postgres         [kernel.kallsyms]  [k] filemap_read
     2.27%     0.00%  postgres         [kernel.kallsyms]  [k] generic_file_read_iter
     2.27%     0.00%  postgres         [kernel.kallsyms]  [k] new_sync_read
     2.26%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_pread64
     2.26%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_pwrite64
     2.26%     0.00%  postgres         [kernel.kallsyms]  [k] ext4_buffered_write_iter
     2.26%     0.00%  postgres         [kernel.kallsyms]  [k] ext4_file_write_iter
     2.26%     0.00%  postgres         [kernel.kallsyms]  [k] new_sync_write
     2.26%     0.00%  postgres         [kernel.kallsyms]  [k] vfs_write
     2.24%     0.00%  postgres         [kernel.kallsyms]  [k] generic_perform_write
     2.20%     0.00%  postgres         [kernel.kallsyms]  [k] ext4_da_write_begin
