# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 3262250526457
#
# Children      Self  Command          Shared Object                       Symbol                                                                                                                                                                                                             
# ........  ........  ...............  ..................................  ...................................................................................................................................................................................................................
#
     1.41%     0.01%  Executor task l  [kernel.kallsyms]                   [k] common_interrupt
     1.37%     0.19%  Executor task l  [kernel.kallsyms]                   [k] lru_cache_add
     1.33%     0.27%  Executor task l  [kernel.kallsyms]                   [k] _raw_spin_lock_irq
     1.32%     1.28%  Executor task l  [kernel.kallsyms]                   [k] ktime_get_update_offsets_now
     1.31%     0.77%  Executor task l  [kernel.kallsyms]                   [k] xas_load
     1.31%     0.90%  Executor task l  [kernel.kallsyms]                   [k] rmqueue_bulk
     1.27%     0.14%  Executor task l  [kernel.kallsyms]                   [k] rcu_sched_clock_irq
     1.26%     0.01%  Executor task l  [kernel.kallsyms]                   [k] __ext4_mark_inode_dirty
     1.25%     0.03%  Executor task l  [kernel.kallsyms]                   [k] __common_interrupt
     1.22%     0.03%  Executor task l  [kernel.kallsyms]                   [k] handle_edge_irq
     1.17%     0.13%  Executor task l  [kernel.kallsyms]                   [k] __pagevec_lru_add
     1.17%     0.04%  Executor task l  [kernel.kallsyms]                   [k] mem_cgroup_charge
     1.13%     0.02%  Executor task l  [kernel.kallsyms]                   [k] handle_irq_event
     1.10%     0.17%  Executor task l  [kernel.kallsyms]                   [k] __softirqentry_text_start
     1.06%     0.59%  Executor task l  [kernel.kallsyms]                   [k] filemap_get_read_batch
     1.06%     0.02%  Executor task l  [kernel.kallsyms]                   [k] __handle_irq_event_percpu
     1.03%     0.00%  Executor task l  [kernel.kallsyms]                   [k] nvme_irq
     1.03%     0.11%  Executor task l  [kernel.kallsyms]                   [k] nvme_process_cq
     1.01%     0.33%  Executor task l  [kernel.kallsyms]                   [k] _raw_spin_lock_irqsave
     1.01%     0.47%  Executor task l  [kernel.kallsyms]                   [k] rcu_pending
     0.93%     0.00%  swapper          [kernel.kallsyms]                   [k] cpu_startup_entry
     0.93%     0.00%  swapper          [kernel.kallsyms]                   [k] secondary_startup_64_no_verify
     0.93%     0.01%  swapper          [kernel.kallsyms]                   [k] do_idle
     0.93%     0.06%  kswapd0          [kernel.kallsyms]                   [k] __remove_mapping
     0.91%     0.41%  Executor task l  [kernel.kallsyms]                   [k] kmem_cache_alloc
     0.88%     0.80%  Executor task l  [kernel.kallsyms]                   [k] ktime_get
     0.87%     0.01%  Executor task l  [kernel.kallsyms]                   [k] blk_finish_plug
     0.85%     0.02%  Executor task l  [kernel.kallsyms]                   [k] blk_mq_flush_plug_list
     0.83%     0.01%  Executor task l  [kernel.kallsyms]                   [k] blk_mq_sched_insert_requests
     0.82%     0.03%  Executor task l  [kernel.kallsyms]                   [k] blk_mq_try_issue_list_directly
     0.81%     0.00%  Executor task l  [kernel.kallsyms]                   [k] __x64_sys_openat
     0.81%     0.00%  Executor task l  [kernel.kallsyms]                   [k] __alloc_pages_slowpath.constprop.0
     0.81%     0.00%  Executor task l  [kernel.kallsyms]                   [k] do_sys_openat2
     0.80%     0.01%  swapper          [kernel.kallsyms]                   [k] cpuidle_idle_call
     0.79%     0.02%  Executor task l  [kernel.kallsyms]                   [k] ext4_mark_iloc_dirty
     0.78%     0.00%  kworker/u64:36-  [kernel.kallsyms]                   [k] worker_thread
     0.78%     0.00%  kworker/u64:36-  [kernel.kallsyms]                   [k] kthread
     0.78%     0.00%  kworker/u64:36-  [kernel.kallsyms]                   [k] ret_from_fork
     0.78%     0.00%  kworker/u64:36-  [kernel.kallsyms]                   [k] process_one_work
     0.78%     0.02%  Executor task l  [kernel.kallsyms]                   [k] __blk_mq_try_issue_directly
     0.76%     0.36%  Executor task l  [kernel.kallsyms]                   [k] update_rq_clock_task
     0.74%     0.08%  Executor task l  [kernel.kallsyms]                   [k] nvme_queue_rq
     0.72%     0.01%  Executor task l  [kernel.kallsyms]                   [k] do_filp_open
     0.72%     0.28%  Executor task l  [kernel.kallsyms]                   [k] ext4_do_update_inode.isra.0
     0.72%     0.00%  Executor task l  [kernel.kallsyms]                   [k] path_openat
     0.69%     0.01%  Executor task l  [kernel.kallsyms]                   [k] __submit_bio_noacct_mq
     0.67%     0.58%  Executor task l  [kernel.kallsyms]                   [k] __update_load_avg_se
     0.67%     0.20%  Executor task l  [kernel.kallsyms]                   [k] __pagevec_lru_add_fn
     0.67%     0.04%  Executor task l  [kernel.kallsyms]                   [k] blk_mq_submit_bio
     0.67%     0.29%  Executor task l  [kernel.kallsyms]                   [k] __mod_lruvec_page_state
     0.66%     0.00%  swapper          [kernel.kallsyms]                   [k] cpuidle_enter
     0.66%     0.01%  swapper          [kernel.kallsyms]                   [k] cpuidle_enter_state
     0.62%     0.06%  Executor task l  [kernel.kallsyms]                   [k] __mem_cgroup_charge
     0.61%     0.60%  Executor task l  [kernel.kallsyms]                   [k] memset
     0.60%     0.02%  Executor task l  [kernel.kallsyms]                   [k] __ext4_journal_start_sb
     0.60%     0.00%  kworker/u64:33-  [kernel.kallsyms]                   [k] worker_thread
     0.60%     0.00%  kworker/u64:33-  [kernel.kallsyms]                   [k] kthread
     0.60%     0.00%  kworker/u64:33-  [kernel.kallsyms]                   [k] ret_from_fork
     0.60%     0.60%  Executor task l  [kernel.kallsyms]                   [k] __list_del_entry_valid
     0.60%     0.00%  kworker/u64:33-  [kernel.kallsyms]                   [k] process_one_work
     0.59%     0.59%  Executor task l  [kernel.kallsyms]                   [k] hrtimer_active
     0.59%     0.57%  Executor task l  [kernel.kallsyms]                   [k] xas_start
     0.59%     0.59%  Executor task l  [kernel.kallsyms]                   [k] update_cfs_group
     0.56%     0.31%  Executor task l  [kernel.kallsyms]                   [k] irqtime_account_irq
     0.56%     0.01%  Executor task l  [kernel.kallsyms]                   [k] file_update_time
     0.56%     0.44%  Executor task l  [kernel.kallsyms]                   [k] __cgroup_account_cputime_field
     0.56%     0.13%  Executor task l  [kernel.kallsyms]                   [k] xas_store
     0.56%     0.00%  Executor task l  [kernel.kallsyms]                   [k] shrink_node
     0.56%     0.00%  Executor task l  [kernel.kallsyms]                   [k] do_try_to_free_pages
     0.56%     0.00%  Executor task l  [kernel.kallsyms]                   [k] shrink_zones
     0.56%     0.00%  Executor task l  [kernel.kallsyms]                   [k] try_to_free_pages
     0.55%     0.00%  Executor task l  [kernel.kallsyms]                   [k] shrink_node_memcgs
     0.55%     0.00%  Executor task l  [kernel.kallsyms]                   [k] shrink_lruvec
     0.55%     0.00%  Executor task l  [kernel.kallsyms]                   [k] shrink_inactive_list
     0.54%     0.00%  kworker/u64:36-  [kernel.kallsyms]                   [k] wb_workfn
     0.54%     0.00%  kworker/u64:36-  [kernel.kallsyms]                   [k] wb_do_writeback
     0.54%     0.02%  Executor task l  [kernel.kallsyms]                   [k] zero_user_segments
     0.54%     0.01%  Executor task l  [kernel.kallsyms]                   [k] blk_mq_end_request
     0.54%     0.00%  kworker/u64:36-  [kernel.kallsyms]                   [k] wb_writeback
     0.54%     0.00%  kworker/u64:36-  [kernel.kallsyms]                   [k] writeback_sb_inodes
     0.54%     0.00%  kworker/u64:36-  [kernel.kallsyms]                   [k] __writeback_inodes_wb
     0.54%     0.00%  kworker/u64:36-  [kernel.kallsyms]                   [k] __writeback_single_inode
     0.54%     0.00%  kworker/u64:36-  [kernel.kallsyms]                   [k] do_writepages
     0.54%     0.00%  kworker/u64:36-  [kernel.kallsyms]                   [k] ext4_writepages
     0.54%     0.00%  Executor task l  [kernel.kallsyms]                   [k] shrink_page_list
     0.53%     0.53%  Executor task l  [kernel.kallsyms]                   [k] __update_load_avg_cfs_rq
     0.53%     0.00%  Executor task l  [kernel.kallsyms]                   [k] generic_update_time
     0.52%     0.01%  Executor task l  [kernel.kallsyms]                   [k] __remove_mapping
     0.52%     0.02%  Executor task l  [kernel.kallsyms]                   [k] create_page_buffers
     0.52%     0.50%  Executor task l  [kernel.kallsyms]                   [k] get_mem_cgroup_from_mm
     0.52%     0.15%  Executor task l  [kernel.kallsyms]                   [k] amd_pmu_wait_on_overflow
     0.51%     0.05%  Executor task l  [kernel.kallsyms]                   [k] jbd2__journal_start
     0.51%     0.03%  Executor task l  [kernel.kallsyms]                   [k] create_empty_buffers
     0.49%     0.05%  Executor task l  [kernel.kallsyms]                   [k] xa_load
     0.48%     0.02%  Executor task l  [kernel.kallsyms]                   [k] syscall_exit_to_user_mode
     0.48%     0.04%  Executor task l  [kernel.kallsyms]                   [k] nvme_map_data
     0.47%     0.04%  Executor task l  [kernel.kallsyms]                   [k] alloc_page_buffers
     0.47%     0.37%  Executor task l  [kernel.kallsyms]                   [k] _raw_spin_lock
     0.47%     0.11%  Executor task l  [kernel.kallsyms]                   [k] exit_to_user_mode_prepare
     0.47%     0.47%  Executor task l  [kernel.kallsyms]                   [k] check_cpu_stall
     0.46%     0.05%  kswapd0          [kernel.kallsyms]                   [k] free_unref_page_list
     0.45%     0.13%  Executor task l  [kernel.kallsyms]                   [k] xa_get_order
     0.45%     0.11%  Executor task l  [kernel.kallsyms]                   [k] clockevents_program_event
     0.45%     0.02%  Executor task l  [kernel.kallsyms]                   [k] ext4_reserve_inode_write
     0.45%     0.05%  kswapd0          [kernel.kallsyms]                   [k] page_cache_delete
     0.45%     0.08%  Executor task l  [kernel.kallsyms]                   [k] blk_update_request
     0.44%     0.44%  Executor task l  [kernel.kallsyms]                   [k] cpuacct_charge
     0.43%     0.10%  kswapd0          [kernel.kallsyms]                   [k] isolate_lru_pages
     0.43%     0.02%  Executor task l  [kernel.kallsyms]                   [k] alloc_buffer_head
     0.43%     0.05%  Executor task l  [kernel.kallsyms]                   [k] rcu_core
     0.40%     0.13%  Executor task l  [kernel.kallsyms]                   [k] timerqueue_del
     0.40%     0.30%  Executor task l  [kernel.kallsyms]                   [k] __mod_memcg_lruvec_state
     0.40%     0.40%  Executor task l  [kernel.kallsyms]                   [k] update_irq_load_avg
     0.40%     0.02%  Executor task l  [kernel.kallsyms]                   [k] ext4_da_get_block_prep
     0.40%     0.16%  Executor task l  [kernel.kallsyms]                   [k] tick_sched_do_timer
     0.39%     0.39%  Executor task l  [kernel.kallsyms]                   [k] __irqentry_text_end
     0.39%     0.03%  Executor task l  [kernel.kallsyms]                   [k] __block_commit_write.constprop.0.isra.0
     0.39%     0.04%  Executor task l  [kernel.kallsyms]                   [k] ext4_map_blocks
     0.38%     0.05%  Executor task l  [kernel.kallsyms]                   [k] ext4_da_map_blocks.constprop.0
     0.37%     0.37%  kswapd0          [kernel.kallsyms]                   [k] __list_del_entry_valid
     0.35%     0.04%  kswapd0          [kernel.kallsyms]                   [k] xas_store
     0.35%     0.03%  Executor task l  [kernel.kallsyms]                   [k] __ext4_journal_stop
     0.35%     0.00%  kworker/u64:33-  [kernel.kallsyms]                   [k] wb_do_writeback
     0.35%     0.00%  kworker/u64:33-  [kernel.kallsyms]                   [k] wb_workfn
     0.35%     0.00%  kworker/u64:33-  [kernel.kallsyms]                   [k] wb_writeback
     0.35%     0.19%  Executor task l  [kernel.kallsyms]                   [k] start_this_handle
     0.35%     0.00%  kworker/u64:33-  [kernel.kallsyms]                   [k] __writeback_inodes_wb
     0.35%     0.00%  kworker/u64:33-  [kernel.kallsyms]                   [k] __writeback_single_inode
     0.35%     0.00%  kworker/u64:33-  [kernel.kallsyms]                   [k] do_writepages
     0.35%     0.00%  kworker/u64:33-  [kernel.kallsyms]                   [k] writeback_sb_inodes
     0.35%     0.00%  kworker/u64:33-  [kernel.kallsyms]                   [k] ext4_writepages
     0.34%     0.03%  kswapd0          [kernel.kallsyms]                   [k] free_pcppages_bulk
     0.34%     0.01%  Executor task l  [kernel.kallsyms]                   [k] irqentry_exit_to_user_mode
     0.33%     0.02%  Executor task l  [kernel.kallsyms]                   [k] mark_buffer_dirty
     0.33%     0.33%  Executor task l  [kernel.kallsyms]                   [k] irq_work_tick
     0.33%     0.01%  Executor task l  [kernel.kallsyms]                   [k] ext4_get_inode_loc
     0.32%     0.01%  Executor task l  [kernel.kallsyms]                   [k] exit_to_user_mode_loop
     0.32%     0.14%  Executor task l  [kernel.kallsyms]                   [k] jbd2_journal_stop
     0.32%     0.05%  Executor task l  [kernel.kallsyms]                   [k] __ext4_get_inode_loc
     0.32%     0.17%  Executor task l  [kernel.kallsyms]                   [k] balance_dirty_pages_ratelimited
     0.31%     0.00%  kworker/u64:36-  [kernel.kallsyms]                   [k] wb_check_old_data_flush
     0.31%     0.31%  Executor task l  [kernel.kallsyms]                   [k] arch_scale_freq_tick
     0.31%     0.31%  Executor task l  [kernel.kallsyms]                   [k] amd_pmu_addr_offset
     0.31%     0.09%  Executor task l  [kernel.kallsyms]                   [k] enqueue_hrtimer
     0.30%     0.30%  Executor task l  [kernel.kallsyms]                   [k] irq_enter_rcu
     0.30%     0.30%  Executor task l  [kernel.kallsyms]                   [k] cpuacct_account_field
     0.30%     0.03%  Executor task l  [kernel.kallsyms]                   [k] ext4_inode_csum_set
     0.30%     0.07%  Executor task l  [kernel.kallsyms]                   [k] syscall_exit_work
     0.29%     0.29%  Executor task l  [kernel.kallsyms]                   [k] x86_pmu_disable
     0.29%     0.29%  Executor task l  [kernel.kallsyms]                   [k] irqtime_account_process_tick
     0.29%     0.00%  kworker/u64:32-  [kernel.kallsyms]                   [k] kthread
     0.29%     0.00%  kworker/u64:32-  [kernel.kallsyms]                   [k] ret_from_fork
     0.29%     0.00%  kworker/u64:32-  [kernel.kallsyms]                   [k] worker_thread
     0.28%     0.00%  kworker/u64:32-  [kernel.kallsyms]                   [k] process_one_work
     0.28%     0.00%  kworker/u64:36-  [kernel.kallsyms]                   [k] mpage_map_and_submit_extent
     0.28%     0.11%  Executor task l  [kernel.kallsyms]                   [k] xas_create
     0.28%     0.15%  Executor task l  [kernel.kallsyms]                   [k] try_charge_memcg
