# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 859K of event 'cycles'
# Event count (approx.): 1647795234547
#
# Children      Self  Command          Shared Object                       Symbol                                                                                                                                                      
# ........  ........  ...............  ..................................  ............................................................................................................................................................
#
    37.36%     0.10%  Executor task l  [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
    36.73%     0.08%  Executor task l  [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
    32.46%     0.40%  Executor task l  [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
    31.74%     0.80%  Executor task l  [kernel.kallsyms]                   [k] hrtimer_interrupt
    27.84%     0.57%  Executor task l  [kernel.kallsyms]                   [k] __hrtimer_run_queues
    27.28%     0.03%  Executor task l  [kernel.kallsyms]                   [k] __run_hrtimer
    26.28%     0.07%  Executor task l  [kernel.kallsyms]                   [k] tick_sched_timer
    24.89%     0.12%  Executor task l  [kernel.kallsyms]                   [k] tick_sched_handle
    24.72%     1.17%  Executor task l  [kernel.kallsyms]                   [k] update_process_times
    18.23%     0.85%  Executor task l  [kernel.kallsyms]                   [k] scheduler_tick
    17.23%     0.04%  Executor task l  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
    17.20%     0.03%  Executor task l  [kernel.kallsyms]                   [k] do_syscall_64
    11.31%     0.02%  Executor task l  [kernel.kallsyms]                   [k] ksys_read
    11.17%     0.05%  Executor task l  [kernel.kallsyms]                   [k] vfs_read
    11.00%     0.06%  Executor task l  [kernel.kallsyms]                   [k] new_sync_read
    10.88%     0.16%  Executor task l  [kernel.kallsyms]                   [k] filemap_read
     8.35%     1.03%  Executor task l  [kernel.kallsyms]                   [k] task_tick_fair
     7.11%     0.64%  Executor task l  [kernel.kallsyms]                   [k] perf_event_task_tick
     6.47%     2.80%  Executor task l  [kernel.kallsyms]                   [k] perf_adjust_freq_unthr_context
     5.70%     0.03%  Executor task l  [kernel.kallsyms]                   [k] copy_page_to_iter
     5.67%     0.06%  Executor task l  [kernel.kallsyms]                   [k] copy_page_to_iter_iovec
     5.61%     5.48%  Executor task l  [kernel.kallsyms]                   [k] copy_user_generic_string
     4.36%     0.03%  Executor task l  [kernel.kallsyms]                   [k] filemap_get_pages
