# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 7170401962140
#
# Children      Self  Command          Shared Object      Symbol                                             
# ........  ........  ...............  .................  ...................................................
#
    38.75%     0.42%  java             [kernel.kallsyms]  [k] asm_exc_page_fault
    35.87%     0.54%  java             [kernel.kallsyms]  [k] exc_page_fault
    32.07%     0.56%  java             [kernel.kallsyms]  [k] do_user_addr_fault
    24.29%     1.32%  java             [kernel.kallsyms]  [k] handle_mm_fault
    19.85%     0.01%  LocalJobRunner   [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
    19.84%     0.01%  LocalJobRunner   [kernel.kallsyms]  [k] do_syscall_64
    19.59%     5.80%  java             [kernel.kallsyms]  [k] __handle_mm_fault
    10.46%     0.12%  LocalJobRunner   [kernel.kallsyms]  [k] asm_exc_page_fault
    10.10%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] __x64_sys_read
    10.10%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] ksys_read
    10.10%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] vfs_read
    10.09%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] new_sync_read
    10.09%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] ext4_file_read_iter
    10.09%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] generic_file_read_iter
    10.09%     0.13%  LocalJobRunner   [kernel.kallsyms]  [k] filemap_read
     9.36%     0.09%  LocalJobRunner   [kernel.kallsyms]  [k] exc_page_fault
     9.29%     0.21%  java             [kernel.kallsyms]  [k] migrate_misplaced_page
     8.78%     0.16%  LocalJobRunner   [kernel.kallsyms]  [k] do_user_addr_fault
     8.45%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] __x64_sys_write
     8.45%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] ksys_write
     8.45%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] vfs_write
     8.44%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] new_sync_write
     8.44%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] ext4_file_write_iter
     8.44%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] ext4_buffered_write_iter
     8.41%     0.02%  LocalJobRunner   [kernel.kallsyms]  [k] generic_perform_write
     8.18%     0.67%  java             [kernel.kallsyms]  [k] migrate_pages
     8.11%     0.21%  LocalJobRunner   [kernel.kallsyms]  [k] handle_mm_fault
     7.29%     1.03%  LocalJobRunner   [kernel.kallsyms]  [k] __handle_mm_fault
     7.19%     7.01%  LocalJobRunner   [kernel.kallsyms]  [k] copy_user_enhanced_fast_string
     5.45%     5.40%  java             [kernel.kallsyms]  [k] down_read_trylock
     5.10%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] asm_sysvec_apic_timer_interrupt
     5.07%     0.01%  LocalJobRunner   [kernel.kallsyms]  [k] sysvec_apic_timer_interrupt
     4.73%     0.23%  LocalJobRunner   [kernel.kallsyms]  [k] add_to_page_cache_lru
     4.67%     0.09%  LocalJobRunner   [kernel.kallsyms]  [k] exit_to_user_mode_prepare
     4.56%     0.01%  LocalJobRunner   [kernel.kallsyms]  [k] irqentry_exit
     4.54%     0.01%  LocalJobRunner   [kernel.kallsyms]  [k] irqentry_exit_to_user_mode
     4.33%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] task_work_run
     4.32%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] task_numa_work
     4.32%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] change_prot_numa
     4.21%     0.12%  LocalJobRunner   [kernel.kallsyms]  [k] __alloc_pages
     4.07%     0.36%  LocalJobRunner   [kernel.kallsyms]  [k] get_page_from_freelist
     4.01%     0.03%  LocalJobRunner   [kernel.kallsyms]  [k] ext4_da_write_begin
     3.86%     0.01%  LocalJobRunner   [kernel.kallsyms]  [k] filemap_get_pages
     3.85%     3.64%  LocalJobRunner   [kernel.kallsyms]  [k] change_protection
