# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 10607535979821
#
# Children      Self  Command          Shared Object                          Symbol                                                                                                                                                                        
# ........  ........  ...............  .....................................  ..............................................................................................................................................................................
#
     1.95%     0.04%  tclsh8.6         [kernel.kallsyms]                      [k] __sys_recvfrom
     1.93%     0.91%  mariadbd         [kernel.kallsyms]                      [k] update_load_avg
     1.93%     0.05%  swapper          [kernel.kallsyms]                      [k] ttwu_do_activate
     1.92%     0.02%  tclsh8.6         [kernel.kallsyms]                      [k] __x64_sys_poll
     1.90%     0.19%  tclsh8.6         [kernel.kallsyms]                      [k] do_sys_poll
     1.88%     0.54%  swapper          [kernel.kallsyms]                      [k] enqueue_task_fair
     1.88%     0.23%  mariadbd         [kernel.kallsyms]                      [k] newidle_balance
     1.79%     0.11%  swapper          [kernel.kallsyms]                      [k] flush_smp_call_function_from_idle
     1.78%     0.00%  mariadbd         [kernel.kallsyms]                      [k] common_interrupt
     1.77%     0.11%  mariadbd         [kernel.kallsyms]                      [k] do_poll.constprop.0
     1.70%     0.02%  tclsh8.6         [kernel.kallsyms]                      [k] unix_stream_recvmsg
     1.68%     0.17%  tclsh8.6         [kernel.kallsyms]                      [k] unix_stream_read_generic
     1.68%     0.02%  mariadbd         [kernel.kallsyms]                      [k] __x64_sys_recvfrom
     1.67%     0.06%  mariadbd         [kernel.kallsyms]                      [k] ttwu_do_activate
     1.66%     0.38%  mariadbd         [kernel.kallsyms]                      [k] enqueue_task_fair
     1.66%     0.01%  mariadbd         [kernel.kallsyms]                      [k] __common_interrupt
     1.66%     0.02%  mariadbd         [kernel.kallsyms]                      [k] __sys_recvfrom
     1.65%     0.24%  mariadbd         [kernel.kallsyms]                      [k] select_idle_sibling
     1.65%     0.02%  mariadbd         [kernel.kallsyms]                      [k] handle_edge_irq
     1.62%     0.01%  swapper          [kernel.kallsyms]                      [k] __sysvec_call_function_single
     1.60%     0.01%  mariadbd         [kernel.kallsyms]                      [k] handle_irq_event
     1.60%     0.12%  mariadbd         [kernel.kallsyms]                      [k] exit_to_user_mode_prepare
     1.59%     0.14%  tclsh8.6         [kernel.kallsyms]                      [k] do_poll.constprop.0
     1.56%     0.02%  mariadbd         [kernel.kallsyms]                      [k] __wake_up_common_lock
     1.53%     0.02%  mariadbd         [kernel.kallsyms]                      [k] __handle_irq_event_percpu
     1.51%     0.06%  mariadbd         [kernel.kallsyms]                      [k] sock_def_readable
     1.51%     0.01%  mariadbd         [kernel.kallsyms]                      [k] nvme_irq
     1.50%     0.13%  mariadbd         [kernel.kallsyms]                      [k] __wake_up_common
     1.50%     0.09%  mariadbd         [kernel.kallsyms]                      [k] nvme_process_cq
     1.49%     1.46%  mariadbd         [kernel.kallsyms]                      [k] native_queued_spin_lock_slowpath.part.0
     1.48%     0.58%  mariadbd         [kernel.kallsyms]                      [k] update_curr
     1.47%     0.01%  mariadbd         [kernel.kallsyms]                      [k] unix_stream_recvmsg
     1.45%     0.13%  mariadbd         [kernel.kallsyms]                      [k] unix_stream_read_generic
     1.43%     0.03%  mariadbd         [kernel.kallsyms]                      [k] schedule_hrtimeout_range_clock
     1.42%     0.07%  mariadbd         [kernel.kallsyms]                      [k] load_balance
     1.40%     0.00%  swapper          [kernel.kallsyms]                      [k] start_kernel
     1.36%     0.08%  mariadbd         [kernel.kallsyms]                      [k] pollwake
     1.35%     0.35%  mariadbd         [kernel.kallsyms]                      [k] futex_wait_setup
     1.34%     0.04%  mariadbd         [kernel.kallsyms]                      [k] ext4_map_blocks
     1.33%     0.42%  swapper          [kernel.kallsyms]                      [k] enqueue_entity
     1.30%     0.02%  mariadbd         [kernel.kallsyms]                      [k] perf_event_task_tick
     1.28%     0.01%  swapper          [kernel.kallsyms]                      [k] __sysvec_apic_timer_interrupt
     1.27%     0.16%  mariadbd         [kernel.kallsyms]                      [k] perf_adjust_freq_unthr_context
     1.27%     0.27%  mariadbd         [kernel.kallsyms]                      [k] syscall_exit_work
     1.26%     0.01%  swapper          [kernel.kallsyms]                      [k] hrtimer_interrupt
     1.23%     0.35%  mariadbd         [kernel.kallsyms]                      [k] ttwu_queue_wakelist
     1.20%     0.00%  mariadbd         [kernel.kallsyms]                      [k] __x64_sys_pwrite64
     1.20%     0.00%  mariadbd         [kernel.kallsyms]                      [k] vfs_write
     1.20%     0.00%  mariadbd         [kernel.kallsyms]                      [k] new_sync_write
     1.20%     0.00%  mariadbd         [kernel.kallsyms]                      [k] ext4_buffered_write_iter
     1.16%     0.06%  mariadbd         [kernel.kallsyms]                      [k] asm_sysvec_call_function_single
     1.15%     0.01%  mariadbd         [kernel.kallsyms]                      [k] generic_perform_write
     1.14%     0.01%  mariadbd         [kernel.kallsyms]                      [k] sock_alloc_send_pskb
     1.12%     0.01%  mariadbd         [kernel.kallsyms]                      [k] blk_mq_end_request
     1.11%     0.06%  mariadbd         [kernel.kallsyms]                      [k] alloc_skb_with_frags
     1.11%     0.01%  swapper          [kernel.kallsyms]                      [k] asm_common_interrupt
     1.10%     0.02%  mariadbd         [kernel.kallsyms]                      [k] blk_finish_plug
     1.10%     0.54%  swapper          [kernel.kallsyms]                      [k] update_load_avg
     1.09%     0.01%  swapper          [kernel.kallsyms]                      [k] common_interrupt
     1.08%     0.04%  tclsh8.6         [kernel.kallsyms]                      [k] schedule_hrtimeout_range_clock
     1.08%     0.02%  mariadbd         [kernel.kallsyms]                      [k] blk_mq_flush_plug_list
     1.08%     0.24%  mariadbd         [kernel.kallsyms]                      [k] select_idle_cpu
     1.07%     0.01%  tclsh8.6         [kernel.kallsyms]                      [k] __wake_up_common_lock
     1.07%     0.27%  mariadbd         [kernel.kallsyms]                      [k] enqueue_entity
     1.07%     0.01%  swapper          [kernel.kallsyms]                      [k] __hrtimer_run_queues
     1.06%     0.01%  swapper          [kernel.kallsyms]                      [k] __run_hrtimer
     1.06%     0.02%  mariadbd         [kernel.kallsyms]                      [k] iomap_dio_submit_bio
     1.05%     0.02%  mariadbd         [kernel.kallsyms]                      [k] blk_mq_sched_insert_requests
     1.05%     0.03%  mariadbd         [kernel.kallsyms]                      [k] amd_pmu_disable_all
     1.05%     0.07%  mariadbd         [kernel.kallsyms]                      [k] __alloc_skb
     1.05%     0.01%  mariadbd         [kernel.kallsyms]                      [k] io_schedule_timeout
     1.04%     0.01%  swapper          [kernel.kallsyms]                      [k] tick_sched_timer
     1.04%     0.05%  swapper          [kernel.kallsyms]                      [k] __irq_exit_rcu
     1.04%     0.04%  tclsh8.6         [kernel.kallsyms]                      [k] schedule
     1.04%     0.10%  tclsh8.6         [kernel.kallsyms]                      [k] __wake_up_common
     1.04%     0.02%  mariadbd         [kernel.kallsyms]                      [k] schedule_timeout
