# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 10607535979821
#
# Children      Self  Command          Shared Object                          Symbol                                                                                                                                                                        
# ........  ........  ...............  .....................................  ..............................................................................................................................................................................
#
     0.00%     0.00%  mariadbd         [kernel.kallsyms]                      [k] blk_mq_run_hw_queue
     0.00%     0.00%  kworker/20:4     [kernel.kallsyms]                      [k] process_one_work
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000c8bae3
     0.00%     0.00%  kworker/3:1      [kernel.kallsyms]                      [k] process_one_work
     0.00%     0.00%  kworker/2:0      [kernel.kallsyms]                      [k] __wake_up_common
     0.00%     0.00%  kworker/18:2     [kernel.kallsyms]                      [k] __wake_up_common
     0.00%     0.00%  kworker/27:2-rc  [kernel.kallsyms]                      [k] __wake_up_common
     0.00%     0.00%  kworker/31:0     [kernel.kallsyms]                      [k] schedule
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000da1a07
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000cf9553
     0.00%     0.00%  kworker/25:2     [kernel.kallsyms]                      [k] __wake_up_common_lock
     0.00%     0.00%  kworker/20:1     [kernel.kallsyms]                      [k] __wake_up_common_lock
     0.00%     0.00%  kworker/28:0     [kernel.kallsyms]                      [k] __wake_up_common_lock
     0.00%     0.00%  tclsh8.6         [kernel.kallsyms]                      [k] rebalance_domains
     0.00%     0.00%  mariadbd         mariadbd                               [.] _Z19close_thread_tablesP3THD
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000da0b12
     0.00%     0.00%  kworker/4:2      [kernel.kallsyms]                      [k] try_to_wake_up
     0.00%     0.00%  kworker/4:2      [kernel.kallsyms]                      [k] autoremove_wake_function
     0.00%     0.00%  kworker/5:2-dio  [kernel.kallsyms]                      [k] aio_complete_rw
     0.00%     0.00%  kworker/30:0-di  [kernel.kallsyms]                      [k] schedule
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000eb5a90
     0.00%     0.00%  kworker/18:2     [kernel.kallsyms]                      [k] try_to_wake_up
     0.00%     0.00%  kworker/18:2     [kernel.kallsyms]                      [k] autoremove_wake_function
     0.00%     0.00%  swapper          [kernel.kallsyms]                      [k] cr4_update_irqsoff
     0.00%     0.00%  mariadbd         mariadbd                               [.] _ZN6LOGGER11log_commandEP3THD19enum_server_command
     0.00%     0.00%  kworker/8:1      [kernel.kallsyms]                      [k] process_one_work
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000d6189c
     0.00%     0.00%  tclsh8.6         libmariadb.so.3                        [.] mysql_next_result
     0.00%     0.00%  mariadbd         mariadbd                               [.] memcpy@plt
     0.00%     0.00%  kworker/5:7      [kernel.kallsyms]                      [k] try_to_wake_up
     0.00%     0.00%  kworker/4:2      [kernel.kallsyms]                      [k] __schedule
     0.00%     0.00%  kworker/26:2-di  [kernel.kallsyms]                      [k] schedule
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000ca42da
     0.00%     0.00%  kworker/21:3     [kernel.kallsyms]                      [k] aio_complete_rw
     0.00%     0.00%  kworker/25:0-di  [kernel.kallsyms]                      [k] try_to_wake_up
     0.00%     0.00%  kworker/25:0-di  [kernel.kallsyms]                      [k] __wake_up_common
     0.00%     0.00%  kworker/25:0-di  [kernel.kallsyms]                      [k] autoremove_wake_function
     0.00%     0.00%  mariadbd         mariadbd                               [.] _Z15ha_commit_transP3THDb
     0.00%     0.00%  mariadbd         [kernel.kallsyms]                      [k] nvme_error_status
     0.00%     0.00%  kworker/20:1     [kernel.kallsyms]                      [k] __wake_up_common
     0.00%     0.00%  kworker/7:10     [kernel.kallsyms]                      [k] aio_complete_rw
     0.00%     0.00%  kworker/20:0     [kernel.kallsyms]                      [k] process_one_work
     0.00%     0.00%  kworker/16:2-di  [kernel.kallsyms]                      [k] __wake_up_common
     0.00%     0.00%  mariadbd         [kernel.kallsyms]                      [k] bvec_free
     0.00%     0.00%  kworker/15:0     [kernel.kallsyms]                      [k] __wake_up_common_lock
     0.00%     0.00%  kworker/14:0-di  [kernel.kallsyms]                      [k] __schedule
     0.00%     0.00%  kworker/17:5     [kernel.kallsyms]                      [k] __wake_up_common
     0.00%     0.00%  mariadbd         [kernel.kallsyms]                      [k] node_page_state
     0.00%     0.00%  kworker/21:1     [kernel.kallsyms]                      [k] __wake_up_common_lock
     0.00%     0.00%  kworker/12:5     [kernel.kallsyms]                      [k] _raw_spin_lock_irqsave
     0.00%     0.00%  kworker/7:2-mm_  [kernel.kallsyms]                      [k] schedule
     0.00%     0.00%  kworker/17:1     [kernel.kallsyms]                      [k] kthread
     0.00%     0.00%  kworker/17:1     [kernel.kallsyms]                      [k] ret_from_fork
     0.00%     0.00%  kworker/17:1     [kernel.kallsyms]                      [k] worker_thread
     0.00%     0.00%  tclsh8.6         libmariadb.so.3                        [.] mysql_affected_rows
     0.00%     0.00%  kworker/27:1-di  [kernel.kallsyms]                      [k] __schedule
     0.00%     0.00%  kworker/13:2     [kernel.kallsyms]                      [k] __schedule
     0.00%     0.00%  kworker/13:2     [kernel.kallsyms]                      [k] schedule
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000d92068
     0.00%     0.00%  mariadbd         [kernel.kallsyms]                      [k] bio_advance
     0.00%     0.00%  kworker/9:2-dio  [kernel.kallsyms]                      [k] autoremove_wake_function
     0.00%     0.00%  kworker/26:0-di  [kernel.kallsyms]                      [k] __schedule
     0.00%     0.00%  kworker/12:0-di  [kernel.kallsyms]                      [k] __wake_up_common_lock
     0.00%     0.00%  mariadbd         [kernel.kallsyms]                      [k] lock_page_lruvec_irqsave
     0.00%     0.00%  kworker/23:2     [kernel.kallsyms]                      [k] aio_complete_rw
     0.00%     0.00%  mariadbd         mariadbd                               [.] _Z17general_log_writeP3THD19enum_server_commandPKcm
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000c4b190
     0.00%     0.00%  kworker/18:4     [kernel.kallsyms]                      [k] __schedule
     0.00%     0.00%  kworker/18:4     [kernel.kallsyms]                      [k] schedule
     0.00%     0.00%  kworker/17:4     [kernel.kallsyms]                      [k] __wake_up_common_lock
     0.00%     0.00%  tclsh8.6         [kernel.kallsyms]                      [k] timekeeping_update
     0.00%     0.00%  kworker/26:2-di  [kernel.kallsyms]                      [k] __wake_up_common_lock
     0.00%     0.00%  swapper          [kernel.kallsyms]                      [k] can_migrate_task
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000b88dcc
     0.00%     0.00%  kworker/16:2-di  [kernel.kallsyms]                      [k] autoremove_wake_function
     0.00%     0.00%  kworker/30:0     [kernel.kallsyms]                      [k] schedule
     0.00%     0.00%  kworker/25:1-di  [kernel.kallsyms]                      [k] aio_complete_rw
     0.00%     0.00%  tclsh8.6         libmariadb.so.3                        [.] 0x000000000001a697
     0.00%     0.00%  kworker/5:5      [kernel.kallsyms]                      [k] worker_thread
     0.00%     0.00%  kworker/5:5      [kernel.kallsyms]                      [k] kthread
     0.00%     0.00%  kworker/5:5      [kernel.kallsyms]                      [k] ret_from_fork
     0.00%     0.00%  kworker/4:5      [kernel.kallsyms]                      [k] kthread
     0.00%     0.00%  kworker/4:5      [kernel.kallsyms]                      [k] ret_from_fork
     0.00%     0.00%  kworker/4:5      [kernel.kallsyms]                      [k] worker_thread
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000cf954b
     0.00%     0.00%  khugepaged       [kernel.kallsyms]                      [k] khugepaged
     0.00%     0.00%  khugepaged       [kernel.kallsyms]                      [k] kthread
     0.00%     0.00%  khugepaged       [kernel.kallsyms]                      [k] ret_from_fork
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000c8613d
     0.00%     0.00%  kworker/22:4     [kernel.kallsyms]                      [k] autoremove_wake_function
     0.00%     0.00%  kworker/14:0-di  [kernel.kallsyms]                      [k] try_to_wake_up
     0.00%     0.00%  mariadbd         mariadbd                               [.] _ZNK12Field_string12type_handlerEv
     0.00%     0.00%  kworker/u64:32-  [kernel.kallsyms]                      [k] kthread
     0.00%     0.00%  kworker/u64:32-  [kernel.kallsyms]                      [k] process_one_work
     0.00%     0.00%  kworker/u64:32-  [kernel.kallsyms]                      [k] ret_from_fork
     0.00%     0.00%  kworker/u64:32-  [kernel.kallsyms]                      [k] worker_thread
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000c30880
     0.00%     0.00%  kworker/0:0      [kernel.kallsyms]                      [k] __wake_up_common_lock
     0.00%     0.00%  mariadbd         [vdso]                                 [.] 0x000000000000089e
     0.00%     0.00%  kworker/25:2     [kernel.kallsyms]                      [k] __wake_up_common
     0.00%     0.00%  tclsh8.6         libmariadb.so.3                        [.] 0x000000000001a72c
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000c86081
     0.00%     0.00%  tclsh8.6         [kernel.kallsyms]                      [k] __blk_mq_free_request
     0.00%     0.00%  kworker/20:1     [kernel.kallsyms]                      [k] autoremove_wake_function
     0.00%     0.00%  kworker/23:4     [kernel.kallsyms]                      [k] process_one_work
     0.00%     0.00%  kworker/22:6     [kernel.kallsyms]                      [k] __schedule
     0.00%     0.00%  kworker/22:6     [kernel.kallsyms]                      [k] schedule
     0.00%     0.00%  mariadbd         [kernel.kallsyms]                      [k] blk_kick_flush
     0.00%     0.00%  kworker/30:0-di  [kernel.kallsyms]                      [k] __schedule
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000ce7cd3
     0.00%     0.00%  tclsh8.6         libmariadb.so.3                        [.] 0x0000000000024086
     0.00%     0.00%  kworker/16:2-di  [kernel.kallsyms]                      [k] try_to_wake_up
     0.00%     0.00%  tclsh8.6         [kernel.kallsyms]                      [k] enter_lazy_tlb
     0.00%     0.00%  kworker/9:2-dio  [kernel.kallsyms]                      [k] try_to_wake_up
     0.00%     0.00%  kworker/1:3      [kernel.kallsyms]                      [k] __wake_up_common_lock
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000d77cc1
     0.00%     0.00%  tclsh8.6         libmariadb.so.3                        [.] 0x0000000000025211
     0.00%     0.00%  khugepaged       [kernel.kallsyms]                      [k] khugepaged_do_scan
     0.00%     0.00%  mariadbd         [kernel.kallsyms]                      [k] page_mkclean
     0.00%     0.00%  kworker/14:2     [kernel.kallsyms]                      [k] aio_complete_rw
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000d297ff
     0.00%     0.00%  kworker/8:3      [kernel.kallsyms]                      [k] kthread
     0.00%     0.00%  kworker/8:3      [kernel.kallsyms]                      [k] ret_from_fork
     0.00%     0.00%  kworker/8:3      [kernel.kallsyms]                      [k] worker_thread
     0.00%     0.00%  kworker/30:0     [kernel.kallsyms]                      [k] __schedule
     0.00%     0.00%  mariadbd         [kernel.kallsyms]                      [k] __x64_sys_fallocate
     0.00%     0.00%  mariadbd         [kernel.kallsyms]                      [k] vfs_fallocate
     0.00%     0.00%  kworker/20:2     [kernel.kallsyms]                      [k] kthread
     0.00%     0.00%  kworker/20:2     [kernel.kallsyms]                      [k] ret_from_fork
     0.00%     0.00%  kworker/20:2     [kernel.kallsyms]                      [k] worker_thread
     0.00%     0.00%  kworker/10:0     [kernel.kallsyms]                      [k] __schedule
     0.00%     0.00%  kworker/30:1     [kernel.kallsyms]                      [k] process_one_work
     0.00%     0.00%  kworker/22:4     [kernel.kallsyms]                      [k] try_to_wake_up
     0.00%     0.00%  kworker/20:3     [kernel.kallsyms]                      [k] aio_complete_rw
     0.00%     0.00%  tclsh8.6         libmariadb.so.3                        [.] 0x000000000002406f
     0.00%     0.00%  kworker/26:1     [kernel.kallsyms]                      [k] try_to_wake_up
     0.00%     0.00%  kworker/26:1     [kernel.kallsyms]                      [k] autoremove_wake_function
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000ccf697
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000da0873
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000cd0b75
     0.00%     0.00%  kworker/9:2-dio  [kernel.kallsyms]                      [k] __schedule
     0.00%     0.00%  kworker/23:2-di  [kernel.kallsyms]                      [k] schedule
     0.00%     0.00%  tclsh8.6         libmariadb.so.3                        [.] 0x000000000002472b
     0.00%     0.00%  kworker/3:7      [kernel.kallsyms]                      [k] kthread
     0.00%     0.00%  kworker/3:7      [kernel.kallsyms]                      [k] ret_from_fork
     0.00%     0.00%  kworker/3:7      [kernel.kallsyms]                      [k] worker_thread
     0.00%     0.00%  kworker/7:2-mm_  [kernel.kallsyms]                      [k] __schedule
     0.00%     0.00%  kworker/17:0     [kernel.kallsyms]                      [k] __wake_up_common
     0.00%     0.00%  kworker/10:4     [kernel.kallsyms]                      [k] autoremove_wake_function
     0.00%     0.00%  kworker/10:4     [kernel.kallsyms]                      [k] __wake_up_common
     0.00%     0.00%  kworker/10:4     [kernel.kallsyms]                      [k] __wake_up_common_lock
     0.00%     0.00%  kworker/21:1-di  [kernel.kallsyms]                      [k] __wake_up_common_lock
     0.00%     0.00%  tclsh8.6         libmariadb.so.3                        [.] 0x000000000001a6a5
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000cd0477
     0.00%     0.00%  kworker/31:0     [kernel.kallsyms]                      [k] __schedule
     0.00%     0.00%  mariadbd         [kernel.kallsyms]                      [k] schedule_hrtimeout_range
     0.00%     0.00%  mariadbd         [vdso]                                 [.] 0x000000000000086d
     0.00%     0.00%  kworker/10:1     [kernel.kallsyms]                      [k] process_one_work
     0.00%     0.00%  mariadbd         mariadbd                               [.] _ZN10Item_field7val_intEv
     0.00%     0.00%  mariadbd         [kernel.kallsyms]                      [k] ext4_fallocate
     0.00%     0.00%  kworker/27:0     [kernel.kallsyms]                      [k] schedule
     0.00%     0.00%  kworker/28:0     [kernel.kallsyms]                      [k] __wake_up_common
     0.00%     0.00%  kworker/1:0-dio  [kernel.kallsyms]                      [k] __wake_up_common_lock
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000c9f1d4
     0.00%     0.00%  tclsh8.6         libmariadb.so.3                        [.] 0x0000000000017b23
     0.00%     0.00%  kworker/16:4     [kernel.kallsyms]                      [k] process_one_work
     0.00%     0.00%  kworker/25:2     [kernel.kallsyms]                      [k] schedule
     0.00%     0.00%  mariadbd         [kernel.kallsyms]                      [k] switch_ldt
     0.00%     0.00%  kworker/24:6     [kernel.kallsyms]                      [k] process_one_work
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000d9f4a5
     0.00%     0.00%  kworker/12:0-di  [kernel.kallsyms]                      [k] __wake_up_common
     0.00%     0.00%  kworker/12:0-di  [kernel.kallsyms]                      [k] autoremove_wake_function
     0.00%     0.00%  kworker/17:5     [kernel.kallsyms]                      [k] autoremove_wake_function
     0.00%     0.00%  kworker/23:2-di  [kernel.kallsyms]                      [k] __schedule
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000d9baa4
     0.00%     0.00%  swapper          [kernel.kallsyms]                      [k] __msecs_to_jiffies
     0.00%     0.00%  kworker/27:2-rc  [kernel.kallsyms]                      [k] autoremove_wake_function
     0.00%     0.00%  swapper          [kernel.kallsyms]                      [k] mempool_free_slab
     0.00%     0.00%  kworker/29:2     [kernel.kallsyms]                      [k] __wake_up_common_lock
     0.00%     0.00%  kworker/20:4     [kernel.kallsyms]                      [k] aio_complete_rw
     0.00%     0.00%  mariadbd         [kernel.kallsyms]                      [k] update_fast_timekeeper
     0.00%     0.00%  tclsh8.6         [kernel.kallsyms]                      [k] update_cfs_rq_h_load
     0.00%     0.00%  kworker/7:0      [kernel.kallsyms]                      [k] __wake_up_common_lock
     0.00%     0.00%  tclsh8.6         [kernel.kallsyms]                      [k] check_cpu_stall
     0.00%     0.00%  kworker/21:1     [kernel.kallsyms]                      [k] __wake_up_common
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000c9f1da
     0.00%     0.00%  mariadbd         mariadbd                               [.] _ZN7handler16ha_external_lockEP3THDi
     0.00%     0.00%  tclsh8.6         [kernel.kallsyms]                      [k] blk_stat_add
     0.00%     0.00%  kworker/27:0     [kernel.kallsyms]                      [k] __schedule
     0.00%     0.00%  mariadbd         [kernel.kallsyms]                      [k] ext4_update_bh_state
     0.00%     0.00%  kworker/27:2-rc  [kernel.kallsyms]                      [k] schedule
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000b91711
     0.00%     0.00%  mariadbd         libc-2.28.so                           [.] __strlen_avx2
     0.00%     0.00%  kworker/30:3     [kernel.kallsyms]                      [k] aio_complete_rw
     0.00%     0.00%  kworker/20:1     [kernel.kallsyms]                      [k] try_to_wake_up
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000b998f1
     0.00%     0.00%  kworker/31:0     [kernel.kallsyms]                      [k] __wake_up_common
     0.00%     0.00%  kworker/13:1H-k  [kernel.kallsyms]                      [k] kthread
     0.00%     0.00%  kworker/13:1H-k  [kernel.kallsyms]                      [k] ret_from_fork
     0.00%     0.00%  kworker/13:1H-k  [kernel.kallsyms]                      [k] worker_thread
     0.00%     0.00%  kworker/8:0-dio  [kernel.kallsyms]                      [k] __wake_up_common_lock
     0.00%     0.00%  kworker/26:2-di  [kernel.kallsyms]                      [k] __schedule
     0.00%     0.00%  kworker/4:0      [kernel.kallsyms]                      [k] schedule
     0.00%     0.00%  kworker/26:1     [kernel.kallsyms]                      [k] schedule
     0.00%     0.00%  tclsh8.6         [kernel.kallsyms]                      [k] test_clear_page_writeback
     0.00%     0.00%  tclsh8.6         [kernel.kallsyms]                      [k] raw_spin_rq_lock_nested
     0.00%     0.00%  kworker/1:0-dio  [kernel.kallsyms]                      [k] __wake_up_common
     0.00%     0.00%  kworker/12:0-di  [kernel.kallsyms]                      [k] try_to_wake_up
     0.00%     0.00%  kworker/14:3     [kernel.kallsyms]                      [k] process_one_work
     0.00%     0.00%  mariadbd         [kernel.kallsyms]                      [k] rcu_core
     0.00%     0.00%  kworker/17:0     [kernel.kallsyms]                      [k] try_to_wake_up
     0.00%     0.00%  kworker/17:0     [kernel.kallsyms]                      [k] autoremove_wake_function
     0.00%     0.00%  kworker/21:1-di  [kernel.kallsyms]                      [k] __wake_up_common
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000d741d7
     0.00%     0.00%  tclsh8.6         libmariadb.so.3                        [.] 0x000000000002524c
     0.00%     0.00%  kworker/16:0     [kernel.kallsyms]                      [k] process_one_work
     0.00%     0.00%  tclsh8.6         libmariadb.so.3                        [.] 0x000000000001b304
     0.00%     0.00%  swapper          [kernel.kallsyms]                      [k] ghes_copy_tofrom_phys
     0.00%     0.00%  mariadbd         libstdc++.so.6.0.25                    [.] _ZNSt18condition_variable10notify_oneEv
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000d70241
     0.00%     0.00%  kworker/1:0      [kernel.kallsyms]                      [k] __wake_up_common
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000ca001a
     0.00%     0.00%  kworker/23:1     [kernel.kallsyms]                      [k] aio_complete_rw
     0.00%     0.00%  kworker/4:1H-kb  [kernel.kallsyms]                      [k] kthread
     0.00%     0.00%  kworker/4:1H-kb  [kernel.kallsyms]                      [k] ret_from_fork
     0.00%     0.00%  kworker/4:1H-kb  [kernel.kallsyms]                      [k] worker_thread
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000cd01d3
     0.00%     0.00%  kworker/19:2     [kernel.kallsyms]                      [k] aio_complete_rw
     0.00%     0.00%  kworker/24:1     [kernel.kallsyms]                      [k] process_one_work
     0.00%     0.00%  swapper          [kernel.kallsyms]                      [k] sg_next
     0.00%     0.00%  mariadbd         [kernel.kallsyms]                      [k] free_swap_slot
     0.00%     0.00%  mariadbd         mariadbd                               [.] _ZN11Query_arena10free_itemsEv
     0.00%     0.00%  kworker/9:6      [kernel.kallsyms]                      [k] try_to_wake_up
     0.00%     0.00%  kworker/9:6      [kernel.kallsyms]                      [k] __wake_up_common
     0.00%     0.00%  kworker/9:6      [kernel.kallsyms]                      [k] autoremove_wake_function
     0.00%     0.00%  kworker/21:3     [kernel.kallsyms]                      [k] __wake_up_common_lock
     0.00%     0.00%  kworker/0:0      [kernel.kallsyms]                      [k] __wake_up_common
     0.00%     0.00%  kworker/28:0     [kernel.kallsyms]                      [k] autoremove_wake_function
     0.00%     0.00%  swapper          [kernel.kallsyms]                      [k] rcu_irq_enter
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000d70d57
     0.00%     0.00%  kworker/12:1H-k  [kernel.kallsyms]                      [k] kthread
     0.00%     0.00%  kworker/12:1H-k  [kernel.kallsyms]                      [k] ret_from_fork
     0.00%     0.00%  kworker/12:1H-k  [kernel.kallsyms]                      [k] worker_thread
     0.00%     0.00%  kworker/8:0-dio  [kernel.kallsyms]                      [k] __wake_up_common
     0.00%     0.00%  tclsh8.6         [kernel.kallsyms]                      [k] nohz_balancer_kick
     0.00%     0.00%  kworker/16:3     [kernel.kallsyms]                      [k] schedule
     0.00%     0.00%  kworker/9:0      [kernel.kallsyms]                      [k] aio_complete_rw
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000cb4f17
     0.00%     0.00%  kworker/25:0-di  [kernel.kallsyms]                      [k] schedule
     0.00%     0.00%  kworker/21:1-di  [kernel.kallsyms]                      [k] autoremove_wake_function
     0.00%     0.00%  kworker/13:2     [kernel.kallsyms]                      [k] __wake_up_common_lock
     0.00%     0.00%  tclsh8.6         libmariadb.so.3                        [.] 0x00000000000252cc
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000768bd5
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000d78a54
     0.00%     0.00%  kworker/7:2-mm_  [kernel.kallsyms]                      [k] try_to_wake_up
     0.00%     0.00%  mariadbd         [kernel.kallsyms]                      [k] ext4_alloc_file_blocks.isra.0
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000ea8e32
     0.00%     0.00%  kworker/16:2     [kernel.kallsyms]                      [k] aio_complete_rw
     0.00%     0.00%  kworker/15:4     [kernel.kallsyms]                      [k] __wake_up_common_lock
     0.00%     0.00%  kworker/13:4-di  [kernel.kallsyms]                      [k] schedule
     0.00%     0.00%  kworker/7:2-mm_  [kernel.kallsyms]                      [k] __wake_up_common
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000d7061c
     0.00%     0.00%  kworker/27:2-rc  [kernel.kallsyms]                      [k] __schedule
     0.00%     0.00%  kworker/17:4     [kernel.kallsyms]                      [k] __wake_up_common
     0.00%     0.00%  kworker/4:0      [kernel.kallsyms]                      [k] __schedule
     0.00%     0.00%  kworker/15:1     [kernel.kallsyms]                      [k] worker_thread
     0.00%     0.00%  kworker/15:1     [kernel.kallsyms]                      [k] kthread
     0.00%     0.00%  kworker/15:1     [kernel.kallsyms]                      [k] ret_from_fork
     0.00%     0.00%  kworker/21:1     [kernel.kallsyms]                      [k] autoremove_wake_function
     0.00%     0.00%  kworker/8:0-dio  [kernel.kallsyms]                      [k] schedule
     0.00%     0.00%  kworker/1:3      [kernel.kallsyms]                      [k] autoremove_wake_function
     0.00%     0.00%  kworker/1:3      [kernel.kallsyms]                      [k] __wake_up_common
     0.00%     0.00%  kworker/27:2-rc  [kernel.kallsyms]                      [k] try_to_wake_up
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000d78a68
     0.00%     0.00%  kworker/17:5     [kernel.kallsyms]                      [k] try_to_wake_up
     0.00%     0.00%  kworker/16:2-di  [kernel.kallsyms]                      [k] __schedule
     0.00%     0.00%  kworker/16:2-di  [kernel.kallsyms]                      [k] schedule
     0.00%     0.00%  mariadbd         [kernel.kallsyms]                      [k] core_kernel_data
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000d79baf
     0.00%     0.00%  kworker/18:0     [kernel.kallsyms]                      [k] __wake_up_common_lock
     0.00%     0.00%  tclsh8.6         libmariadb.so.3                        [.] 0x0000000000017b5f
     0.00%     0.00%  tclsh8.6         libmariadb.so.3                        [.] 0x0000000000020da0
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000da1761
     0.00%     0.00%  kworker/2:0      [kernel.kallsyms]                      [k] try_to_wake_up
     0.00%     0.00%  kworker/2:0      [kernel.kallsyms]                      [k] autoremove_wake_function
     0.00%     0.00%  mariadbd         libstdc++.so.6.0.25                    [.] 0x000000000008cd24
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000d9bbf0
     0.00%     0.00%  kworker/24:3     [kernel.kallsyms]                      [k] aio_complete_rw
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000ccb1f0
     0.00%     0.00%  kworker/25:0-di  [kernel.kallsyms]                      [k] __schedule
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000d39f0f
     0.00%     0.00%  kworker/29:1-di  [kernel.kallsyms]                      [k] schedule
     0.00%     0.00%  kworker/9:3      [kernel.kallsyms]                      [k] __wake_up_common_lock
     0.00%     0.00%  mariadbd         [kernel.kallsyms]                      [k] bio_release_pages
     0.00%     0.00%  mariadbd         [kernel.kallsyms]                      [k] update_group_capacity
     0.00%     0.00%  kworker/14:2     [kernel.kallsyms]                      [k] schedule
     0.00%     0.00%  kworker/21:1     [kernel.kallsyms]                      [k] try_to_wake_up
     0.00%     0.00%  kswapd0          [kernel.kallsyms]                      [k] mem_cgroup_uncharge_list
     0.00%     0.00%  kworker/8:0-dio  [kernel.kallsyms]                      [k] __schedule
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000d91abb
     0.00%     0.00%  mariadbd         mariadbd                               [.] my_net_set_read_timeout
     0.00%     0.00%  kworker/25:2     [kernel.kallsyms]                      [k] try_to_wake_up
     0.00%     0.00%  kworker/25:2     [kernel.kallsyms]                      [k] autoremove_wake_function
     0.00%     0.00%  mariadbd         mariadbd                               [.] _Z15cleanup_ftfuncsP13st_select_lex
     0.00%     0.00%  kworker/7:2-mm_  [kernel.kallsyms]                      [k] autoremove_wake_function
     0.00%     0.00%  kworker/28:0     [kernel.kallsyms]                      [k] try_to_wake_up
     0.00%     0.00%  kworker/26:4     [kernel.kallsyms]                      [k] process_one_work
     0.00%     0.00%  mariadbd         mariadbd                               [.] pthread_mutex_unlock@plt
     0.00%     0.00%  kworker/10:4     [kernel.kallsyms]                      [k] try_to_wake_up
     0.00%     0.00%  mariadbd         mariadbd                               [.] _Z20quick_range_seq_nextPvP18st_key_multi_range
     0.00%     0.00%  kworker/7:1-dio  [kernel.kallsyms]                      [k] process_one_work
     0.00%     0.00%  kworker/6:1H-kb  [kernel.kallsyms]                      [k] kthread
     0.00%     0.00%  kworker/6:1H-kb  [kernel.kallsyms]                      [k] ret_from_fork
     0.00%     0.00%  kworker/6:1H-kb  [kernel.kallsyms]                      [k] worker_thread
     0.00%     0.00%  kworker/16:3     [kernel.kallsyms]                      [k] aio_complete_rw
     0.00%     0.00%  kworker/1:3      [kernel.kallsyms]                      [k] try_to_wake_up
     0.00%     0.00%  kworker/7:0      [kernel.kallsyms]                      [k] __wake_up_common
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000c9d9ff
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000d702cb
     0.00%     0.00%  kworker/26:1     [kernel.kallsyms]                      [k] __schedule
     0.00%     0.00%  mariadbd         mariadbd                               [.] _ZN13st_select_lex9lex_startEP3LEX
     0.00%     0.00%  kworker/30:3     [kernel.kallsyms]                      [k] schedule
     0.00%     0.00%  kworker/1:1-dio  [kernel.kallsyms]                      [k] process_one_work
