# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 12826461569391
#
# Children      Self  Command          Shared Object         Symbol                                             
# ........  ........  ...............  ....................  ...................................................
#
    25.78%     0.00%  swapper          [kernel.kallsyms]     [k] secondary_startup_64_no_verify
    25.78%     0.00%  swapper          [kernel.kallsyms]     [k] cpu_startup_entry
    25.78%     0.01%  swapper          [kernel.kallsyms]     [k] do_idle
    25.64%     0.00%  swapper          [kernel.kallsyms]     [k] cpuidle_enter
    25.64%     0.01%  swapper          [kernel.kallsyms]     [k] cpuidle_enter_state
    25.50%    24.94%  swapper          [kernel.kallsyms]     [k] mwait_idle_with_hints.constprop.0
    24.30%     0.00%  swapper          [kernel.kallsyms]     [k] start_secondary
    23.84%     0.13%  java             [kernel.kallsyms]     [k] asm_exc_page_fault
    22.88%     0.34%  java             [kernel.kallsyms]     [k] exc_page_fault
    20.22%     0.17%  java             [kernel.kallsyms]     [k] do_user_addr_fault
    14.26%     0.53%  java             [kernel.kallsyms]     [k] handle_mm_fault
    12.20%     3.35%  java             [kernel.kallsyms]     [k] __handle_mm_fault
     9.80%     0.12%  LocalJobRunner   [kernel.kallsyms]     [k] asm_exc_page_fault
     9.39%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     9.39%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] do_syscall_64
     8.70%     0.07%  LocalJobRunner   [kernel.kallsyms]     [k] exc_page_fault
     8.24%     0.17%  LocalJobRunner   [kernel.kallsyms]     [k] do_user_addr_fault
     7.76%     0.22%  LocalJobRunner   [kernel.kallsyms]     [k] handle_mm_fault
     7.47%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     7.47%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] do_syscall_64
     7.10%     0.88%  LocalJobRunner   [kernel.kallsyms]     [k] __handle_mm_fault
     7.08%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] __x64_sys_read
     7.08%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] ksys_read
     7.08%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] vfs_read
     7.08%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] new_sync_read
     7.08%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] ext4_file_read_iter
     7.08%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] generic_file_read_iter
     7.08%     0.03%  localfetcher#1   [kernel.kallsyms]     [k] filemap_read
     5.57%     0.09%  java             [kernel.kallsyms]     [k] migrate_misplaced_page
     4.88%     0.42%  java             [kernel.kallsyms]     [k] migrate_pages
     4.67%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] __x64_sys_write
     4.67%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ksys_write
     4.67%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] vfs_write
     4.67%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] new_sync_write
     4.67%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_file_write_iter
     4.67%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_buffered_write_iter
     4.66%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] generic_perform_write
     4.59%     4.56%  java             [kernel.kallsyms]     [k] down_read_trylock
     4.50%     4.46%  LocalJobRunner   [kernel.kallsyms]     [k] copy_user_enhanced_fast_string
     4.44%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] __x64_sys_read
     4.44%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ksys_read
     4.44%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] vfs_read
     4.44%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] new_sync_read
     4.44%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_file_read_iter
     4.44%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] generic_file_read_iter
     4.44%     0.10%  LocalJobRunner   [kernel.kallsyms]     [k] filemap_read
     3.92%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     3.92%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] do_syscall_64
     3.87%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] filemap_get_pages
     3.81%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] ondemand_readahead
     3.81%     0.03%  localfetcher#1   [kernel.kallsyms]     [k] page_cache_ra_unbounded
     3.76%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] page_cache_async_ra
     3.33%     0.11%  LocalJobRunner   [kernel.kallsyms]     [k] __alloc_pages
     3.24%     0.00%  InMemoryMerger   [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     3.24%     0.00%  InMemoryMerger   [kernel.kallsyms]     [k] do_syscall_64
     3.21%     0.00%  InMemoryMerger   [kernel.kallsyms]     [k] __x64_sys_write
     3.21%     0.00%  InMemoryMerger   [kernel.kallsyms]     [k] ksys_write
     3.21%     0.00%  InMemoryMerger   [kernel.kallsyms]     [k] vfs_write
     3.21%     0.00%  InMemoryMerger   [kernel.kallsyms]     [k] new_sync_write
     3.21%     0.00%  InMemoryMerger   [kernel.kallsyms]     [k] ext4_file_write_iter
     3.21%     0.00%  InMemoryMerger   [kernel.kallsyms]     [k] ext4_buffered_write_iter
     3.21%     0.01%  InMemoryMerger   [kernel.kallsyms]     [k] generic_perform_write
     3.20%     0.32%  LocalJobRunner   [kernel.kallsyms]     [k] get_page_from_freelist
     3.09%     1.20%  localfetcher#1   [kernel.kallsyms]     [k] copy_user_enhanced_fast_string
     3.07%     0.06%  localfetcher#1   [kernel.kallsyms]     [k] add_to_page_cache_lru
     3.05%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] asm_sysvec_apic_timer_interrupt
     3.04%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] sysvec_apic_timer_interrupt
     3.03%     0.02%  localfetcher#1   [kernel.kallsyms]     [k] asm_exc_page_fault
     2.99%     0.09%  LocalJobRunner   [kernel.kallsyms]     [k] exit_to_user_mode_prepare
     2.97%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] irqentry_exit
     2.96%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] irqentry_exit_to_user_mode
     2.86%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] task_work_run
     2.85%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] task_numa_work
     2.85%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] change_prot_numa
     2.55%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] new_sync_read
     2.55%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] __x64_sys_read
     2.55%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] ksys_read
     2.55%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] vfs_read
     2.55%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] ext4_file_read_iter
     2.55%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] generic_file_read_iter
     2.55%     0.01%  pool-4-thread-1  [kernel.kallsyms]     [k] filemap_read
     2.49%     0.05%  LocalJobRunner   [kernel.kallsyms]     [k] alloc_pages_vma
     2.47%     2.31%  LocalJobRunner   [kernel.kallsyms]     [k] change_protection
     2.43%     0.04%  pool-4-thread-1  [kernel.kallsyms]     [k] add_to_page_cache_lru
     2.42%     2.41%  LocalJobRunner   [kernel.kallsyms]     [k] clear_page_erms
     2.22%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] filemap_get_pages
     2.21%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] ondemand_readahead
     2.21%     0.02%  pool-4-thread-1  [kernel.kallsyms]     [k] page_cache_ra_unbounded
     2.21%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] page_cache_async_ra
     2.19%     2.18%  java             [kernel.kallsyms]     [k] up_read
     2.18%     0.02%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_da_write_begin
     2.16%     0.04%  localfetcher#1   [kernel.kallsyms]     [k] workingset_refault
     2.05%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] mem_cgroup_flush_stats
     2.05%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] cgroup_rstat_flush_irqsafe
     1.95%     0.01%  localfetcher#1   [kernel.kallsyms]     [k] exc_page_fault
     1.91%     0.02%  localfetcher#1   [kernel.kallsyms]     [k] do_user_addr_fault
     1.85%     0.02%  localfetcher#1   [kernel.kallsyms]     [k] handle_mm_fault
     1.82%     0.30%  localfetcher#1   [kernel.kallsyms]     [k] cgroup_rstat_flush_locked
     1.80%     0.20%  LocalJobRunner   [kernel.kallsyms]     [k] __mem_cgroup_charge
     1.69%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] grab_cache_page_write_begin
     1.69%     0.03%  LocalJobRunner   [kernel.kallsyms]     [k] pagecache_get_page
     1.63%     0.10%  localfetcher#1   [kernel.kallsyms]     [k] __handle_mm_fault
     1.59%     0.01%  pool-4-thread-1  [kernel.kallsyms]     [k] workingset_refault
     1.57%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] cgroup_rstat_flush_irqsafe
     1.56%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] mem_cgroup_flush_stats
     1.56%     0.01%  java             [kernel.kallsyms]     [k] move_to_new_page
     1.55%     0.01%  InMemoryMerger   [kernel.kallsyms]     [k] ext4_da_write_begin
     1.55%     0.00%  java             [kernel.kallsyms]     [k] migrate_page
     1.54%     0.05%  java             [kernel.kallsyms]     [k] __alloc_pages
     1.51%     0.00%  java             [kernel.kallsyms]     [k] rmap_walk
     1.49%     0.00%  swapper          [kernel.kallsyms]     [k] arch_call_rest_init
     1.49%     0.00%  swapper          [kernel.kallsyms]     [k] rest_init
     1.49%     0.00%  swapper          [kernel.kallsyms]     [k] start_kernel
     1.49%     0.00%  swapper          [kernel.kallsyms]     [k] x86_64_start_kernel
     1.49%     0.00%  swapper          [kernel.kallsyms]     [k] x86_64_start_reservations
     1.46%     1.45%  localfetcher#1   [kernel.kallsyms]     [k] mem_cgroup_css_rstat_flush
     1.38%     0.11%  java             [kernel.kallsyms]     [k] rmap_walk_anon
     1.35%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] __x64_sys_write
     1.35%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] ksys_write
     1.35%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] vfs_write
     1.35%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] ext4_buffered_write_iter
     1.35%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] ext4_file_write_iter
     1.35%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] new_sync_write
