# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 7669860942578
#
# Children      Self  Command          Shared Object         Symbol                                                        
# ........  ........  ...............  ....................  ..............................................................
#
     2.24%     0.12%  kswapd1          [kernel.kallsyms]     [k] shrink_page_list
     2.24%     0.01%  java             [kernel.kallsyms]     [k] rmap_walk
     2.24%     0.01%  java             [kernel.kallsyms]     [k] move_to_new_page
     2.23%     0.01%  java             [kernel.kallsyms]     [k] migrate_page
     2.13%     0.00%  java             [kernel.kallsyms]     [k] asm_sysvec_apic_timer_interrupt
     2.10%     0.01%  java             [kernel.kallsyms]     [k] sysvec_apic_timer_interrupt
     2.08%     0.13%  kswapd0          [kernel.kallsyms]     [k] shrink_page_list
     2.04%     0.27%  LocalJobRunner   [kernel.kallsyms]     [k] __mem_cgroup_charge
     2.03%     0.18%  java             [kernel.kallsyms]     [k] rmap_walk_anon
     1.98%     1.96%  java             [kernel.kallsyms]     [k] up_read
     1.95%     0.19%  java             [kernel.kallsyms]     [k] get_page_from_freelist
     1.87%     0.02%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_da_write_end
     1.87%     0.03%  java             [kernel.kallsyms]     [k] __x64_sys_sched_yield
     1.83%     0.06%  LocalJobRunner   [kernel.kallsyms]     [k] generic_write_end
     1.83%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] filemap_get_pages
     1.81%     0.02%  java             [kernel.kallsyms]     [k] do_swap_page
     1.79%     0.07%  java             [kernel.kallsyms]     [k] do_sched_yield
     1.72%     0.25%  java             [kernel.kallsyms]     [k] exit_to_user_mode_prepare
     1.62%     0.03%  java             [kernel.kallsyms]     [k] alloc_pages_vma
     1.60%     0.03%  java             [kernel.kallsyms]     [k] schedule
     1.56%     0.14%  LocalJobRunner   [kernel.kallsyms]     [k] lru_cache_add
     1.55%     0.98%  LocalJobRunner   [kernel.kallsyms]     [k] __add_to_page_cache_locked
     1.53%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ondemand_readahead
     1.52%     0.03%  LocalJobRunner   [kernel.kallsyms]     [k] page_cache_ra_unbounded
     1.51%     1.49%  java             [kernel.kallsyms]     [k] clear_page_erms
     1.49%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     1.49%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] do_syscall_64
     1.49%     0.32%  java             [kernel.kallsyms]     [k] __schedule
     1.46%     0.01%  java             [kernel.kallsyms]     [k] swapin_readahead
     1.46%     0.05%  LocalJobRunner   [kernel.kallsyms]     [k] migrate_misplaced_page
     1.46%     1.45%  java             [kernel.kallsyms]     [k] native_queued_spin_lock_slowpath
     1.45%     0.05%  LocalJobRunner   [kernel.kallsyms]     [k] __mark_inode_dirty
     1.43%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] __x64_sys_read
     1.43%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] ksys_read
     1.43%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] vfs_read
     1.43%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] new_sync_read
     1.43%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] ext4_file_read_iter
     1.43%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] generic_file_read_iter
     1.43%     0.02%  Sampler Reader   [kernel.kallsyms]     [k] filemap_read
     1.43%     0.24%  LocalJobRunner   [kernel.kallsyms]     [k] __pagevec_lru_add
     1.39%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_dirty_inode
     1.38%     0.03%  java             [kernel.kallsyms]     [k] irqentry_exit
     1.36%     0.00%  java             [kernel.kallsyms]     [k] try_to_migrate
     1.36%     0.58%  LocalJobRunner   [kernel.kallsyms]     [k] charge_memcg
     1.35%     0.02%  java             [kernel.kallsyms]     [k] irqentry_exit_to_user_mode
     1.32%     1.31%  java             [kernel.kallsyms]     [k] copy_page
     1.24%     0.93%  Sampler Reader   [kernel.kallsyms]     [k] copy_user_enhanced_fast_string
     1.21%     0.08%  java             [kernel.kallsyms]     [k] isolate_lru_page
     1.20%     0.14%  LocalJobRunner   [kernel.kallsyms]     [k] migrate_pages
     1.16%     0.02%  java             [kernel.kallsyms]     [k] asm_sysvec_call_function
     1.15%     0.01%  VM Thread        [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     1.13%     0.00%  VM Thread        [kernel.kallsyms]     [k] do_syscall_64
     1.11%     0.10%  java             [kernel.kallsyms]     [k] _raw_spin_lock_irq
     1.08%     1.07%  LocalJobRunner   [kernel.kallsyms]     [k] sync_regs
     1.05%     0.02%  java             [kernel.kallsyms]     [k] __sysvec_apic_timer_interrupt
     1.04%     0.23%  java             [kernel.kallsyms]     [k] try_to_migrate_one
     1.03%     0.03%  java             [kernel.kallsyms]     [k] hrtimer_interrupt
