# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 7669860942578
#
# Children      Self  Command          Shared Object         Symbol                                                        
# ........  ........  ...............  ....................  ..............................................................
#
     0.01%     0.00%  kworker/u98:2-e  [kernel.kallsyms]     [k] blk_mq_sched_insert_requests
     0.01%     0.00%  kswapd1          [kernel.kallsyms]     [k] memset_erms
     0.01%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] rwsem_down_read_slowpath
     0.01%     0.01%  C2 CompilerThre  [kernel.kallsyms]     [k] vm_normal_page
     0.01%     0.00%  kcompactd0       [kernel.kallsyms]     [k] isolate_migratepages_block
     0.01%     0.00%  kworker/u96:0-e  [kernel.kallsyms]     [k] __mod_memcg_lruvec_state
     0.01%     0.01%  C2 CompilerThre  [kernel.kallsyms]     [k] page_counter_charge
     0.01%     0.01%  VM Thread        [kernel.kallsyms]     [k] clear_buddies
     0.01%     0.00%  kswapd0          [kernel.kallsyms]     [k] free_pcp_prepare
     0.01%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] read_tsc
     0.01%     0.00%  kworker/u97:12-  [kernel.kallsyms]     [k] cgroup_rstat_flush_irqsafe
     0.01%     0.00%  java             [kernel.kallsyms]     [k] ksys_mmap_pgoff
     0.01%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] error_entry
     0.01%     0.00%  swapper          [kernel.kallsyms]     [k] nohz_run_idle_balance
     0.01%     0.00%  kswapd0          [kernel.kallsyms]     [k] inc_node_page_state
     0.01%     0.00%  java             [kernel.kallsyms]     [k] migration_entry_wait
     0.01%     0.00%  java             [kernel.kallsyms]     [k] io_schedule_timeout
     0.01%     0.00%  kswapd0          [kernel.kallsyms]     [k] irq_exit_rcu
     0.01%     0.00%  kswapd0          [kernel.kallsyms]     [k] __sysvec_apic_timer_interrupt
     0.01%     0.00%  kswapd0          [kernel.kallsyms]     [k] hrtimer_interrupt
     0.01%     0.00%  kworker/u98:2-e  [kernel.kallsyms]     [k] __mod_lruvec_page_state
     0.01%     0.00%  java             [kernel.kallsyms]     [k] vm_mmap_pgoff
     0.01%     0.01%  swapper          [kernel.kallsyms]     [k] nr_iowait_cpu
     0.01%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] anon_vma_interval_tree_iter_first
     0.01%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] bio_add_page
     0.01%     0.00%  kswapd1          [kernel.kallsyms]     [k] __count_memcg_events
     0.01%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] account_system_index_time
     0.01%     0.01%  java             [kernel.kallsyms]     [k] __blk_queue_split
     0.01%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] __mod_lruvec_page_state
     0.01%     0.00%  kworker/u97:13-  [kernel.kallsyms]     [k] blk_mq_end_request
     0.01%     0.00%  kworker/u97:13-  [kernel.kallsyms]     [k] nvme_complete_rq
     0.01%     0.01%  java             [kernel.kallsyms]     [k] nohz_balance_exit_idle
     0.01%     0.00%  kswapd0          [kernel.kallsyms]     [k] __swap_duplicate
     0.01%     0.00%  VM Thread        [kernel.kallsyms]     [k] wake_up_q
     0.01%     0.00%  kworker/u97:13-  [kernel.kallsyms]     [k] __pagevec_release
     0.01%     0.00%  kworker/u97:12-  [kernel.kallsyms]     [k] nvme_process_cq
     0.01%     0.00%  kworker/u97:12-  [kernel.kallsyms]     [k] __common_interrupt
     0.01%     0.00%  kworker/u97:12-  [kernel.kallsyms]     [k] __handle_irq_event_percpu
     0.01%     0.00%  kworker/u97:12-  [kernel.kallsyms]     [k] handle_edge_irq
     0.01%     0.00%  kworker/u97:12-  [kernel.kallsyms]     [k] handle_irq_event
     0.01%     0.00%  kworker/u97:12-  [kernel.kallsyms]     [k] nvme_irq
     0.01%     0.00%  SpillThread      [kernel.kallsyms]     [k] ksys_mmap_pgoff
     0.01%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] mempool_kmalloc
     0.01%     0.00%  kworker/u97:13-  [kernel.kallsyms]     [k] release_pages
     0.01%     0.00%  kswapd1          [kernel.kallsyms]     [k] discard_slab
     0.01%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] rwsem_wake.isra.0
     0.01%     0.00%  SpillThread      [kernel.kallsyms]     [k] __x64_sys_mmap
     0.01%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_lookup
     0.01%     0.00%  kworker/u97:12-  [kernel.kallsyms]     [k] ext4_ext_map_blocks
     0.01%     0.00%  java             [kernel.kallsyms]     [k] schedule_timeout
     0.01%     0.00%  kswapd0          [kernel.kallsyms]     [k] put_cpu_partial
     0.01%     0.00%  kswapd0          [kernel.kallsyms]     [k] __softirqentry_text_start
     0.01%     0.00%  kswapd1          [kernel.kallsyms]     [k] kthread_blkcg
     0.01%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] free_swap_slot
     0.01%     0.00%  java             [kernel.kallsyms]     [k] page_not_mapped
     0.01%     0.01%  kswapd1          [kernel.kallsyms]     [k] offset_to_swap_extent
     0.01%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] free_unref_page_list
     0.01%     0.00%  SpillThread      [kernel.kallsyms]     [k] vm_mmap_pgoff
     0.01%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] migrate_page_move_mapping
     0.01%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] __blk_mq_alloc_request
     0.01%     0.00%  kworker/u98:2-e  [kernel.kallsyms]     [k] blk_mq_try_issue_list_directly
     0.01%     0.00%  perf             [kernel.kallsyms]     [k] _raw_spin_lock_irqsave
     0.01%     0.01%  kswapd0          [kernel.kallsyms]     [k] up_read
     0.01%     0.00%  java             [kernel.kallsyms]     [k] migrate_task_rq_fair
     0.01%     0.00%  kcompactd1       [kernel.kallsyms]     [k] putback_lru_page
     0.01%     0.01%  java             [kernel.kallsyms]     [k] __frontswap_load
     0.01%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] irq_work_tick
     0.01%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] mod_lruvec_state
     0.01%     0.00%  C2 CompilerThre  [kernel.kallsyms]     [k] dequeue_task
     0.01%     0.00%  communication t  [kernel.kallsyms]     [k] __x64_sys_futex
     0.01%     0.00%  swapper          [kernel.kallsyms]     [k] tick_nohz_idle_enter
     0.01%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] __x64_sys_munmap
     0.01%     0.00%  SpillThread      [kernel.kallsyms]     [k] get_page_from_freelist
     0.01%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] run_posix_cpu_timers
     0.01%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] account_system_time
     0.01%     0.01%  kswapd1          [kernel.kallsyms]     [k] inc_zone_page_state
     0.01%     0.00%  java             [kernel.kallsyms]     [k] __remove_mapping
     0.01%     0.00%  perf             [kernel.kallsyms]     [k] __add_to_page_cache_locked
     0.01%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] __vm_munmap
     0.01%     0.00%  kswapd1          [kernel.kallsyms]     [k] obj_cgroup_uncharge
     0.01%     0.00%  kworker/u98:0-e  [kernel.kallsyms]     [k] __pagevec_release
     0.01%     0.00%  C2 CompilerThre  [kernel.kallsyms]     [k] __mod_lruvec_page_state
     0.01%     0.00%  kswapd1          [kernel.kallsyms]     [k] rcu_all_qs
     0.01%     0.01%  java             [kernel.kallsyms]     [k] rcu_segcblist_ready_cbs
     0.01%     0.00%  kworker/u98:0-e  [kernel.kallsyms]     [k] __mod_memcg_lruvec_state
     0.01%     0.01%  C2 CompilerThre  [kernel.kallsyms]     [k] __restore_fpregs_from_fpstate
     0.01%     0.00%  kworker/u97:12-  [kernel.kallsyms]     [k] cgroup_rstat_flush_locked
     0.01%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] irqentry_exit
     0.01%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] call_timer_fn
     0.01%     0.00%  VM Thread        [kernel.kallsyms]     [k] reuse_swap_page
     0.01%     0.00%  swapper          [kernel.kallsyms]     [k] wake_page_function
     0.01%     0.00%  kcompactd0       [kernel.kallsyms]     [k] mem_cgroup_migrate
     0.01%     0.00%  systemd-udevd    [kernel.kallsyms]     [k] tlb_finish_mmu
     0.01%     0.00%  java             [kernel.kallsyms]     [k] blk_mq_start_request
     0.01%     0.00%  swapper          [kernel.kallsyms]     [k] wake_up_state
     0.01%     0.00%  kworker/u98:0-e  [kernel.kallsyms]     [k] release_pages
     0.01%     0.00%  kswapd0          [kernel.kallsyms]     [k] __hrtimer_run_queues
     0.01%     0.00%  kworker/u98:0-e  [kernel.kallsyms]     [k] __handle_irq_event_percpu
     0.01%     0.00%  kworker/u98:0-e  [kernel.kallsyms]     [k] handle_irq_event
     0.01%     0.00%  kworker/u98:0-e  [kernel.kallsyms]     [k] nvme_irq
     0.01%     0.00%  kworker/u98:0-e  [kernel.kallsyms]     [k] nvme_pci_complete_rq
     0.01%     0.00%  kworker/u98:0-e  [kernel.kallsyms]     [k] nvme_process_cq
     0.01%     0.00%  java             [kernel.kallsyms]     [k] sched_clock
     0.01%     0.00%  C2 CompilerThre  [kernel.kallsyms]     [k] lru_add_drain
     0.01%     0.00%  C1 CompilerThre  [kernel.kallsyms]     [k] ttwu_do_activate
     0.01%     0.00%  perf             [kernel.kallsyms]     [k] balance_dirty_pages_ratelimited
     0.01%     0.00%  VM Periodic Tas  [kernel.kallsyms]     [k] migrate_pages
     0.01%     0.01%  java             [kernel.kallsyms]     [k] copy_user_enhanced_fast_string
     0.01%     0.00%  kworker/u98:2-e  [kernel.kallsyms]     [k] nvme_queue_rq
     0.01%     0.00%  kworker/u98:2-e  [kernel.kallsyms]     [k] __blk_mq_try_issue_directly
     0.01%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] __swap_entry_free
     0.01%     0.00%  kswapd1          [kernel.kallsyms]     [k] page_mapped
     0.01%     0.00%  kswapd0          [kernel.kallsyms]     [k] send_call_function_single_ipi
     0.01%     0.00%  kworker/u97:12-  [kernel.kallsyms]     [k] flush_memcg_stats_dwork
     0.01%     0.00%  kworker/u98:0-e  [kernel.kallsyms]     [k] ext4_mb_new_blocks
     0.01%     0.00%  C2 CompilerThre  [kernel.kallsyms]     [k] generic_smp_call_function_single_interrupt
     0.01%     0.00%  C2 CompilerThre  [kernel.kallsyms]     [k] lru_add_drain_cpu
     0.01%     0.01%  Sampler Reader   [kernel.kallsyms]     [k] page_counter_try_charge
     0.01%     0.00%  systemd-udevd    [kernel.kallsyms]     [k] release_pages
     0.01%     0.00%  systemd-udevd    [kernel.kallsyms]     [k] free_pages_and_swap_cache
     0.01%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] set_task_cpu
     0.01%     0.00%  kswapd0          [kernel.kallsyms]     [k] page_counter_cancel
     0.01%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] end_page_writeback
     0.01%     0.00%  C2 CompilerThre  [kernel.kallsyms]     [k] lru_gen_add_page
     0.01%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] lru_gen_add_page
     0.01%     0.01%  kswapd0          [kernel.kallsyms]     [k] cgroup_e_css
     0.01%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] __lock_page_or_retry
     0.01%     0.00%  kswapd0          [kernel.kallsyms]     [k] rcu_core
     0.01%     0.00%  kswapd0          [kernel.kallsyms]     [k] rcu_core_si
     0.01%     0.00%  kworker/u97:13-  [kernel.kallsyms]     [k] ext4_map_blocks
     0.01%     0.00%  systemd-udevd    [kernel.kallsyms]     [k] path_lookupat
     0.01%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] dequeue_task_fair
     0.01%     0.01%  java             libc.so.6             [.] 0x00000000001b29ab
     0.01%     0.00%  java             [kernel.kallsyms]     [k] page_anon_vma
     0.01%     0.00%  kswapd0          [kernel.kallsyms]     [k] put_swap_page
     0.01%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] __mod_memcg_state.part.0
     0.01%     0.00%  systemd-udevd    [kernel.kallsyms]     [k] do_sys_openat2
     0.01%     0.00%  kswapd1          [kernel.kallsyms]     [k] __free_slab
     0.01%     0.00%  kswapd0          [kernel.kallsyms]     [k] __blk_rq_map_sg
     0.01%     0.00%  java             [kernel.kallsyms]     [k] idr_find
     0.01%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] wake_all_kswapds
     0.01%     0.00%  kswapd1          [kernel.kallsyms]     [k] bio_associate_blkg_from_css
     0.01%     0.00%  kcompactd1       [kernel.kallsyms]     [k] remove_migration_pte
     0.01%     0.00%  kworker/u97:13-  [kernel.kallsyms]     [k] ext4_ext_map_blocks
     0.01%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] irqentry_exit_to_user_mode
     0.01%     0.00%  kcompactd1       [kernel.kallsyms]     [k] lru_cache_add
     0.01%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] submit_bio_checks
     0.01%     0.00%  java             [kernel.kallsyms]     [k] futex_wait_setup
     0.00%     0.00%  C2 CompilerThre  [kernel.kallsyms]     [k] irq_exit_rcu
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] __x64_sys_access
     0.00%     0.00%  C2 CompilerThre  [kernel.kallsyms]     [k] update_curr
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] zone_watermark_ok
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] do_faccessat
     0.00%     0.00%  java             [kernel.kallsyms]     [k] __migration_entry_wait
     0.00%     0.00%  kworker/u97:11-  [kernel.kallsyms]     [k] release_pages
     0.00%     0.00%  kworker/u97:11-  [kernel.kallsyms]     [k] __pagevec_release
     0.00%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] unmap_vmas
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] __mem_cgroup_uncharge_list
     0.00%     0.00%  kworker/u97:13-  [kernel.kallsyms]     [k] mempool_alloc
     0.00%     0.00%  java             libjvm.so             [.] 0x00000000009eccf9
     0.00%     0.00%  VM Thread        [kernel.kallsyms]     [k] __blk_mq_try_issue_directly
     0.00%     0.00%  java             [kernel.kallsyms]     [k] radix_tree_lookup
     0.00%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] futex_wake
     0.00%     0.00%  kworker/u96:0-e  [kernel.kallsyms]     [k] ext4_convert_unwritten_io_end_vec
     0.00%     0.00%  kswapd0          [kernel.kallsyms]     [k] tick_sched_timer
     0.00%     0.00%  swapper          [kernel.kallsyms]     [k] native_sched_clock
     0.00%     0.00%  kswapd1          [kernel.kallsyms]     [k] __sysvec_apic_timer_interrupt
     0.00%     0.00%  VM Thread        [kernel.kallsyms]     [k] pud_val
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] sched_ttwu_pending
     0.00%     0.00%  C2 CompilerThre  [kernel.kallsyms]     [k] dequeue_task_fair
     0.00%     0.00%  kworker/u96:1-e  [kernel.kallsyms]     [k] ext4_convert_unwritten_extents
     0.00%     0.00%  kworker/u98:0-e  [kernel.kallsyms]     [k] ext4_mb_regular_allocator
     0.00%     0.00%  VM Thread        [kernel.kallsyms]     [k] tlb_finish_mmu
     0.00%     0.00%  C1 CompilerThre  [kernel.kallsyms]     [k] enqueue_task
     0.00%     0.00%  java             [kernel.kallsyms]     [k] pfn_pte
     0.00%     0.00%  java             [kernel.kallsyms]     [k] __swap_writepage
     0.00%     0.00%  VM Thread        [kernel.kallsyms]     [k] __tlb_remove_page_size
     0.00%     0.00%  swapper          [kernel.kallsyms]     [k] tick_sched_timer
     0.00%     0.00%  communication t  [kernel.kallsyms]     [k] __x64_sys_exit
     0.00%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] __mod_memcg_lruvec_state
     0.00%     0.00%  swapper          [kernel.kallsyms]     [k] tick_sched_handle
     0.00%     0.00%  kswapd1          [kernel.kallsyms]     [k] __unfreeze_partials
     0.00%     0.00%  kswapd1          [kernel.kallsyms]     [k] put_cpu_partial
     0.00%     0.00%  kworker/u98:0-e  [kernel.kallsyms]     [k] __mod_memcg_state.part.0
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] activate_task
     0.00%     0.00%  kswapd0          [kernel.kallsyms]     [k] kthread_blkcg
     0.00%     0.00%  C2 CompilerThre  [kernel.kallsyms]     [k] asm_sysvec_call_function
     0.00%     0.00%  C2 CompilerThre  [kernel.kallsyms]     [k] __mem_cgroup_uncharge
     0.00%     0.00%  C2 CompilerThre  [kernel.kallsyms]     [k] lock_page_lruvec_irq
     0.00%     0.00%  C2 CompilerThre  [kernel.kallsyms]     [k] enqueue_entity
     0.00%     0.00%  SpillThread      [kernel.kallsyms]     [k] do_mmap
     0.00%     0.00%  VM Thread        [kernel.kallsyms]     [k] blk_mq_submit_bio
     0.00%     0.00%  kswapd0          [kernel.kallsyms]     [k] xas_start
     0.00%     0.00%  kswapd0          [kernel.kallsyms]     [k] inc_zone_page_state
     0.00%     0.00%  kswapd1          [kernel.kallsyms]     [k] find_lock_entries
     0.00%     0.00%  C2 CompilerThre  [kernel.kallsyms]     [k] swap_readpage
     0.00%     0.00%  kswapd0          [kernel.kallsyms]     [k] memset_erms
     0.00%     0.00%  java             libjvm.so             [.] 0x000000000096dde9
     0.00%     0.00%  swapper          [kernel.kallsyms]     [k] hrtimer_next_event_without
     0.00%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] ttwu_do_activate
     0.00%     0.00%  kcompactd1       [kernel.kallsyms]     [k] page_vma_mapped_walk
     0.00%     0.00%  java             [kernel.kallsyms]     [k] rotate_reclaimable_page
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] lock_page_memcg
     0.00%     0.00%  kswapd0          [kernel.kallsyms]     [k] unlock_page_memcg
     0.00%     0.00%  kworker/u96:1-e  [kernel.kallsyms]     [k] inc_node_page_state
     0.00%     0.00%  C2 CompilerThre  [kernel.kallsyms]     [k] remove_migration_pte
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] __bitmap_and
     0.00%     0.00%  kworker/u96:1-e  [kernel.kallsyms]     [k] ext4_map_blocks
     0.00%     0.00%  kworker/u97:12-  [kernel.kallsyms]     [k] bio_add_page
     0.00%     0.00%  VM Periodic Tas  [kernel.kallsyms]     [k] dequeue_entity
     0.00%     0.00%  C1 CompilerThre  [kernel.kallsyms]     [k] syscall_exit_to_user_mode
     0.00%     0.00%  VM Thread        [kernel.kallsyms]     [k] arch_local_irq_enable
     0.00%     0.00%  swapper          [kernel.kallsyms]     [k] rcu_idle_exit
     0.00%     0.00%  kworker/u97:12-  [kernel.kallsyms]     [k] nvme_pci_complete_rq
     0.00%     0.00%  kworker/0:1-eve  [kernel.kallsyms]     [k] i40e_service_task
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] kfree
     0.00%     0.00%  VM Thread        [kernel.kallsyms]     [k] blk_finish_plug
     0.00%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] task_tick_fair
     0.00%     0.00%  VM Thread        [kernel.kallsyms]     [k] putback_lru_page
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] __rq_qos_track
     0.00%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] enqueue_task
     0.00%     0.00%  C2 CompilerThre  [kernel.kallsyms]     [k] try_charge_memcg
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] blk_mq_free_request
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] do_wp_page
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] set_pte
     0.00%     0.00%  kworker/u98:0-e  [kernel.kallsyms]     [k] xas_find
     0.00%     0.00%  VM Thread        [kernel.kallsyms]     [k] io_schedule
     0.00%     0.00%  swapper          [kernel.kallsyms]     [k] update_process_times
     0.00%     0.00%  kworker/u97:13-  [kernel.kallsyms]     [k] blk_update_request
     0.00%     0.00%  java             [kernel.kallsyms]     [k] wbt_track
     0.00%     0.00%  perf             [kernel.kallsyms]     [k] get_page_from_freelist
     0.00%     0.00%  VM Periodic Tas  [kernel.kallsyms]     [k] release_pages
     0.00%     0.00%  VM Periodic Tas  [kernel.kallsyms]     [k] free_pages_and_swap_cache
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] wbt_track
     0.00%     0.00%  kworker/u98:0-e  [kernel.kallsyms]     [k] xas_find_marked
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]     [k] page_counter_charge
     0.00%     0.00%  kworker/u97:12-  [kernel.kallsyms]     [k] mem_cgroup_css_rstat_flush
     0.00%     0.00%  kworker/u97:11-  [kernel.kallsyms]     [k] asm_common_interrupt
     0.00%     0.00%  kworker/u97:11-  [kernel.kallsyms]     [k] common_interrupt
     0.00%     0.00%  VM Thread        [kernel.kallsyms]     [k] blk_flush_plug_list
     0.00%     0.00%  C2 CompilerThre  [kernel.kallsyms]     [k] find_vma
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] __get_user_nocheck_4
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] __memcg_kmem_charge_page
     0.00%     0.00%  kworker/u97:11-  [kernel.kallsyms]     [k] __common_interrupt
     0.00%     0.00%  kworker/u97:11-  [kernel.kallsyms]     [k] handle_edge_irq
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] set_page_dirty
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]     [k] free_unref_page
     0.00%     0.00%  swapper          [kernel.kallsyms]     [k] quiet_vmstat
     0.00%     0.00%  VM Periodic Tas  [kernel.kallsyms]     [k] tlb_finish_mmu
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] add_mm_counter_fast
     0.00%     0.00%  java             [kernel.kallsyms]     [k] swap_page_sector
     0.00%     0.00%  java             [kernel.kallsyms]     [k] hrtimer_update_next_event
     0.00%     0.00%  kswapd1          [kernel.kallsyms]     [k] __hrtimer_run_queues
     0.00%     0.00%  kswapd1          [kernel.kallsyms]     [k] hrtimer_interrupt
     0.00%     0.00%  kswapd1          [kernel.kallsyms]     [k] tick_sched_handle
     0.00%     0.00%  kswapd1          [kernel.kallsyms]     [k] tick_sched_timer
     0.00%     0.00%  swapper          [kernel.kallsyms]     [k] native_irq_return_iret
     0.00%     0.00%  java             [kernel.kallsyms]     [k] pagevec_lru_move_fn
     0.00%     0.00%  kworker/u97:12-  [kernel.kallsyms]     [k] unlock_page
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]     [k] native_queued_spin_lock_slowpath
     0.00%     0.00%  communication t  [kernel.kallsyms]     [k] __alloc_pages
     0.00%     0.00%  LocalDistribute  [kernel.kallsyms]     [k] do_syscall_64
     0.00%     0.00%  LocalDistribute  [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     0.00%     0.00%  kswapd1          [kernel.kallsyms]     [k] refill_obj_stock
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]     [k] lru_cache_add
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]     [k] putback_lru_page
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] dma_pool_free
     0.00%     0.00%  VM Thread        [kernel.kallsyms]     [k] blk_mq_flush_plug_list
     0.00%     0.00%  kswapd1          [kernel.kallsyms]     [k] bio_advance
     0.00%     0.00%  kworker/u96:1-e  [kernel.kallsyms]     [k] lock_page_memcg
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] swapcache_free_entries
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] sync_mm_rss
     0.00%     0.00%  kswapd1          [kernel.kallsyms]     [k] lock_page_memcg
     0.00%     0.00%  VM Thread        [kernel.kallsyms]     [k] __mem_cgroup_uncharge_swap
     0.00%     0.00%  C2 CompilerThre  [kernel.kallsyms]     [k] lock_page_lruvec_irqsave
     0.00%     0.00%  kworker/u97:12-  [kernel.kallsyms]     [k] memset_erms
     0.00%     0.00%  kcompactd1       [kernel.kallsyms]     [k] __mem_cgroup_uncharge
     0.00%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] rcu_read_unlock_strict
     0.00%     0.00%  VM Thread        [kernel.kallsyms]     [k] kernel_init_free_pages.part.0
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]     [k] user_path_at_empty
     0.00%     0.00%  C2 CompilerThre  [kernel.kallsyms]     [k] down_read_trylock
     0.00%     0.00%  java             [kernel.kallsyms]     [k] x86_pmu_disable
     0.00%     0.00%  kswapd0          [kernel.kallsyms]     [k] update_process_times
     0.00%     0.00%  kswapd0          [kernel.kallsyms]     [k] get_swap_device
     0.00%     0.00%  kswapd0          [kernel.kallsyms]     [k] clear_page_dirty_for_io
     0.00%     0.00%  java             [kernel.kallsyms]     [k] nvme_setup_cmd
     0.00%     0.00%  kswapd0          [kernel.kallsyms]     [k] list_lru_count_one
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]     [k] do_filp_open
     0.00%     0.00%  kswapd0          [kernel.kallsyms]     [k] bio_associate_blkg_from_css
     0.00%     0.00%  perf             [kernel.kallsyms]     [k] __ext4_mark_inode_dirty
     0.00%     0.00%  VM Thread        [kernel.kallsyms]     [k] nvme_queue_rq
     0.00%     0.00%  jbd2/nvme0n1p3-  [kernel.kallsyms]     [k] crypto_shash_update
     0.00%     0.00%  kswapd1          [kernel.kallsyms]     [k] blk_try_enter_queue
     0.00%     0.00%  kworker/u98:0-e  [kernel.kallsyms]     [k] ext4_mb_find_by_goal
     0.00%     0.00%  java             [kernel.kallsyms]     [k] offset_to_swap_extent
     0.00%     0.00%  kworker/u96:0-e  [kernel.kallsyms]     [k] xas_start
     0.00%     0.00%  kswapd1          [kernel.kallsyms]     [k] bio_will_gap.part.0
     0.00%     0.00%  C2 CompilerThre  [kernel.kallsyms]     [k] __softirqentry_text_start
     0.00%     0.00%  kworker/0:1-eve  [kernel.kallsyms]     [k] acpi_ns_lookup
     0.00%     0.00%  VM Thread        [kernel.kallsyms]     [k] add_to_swap_cache
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] lookup_swap_cache
     0.00%     0.00%  kworker/u97:12-  [kernel.kallsyms]     [k] __mod_memcg_state.part.0
     0.00%     0.00%  java             libc.so.6             [.] 0x00000000001b2954
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] put_prev_task_fair
     0.00%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] asm_sysvec_call_function_single
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] dma_pool_alloc
     0.00%     0.00%  kswapd0          [kernel.kallsyms]     [k] __unfreeze_partials
     0.00%     0.00%  C2 CompilerThre  [kernel.kallsyms]     [k] perf_event_task_tick
     0.00%     0.00%  kcompactd1       [kernel.kallsyms]     [k] mem_cgroup_migrate
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] __ext4_find_entry
     0.00%     0.00%  kswapd1          [kernel.kallsyms]     [k] cgroup_e_css
     0.00%     0.00%  kworker/u97:13-  [kernel.kallsyms]     [k] bio_add_page
     0.00%     0.00%  kcompactd1       [kernel.kallsyms]     [k] free_unref_page
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] get_partial_node.part.0
     0.00%     0.00%  kswapd1          [kernel.kallsyms]     [k] __bitmap_andnot
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] obj_cgroup_charge_pages
     0.00%     0.00%  java             [kernel.kallsyms]     [k] unlock_page_memcg
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] native_send_call_func_single_ipi
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] __lookup_slow
     0.00%     0.00%  kworker/u98:0-e  [kernel.kallsyms]     [k] __mod_node_page_state
