# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 6099289334419
#
# Children      Self  Command          Shared Object             Symbol                                                                                                                                                                           
# ........  ........  ...............  ........................  .................................................................................................................................................................................
#
     2.05%     0.20%  mariadbd         [kernel.kallsyms]         [k] dequeue_entity
     2.05%     0.23%  mariadbd         [kernel.kallsyms]         [k] pick_next_task_fair
     2.02%     0.06%  swapper          [kernel.kallsyms]         [k] schedule_idle
     2.01%     0.00%  tclsh8.6         [kernel.kallsyms]         [k] __x64_sys_sendto
     2.01%     0.01%  tclsh8.6         [kernel.kallsyms]         [k] __sys_sendto
     1.99%     0.01%  mariadbd         [kernel.kallsyms]         [k] aio_write
     1.99%     0.01%  tclsh8.6         [kernel.kallsyms]         [k] sock_sendmsg
     1.97%     0.04%  tclsh8.6         [kernel.kallsyms]         [k] unix_stream_sendmsg
     1.97%     0.01%  mariadbd         [kernel.kallsyms]         [k] common_interrupt
     1.95%     0.35%  swapper          [kernel.kallsyms]         [k] __schedule
     1.95%     0.01%  mariadbd         [kernel.kallsyms]         [k] ext4_dio_write_iter
     1.92%     0.12%  mariadbd         [kernel.kallsyms]         [k] exit_to_user_mode_prepare
     1.84%     0.01%  mariadbd         [kernel.kallsyms]         [k] __common_interrupt
     1.82%     0.02%  mariadbd         [kernel.kallsyms]         [k] handle_edge_irq
     1.81%     0.09%  mariadbd         [kernel.kallsyms]         [k] asm_sysvec_call_function_single
     1.78%     0.01%  mariadbd         [kernel.kallsyms]         [k] handle_irq_event
     1.71%     0.02%  mariadbd         [kernel.kallsyms]         [k] __handle_irq_event_percpu
     1.69%     0.01%  mariadbd         [kernel.kallsyms]         [k] nvme_irq
     1.68%     0.10%  mariadbd         [kernel.kallsyms]         [k] nvme_process_cq
     1.68%     0.03%  mariadbd         [kernel.kallsyms]         [k] __alloc_pages
     1.65%     0.03%  mariadbd         [kernel.kallsyms]         [k] ext4_iomap_begin
     1.64%     0.01%  mariadbd         [kernel.kallsyms]         [k] swap_vma_readahead
     1.63%     0.01%  tclsh8.6         [kernel.kallsyms]         [k] __x64_sys_poll
     1.62%     0.69%  mariadbd         [kernel.kallsyms]         [k] update_curr
     1.62%     0.22%  swapper          [kernel.kallsyms]         [k] menu_select
     1.61%     0.17%  tclsh8.6         [kernel.kallsyms]         [k] do_sys_poll
     1.60%     0.38%  mariadbd         [kernel.kallsyms]         [k] enqueue_entity
     1.56%     0.11%  swapper          [kernel.kallsyms]         [k] sched_ttwu_pending
     1.52%     0.02%  mariadbd         [kernel.kallsyms]         [k] alloc_pages_vma
     1.51%     0.01%  mariadbd         [kernel.kallsyms]         [k] wp_page_copy
     1.51%     0.01%  mariadbd         [kernel.kallsyms]         [k] sysvec_call_function_single
     1.50%     1.46%  mariadbd         [kernel.kallsyms]         [k] native_queued_spin_lock_slowpath.part.0
     1.48%     0.17%  swapper          [kernel.kallsyms]         [k] asm_sysvec_call_function_single
     1.44%     0.33%  mariadbd         [kernel.kallsyms]         [k] syscall_exit_work
     1.43%     0.01%  mariadbd         [kernel.kallsyms]         [k] __wake_up_common_lock
     1.43%     0.10%  mariadbd         [kernel.kallsyms]         [k] __wake_up_common
     1.43%     0.07%  mariadbd         [kernel.kallsyms]         [k] sock_def_readable
     1.43%     0.39%  mariadbd         [kernel.kallsyms]         [k] select_idle_cpu
     1.42%     0.02%  mariadbd         [kernel.kallsyms]         [k] perf_event_task_tick
     1.42%     0.01%  mariadbd         [kernel.kallsyms]         [k] __sysvec_call_function_single
     1.41%     0.02%  mariadbd         [kernel.kallsyms]         [k] __x64_sys_poll
     1.40%     0.18%  mariadbd         [kernel.kallsyms]         [k] perf_adjust_freq_unthr_context
     1.38%     0.02%  tclsh8.6         [kernel.kallsyms]         [k] __x64_sys_recvfrom
     1.36%     0.02%  tclsh8.6         [kernel.kallsyms]         [k] __sys_recvfrom
     1.34%     0.12%  tclsh8.6         [kernel.kallsyms]         [k] do_poll.constprop.0
     1.33%     0.07%  mariadbd         [kernel.kallsyms]         [k] do_sys_poll
     1.30%     0.01%  swapper          [kernel.kallsyms]         [k] sysvec_call_function_single
     1.29%     0.07%  mariadbd         [kernel.kallsyms]         [k] sched_ttwu_pending
     1.27%     0.06%  mariadbd         [kernel.kallsyms]         [k] pollwake
     1.25%     0.00%  mariadbd         [kernel.kallsyms]         [k] __alloc_pages_slowpath.constprop.0
     1.25%     0.01%  swapper          [kernel.kallsyms]         [k] asm_sysvec_apic_timer_interrupt
     1.24%     0.02%  mariadbd         [kernel.kallsyms]         [k] blk_mq_end_request
     1.23%     0.00%  swapper          [kernel.kallsyms]         [k] sysvec_apic_timer_interrupt
     1.23%     0.00%  mariadbd         [kernel.kallsyms]         [k] try_to_free_pages
     1.23%     0.00%  mariadbd         [kernel.kallsyms]         [k] shrink_node
     1.23%     0.00%  mariadbd         [kernel.kallsyms]         [k] do_try_to_free_pages
     1.23%     0.00%  mariadbd         [kernel.kallsyms]         [k] shrink_zones
     1.23%     0.00%  mariadbd         [kernel.kallsyms]         [k] shrink_node_memcgs
