# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 419K of event 'cycles'
# Event count (approx.): 6673411000331
#
# Children      Self  Command          Shared Object       Symbol                                             
# ........  ........  ...............  ..................  ...................................................
#
    34.16%     0.00%  swapper          [kernel.kallsyms]   [k] secondary_startup_64_no_verify
    34.16%     0.00%  swapper          [kernel.kallsyms]   [k] cpu_startup_entry
    34.15%     0.02%  swapper          [kernel.kallsyms]   [k] do_idle
    33.90%     0.00%  swapper          [kernel.kallsyms]   [k] cpuidle_enter
    33.89%     0.01%  swapper          [kernel.kallsyms]   [k] cpuidle_enter_state
    33.51%    32.80%  swapper          [kernel.kallsyms]   [k] mwait_idle_with_hints.constprop.0
    32.33%     0.00%  swapper          [kernel.kallsyms]   [k] start_secondary
    17.46%     0.06%  java             [kernel.kallsyms]   [k] asm_exc_page_fault
    16.94%     0.28%  java             [kernel.kallsyms]   [k] exc_page_fault
    14.94%     0.11%  java             [kernel.kallsyms]   [k] do_user_addr_fault
    11.06%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] entry_SYSCALL_64_after_hwframe
    11.06%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] do_syscall_64
    10.51%     0.42%  java             [kernel.kallsyms]   [k] handle_mm_fault
    10.43%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] do_syscall_64
    10.43%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] entry_SYSCALL_64_after_hwframe
    10.25%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] __x64_sys_read
    10.25%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] ksys_read
    10.25%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] vfs_read
    10.25%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] new_sync_read
    10.25%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] ext4_file_read_iter
    10.25%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] generic_file_read_iter
    10.24%     0.08%  localfetcher#1   [kernel.kallsyms]   [k] filemap_read
     8.93%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] __x64_sys_write
     8.93%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] ksys_write
     8.93%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] vfs_write
     8.93%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] new_sync_write
     8.93%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] ext4_file_write_iter
     8.93%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] ext4_buffered_write_iter
     8.92%     0.03%  pool-4-thread-1  [kernel.kallsyms]   [k] generic_perform_write
     8.80%     2.73%  java             [kernel.kallsyms]   [k] __handle_mm_fault
     6.10%     0.02%  localfetcher#1   [kernel.kallsyms]   [k] asm_exc_page_fault
     6.05%     2.58%  localfetcher#1   [kernel.kallsyms]   [k] copy_user_enhanced_fast_string
     4.57%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] entry_SYSCALL_64_after_hwframe
     4.57%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] do_syscall_64
     4.51%     0.02%  pool-4-thread-1  [kernel.kallsyms]   [k] ext4_da_write_begin
     4.19%     0.02%  localfetcher#1   [kernel.kallsyms]   [k] exc_page_fault
     4.09%     0.04%  localfetcher#1   [kernel.kallsyms]   [k] do_user_addr_fault
     3.98%     0.04%  localfetcher#1   [kernel.kallsyms]   [k] handle_mm_fault
     3.90%     0.00%  kswapd0          [kernel.kallsyms]   [k] kthread
     3.90%     0.00%  kswapd0          [kernel.kallsyms]   [k] ret_from_fork
     3.90%     0.00%  kswapd0          [kernel.kallsyms]   [k] kswapd
     3.90%     0.00%  kswapd0          [kernel.kallsyms]   [k] balance_pgdat
     3.90%     0.00%  kswapd0          [kernel.kallsyms]   [k] shrink_node
     3.89%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] filemap_get_pages
     3.76%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] ondemand_readahead
     3.75%     0.05%  localfetcher#1   [kernel.kallsyms]   [k] page_cache_ra_unbounded
     3.72%     0.17%  localfetcher#1   [kernel.kallsyms]   [k] __handle_mm_fault
     3.67%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] page_cache_async_ra
     3.58%     0.07%  pool-4-thread-1  [kernel.kallsyms]   [k] pagecache_get_page
     3.57%     0.01%  pool-4-thread-1  [kernel.kallsyms]   [k] grab_cache_page_write_begin
     3.54%     0.19%  pool-4-thread-1  [kernel.kallsyms]   [k] add_to_page_cache_lru
     3.51%     0.01%  kswapd0          [kernel.kallsyms]   [k] shrink_lruvec
     3.38%     3.35%  java             [kernel.kallsyms]   [k] down_read_trylock
     3.21%     0.00%  kswapd1          [kernel.kallsyms]   [k] kswapd
     3.21%     0.00%  kswapd1          [kernel.kallsyms]   [k] kthread
     3.21%     0.00%  kswapd1          [kernel.kallsyms]   [k] ret_from_fork
     3.21%     0.00%  kswapd1          [kernel.kallsyms]   [k] balance_pgdat
     3.21%     0.00%  kswapd1          [kernel.kallsyms]   [k] shrink_node
     3.04%     0.02%  kswapd1          [kernel.kallsyms]   [k] shrink_lruvec
     2.98%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] __x64_sys_read
     2.98%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] ksys_read
     2.98%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] vfs_read
     2.98%     0.01%  LocalJobRunner   [kernel.kallsyms]   [k] filemap_read
     2.98%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] ext4_file_read_iter
     2.98%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] generic_file_read_iter
     2.98%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] new_sync_read
     2.97%     0.07%  localfetcher#1   [kernel.kallsyms]   [k] __alloc_pages
     2.88%     0.02%  java             [kernel.kallsyms]   [k] do_swap_page
     2.85%     0.02%  pool-4-thread-1  [kernel.kallsyms]   [k] asm_exc_page_fault
     2.76%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] cgroup_rstat_flush_irqsafe
     2.66%     0.01%  pool-4-thread-1  [kernel.kallsyms]   [k] exc_page_fault
     2.60%     0.03%  pool-4-thread-1  [kernel.kallsyms]   [k] do_user_addr_fault
     2.55%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] filemap_get_pages
