# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 716K of event 'cycles'
# Event count (approx.): 10058435022841
#
# Children      Self  Command          Shared Object             Symbol                                             
# ........  ........  ...............  ........................  ...................................................
#
     3.25%     0.00%  kswapd1          [kernel.kallsyms]         [k] kthread
     3.25%     0.00%  kswapd1          [kernel.kallsyms]         [k] ret_from_fork
     3.25%     0.00%  kswapd1          [kernel.kallsyms]         [k] balance_pgdat
     3.25%     0.00%  kswapd1          [kernel.kallsyms]         [k] shrink_node
     3.20%     0.00%  pool-4-thread-1  [kernel.kallsyms]         [k] cgroup_rstat_flush_irqsafe
     3.09%     0.03%  pool-4-thread-1  [kernel.kallsyms]         [k] workingset_refault
     3.06%     0.02%  kswapd1          [kernel.kallsyms]         [k] shrink_lruvec
     2.98%     0.00%  pool-4-thread-1  [kernel.kallsyms]         [k] mem_cgroup_flush_stats
     2.91%     0.00%  kswapd0          [kernel.kallsyms]         [k] kthread
     2.91%     0.00%  kswapd0          [kernel.kallsyms]         [k] ret_from_fork
     2.91%     0.00%  kswapd0          [kernel.kallsyms]         [k] kswapd
     2.91%     0.00%  kswapd0          [kernel.kallsyms]         [k] balance_pgdat
     2.91%     0.00%  kswapd0          [kernel.kallsyms]         [k] shrink_node
     2.82%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] filemap_get_pages
     2.77%     0.02%  localfetcher#1   [kernel.kallsyms]         [k] exc_page_fault
     2.72%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] ondemand_readahead
     2.72%     2.71%  LocalJobRunner   [kernel.kallsyms]         [k] mem_cgroup_css_rstat_flush
     2.71%     0.03%  localfetcher#1   [kernel.kallsyms]         [k] page_cache_ra_unbounded
     2.71%     0.02%  localfetcher#1   [kernel.kallsyms]         [k] do_user_addr_fault
     2.69%     0.00%  InMemoryMerger   [kernel.kallsyms]         [k] do_syscall_64
     2.69%     0.00%  InMemoryMerger   [kernel.kallsyms]         [k] entry_SYSCALL_64_after_hwframe
     2.67%     0.00%  InMemoryMerger   [kernel.kallsyms]         [k] __x64_sys_write
     2.67%     0.00%  InMemoryMerger   [kernel.kallsyms]         [k] vfs_write
     2.67%     0.00%  InMemoryMerger   [kernel.kallsyms]         [k] ksys_write
     2.67%     0.00%  InMemoryMerger   [kernel.kallsyms]         [k] ext4_file_write_iter
     2.67%     0.00%  InMemoryMerger   [kernel.kallsyms]         [k] new_sync_write
