# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 16K of event 'cycles'
# Event count (approx.): 9151984292462
#
# Children      Self  Command          Shared Object                       Symbol                                           
# ........  ........  ...............  ..................................  .................................................
#
    66.55%     0.01%  swapper          [kernel.kallsyms]                   [k] cpu_startup_entry
    66.55%     0.00%  swapper          [kernel.kallsyms]                   [k] secondary_startup_64_no_verify
    66.16%     0.11%  swapper          [kernel.kallsyms]                   [k] do_idle
    63.93%     0.00%  swapper          [kernel.kallsyms]                   [k] start_secondary
    63.29%     0.02%  swapper          [kernel.kallsyms]                   [k] cpuidle_enter
    63.24%     0.12%  swapper          [kernel.kallsyms]                   [k] cpuidle_enter_state
    58.37%    57.96%  swapper          [kernel.kallsyms]                   [k] mwait_idle_with_hints.constprop.0
     6.62%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] do_syscall_64
     6.62%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
     6.25%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] __x64_sys_fadvise64
     6.25%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] generic_fadvise
     6.25%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] ksys_fadvise64_64
     6.01%     0.01%  NonPeriodicTask  [kernel.kallsyms]                   [k] __invalidate_mapping_pages
     5.39%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] asm_exc_page_fault
     5.37%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] exc_page_fault
     5.34%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] do_user_addr_fault
     5.27%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] handle_mm_fault
     5.24%     0.07%  Native-Transpor  [kernel.kallsyms]                   [k] __handle_mm_fault
     4.94%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __do_fault
     4.92%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] filemap_fault
     4.81%     0.04%  Native-Transpor  [kernel.kallsyms]                   [k] page_cache_ra_unbounded
     4.47%     4.29%  NonPeriodicTask  [kernel.kallsyms]                   [k] find_lock_entries
     4.30%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] invalidate_mapping_pages
     3.84%     3.73%  swapper          [kernel.kallsyms]                   [k] poll_idle
     3.83%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] do_page_cache_ra
     3.16%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
     3.16%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] do_syscall_64
     2.75%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __x64_sys_futex
     2.74%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] do_futex
     2.71%     0.05%  cluster1-nio-wo  [kernel.kallsyms]                   [k] futex_wake
     2.61%     0.00%  swapper          [kernel.kallsyms]                   [k] arch_call_rest_init
     2.61%     0.00%  swapper          [kernel.kallsyms]                   [k] rest_init
     2.61%     0.00%  swapper          [kernel.kallsyms]                   [k] start_kernel
     2.61%     0.00%  swapper          [kernel.kallsyms]                   [k] x86_64_start_kernel
     2.61%     0.00%  swapper          [kernel.kallsyms]                   [k] x86_64_start_reservations
     2.61%     0.04%  Native-Transpor  [kernel.kallsyms]                   [k] add_to_page_cache_lru
     2.60%     0.03%  cluster1-nio-wo  [kernel.kallsyms]                   [k] wake_up_q
     2.57%     0.06%  cluster1-nio-wo  [kernel.kallsyms]                   [k] try_to_wake_up
     2.46%     0.00%  kswapd1          [kernel.kallsyms]                   [k] balance_pgdat
     2.46%     0.00%  kswapd1          [kernel.kallsyms]                   [k] kswapd
     2.46%     0.00%  kswapd1          [kernel.kallsyms]                   [k] kthread
     2.46%     0.00%  kswapd1          [kernel.kallsyms]                   [k] ret_from_fork
     2.44%     0.00%  kswapd1          [kernel.kallsyms]                   [k] shrink_node
     2.38%     0.01%  kswapd1          [kernel.kallsyms]                   [k] evict_pages
     2.38%     0.00%  kswapd1          [kernel.kallsyms]                   [k] shrink_lruvec
     2.29%     0.00%  kswapd0          [kernel.kallsyms]                   [k] balance_pgdat
     2.29%     0.00%  kswapd0          [kernel.kallsyms]                   [k] kswapd
     2.29%     0.00%  kswapd0          [kernel.kallsyms]                   [k] kthread
     2.29%     0.00%  kswapd0          [kernel.kallsyms]                   [k] ret_from_fork
     2.27%     0.00%  kswapd0          [kernel.kallsyms]                   [k] shrink_node
     2.24%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] lru_cache_add
     2.23%     0.00%  kswapd0          [kernel.kallsyms]                   [k] evict_pages
     2.23%     0.00%  kswapd0          [kernel.kallsyms]                   [k] shrink_lruvec
     2.16%     0.09%  kswapd1          [kernel.kallsyms]                   [k] shrink_page_list
     2.03%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
     2.02%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] do_syscall_64
     2.01%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
     1.99%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
     1.96%     0.05%  kswapd0          [kernel.kallsyms]                   [k] shrink_page_list
     1.96%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
     1.96%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] hrtimer_interrupt
     1.95%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ttwu_do_activate
     1.95%     0.03%  Native-Transpor  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
