# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 864K of event 'cycles'
# Event count (approx.): 1624692439782
#
# Children      Self  Command          Shared Object                        Symbol                                                                                                                                                     
# ........  ........  ...............  ...................................  ...........................................................................................................................................................
#
    37.98%     0.08%  Executor task l  [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
    37.34%     0.06%  Executor task l  [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
    32.93%     0.41%  Executor task l  [kernel.kallsyms]                    [k] __sysvec_apic_timer_interrupt
    32.27%     0.74%  Executor task l  [kernel.kallsyms]                    [k] hrtimer_interrupt
    28.23%     0.64%  Executor task l  [kernel.kallsyms]                    [k] __hrtimer_run_queues
    27.59%     0.08%  Executor task l  [kernel.kallsyms]                    [k] __run_hrtimer
    26.46%     0.06%  Executor task l  [kernel.kallsyms]                    [k] tick_sched_timer
    25.03%     0.05%  Executor task l  [kernel.kallsyms]                    [k] tick_sched_handle
    24.93%     1.04%  Executor task l  [kernel.kallsyms]                    [k] update_process_times
    18.21%     0.78%  Executor task l  [kernel.kallsyms]                    [k] scheduler_tick
    16.17%     0.04%  Executor task l  [kernel.kallsyms]                    [k] entry_SYSCALL_64_after_hwframe
    16.13%     0.04%  Executor task l  [kernel.kallsyms]                    [k] do_syscall_64
    10.44%     0.02%  Executor task l  [kernel.kallsyms]                    [k] ksys_read
    10.29%     0.06%  Executor task l  [kernel.kallsyms]                    [k] vfs_read
    10.11%     0.07%  Executor task l  [kernel.kallsyms]                    [k] new_sync_read
    10.00%     0.16%  Executor task l  [kernel.kallsyms]                    [k] filemap_read
     8.29%     0.99%  Executor task l  [kernel.kallsyms]                    [k] task_tick_fair
     7.13%     0.60%  Executor task l  [kernel.kallsyms]                    [k] perf_event_task_tick
     6.53%     2.78%  Executor task l  [kernel.kallsyms]                    [k] perf_adjust_freq_unthr_context
     5.44%     0.03%  Executor task l  [kernel.kallsyms]                    [k] copy_page_to_iter
     5.41%     0.07%  Executor task l  [kernel.kallsyms]                    [k] copy_page_to_iter_iovec
     5.35%     5.23%  Executor task l  [kernel.kallsyms]                    [k] copy_user_generic_string
     4.18%     0.04%  Executor task l  [kernel.kallsyms]                    [k] filemap_get_pages
     3.65%     0.40%  Executor task l  [kernel.kallsyms]                    [k] __irq_exit_rcu
     3.59%     0.01%  Executor task l  [kernel.kallsyms]                    [k] __x64_sys_openat
     3.58%     0.02%  Executor task l  [kernel.kallsyms]                    [k] do_sys_openat2
     3.49%     1.40%  Executor task l  [kernel.kallsyms]                    [k] update_load_avg
     3.18%     0.02%  Executor task l  [kernel.kallsyms]                    [k] do_filp_open
     3.18%     0.02%  Executor task l  [kernel.kallsyms]                    [k] amd_pmu_disable_all
     3.16%     0.01%  Executor task l  [kernel.kallsyms]                    [k] path_openat
     2.84%     0.49%  Executor task l  [kernel.kallsyms]                    [k] __softirqentry_text_start
     2.81%     0.02%  Executor task l  [kernel.kallsyms]                    [k] page_cache_ra_unbounded
     2.79%     1.54%  Executor task l  [kernel.kallsyms]                    [k] account_user_time
     2.14%     1.89%  Executor task l  [kernel.kallsyms]                    [k] x86_pmu_disable_all
     2.07%     1.50%  Executor task l  [kernel.kallsyms]                    [k] update_curr
     2.06%     1.99%  Executor task l  [kernel.kallsyms]                    [k] ktime_get_update_offsets_now
     1.92%     0.00%  kcompactd0       [kernel.kallsyms]                    [k] kcompactd
     1.92%     0.00%  kcompactd0       [kernel.kallsyms]                    [k] kthread
     1.92%     0.00%  kcompactd0       [kernel.kallsyms]                    [k] ret_from_fork
     1.92%     0.00%  kcompactd0       [kernel.kallsyms]                    [k] compact_zone
     1.91%     0.00%  kcompactd0       [kernel.kallsyms]                    [k] proactive_compact_node
     1.87%     0.01%  kcompactd0       [kernel.kallsyms]                    [k] migrate_pages
     1.86%     0.00%  kcompactd0       [kernel.kallsyms]                    [k] unmap_and_move
     1.65%     0.28%  Executor task l  [kernel.kallsyms]                    [k] rcu_sched_clock_irq
     1.49%     0.13%  Executor task l  [kernel.kallsyms]                    [k] rcu_core
     1.39%     0.00%  swapper          [kernel.kallsyms]                    [k] cpu_startup_entry
     1.39%     0.00%  swapper          [kernel.kallsyms]                    [k] secondary_startup_64_no_verify
     1.38%     0.01%  swapper          [kernel.kallsyms]                    [k] do_idle
     1.31%     1.19%  Executor task l  [kernel.kallsyms]                    [k] ktime_get
     1.25%     0.01%  kcompactd0       [kernel.kallsyms]                    [k] __unmap_and_move
     1.24%     0.14%  Executor task l  [kernel.kallsyms]                    [k] exit_to_user_mode_prepare
