# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 3346000136016
#
# Children      Self  Command          Shared Object                                     Symbol                                                                                                                                                           
# ........  ........  ...............  ................................................  .................................................................................................................................................................
#
     1.50%     0.00%  Executor task l  [kernel.kallsyms]                                 [k] __alloc_pages_slowpath.constprop.0
     1.48%     1.07%  Executor task l  [kernel.kallsyms]                                 [k] update_curr
     1.45%     0.03%  Executor task l  [kernel.kallsyms]                                 [k] generic_write_end
     1.41%     0.03%  Executor task l  [kernel.kallsyms]                                 [k] ext4_dirty_inode
     1.40%     0.12%  Executor task l  [kernel.kallsyms]                                 [k] __pagevec_lru_add
     1.37%     0.00%  Executor task l  [kernel.kallsyms]                                 [k] shrink_node_memcgs
     1.37%     0.00%  Executor task l  [kernel.kallsyms]                                 [k] do_try_to_free_pages
     1.37%     0.00%  Executor task l  [kernel.kallsyms]                                 [k] shrink_node
     1.37%     0.00%  Executor task l  [kernel.kallsyms]                                 [k] shrink_zones
     1.37%     0.00%  Executor task l  [kernel.kallsyms]                                 [k] try_to_free_pages
     1.36%     0.00%  Executor task l  [kernel.kallsyms]                                 [k] lru_gen_shrink_lruvec
     1.36%     0.00%  Executor task l  [kernel.kallsyms]                                 [k] evict_pages
     1.35%     1.18%  Executor task l  [kernel.kallsyms]                                 [k] x86_pmu_disable_all
     1.34%     0.01%  Executor task l  [kernel.kallsyms]                                 [k] shrink_page_list
     1.31%     0.01%  Executor task l  [kernel.kallsyms]                                 [k] __remove_mapping
     1.30%     0.00%  Executor task l  [kernel.kallsyms]                                 [k] asm_common_interrupt
     1.29%     0.01%  Executor task l  [kernel.kallsyms]                                 [k] common_interrupt
     1.26%     0.86%  Executor task l  [kernel.kallsyms]                                 [k] rmqueue_bulk
     1.22%     0.01%  Executor task l  [kernel.kallsyms]                                 [k] __ext4_mark_inode_dirty
     1.20%     0.73%  Executor task l  [kernel.kallsyms]                                 [k] xas_load
     1.20%     0.03%  Executor task l  [kernel.kallsyms]                                 [k] mem_cgroup_charge
     1.19%     0.19%  Executor task l  [kernel.kallsyms]                                 [k] rcu_sched_clock_irq
     1.16%     0.02%  Executor task l  [kernel.kallsyms]                                 [k] __common_interrupt
     1.15%     1.11%  Executor task l  [kernel.kallsyms]                                 [k] ktime_get_update_offsets_now
     1.14%     0.02%  Executor task l  [kernel.kallsyms]                                 [k] handle_edge_irq
     1.08%     0.62%  Executor task l  [kernel.kallsyms]                                 [k] filemap_get_read_batch
     1.04%     0.01%  Executor task l  [kernel.kallsyms]                                 [k] handle_irq_event
     1.03%     0.14%  Executor task l  [kernel.kallsyms]                                 [k] __softirqentry_text_start
     0.95%     0.03%  Executor task l  [kernel.kallsyms]                                 [k] __handle_irq_event_percpu
     0.94%     0.86%  Executor task l  [kernel.kallsyms]                                 [k] ktime_get
     0.93%     0.44%  Executor task l  [kernel.kallsyms]                                 [k] kmem_cache_alloc
     0.92%     0.00%  Executor task l  [kernel.kallsyms]                                 [k] nvme_irq
     0.92%     0.10%  Executor task l  [kernel.kallsyms]                                 [k] nvme_process_cq
     0.91%     0.00%  swapper          [kernel.kallsyms]                                 [k] cpu_startup_entry
     0.91%     0.00%  swapper          [kernel.kallsyms]                                 [k] secondary_startup_64_no_verify
     0.91%     0.01%  swapper          [kernel.kallsyms]                                 [k] do_idle
     0.90%     0.41%  Executor task l  [kernel.kallsyms]                                 [k] rcu_pending
     0.85%     0.19%  Executor task l  [kernel.kallsyms]                                 [k] __pagevec_lru_add_fn
     0.84%     0.83%  Executor task l  [kernel.kallsyms]                                 [k] __update_load_avg_cfs_rq
     0.83%     0.01%  Executor task l  [kernel.kallsyms]                                 [k] blk_finish_plug
     0.81%     0.02%  Executor task l  [kernel.kallsyms]                                 [k] blk_mq_flush_plug_list
     0.80%     0.00%  Executor task l  [kernel.kallsyms]                                 [k] __x64_sys_openat
     0.80%     0.00%  Executor task l  [kernel.kallsyms]                                 [k] do_sys_openat2
     0.80%     0.06%  kswapd0          [kernel.kallsyms]                                 [k] __remove_mapping
     0.79%     0.00%  kcompactd0       [kernel.kallsyms]                                 [k] kcompactd
     0.79%     0.00%  kcompactd0       [kernel.kallsyms]                                 [k] kthread
     0.79%     0.00%  kcompactd0       [kernel.kallsyms]                                 [k] ret_from_fork
     0.79%     0.00%  kcompactd0       [kernel.kallsyms]                                 [k] compact_zone
     0.78%     0.01%  Executor task l  [kernel.kallsyms]                                 [k] blk_mq_sched_insert_requests
     0.77%     0.00%  kcompactd0       [kernel.kallsyms]                                 [k] migrate_pages
     0.77%     0.01%  swapper          [kernel.kallsyms]                                 [k] cpuidle_idle_call
     0.77%     0.04%  Executor task l  [kernel.kallsyms]                                 [k] blk_mq_try_issue_list_directly
     0.77%     0.00%  kcompactd0       [kernel.kallsyms]                                 [k] unmap_and_move
     0.77%     0.02%  Executor task l  [kernel.kallsyms]                                 [k] ext4_mark_iloc_dirty
     0.76%     0.00%  kcompactd0       [kernel.kallsyms]                                 [k] proactive_compact_node
     0.74%     0.34%  Executor task l  [kernel.kallsyms]                                 [k] update_rq_clock_task
     0.72%     0.02%  Executor task l  [kernel.kallsyms]                                 [k] __blk_mq_try_issue_directly
     0.72%     0.62%  Executor task l  [kernel.kallsyms]                                 [k] __update_load_avg_se
     0.71%     0.07%  Executor task l  [kernel.kallsyms]                                 [k] __mem_cgroup_charge
     0.70%     0.25%  Executor task l  [kernel.kallsyms]                                 [k] ext4_do_update_inode.isra.0
     0.70%     0.00%  kcompactd0       [kernel.kallsyms]                                 [k] __unmap_and_move
     0.69%     0.00%  Executor task l  [kernel.kallsyms]                                 [k] do_filp_open
     0.69%     0.00%  Executor task l  [kernel.kallsyms]                                 [k] path_openat
     0.69%     0.17%  Executor task l  [kernel.kallsyms]                                 [k] __mod_lruvec_page_state
     0.69%     0.07%  Executor task l  [kernel.kallsyms]                                 [k] nvme_queue_rq
     0.68%     0.00%  kworker/u64:37-  [kernel.kallsyms]                                 [k] kthread
     0.68%     0.00%  kworker/u64:37-  [kernel.kallsyms]                                 [k] ret_from_fork
     0.68%     0.00%  kworker/u64:37-  [kernel.kallsyms]                                 [k] worker_thread
     0.68%     0.00%  kworker/u64:37-  [kernel.kallsyms]                                 [k] process_one_work
     0.65%     0.21%  Executor task l  [kernel.kallsyms]                                 [k] xas_store
     0.64%     0.00%  kworker/u64:36-  [kernel.kallsyms]                                 [k] worker_thread
     0.64%     0.00%  kworker/u64:36-  [kernel.kallsyms]                                 [k] kthread
     0.64%     0.00%  kworker/u64:36-  [kernel.kallsyms]                                 [k] ret_from_fork
     0.64%     0.00%  kworker/u64:36-  [kernel.kallsyms]                                 [k] process_one_work
     0.64%     0.64%  Executor task l  [kernel.kallsyms]                                 [k] hrtimer_active
     0.63%     0.25%  Executor task l  [kernel.kallsyms]                                 [k] lru_gen_add_page
     0.62%     0.01%  Executor task l  [kernel.kallsyms]                                 [k] __submit_bio_noacct_mq
     0.62%     0.00%  swapper          [kernel.kallsyms]                                 [k] cpuidle_enter
     0.62%     0.02%  swapper          [kernel.kallsyms]                                 [k] cpuidle_enter_state
     0.60%     0.04%  Executor task l  [kernel.kallsyms]                                 [k] blk_mq_submit_bio
     0.60%     0.60%  Executor task l  [kernel.kallsyms]                                 [k] __list_del_entry_valid
     0.59%     0.36%  Executor task l  [kernel.kallsyms]                                 [k] irqtime_account_irq
     0.55%     0.54%  Executor task l  [kernel.kallsyms]                                 [k] memset
     0.55%     0.36%  Executor task l  [kernel.kallsyms]                                 [k] __cgroup_account_cputime_field
     0.55%     0.02%  Executor task l  [kernel.kallsyms]                                 [k] __ext4_journal_start_sb
     0.53%     0.31%  Executor task l  [kernel.kallsyms]                                 [k] __mod_memcg_lruvec_state
     0.51%     0.50%  Executor task l  [kernel.kallsyms]                                 [k] xas_start
     0.51%     0.01%  Executor task l  [kernel.kallsyms]                                 [k] file_update_time
     0.51%     0.02%  Executor task l  [kernel.kallsyms]                                 [k] create_page_buffers
     0.50%     0.13%  Executor task l  [kernel.kallsyms]                                 [k] exit_to_user_mode_prepare
     0.50%     0.06%  Executor task l  [kernel.kallsyms]                                 [k] jbd2__journal_start
     0.50%     0.50%  Executor task l  [kernel.kallsyms]                                 [k] update_cfs_group
     0.50%     0.02%  Executor task l  [kernel.kallsyms]                                 [k] syscall_exit_to_user_mode
     0.49%     0.01%  kswapd0          [kernel.kallsyms]                                 [k] do_shrink_slab
     0.49%     0.02%  Executor task l  [kernel.kallsyms]                                 [k] create_empty_buffers
     0.49%     0.15%  Executor task l  [kernel.kallsyms]                                 [k] amd_pmu_wait_on_overflow
     0.49%     0.03%  Executor task l  [kernel.kallsyms]                                 [k] zero_user_segments
     0.48%     0.00%  Executor task l  [kernel.kallsyms]                                 [k] generic_update_time
     0.48%     0.01%  Executor task l  [kernel.kallsyms]                                 [k] blk_mq_end_request
     0.48%     0.00%  kswapd0          [kernel.kallsyms]                                 [k] shrink_slab_memcg
     0.47%     0.04%  Executor task l  [kernel.kallsyms]                                 [k] clockevents_program_event
     0.46%     0.00%  kworker/u64:39-  [kernel.kallsyms]                                 [k] kthread
     0.46%     0.00%  kworker/u64:39-  [kernel.kallsyms]                                 [k] ret_from_fork
     0.46%     0.00%  kworker/u64:39-  [kernel.kallsyms]                                 [k] worker_thread
     0.46%     0.00%  kcompactd0       [kernel.kallsyms]                                 [k] rmap_walk_anon
     0.46%     0.00%  kworker/u64:39-  [kernel.kallsyms]                                 [k] process_one_work
     0.46%     0.04%  Executor task l  [kernel.kallsyms]                                 [k] alloc_page_buffers
     0.45%     0.00%  kworker/u64:37-  [kernel.kallsyms]                                 [k] wb_workfn
     0.45%     0.00%  kworker/u64:37-  [kernel.kallsyms]                                 [k] wb_do_writeback
     0.45%     0.00%  kworker/u64:37-  [kernel.kallsyms]                                 [k] wb_writeback
     0.45%     0.00%  kworker/u64:37-  [kernel.kallsyms]                                 [k] __writeback_inodes_wb
     0.45%     0.00%  kworker/u64:37-  [kernel.kallsyms]                                 [k] writeback_sb_inodes
     0.45%     0.00%  kworker/u64:37-  [kernel.kallsyms]                                 [k] __writeback_single_inode
     0.45%     0.00%  kworker/u64:37-  [kernel.kallsyms]                                 [k] do_writepages
