# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 9K of event 'cycles'
# Event count (approx.): 2197247760119
#
# Children      Self  Command          Shared Object       Symbol                                        
# ........  ........  ...............  ..................  ..............................................
#
     1.15%     0.00%  swapper          [kernel.kallsyms]   [k] sysvec_apic_timer_interrupt
     1.14%     0.00%  postgres         [kernel.kallsyms]   [k] sysvec_apic_timer_interrupt
     1.09%     0.08%  postgres         [kernel.kallsyms]   [k] free_pgd_range
     1.09%     0.00%  postgres         [kernel.kallsyms]   [k] free_pgtables
     1.08%     0.01%  postgres         [kernel.kallsyms]   [k] exit_to_user_mode_prepare
     1.07%     0.00%  postgres         [kernel.kallsyms]   [k] dequeue_task
     1.06%     0.95%  postgres         [kernel.kallsyms]   [k] dequeue_task_fair
     1.05%     0.00%  postgres         [kernel.kallsyms]   [k] task_work_run
     1.05%     0.00%  postgres         [kernel.kallsyms]   [k] ttwu_do_activate
     1.04%     0.00%  postgres         [kernel.kallsyms]   [k] enqueue_task
     1.03%     0.00%  postgres         [kernel.kallsyms]   [k] __common_interrupt
     1.03%     0.00%  postgres         [kernel.kallsyms]   [k] asm_common_interrupt
     1.03%     0.00%  postgres         [kernel.kallsyms]   [k] common_interrupt
     1.02%     0.00%  postgres         [kernel.kallsyms]   [k] handle_edge_irq
     1.02%     0.01%  postgres         [kernel.kallsyms]   [k] nvme_process_cq
     1.02%     0.00%  postgres         [kernel.kallsyms]   [k] __handle_irq_event_percpu
     1.02%     0.00%  postgres         [kernel.kallsyms]   [k] handle_irq_event
     1.02%     0.00%  postgres         [kernel.kallsyms]   [k] nvme_irq
     1.01%     0.00%  postgres         [kernel.kallsyms]   [k] blk_mq_end_request
     1.01%     0.00%  postgres         [kernel.kallsyms]   [k] nvme_complete_rq
     1.01%     0.00%  postgres         [kernel.kallsyms]   [k] nvme_pci_complete_rq
     1.01%     0.27%  postgres         [kernel.kallsyms]   [k] ___pte_free_tlb
     1.01%     0.00%  postgres         [kernel.kallsyms]   [k] blk_update_request
     1.01%     0.00%  postgres         [kernel.kallsyms]   [k] irqentry_exit
     1.01%     0.00%  postgres         [kernel.kallsyms]   [k] irqentry_exit_to_user_mode
     1.01%     0.00%  postgres         [kernel.kallsyms]   [k] bio_endio
     1.01%     0.00%  postgres         [kernel.kallsyms]   [k] __wake_up_common
     0.99%     0.00%  postgres         [kernel.kallsyms]   [k] vfs_write
     0.98%     0.00%  postgres         [kernel.kallsyms]   [k] ext4_file_write_iter
     0.98%     0.00%  postgres         [kernel.kallsyms]   [k] new_sync_write
     0.98%     0.00%  postgres         [kernel.kallsyms]   [k] ext4_buffered_write_iter
     0.97%     0.00%  postgres         [kernel.kallsyms]   [k] generic_perform_write
     0.97%     0.01%  postgres         [kernel.kallsyms]   [k] psi_task_change
     0.97%     0.00%  postgres         [kernel.kallsyms]   [k] psi_task_switch
     0.96%     0.96%  postgres         [kernel.kallsyms]   [k] vma_migratable
     0.96%     0.96%  swapper          [kernel.kallsyms]   [k] native_apic_msr_eoi_write
     0.95%     0.01%  postgres         [kernel.kallsyms]   [k] unlock_page
     0.95%     0.00%  postgres         [kernel.kallsyms]   [k] __x64_sys_pwrite64
     0.95%     0.00%  postgres         [kernel.kallsyms]   [k] __wake_up_locked_key_bookmark
     0.95%     0.00%  postgres         [kernel.kallsyms]   [k] wake_up_page_bit
     0.95%     0.00%  postgres         [kernel.kallsyms]   [k] __read_end_io
     0.95%     0.00%  postgres         [kernel.kallsyms]   [k] mpage_end_io
     0.95%     0.00%  postgres         [kernel.kallsyms]   [k] wake_page_function
     0.95%     0.00%  postgres         [kernel.kallsyms]   [k] wake_up_state
     0.82%     0.82%  postgres         [kernel.kallsyms]   [k] __wrgsbase_inactive
     0.74%     0.11%  postgres         [kernel.kallsyms]   [k] cgroup_rstat_flush_locked
     0.68%     0.00%  postgres         [kernel.kallsyms]   [k] tlb_remove_page
     0.64%     0.00%  swapper          [kernel.kallsyms]   [k] arch_call_rest_init
     0.64%     0.00%  swapper          [kernel.kallsyms]   [k] rest_init
     0.64%     0.00%  swapper          [kernel.kallsyms]   [k] start_kernel
     0.64%     0.00%  swapper          [kernel.kallsyms]   [k] x86_64_start_kernel
     0.64%     0.00%  swapper          [kernel.kallsyms]   [k] x86_64_start_reservations
     0.61%     0.59%  postgres         [kernel.kallsyms]   [k] mem_cgroup_css_rstat_flush
     0.61%     0.02%  postgres         [kernel.kallsyms]   [k] free_unref_page_list
     0.60%     0.00%  postgres         [kernel.kallsyms]   [k] generic_write_end
