# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 14K of event 'cycles'
# Event count (approx.): 212867787405
#
# Children      Self  Command          Shared Object        Symbol                                                                                                          
# ........  ........  ...............  ...................  ................................................................................................................
#
     1.90%     0.00%  kswapd0          [kernel.kallsyms]    [k] lru_gen_shrink_lruvec
     1.90%     0.00%  kswapd0          [kernel.kallsyms]    [k] shrink_node
     1.90%     0.00%  kswapd0          [kernel.kallsyms]    [k] shrink_node_memcgs
     1.90%     0.01%  mariadbd         [kernel.kallsyms]    [k] common_interrupt
     1.87%     0.00%  kswapd0          [kernel.kallsyms]    [k] evict_pages
     1.81%     0.11%  mariadbd         [kernel.kallsyms]    [k] load_balance
     1.80%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] __x64_sys_futex
     1.80%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] do_futex
     1.79%     0.88%  mariadbd         [kernel.kallsyms]    [k] update_load_avg
     1.76%     0.02%  mariadbd         [kernel.kallsyms]    [k] __common_interrupt
     1.74%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] __x64_sys_poll
     1.74%     0.01%  mariadbd         [kernel.kallsyms]    [k] handle_edge_irq
     1.73%     0.15%  tclsh8.6         [kernel.kallsyms]    [k] do_sys_poll
     1.72%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] __x64_sys_sendto
     1.72%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] __sys_sendto
     1.71%     0.04%  mariadbd         [kernel.kallsyms]    [k] handle_irq_event
     1.71%     0.04%  kswapd0          [kernel.kallsyms]    [k] shrink_page_list
     1.71%     0.67%  mariadbd         [kernel.kallsyms]    [k] _raw_spin_lock
     1.70%     0.03%  tclsh8.6         [kernel.kallsyms]    [k] sock_sendmsg
     1.66%     0.01%  mariadbd         [kernel.kallsyms]    [k] flush_tlb_mm_range
     1.65%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] unix_stream_sendmsg
     1.65%     0.01%  mariadbd         [kernel.kallsyms]    [k] ptep_clear_flush
     1.59%     0.35%  mariadbd         [kernel.kallsyms]    [k] enqueue_task_fair
     1.59%     0.02%  mariadbd         [kernel.kallsyms]    [k] __handle_irq_event_percpu
     1.57%     0.01%  mariadbd         [kernel.kallsyms]    [k] nvme_irq
     1.57%     0.03%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_poll
     1.56%     0.11%  mariadbd         [kernel.kallsyms]    [k] nvme_process_cq
     1.55%     0.27%  mariadbd         [kernel.kallsyms]    [k] select_idle_sibling
     1.54%     0.03%  mariadbd         [kernel.kallsyms]    [k] ttwu_do_activate
     1.53%     0.03%  swapper          [kernel.kallsyms]    [k] asm_sysvec_apic_timer_interrupt
     1.53%     0.10%  mariadbd         [kernel.kallsyms]    [k] exit_to_user_mode_prepare
     1.51%     0.00%  swapper          [kernel.kallsyms]    [k] sysvec_apic_timer_interrupt
     1.50%     0.11%  tclsh8.6         [kernel.kallsyms]    [k] _raw_spin_lock
     1.49%     0.10%  mariadbd         [kernel.kallsyms]    [k] do_sys_poll
     1.48%     0.16%  tclsh8.6         [kernel.kallsyms]    [k] do_poll.constprop.0
     1.47%     0.01%  mariadbd         [kernel.kallsyms]    [k] bio_iov_iter_get_pages
     1.46%     0.02%  mariadbd         [kernel.kallsyms]    [k] __bio_iov_iter_get_pages
     1.46%     0.01%  mariadbd         [kernel.kallsyms]    [k] on_each_cpu_cond_mask
     1.45%     0.54%  mariadbd         [kernel.kallsyms]    [k] smp_call_function_many_cond
     1.43%     0.01%  swapper          [kernel.kallsyms]    [k] asm_common_interrupt
     1.41%     0.00%  swapper          [kernel.kallsyms]    [k] common_interrupt
     1.41%     0.06%  swapper          [kernel.kallsyms]    [k] ttwu_do_activate
     1.39%     1.35%  tclsh8.6         [kernel.kallsyms]    [k] native_queued_spin_lock_slowpath.part.0
     1.35%     0.03%  tclsh8.6         [kernel.kallsyms]    [k] __x64_sys_recvfrom
     1.35%     0.02%  swapper          [kernel.kallsyms]    [k] __sysvec_call_function_single
     1.35%     0.48%  swapper          [kernel.kallsyms]    [k] enqueue_task_fair
     1.32%     0.05%  mariadbd         [kernel.kallsyms]    [k] ext4_map_blocks
     1.32%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] __sys_recvfrom
     1.30%     0.01%  mariadbd         [kernel.kallsyms]    [k] __read_swap_cache_async
     1.30%     0.51%  mariadbd         [kernel.kallsyms]    [k] update_curr
     1.28%     0.09%  mariadbd         [kernel.kallsyms]    [k] do_poll.constprop.0
     1.28%     0.03%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_recvfrom
     1.26%     0.02%  mariadbd         [kernel.kallsyms]    [k] iov_iter_get_pages
     1.24%     0.01%  mariadbd         [kernel.kallsyms]    [k] __sys_recvfrom
     1.23%     0.01%  mariadbd         [kernel.kallsyms]    [k] internal_get_user_pages_fast
     1.23%     0.10%  mariadbd         [kernel.kallsyms]    [k] __wake_up_common
     1.23%     0.00%  swapper          [kernel.kallsyms]    [k] start_kernel
     1.21%     0.02%  mariadbd         [kernel.kallsyms]    [k] perf_event_task_tick
     1.21%     0.01%  swapper          [kernel.kallsyms]    [k] __common_interrupt
     1.20%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] unix_stream_recvmsg
     1.20%     0.01%  swapper          [kernel.kallsyms]    [k] handle_edge_irq
     1.20%     0.22%  mariadbd         [kernel.kallsyms]    [k] perf_adjust_freq_unthr_context
     1.20%     0.11%  tclsh8.6         [kernel.kallsyms]    [k] unix_stream_read_generic
     1.20%     0.02%  mariadbd         [kernel.kallsyms]    [k] blk_mq_end_request
     1.17%     0.07%  swapper          [kernel.kallsyms]    [k] flush_smp_call_function_from_idle
     1.16%     0.28%  mariadbd         [kernel.kallsyms]    [k] syscall_exit_work
     1.16%     0.01%  mariadbd         [kernel.kallsyms]    [k] __wake_up_common_lock
     1.15%     0.02%  swapper          [kernel.kallsyms]    [k] handle_irq_event
     1.14%     0.09%  mariadbd         [kernel.kallsyms]    [k] sock_def_readable
     1.12%     1.08%  mariadbd         [kernel.kallsyms]    [k] native_queued_spin_lock_slowpath.part.0
     1.10%     0.00%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_pwrite64
     1.10%     0.00%  mariadbd         [kernel.kallsyms]    [k] ext4_buffered_write_iter
