# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 8612837498369
#
# Children      Self  Command          Shared Object         Symbol                                             
# ........  ........  ...............  ....................  ...................................................
#
    36.67%     0.33%  java             [kernel.kallsyms]     [k] asm_exc_page_fault
    34.75%     0.47%  java             [kernel.kallsyms]     [k] exc_page_fault
    31.30%     0.44%  java             [kernel.kallsyms]     [k] do_user_addr_fault
    24.47%     1.26%  java             [kernel.kallsyms]     [k] handle_mm_fault
    20.43%     5.06%  java             [kernel.kallsyms]     [k] __handle_mm_fault
    19.26%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
    19.24%     0.02%  LocalJobRunner   [kernel.kallsyms]     [k] do_syscall_64
    11.38%     0.12%  LocalJobRunner   [kernel.kallsyms]     [k] asm_exc_page_fault
    11.29%     0.17%  java             [kernel.kallsyms]     [k] migrate_misplaced_page
    10.28%     0.08%  LocalJobRunner   [kernel.kallsyms]     [k] exc_page_fault
     9.83%     0.72%  java             [kernel.kallsyms]     [k] migrate_pages
     9.70%     0.14%  LocalJobRunner   [kernel.kallsyms]     [k] do_user_addr_fault
     9.14%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] __x64_sys_write
     9.14%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ksys_write
     9.14%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] vfs_write
     9.14%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] new_sync_write
     9.13%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_file_write_iter
     9.13%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_buffered_write_iter
     9.11%     0.03%  LocalJobRunner   [kernel.kallsyms]     [k] generic_perform_write
     9.01%     0.22%  LocalJobRunner   [kernel.kallsyms]     [k] handle_mm_fault
     8.70%     8.37%  LocalJobRunner   [kernel.kallsyms]     [k] copy_user_enhanced_fast_string
     8.25%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] __x64_sys_read
