# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 7939215636395
#
# Children      Self  Command          Shared Object      Symbol                                             
# ........  ........  ...............  .................  ...................................................
#
     3.69%     0.02%  java             [kernel.kallsyms]  [k] do_swap_page
     3.60%     3.58%  LocalJobRunner   [kernel.kallsyms]  [k] clear_page_erms
     3.59%     0.05%  LocalJobRunner   [kernel.kallsyms]  [k] alloc_pages_vma
     3.47%     0.24%  kswapd1          [kernel.kallsyms]  [k] shrink_page_list
     3.46%     3.46%  LocalJobRunner   [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     3.36%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] __alloc_pages_slowpath.constprop.0
     3.34%     3.34%  LocalJobRunner   [kernel.kallsyms]  [k] mem_cgroup_css_rstat_flush
     3.34%     0.01%  java             [kernel.kallsyms]  [k] swapin_readahead
     3.26%     3.06%  LocalJobRunner   [kernel.kallsyms]  [k] change_protection
     3.21%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] try_to_free_pages
     3.20%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] do_try_to_free_pages
     3.20%     0.01%  LocalJobRunner   [kernel.kallsyms]  [k] shrink_node
     2.99%     2.96%  java             [kernel.kallsyms]  [k] down_read_trylock
     2.96%     0.00%  java             [kernel.kallsyms]  [k] __read_swap_cache_async
     2.90%     0.02%  LocalJobRunner   [kernel.kallsyms]  [k] shrink_lruvec
     2.50%     0.04%  java             [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     2.46%     0.04%  java             [kernel.kallsyms]  [k] workingset_refault
     2.44%     0.04%  java             [kernel.kallsyms]  [k] do_syscall_64
     2.40%     0.23%  kswapd0          [kernel.kallsyms]  [k] shrink_page_list
     2.34%     0.12%  LocalJobRunner   [kernel.kallsyms]  [k] _raw_spin_lock_irq
     2.31%     0.00%  java             [kernel.kallsyms]  [k] mem_cgroup_flush_stats
     2.31%     0.00%  java             [kernel.kallsyms]  [k] cgroup_rstat_flush_irqsafe
     2.17%     0.01%  java             [kernel.kallsyms]  [k] move_to_new_page
     2.17%     0.08%  java             [kernel.kallsyms]  [k] __alloc_pages
     2.15%     0.00%  java             [kernel.kallsyms]  [k] migrate_page
