# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 668K of event 'cycles'
# Event count (approx.): 8393561199059
#
# Children      Self  Command          Shared Object         Symbol                                             
# ........  ........  ...............  ....................  ...................................................
#
     3.08%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] new_sync_write
     3.08%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_file_write_iter
     3.08%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_buffered_write_iter
     3.08%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] generic_perform_write
     3.02%     0.00%  java             [kernel.kallsyms]     [k] mem_cgroup_flush_stats
     3.02%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] filemap_get_pages
     3.01%     0.00%  java             [kernel.kallsyms]     [k] cgroup_rstat_flush_irqsafe
     3.00%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] mem_cgroup_flush_stats
     2.91%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] ondemand_readahead
     2.91%     0.05%  localfetcher#1   [kernel.kallsyms]     [k] page_cache_ra_unbounded
     2.87%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] page_cache_async_ra
     2.83%     0.05%  pool-4-thread-1  [kernel.kallsyms]     [k] pagecache_get_page
     2.83%     0.01%  pool-4-thread-1  [kernel.kallsyms]     [k] grab_cache_page_write_begin
     2.77%     2.75%  java             [kernel.kallsyms]     [k] down_read_trylock
     2.76%     0.50%  LocalJobRunner   [kernel.kallsyms]     [k] cgroup_rstat_flush_locked
     2.71%     0.52%  java             [kernel.kallsyms]     [k] cgroup_rstat_flush_locked
     2.65%     0.19%  kswapd1          [kernel.kallsyms]     [k] shrink_page_list
     2.46%     0.02%  pool-4-thread-1  [kernel.kallsyms]     [k] asm_exc_page_fault
     2.39%     0.00%  swapper          [kernel.kallsyms]     [k] arch_call_rest_init
     2.39%     0.00%  swapper          [kernel.kallsyms]     [k] rest_init
     2.39%     0.00%  swapper          [kernel.kallsyms]     [k] start_kernel
     2.39%     0.00%  swapper          [kernel.kallsyms]     [k] x86_64_start_kernel
     2.39%     0.00%  swapper          [kernel.kallsyms]     [k] x86_64_start_reservations
     2.29%     0.01%  pool-4-thread-1  [kernel.kallsyms]     [k] exc_page_fault
     2.25%     0.15%  kswapd0          [kernel.kallsyms]     [k] shrink_page_list
     2.22%     0.03%  pool-4-thread-1  [kernel.kallsyms]     [k] do_user_addr_fault
     2.16%     2.16%  LocalJobRunner   [kernel.kallsyms]     [k] mem_cgroup_css_rstat_flush
     2.13%     0.03%  pool-4-thread-1  [kernel.kallsyms]     [k] handle_mm_fault
     2.11%     0.05%  localfetcher#1   [kernel.kallsyms]     [k] __alloc_pages
     2.08%     2.07%  java             [kernel.kallsyms]     [k] mem_cgroup_css_rstat_flush
     1.97%     0.23%  localfetcher#1   [kernel.kallsyms]     [k] get_page_from_freelist
     1.88%     0.02%  java             [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     1.85%     0.02%  java             [kernel.kallsyms]     [k] do_syscall_64
     1.83%     0.21%  pool-4-thread-1  [kernel.kallsyms]     [k] __handle_mm_fault
     1.80%     0.15%  pool-4-thread-1  [kernel.kallsyms]     [k] add_to_page_cache_lru
     1.56%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] cgroup_rstat_flush_irqsafe
     1.53%     0.02%  pool-4-thread-1  [kernel.kallsyms]     [k] ext4_da_write_end
     1.51%     1.48%  LocalJobRunner   [kernel.kallsyms]     [k] copy_user_enhanced_fast_string
     1.50%     0.04%  pool-4-thread-1  [kernel.kallsyms]     [k] generic_write_end
     1.49%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] asm_sysvec_apic_timer_interrupt
     1.48%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] sysvec_apic_timer_interrupt
     1.48%     0.13%  localfetcher#1   [kernel.kallsyms]     [k] add_to_page_cache_lru
     1.45%     1.42%  localfetcher#1   [kernel.kallsyms]     [k] clear_page_erms
     1.44%     1.01%  pool-4-thread-1  [kernel.kallsyms]     [k] __add_to_page_cache_locked
     1.40%     0.02%  LocalJobRunner   [kernel.kallsyms]     [k] exit_to_user_mode_prepare
     1.36%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] irqentry_exit
     1.36%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] irqentry_exit_to_user_mode
     1.36%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_da_write_begin
     1.36%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] task_work_run
     1.36%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] task_numa_work
     1.36%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] change_prot_numa
     1.35%     0.03%  java             [kernel.kallsyms]     [k] asm_sysvec_call_function
     1.27%     1.27%  java             [kernel.kallsyms]     [k] up_read
     1.22%     1.16%  LocalJobRunner   [kernel.kallsyms]     [k] change_protection
     1.21%     1.20%  java             [kernel.kallsyms]     [k] native_queued_spin_lock_slowpath
     1.18%     0.01%  localfetcher#1   [kernel.kallsyms]     [k] alloc_pages
     1.18%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] __page_cache_alloc
     1.13%     0.61%  java             [kernel.kallsyms]     [k] cgroup_rstat_updated
     1.13%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] pagecache_get_page
     1.12%     0.01%  java             [kernel.kallsyms]     [k] sysvec_call_function
     1.12%     0.04%  pool-4-thread-1  [kernel.kallsyms]     [k] __mark_inode_dirty
     1.12%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] grab_cache_page_write_begin
     1.10%     0.01%  java             [kernel.kallsyms]     [k] __x64_sys_sched_yield
